"TIME","GEO","AGE","INDIC_HE","UNIT","SEX","ICD10","Value","Value_imp"
2010,"Belgium","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Total","Tuberculosis",0,TRUE
2010,"Belgium","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Total","Intestinal infectious diseases except diarrhoea",8.7,TRUE
2010,"Belgium","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98",12275.1,TRUE
2010,"Belgium","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",11016.8,TRUE
2010,"Belgium","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Males","Certain infectious and parasitic diseases (A00-B99)",88,TRUE
2010,"Belgium","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Males","Tuberculosis",0,TRUE
2010,"Belgium","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Males","Intestinal infectious diseases except diarrhoea",10.7,TRUE
2010,"Belgium","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98",6337.3,TRUE
2010,"Belgium","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",5240.5,TRUE
2010,"Belgium","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Females","Certain infectious and parasitic diseases (A00-B99)",54.9,TRUE
2010,"Belgium","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Females","Tuberculosis",0,TRUE
2010,"Belgium","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Females","Intestinal infectious diseases except diarrhoea",8.1,TRUE
2010,"Belgium","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98",11527.4,TRUE
2010,"Belgium","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",11526.8,TRUE
2010,"Belgium","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Certain infectious and parasitic diseases (A00-B99)",86.7,TRUE
2010,"Belgium","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Tuberculosis",1.5,TRUE
2010,"Belgium","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Intestinal infectious diseases except diarrhoea",7.6,TRUE
2010,"Belgium","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98",14837.3,TRUE
2010,"Belgium","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",14836.6,TRUE
2010,"Belgium","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Certain infectious and parasitic diseases (A00-B99)",94.5,TRUE
2010,"Belgium","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Tuberculosis",1.9,TRUE
2010,"Belgium","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Intestinal infectious diseases except diarrhoea",7.1,TRUE
2010,"Belgium","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98",8055.9,TRUE
2010,"Belgium","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",8055.6,TRUE
2010,"Belgium","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Certain infectious and parasitic diseases (A00-B99)",78.4,TRUE
2010,"Belgium","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Tuberculosis",1.2,TRUE
2010,"Belgium","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Intestinal infectious diseases except diarrhoea",8.2,TRUE
2010,"Belgium","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98",8161.4,TRUE
2010,"Belgium","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",8160.6,TRUE
2010,"Belgium","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Certain infectious and parasitic diseases (A00-B99)",111.4,TRUE
2010,"Belgium","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Tuberculosis",1,TRUE
2010,"Belgium","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Intestinal infectious diseases except diarrhoea",3.6,TRUE
2010,"Belgium","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98",9285.8,TRUE
2010,"Belgium","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",9285.8,TRUE
2010,"Belgium","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Certain infectious and parasitic diseases (A00-B99)",104.9,TRUE
2010,"Belgium","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Tuberculosis",0.3,TRUE
2010,"Belgium","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Intestinal infectious diseases except diarrhoea",4.6,TRUE
2010,"Belgium","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98",6862.1,TRUE
2010,"Belgium","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",6860.8,TRUE
2010,"Belgium","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Certain infectious and parasitic diseases (A00-B99)",106.8,TRUE
2010,"Belgium","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Tuberculosis",1.6,TRUE
2010,"Belgium","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Intestinal infectious diseases except diarrhoea",2.6,TRUE
2010,"Belgium","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98",4807.6,TRUE
2010,"Belgium","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",4806.5,TRUE
2010,"Belgium","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Certain infectious and parasitic diseases (A00-B99)",59.2,TRUE
2010,"Belgium","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Tuberculosis",0.2,TRUE
2010,"Belgium","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Intestinal infectious diseases except diarrhoea",2.8,TRUE
2010,"Belgium","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98",5235.8,TRUE
2010,"Belgium","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",5234.8,TRUE
2010,"Belgium","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Certain infectious and parasitic diseases (A00-B99)",53.7,TRUE
2010,"Belgium","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Tuberculosis",0,TRUE
2010,"Belgium","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Intestinal infectious diseases except diarrhoea",3.5,TRUE
2010,"Belgium","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98",4360.8,TRUE
2010,"Belgium","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",4359.5,TRUE
2010,"Belgium","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Certain infectious and parasitic diseases (A00-B99)",54.9,TRUE
2010,"Belgium","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Tuberculosis",0.3,TRUE
2010,"Belgium","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Intestinal infectious diseases except diarrhoea",2,TRUE
2010,"Czechia","Total","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98",466.3,FALSE
2010,"Czechia","Total","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",465.5,FALSE
2010,"Czechia","Total","Day cases (total number)","Per hundred thousand inhabitants","Total","Certain infectious and parasitic diseases (A00-B99)",5.7,FALSE
2010,"Czechia","Total","Day cases (total number)","Per hundred thousand inhabitants","Total","Tuberculosis",0,FALSE
2010,"Czechia","Total","Day cases (total number)","Per hundred thousand inhabitants","Total","Intestinal infectious diseases except diarrhoea",0.3,FALSE
2010,"Czechia","Total","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98",310.5,FALSE
2010,"Czechia","Total","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",309.8,FALSE
2010,"Czechia","Total","Day cases (total number)","Per hundred thousand inhabitants","Males","Certain infectious and parasitic diseases (A00-B99)",2.2,FALSE
2010,"Czechia","Total","Day cases (total number)","Per hundred thousand inhabitants","Males","Tuberculosis",0,FALSE
2010,"Czechia","Total","Day cases (total number)","Per hundred thousand inhabitants","Males","Intestinal infectious diseases except diarrhoea",0.2,FALSE
2010,"Czechia","Total","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98",615.8,FALSE
2010,"Czechia","Total","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",614.9,FALSE
2010,"Czechia","Total","Day cases (total number)","Per hundred thousand inhabitants","Females","Certain infectious and parasitic diseases (A00-B99)",9,FALSE
2010,"Czechia","Total","Day cases (total number)","Per hundred thousand inhabitants","Females","Tuberculosis",0,FALSE
2010,"Czechia","Total","Day cases (total number)","Per hundred thousand inhabitants","Females","Intestinal infectious diseases except diarrhoea",0.4,FALSE
2010,"Czechia","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98",522.5,FALSE
2010,"Czechia","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",449.3,FALSE
2010,"Czechia","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Total","Certain infectious and parasitic diseases (A00-B99)",13.5,FALSE
2010,"Czechia","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Total","Tuberculosis",0,FALSE
2010,"Czechia","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Total","Intestinal infectious diseases except diarrhoea",3.4,FALSE
2010,"Czechia","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98",595.2,FALSE
2010,"Czechia","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",531.1,FALSE
2010,"Czechia","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Males","Certain infectious and parasitic diseases (A00-B99)",16.4,FALSE
2010,"Czechia","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Males","Tuberculosis",0,FALSE
2010,"Czechia","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Males","Intestinal infectious diseases except diarrhoea",6.6,FALSE
2010,"Czechia","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98",446.3,FALSE
2010,"Czechia","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",363.6,FALSE
2010,"Czechia","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Females","Certain infectious and parasitic diseases (A00-B99)",10.3,FALSE
2010,"Czechia","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Females","Tuberculosis",0,FALSE
2010,"Czechia","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Females","Intestinal infectious diseases except diarrhoea",0,FALSE
2010,"Czechia","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98",602.1,FALSE
2010,"Czechia","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",602.1,FALSE
2010,"Czechia","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Certain infectious and parasitic diseases (A00-B99)",9.2,FALSE
2010,"Czechia","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Tuberculosis",0,FALSE
2010,"Czechia","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Intestinal infectious diseases except diarrhoea",1.5,FALSE
2010,"Czechia","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98",669.1,FALSE
2010,"Czechia","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",669.1,FALSE
2010,"Czechia","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Certain infectious and parasitic diseases (A00-B99)",9.4,FALSE
2010,"Czechia","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Tuberculosis",0,FALSE
2010,"Czechia","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Intestinal infectious diseases except diarrhoea",1.3,FALSE
2010,"Czechia","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98",531.8,FALSE
2010,"Czechia","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",531.8,FALSE
2010,"Czechia","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Certain infectious and parasitic diseases (A00-B99)",8.9,FALSE
2010,"Czechia","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Tuberculosis",0,FALSE
2010,"Czechia","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Intestinal infectious diseases except diarrhoea",1.8,FALSE
2010,"Czechia","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98",468.4,FALSE
2010,"Czechia","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",468.4,FALSE
2010,"Czechia","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Certain infectious and parasitic diseases (A00-B99)",7.2,FALSE
2010,"Czechia","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Tuberculosis",0,FALSE
2010,"Czechia","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Intestinal infectious diseases except diarrhoea",0.2,FALSE
2010,"Czechia","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98",536.6,FALSE
2010,"Czechia","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",536.6,FALSE
2010,"Czechia","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Certain infectious and parasitic diseases (A00-B99)",4.1,FALSE
2010,"Czechia","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Tuberculosis",0,FALSE
2010,"Czechia","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Intestinal infectious diseases except diarrhoea",0,FALSE
2010,"Czechia","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98",396.1,FALSE
2010,"Czechia","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",396.1,FALSE
2010,"Czechia","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Certain infectious and parasitic diseases (A00-B99)",10.4,FALSE
2010,"Czechia","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Tuberculosis",0,FALSE
2010,"Czechia","From 5 to 9 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Intestinal infectious diseases except diarrhoea",0.4,FALSE
2010,"Czechia","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98",206.7,FALSE
2010,"Czechia","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",206.7,FALSE
2010,"Czechia","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Certain infectious and parasitic diseases (A00-B99)",2.2,FALSE
2010,"Czechia","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Tuberculosis",0.2,FALSE
2010,"Czechia","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Intestinal infectious diseases except diarrhoea",0.2,FALSE
2010,"Czechia","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98",216.4,FALSE
2010,"Czechia","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",216.4,FALSE
2010,"Czechia","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Certain infectious and parasitic diseases (A00-B99)",0,FALSE
2010,"Czechia","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Tuberculosis",0,FALSE
2010,"Czechia","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Intestinal infectious diseases except diarrhoea",0,FALSE
2010,"Czechia","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98",196.4,FALSE
2010,"Czechia","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",196.4,FALSE
2010,"Czechia","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Certain infectious and parasitic diseases (A00-B99)",4.5,FALSE
2010,"Czechia","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Tuberculosis",0.5,FALSE
2010,"Czechia","From 10 to 14 years","Day cases (total number)","Per hundred thousand inhabitants","Females","Intestinal infectious diseases except diarrhoea",0.5,FALSE
2010,"Denmark","Total","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98",5576,FALSE
2010,"Denmark","Total","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",5545.6,FALSE
2010,"Denmark","Total","Day cases (total number)","Per hundred thousand inhabitants","Total","Certain infectious and parasitic diseases (A00-B99)",157.4,FALSE
2010,"Denmark","Total","Day cases (total number)","Per hundred thousand inhabitants","Total","Tuberculosis",1,FALSE
2010,"Denmark","Total","Day cases (total number)","Per hundred thousand inhabitants","Total","Intestinal infectious diseases except diarrhoea",15.6,FALSE
2010,"Denmark","Total","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98",5197.8,FALSE
2010,"Denmark","Total","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",5165.4,FALSE
2010,"Denmark","Total","Day cases (total number)","Per hundred thousand inhabitants","Males","Certain infectious and parasitic diseases (A00-B99)",165.5,FALSE
2010,"Denmark","Total","Day cases (total number)","Per hundred thousand inhabitants","Males","Tuberculosis",1.1,FALSE
2010,"Denmark","Total","Day cases (total number)","Per hundred thousand inhabitants","Males","Intestinal infectious diseases except diarrhoea",16.5,FALSE
2010,"Denmark","Total","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98",5947.7,FALSE
2010,"Denmark","Total","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",5919.2,FALSE
2010,"Denmark","Total","Day cases (total number)","Per hundred thousand inhabitants","Females","Certain infectious and parasitic diseases (A00-B99)",149.4,FALSE
2010,"Denmark","Total","Day cases (total number)","Per hundred thousand inhabitants","Females","Tuberculosis",0.8,FALSE
2010,"Denmark","Total","Day cases (total number)","Per hundred thousand inhabitants","Females","Intestinal infectious diseases except diarrhoea",14.7,FALSE
2010,"Denmark","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98",23858.1,FALSE
2010,"Denmark","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",21376.2,FALSE
2010,"Denmark","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Total","Certain infectious and parasitic diseases (A00-B99)",2715.2,FALSE
2010,"Denmark","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Total","Tuberculosis",0,FALSE
2010,"Denmark","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Total","Intestinal infectious diseases except diarrhoea",275.8,FALSE
2010,"Denmark","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98",26712.6,FALSE
2010,"Denmark","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",24118.2,FALSE
2010,"Denmark","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Males","Certain infectious and parasitic diseases (A00-B99)",2932.5,FALSE
2010,"Denmark","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Males","Tuberculosis",0,FALSE
2010,"Denmark","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Males","Intestinal infectious diseases except diarrhoea",322.8,FALSE
2010,"Denmark","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98",20855.6,FALSE
2010,"Denmark","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",18491.9,FALSE
2010,"Denmark","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Females","Certain infectious and parasitic diseases (A00-B99)",2486.5,FALSE
2010,"Denmark","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Females","Tuberculosis",0,FALSE
2010,"Denmark","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Females","Intestinal infectious diseases except diarrhoea",226.3,FALSE
2010,"Denmark","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98",9159,FALSE
2010,"Denmark","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",9158.6,FALSE
2010,"Denmark","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Certain infectious and parasitic diseases (A00-B99)",1025.5,FALSE
2010,"Denmark","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Tuberculosis",7.6,FALSE
2010,"Denmark","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Total","Intestinal infectious diseases except diarrhoea",142.2,FALSE
2010,"Denmark","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98",10258.8,FALSE
2010,"Denmark","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",10258.1,FALSE
2010,"Denmark","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Certain infectious and parasitic diseases (A00-B99)",1092.2,FALSE
2010,"Denmark","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Tuberculosis",7.4,FALSE
2010,"Denmark","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Males","Intestinal infectious diseases except diarrhoea",150.1,FALSE
2010,"Denmark","From 1 to 4 years","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98",7999.9,FALSE
