"TIME","GEO","ICHA_HC","INDIC_HE","UNIT","Value","Value_imp"
2010,"Spain","In-patient care","Discharges","Number",5227249,FALSE
2010,"Spain","In-patient care","In-patient average length of stay (in days)","Number",7.89,FALSE
2010,"Spain","In-patient care","Bed-days","Number",5227249,TRUE
2010,"France","Services of curative care","Discharges","Number",10429386,FALSE
2010,"France","Services of curative care","In-patient average length of stay (in days)","Number",5.82,FALSE
2010,"France","Services of curative care","Bed-days","Number",60650081,FALSE
2010,"France","In-patient care","Discharges","Number",12053560,FALSE
2010,"France","In-patient care","In-patient average length of stay (in days)","Number",10.2,FALSE
2010,"France","In-patient care","Bed-days","Number",12053560,TRUE
2010,"Croatia","Services of curative care","Discharges","Number",666527,FALSE
2010,"Croatia","Services of curative care","In-patient average length of stay (in days)","Number",7.16,FALSE
2010,"Croatia","Services of curative care","Bed-days","Number",4772692,FALSE
2010,"Croatia","In-patient care","Discharges","Number",740553,FALSE
2010,"Croatia","In-patient care","In-patient average length of stay (in days)","Number",9.47,FALSE
2010,"Croatia","In-patient care","Bed-days","Number",740553,TRUE
2010,"Italy","Services of curative care","Discharges","Number",7374878,FALSE
2010,"Italy","Services of curative care","In-patient average length of stay (in days)","Number",6.74,FALSE
2010,"Italy","Services of curative care","Bed-days","Number",49672827,FALSE
2010,"Italy","In-patient care","Discharges","Number",8192318,FALSE
2010,"Italy","In-patient care","In-patient average length of stay (in days)","Number",7.64,FALSE
2010,"Italy","In-patient care","Bed-days","Number",8192318,TRUE
2010,"Cyprus","Services of curative care","Discharges","Number",75980,FALSE
2010,"Cyprus","Services of curative care","In-patient average length of stay (in days)","Number",5.4,FALSE
2010,"Cyprus","Services of curative care","Bed-days","Number",387279,TRUE
2010,"Cyprus","In-patient care","Discharges","Number",76411,FALSE
2010,"Cyprus","In-patient care","In-patient average length of stay (in days)","Number",6.1,TRUE
2010,"Cyprus","In-patient care","Bed-days","Number",77195,TRUE
2010,"Latvia","Services of curative care","Discharges","Number",313636,FALSE
2010,"Latvia","Services of curative care","In-patient average length of stay (in days)","Number",6.15,FALSE
2010,"Latvia","Services of curative care","Bed-days","Number",1928669,FALSE
2010,"Latvia","In-patient care","Discharges","Number",380449,FALSE
2010,"Latvia","In-patient care","In-patient average length of stay (in days)","Number",8.54,FALSE
2010,"Latvia","In-patient care","Bed-days","Number",380449,TRUE
2010,"Lithuania","Services of curative care","Discharges","Number",698604,FALSE
2010,"Lithuania","Services of curative care","In-patient average length of stay (in days)","Number",7.11,FALSE
2010,"Lithuania","Services of curative care","Bed-days","Number",4967058,FALSE
2010,"Lithuania","In-patient care","Discharges","Number",721052,FALSE
2010,"Lithuania","In-patient care","In-patient average length of stay (in days)","Number",8.04,FALSE
2010,"Lithuania","In-patient care","Bed-days","Number",721052,TRUE
2010,"Luxembourg","Services of curative care","Discharges","Number",76879,FALSE
2010,"Luxembourg","Services of curative care","In-patient average length of stay (in days)","Number",7.55,FALSE
2010,"Luxembourg","Services of curative care","Bed-days","Number",580732,FALSE
2010,"Luxembourg","In-patient care","Discharges","Number",78968,FALSE
2010,"Luxembourg","In-patient care","In-patient average length of stay (in days)","Number",9.05,FALSE
2010,"Luxembourg","In-patient care","Bed-days","Number",78968,TRUE
2010,"Hungary","Services of curative care","Discharges","Number",1785529,FALSE
2010,"Hungary","Services of curative care","In-patient average length of stay (in days)","Number",5.84,FALSE
2010,"Hungary","Services of curative care","Bed-days","Number",10435174,FALSE
2010,"Hungary","In-patient care","Discharges","Number",2064888,FALSE
2010,"Hungary","In-patient care","In-patient average length of stay (in days)","Number",9.51,FALSE
2010,"Hungary","In-patient care","Bed-days","Number",2064888,TRUE
2010,"Malta","Services of curative care","Discharges","Number",52413,FALSE
2010,"Malta","Services of curative care","In-patient average length of stay (in days)","Number",5,FALSE
2010,"Malta","Services of curative care","Bed-days","Number",261674,FALSE
2010,"Malta","In-patient care","Discharges","Number",54843,FALSE
2010,"Malta","In-patient care","In-patient average length of stay (in days)","Number",6.8,FALSE
2010,"Malta","In-patient care","Bed-days","Number",54843,TRUE
2010,"Netherlands","Services of curative care","Discharges","Number",1914000,FALSE
2010,"Netherlands","Services of curative care","In-patient average length of stay (in days)","Number",5.6,FALSE
2010,"Netherlands","Services of curative care","Bed-days","Number",8515399,TRUE
2010,"Netherlands","In-patient care","Discharges","Number",1935000,FALSE
2010,"Netherlands","In-patient care","In-patient average length of stay (in days)","Number",8.11,TRUE
2010,"Netherlands","In-patient care","Bed-days","Number",8515399,TRUE
2010,"Austria","Services of curative care","Discharges","Number",2189708,FALSE
2010,"Austria","Services of curative care","In-patient average length of stay (in days)","Number",6.61,FALSE
2010,"Austria","Services of curative care","Bed-days","Number",14474030,FALSE
2010,"Austria","In-patient care","Discharges","Number",2311392,FALSE
2010,"Austria","In-patient care","In-patient average length of stay (in days)","Number",7.94,FALSE
2010,"Austria","In-patient care","Bed-days","Number",2311392,TRUE
2010,"Poland","Services of curative care","Discharges","Number",6028753,FALSE
2010,"Poland","Services of curative care","In-patient average length of stay (in days)","Number",7.3,FALSE
2010,"Poland","Services of curative care","Bed-days","Number",43841061,FALSE
2010,"Poland","In-patient care","Discharges","Number",6152078,FALSE
2010,"Poland","In-patient care","In-patient average length of stay (in days)","Number",7.6,FALSE
2010,"Poland","In-patient care","Bed-days","Number",6152078,TRUE
2010,"Portugal","Services of curative care","Discharges","Number",1169935,FALSE
2010,"Portugal","Services of curative care","In-patient average length of stay (in days)","Number",8.58,FALSE
2010,"Portugal","Services of curative care","Bed-days","Number",10041907,FALSE
2010,"Portugal","In-patient care","Discharges","Number",1173701,FALSE
2010,"Portugal","In-patient care","In-patient average length of stay (in days)","Number",8.7,FALSE
2010,"Portugal","In-patient care","Bed-days","Number",1173701,TRUE
2010,"Romania","Services of curative care","Discharges","Number",4704506,FALSE
2010,"Romania","Services of curative care","In-patient average length of stay (in days)","Number",6.48,FALSE
2010,"Romania","Services of curative care","Bed-days","Number",30507525,FALSE
2010,"Romania","In-patient care","Discharges","Number",5048421,FALSE
2010,"Romania","In-patient care","In-patient average length of stay (in days)","Number",7.44,FALSE
2010,"Romania","In-patient care","Bed-days","Number",5048421,TRUE
2010,"Slovenia","Services of curative care","Discharges","Number",348424,FALSE
2010,"Slovenia","Services of curative care","In-patient average length of stay (in days)","Number",5.45,FALSE
2010,"Slovenia","Services of curative care","Bed-days","Number",2311144,TRUE
2010,"Slovenia","In-patient care","Discharges","Number",363505,FALSE
2010,"Slovenia","In-patient care","In-patient average length of stay (in days)","Number",6.7,FALSE
2010,"Slovenia","In-patient care","Bed-days","Number",363505,TRUE
2010,"Slovakia","Services of curative care","Discharges","Number",914292,FALSE
2010,"Slovakia","Services of curative care","In-patient average length of stay (in days)","Number",6.6,FALSE
2010,"Slovakia","Services of curative care","Bed-days","Number",5919961,FALSE
2010,"Slovakia","In-patient care","Discharges","Number",1010759,FALSE
2010,"Slovakia","In-patient care","In-patient average length of stay (in days)","Number",8.2,FALSE
2010,"Slovakia","In-patient care","Bed-days","Number",1010759,TRUE
2010,"Finland","Services of curative care","Discharges","Number",925431,FALSE
2010,"Finland","Services of curative care","In-patient average length of stay (in days)","Number",7,FALSE
2010,"Finland","Services of curative care","Bed-days","Number",6506901,FALSE
2010,"Finland","In-patient care","Discharges","Number",953377,FALSE
2010,"Finland","In-patient care","In-patient average length of stay (in days)","Number",11.8,FALSE
2010,"Finland","In-patient care","Bed-days","Number",953377,TRUE
2010,"Sweden","Services of curative care","Discharges","Number",1475726,FALSE
2010,"Sweden","Services of curative care","In-patient average length of stay (in days)","Number",5.78,FALSE
2010,"Sweden","Services of curative care","Bed-days","Number",13074737,TRUE
2010,"Sweden","In-patient care","Discharges","Number",1522647,FALSE
2010,"Sweden","In-patient care","In-patient average length of stay (in days)","Number",6.04,FALSE
2010,"Sweden","In-patient care","Bed-days","Number",1522647,TRUE
2010,"Iceland","Services of curative care","Discharges","Number",42572,FALSE
2010,"Iceland","Services of curative care","In-patient average length of stay (in days)","Number",5.36,FALSE
2010,"Iceland","Services of curative care","Bed-days","Number",228171,FALSE
2010,"Iceland","In-patient care","Discharges","Number",43210,FALSE
2010,"Iceland","In-patient care","In-patient average length of stay (in days)","Number",5.58,FALSE
2010,"Iceland","In-patient care","Bed-days","Number",43210,TRUE
2010,"Liechtenstein","Services of curative care","Discharges","Number",2473,FALSE
2010,"Liechtenstein","Services of curative care","In-patient average length of stay (in days)","Number",6.06,FALSE
2010,"Liechtenstein","Services of curative care","Bed-days","Number",14985,FALSE
2010,"Liechtenstein","In-patient care","Discharges","Number",2506,FALSE
2010,"Liechtenstein","In-patient care","In-patient average length of stay (in days)","Number",6.48,FALSE
2010,"Liechtenstein","In-patient care","Bed-days","Number",2506,TRUE
2010,"Norway","Services of curative care","Discharges","Number",924873,FALSE
2010,"Norway","Services of curative care","In-patient average length of stay (in days)","Number",6.3,FALSE
2010,"Norway","Services of curative care","Bed-days","Number",13074737,TRUE
2010,"Norway","In-patient care","Discharges","Number",962390,FALSE
2010,"Norway","In-patient care","In-patient average length of stay (in days)","Number",6.8,FALSE
2010,"Norway","In-patient care","Bed-days","Number",962390,TRUE
2010,"Switzerland","Services of curative care","Discharges","Number",1233774,FALSE
2010,"Switzerland","Services of curative care","In-patient average length of stay (in days)","Number",7.85,FALSE
2010,"Switzerland","Services of curative care","Bed-days","Number",9684640,FALSE
2010,"Switzerland","In-patient care","Discharges","Number",1323362,FALSE
2010,"Switzerland","In-patient care","In-patient average length of stay (in days)","Number",8.96,FALSE
2010,"Switzerland","In-patient care","Bed-days","Number",1323362,TRUE
2010,"United Kingdom","Services of curative care","Discharges","Number",8062870.53,FALSE
2010,"United Kingdom","Services of curative care","In-patient average length of stay (in days)","Number",6.06,FALSE
2010,"United Kingdom","Services of curative care","Bed-days","Number",48421552.63,TRUE
2010,"United Kingdom","In-patient care","Discharges","Number",8514966,FALSE
2010,"United Kingdom","In-patient care","In-patient average length of stay (in days)","Number",7.74,FALSE
2010,"United Kingdom","In-patient care","Bed-days","Number",8487740,TRUE
2010,"Montenegro","Services of curative care","Discharges","Number",1788715,TRUE
2010,"Montenegro","Services of curative care","In-patient average length of stay (in days)","Number",7.2,TRUE
2010,"Montenegro","Services of curative care","Bed-days","Number",12801044,TRUE
2010,"Montenegro","In-patient care","Discharges","Number",73377,FALSE
2010,"Montenegro","In-patient care","In-patient average length of stay (in days)","Number",8.1,FALSE
2010,"Montenegro","In-patient care","Bed-days","Number",73377,TRUE
2010,"North Macedonia","Services of curative care","Discharges","Number",196447,FALSE
2010,"North Macedonia","Services of curative care","In-patient average length of stay (in days)","Number",6.22,FALSE
2010,"North Macedonia","Services of curative care","Bed-days","Number",13074737,TRUE
2010,"North Macedonia","In-patient care","Discharges","Number",79531551,TRUE
2010,"North Macedonia","In-patient care","In-patient average length of stay (in days)","Number",8.11,TRUE
2010,"North Macedonia","In-patient care","Bed-days","Number",79531551,TRUE
2010,"Albania","Services of curative care","Discharges","Number",1991481,TRUE
2010,"Albania","Services of curative care","In-patient average length of stay (in days)","Number",7.2,TRUE
2010,"Albania","Services of curative care","Bed-days","Number",13074737,TRUE
2010,"Albania","In-patient care","Discharges","Number",255024,FALSE
2010,"Albania","In-patient care","In-patient average length of stay (in days)","Number",5.8,FALSE
2010,"Albania","In-patient care","Bed-days","Number",239049,TRUE
2010,"Serbia","Services of curative care","Discharges","Number",1037830,FALSE
2010,"Serbia","Services of curative care","In-patient average length of stay (in days)","Number",8.2,FALSE
2010,"Serbia","Services of curative care","Bed-days","Number",8521379,FALSE
2010,"Serbia","In-patient care","Discharges","Number",1154930,FALSE
2010,"Serbia","In-patient care","In-patient average length of stay (in days)","Number",9,FALSE
2010,"Serbia","In-patient care","Bed-days","Number",1154930,TRUE
2010,"Turkey","Services of curative care","Discharges","Number",10499918,FALSE
2010,"Turkey","Services of curative care","In-patient average length of stay (in days)","Number",4.04,FALSE
2010,"Turkey","Services of curative care","Bed-days","Number",42408423,FALSE
2010,"Turkey","In-patient care","Discharges","Number",10528173,FALSE
2010,"Turkey","In-patient care","In-patient average length of stay (in days)","Number",4.08,FALSE
2010,"Turkey","In-patient care","Bed-days","Number",10528173,TRUE
2011,"European Union - 27 countries (from 2020)","Services of curative care","Discharges","Number",1950051,TRUE
2011,"European Union - 27 countries (from 2020)","Services of curative care","In-patient average length of stay (in days)","Number",7.1,TRUE
2011,"European Union - 27 countries (from 2020)","Services of curative care","Bed-days","Number",12752281,TRUE
2011,"European Union - 27 countries (from 2020)","In-patient care","Discharges","Number",79101698,FALSE
2011,"European Union - 27 countries (from 2020)","In-patient care","In-patient average length of stay (in days)","Number",8.02,TRUE
2011,"European Union - 27 countries (from 2020)","In-patient care","Bed-days","Number",79101698,TRUE
2011,"European Union - 28 countries (2013-2020)","Services of curative care","Discharges","Number",1950051,TRUE
2011,"European Union - 28 countries (2013-2020)","Services of curative care","In-patient average length of stay (in days)","Number",7.1,TRUE
2011,"European Union - 28 countries (2013-2020)","Services of curative care","Bed-days","Number",12752281,TRUE
2011,"European Union - 28 countries (2013-2020)","In-patient care","Discharges","Number",87589438,FALSE
2011,"European Union - 28 countries (2013-2020)","In-patient care","In-patient average length of stay (in days)","Number",8.02,TRUE
2011,"European Union - 28 countries (2013-2020)","In-patient care","Bed-days","Number",87611555,TRUE
2011,"Belgium","Services of curative care","Discharges","Number",1804812,FALSE
2011,"Belgium","Services of curative care","In-patient average length of stay (in days)","Number",7.1,FALSE
2011,"Belgium","Services of curative care","Bed-days","Number",12752281,FALSE
2011,"Belgium","In-patient care","Discharges","Number",1832140,FALSE
2011,"Belgium","In-patient care","In-patient average length of stay (in days)","Number",8.02,FALSE
2011,"Belgium","In-patient care","Bed-days","Number",1832140,TRUE
2011,"Bulgaria","Services of curative care","Discharges","Number",1961448,TRUE
2011,"Bulgaria","Services of curative care","In-patient average length of stay (in days)","Number",6.4,TRUE
2011,"Bulgaria","Services of curative care","Bed-days","Number",12752281,TRUE
2011,"Bulgaria","In-patient care","Discharges","Number",1961448,FALSE
2011,"Bulgaria","In-patient care","In-patient average length of stay (in days)","Number",6,FALSE
2011,"Bulgaria","In-patient care","Bed-days","Number",1961448,TRUE
2011,"Czechia","Services of curative care","Discharges","Number",1950051,FALSE
2011,"Czechia","Services of curative care","In-patient average length of stay (in days)","Number",6.4,FALSE
2011,"Czechia","Services of curative care","Bed-days","Number",12483768,FALSE
2011,"Czechia","In-patient care","Discharges","Number",2119827,FALSE
2011,"Czechia","In-patient care","In-patient average length of stay (in days)","Number",9.8,FALSE
2011,"Czechia","In-patient care","Bed-days","Number",2119827,TRUE
2011,"Denmark","Services of curative care","Discharges","Number",1804812,TRUE
2011,"Denmark","Services of curative care","In-patient average length of stay (in days)","Number",6.4,TRUE
2011,"Denmark","Services of curative care","Bed-days","Number",12752281,TRUE
2011,"Denmark","In-patient care","Discharges","Number",872386,FALSE
2011,"Denmark","In-patient care","In-patient average length of stay (in days)","Number",5.8,FALSE
2011,"Denmark","In-patient care","Bed-days","Number",858080,TRUE
2011,"Germany (until 1990 former territory of the FRG)","Services of curative care","Discharges","Number",18257267,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Services of curative care","In-patient average length of stay (in days)","Number",7.9,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Services of curative care","Bed-days","Number",144781700,FALSE
2011,"Germany (until 1990 former territory of the FRG)","In-patient care","Discharges","Number",19868738,FALSE
2011,"Germany (until 1990 former territory of the FRG)","In-patient care","In-patient average length of stay (in days)","Number",9.3,FALSE
2011,"Germany (until 1990 former territory of the FRG)","In-patient care","Bed-days","Number",19868738,TRUE
2011,"Estonia","Services of curative care","Discharges","Number",211815,FALSE
2011,"Estonia","Services of curative care","In-patient average length of stay (in days)","Number",5.5,FALSE
2011,"Estonia","Services of curative care","Bed-days","Number",1171081,FALSE
2011,"Estonia","In-patient care","Discharges","Number",241616,FALSE
2011,"Estonia","In-patient care","In-patient average length of stay (in days)","Number",7.7,FALSE
2011,"Estonia","In-patient care","Bed-days","Number",241616,TRUE
2011,"Ireland","Services of curative care","Discharges","Number",587074,FALSE
2011,"Ireland","Services of curative care","In-patient average length of stay (in days)","Number",5.9,FALSE
2011,"Ireland","Services of curative care","Bed-days","Number",3468624,FALSE
2011,"Ireland","In-patient care","Discharges","Number",601733,FALSE
2011,"Ireland","In-patient care","In-patient average length of stay (in days)","Number",6.4,FALSE
2011,"Ireland","In-patient care","Bed-days","Number",601733,TRUE
2011,"Greece","Services of curative care","Discharges","Number",2177730,FALSE
2011,"Greece","Services of curative care","In-patient average length of stay (in days)","Number",5.4,FALSE
2011,"Greece","Services of curative care","Bed-days","Number",12752281,TRUE
2011,"Greece","In-patient care","Discharges","Number",2199062,FALSE
2011,"Greece","In-patient care","In-patient average length of stay (in days)","Number",6.8,FALSE
2011,"Greece","In-patient care","Bed-days","Number",2169864,TRUE
2011,"Spain","Services of curative care","Discharges","Number",5148503,FALSE
2011,"Spain","Services of curative care","In-patient average length of stay (in days)","Number",6.23,FALSE
2011,"Spain","Services of curative care","Bed-days","Number",32084295,FALSE
2011,"Spain","In-patient care","Discharges","Number",5181555,FALSE
2011,"Spain","In-patient care","In-patient average length of stay (in days)","Number",7.71,FALSE
2011,"Spain","In-patient care","Bed-days","Number",5181555,TRUE
2011,"France","Services of curative care","Discharges","Number",10453136,FALSE
2011,"France","Services of curative care","In-patient average length of stay (in days)","Number",5.75,FALSE
2011,"France","Services of curative care","Bed-days","Number",60072685,FALSE
2011,"France","In-patient care","Discharges","Number",12091541,FALSE
2011,"France","In-patient care","In-patient average length of stay (in days)","Number",10.1,FALSE
2011,"France","In-patient care","Bed-days","Number",12091541,TRUE
2011,"Croatia","Services of curative care","Discharges","Number",669249,FALSE
2011,"Croatia","Services of curative care","In-patient average length of stay (in days)","Number",7.1,FALSE
2011,"Croatia","Services of curative care","Bed-days","Number",4750756,FALSE
2011,"Croatia","In-patient care","Discharges","Number",744518,FALSE
2011,"Croatia","In-patient care","In-patient average length of stay (in days)","Number",9.29,FALSE
2011,"Croatia","In-patient care","Bed-days","Number",744518,TRUE
2011,"Italy","Services of curative care","Discharges","Number",7046625,FALSE
2011,"Italy","Services of curative care","In-patient average length of stay (in days)","Number",6.81,FALSE
2011,"Italy","Services of curative care","Bed-days","Number",47987909,FALSE
2011,"Italy","In-patient care","Discharges","Number",7860783,FALSE
2011,"Italy","In-patient care","In-patient average length of stay (in days)","Number",7.72,FALSE
2011,"Italy","In-patient care","Bed-days","Number",7860783,TRUE
2011,"Cyprus","Services of curative care","Discharges","Number",76756,FALSE
2011,"Cyprus","Services of curative care","In-patient average length of stay (in days)","Number",5.3,FALSE
2011,"Cyprus","Services of curative care","Bed-days","Number",387279,TRUE
2011,"Cyprus","In-patient care","Discharges","Number",77195,FALSE
2011,"Cyprus","In-patient care","In-patient average length of stay (in days)","Number",6.1,TRUE
2011,"Cyprus","In-patient care","Bed-days","Number",77195,TRUE
2011,"Latvia","Services of curative care","Discharges","Number",317288,FALSE
2011,"Latvia","Services of curative care","In-patient average length of stay (in days)","Number",5.97,FALSE
2011,"Latvia","Services of curative care","Bed-days","Number",1893909,FALSE
2011,"Latvia","In-patient care","Discharges","Number",391770,FALSE
2011,"Latvia","In-patient care","In-patient average length of stay (in days)","Number",8.44,FALSE
2011,"Latvia","In-patient care","Bed-days","Number",391770,TRUE
2011,"Lithuania","Services of curative care","Discharges","Number",703756,FALSE
2011,"Lithuania","Services of curative care","In-patient average length of stay (in days)","Number",6.99,FALSE
2011,"Lithuania","Services of curative care","Bed-days","Number",4917006,FALSE
2011,"Lithuania","In-patient care","Discharges","Number",721728,FALSE
2011,"Lithuania","In-patient care","In-patient average length of stay (in days)","Number",7.84,FALSE
2011,"Lithuania","In-patient care","Bed-days","Number",721728,TRUE
2011,"Luxembourg","Services of curative care","Discharges","Number",79136,FALSE
2011,"Luxembourg","Services of curative care","In-patient average length of stay (in days)","Number",7.28,FALSE
2011,"Luxembourg","Services of curative care","Bed-days","Number",575849,FALSE
2011,"Luxembourg","In-patient care","Discharges","Number",81221,FALSE
2011,"Luxembourg","In-patient care","In-patient average length of stay (in days)","Number",8.75,FALSE
2011,"Luxembourg","In-patient care","Bed-days","Number",81221,TRUE
2011,"Hungary","Services of curative care","Discharges","Number",1784638,FALSE
2011,"Hungary","Services of curative care","In-patient average length of stay (in days)","Number",5.78,FALSE
2011,"Hungary","Services of curative care","Bed-days","Number",10321905,FALSE
2011,"Hungary","In-patient care","Discharges","Number",2060110,FALSE
2011,"Hungary","In-patient care","In-patient average length of stay (in days)","Number",9.49,FALSE
2011,"Hungary","In-patient care","Bed-days","Number",2060110,TRUE
2011,"Malta","Services of curative care","Discharges","Number",57957,FALSE
2011,"Malta","Services of curative care","In-patient average length of stay (in days)","Number",5.27,FALSE
2011,"Malta","Services of curative care","Bed-days","Number",305456,FALSE
2011,"Malta","In-patient care","Discharges","Number",60588,FALSE
2011,"Malta","In-patient care","In-patient average length of stay (in days)","Number",7.57,FALSE
2011,"Malta","In-patient care","Bed-days","Number",60588,TRUE
2011,"Netherlands","Services of curative care","Discharges","Number",1729144,TRUE
2011,"Netherlands","Services of curative care","In-patient average length of stay (in days)","Number",6.5,FALSE
2011,"Netherlands","Services of curative care","Bed-days","Number",8515399,TRUE
2011,"Netherlands","In-patient care","Discharges","Number",79101698,TRUE
2011,"Netherlands","In-patient care","In-patient average length of stay (in days)","Number",8.02,TRUE
2011,"Netherlands","In-patient care","Bed-days","Number",8515399,TRUE
2011,"Austria","Services of curative care","Discharges","Number",2176231,FALSE
2011,"Austria","Services of curative care","In-patient average length of stay (in days)","Number",6.55,FALSE
2011,"Austria","Services of curative care","Bed-days","Number",14253594,FALSE
2011,"Austria","In-patient care","Discharges","Number",2302892,FALSE
2011,"Austria","In-patient care","In-patient average length of stay (in days)","Number",7.8,FALSE
2011,"Austria","In-patient care","Bed-days","Number",2302892,TRUE
2011,"Poland","Services of curative care","Discharges","Number",6110759,FALSE
2011,"Poland","Services of curative care","In-patient average length of stay (in days)","Number",7.1,FALSE
2011,"Poland","Services of curative care","Bed-days","Number",43485761,FALSE
2011,"Poland","In-patient care","Discharges","Number",6221629,FALSE
2011,"Poland","In-patient care","In-patient average length of stay (in days)","Number",7.4,FALSE
2011,"Poland","In-patient care","Bed-days","Number",6221629,TRUE
2011,"Portugal","Services of curative care","Discharges","Number",1142719,FALSE
2011,"Portugal","Services of curative care","In-patient average length of stay (in days)","Number",8.75,FALSE
2011,"Portugal","Services of curative care","Bed-days","Number",9999022,FALSE
2011,"Portugal","In-patient care","Discharges","Number",1177431,FALSE
2011,"Portugal","In-patient care","In-patient average length of stay (in days)","Number",8.7,FALSE
2011,"Portugal","In-patient care","Bed-days","Number",1177431,TRUE
