"TIME","GEO","UNIT","SOURCE","ICD10","Value","Value_imp"
2010,"Montenegro","Percentage","Programme data","Malignant neoplasm of breast",49.5,TRUE
2010,"Montenegro","Percentage","Programme data","Malignant neoplasm of cervix uteri",63.39,TRUE
2010,"North Macedonia","Percentage","Survey data","Malignant neoplasm of breast",75.4,TRUE
2010,"North Macedonia","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"North Macedonia","Percentage","Programme data","Malignant neoplasm of breast",61.8,TRUE
2010,"North Macedonia","Percentage","Programme data","Malignant neoplasm of cervix uteri",14.6,TRUE
2010,"Serbia","Percentage","Survey data","Malignant neoplasm of breast",70,TRUE
2010,"Serbia","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Serbia","Percentage","Programme data","Malignant neoplasm of breast",7.6,TRUE
2010,"Serbia","Percentage","Programme data","Malignant neoplasm of cervix uteri",6,TRUE
2010,"Turkey","Percentage","Survey data","Malignant neoplasm of breast",28.1,TRUE
2010,"Turkey","Percentage","Survey data","Malignant neoplasm of cervix uteri",26.3,TRUE
2010,"Turkey","Percentage","Programme data","Malignant neoplasm of breast",30.82,TRUE
2010,"Turkey","Percentage","Programme data","Malignant neoplasm of cervix uteri",36.79,FALSE
2011,"Belgium","Percentage","Survey data","Malignant neoplasm of breast",67.3,TRUE
2011,"Belgium","Percentage","Survey data","Malignant neoplasm of cervix uteri",68.1,TRUE
2011,"Belgium","Percentage","Programme data","Malignant neoplasm of breast",62.7,FALSE
2011,"Belgium","Percentage","Programme data","Malignant neoplasm of cervix uteri",61.6,FALSE
2011,"Bulgaria","Percentage","Survey data","Malignant neoplasm of breast",70.1,TRUE
2011,"Bulgaria","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Bulgaria","Percentage","Programme data","Malignant neoplasm of breast",20.55,TRUE
2011,"Bulgaria","Percentage","Programme data","Malignant neoplasm of cervix uteri",13.35,TRUE
2011,"Czechia","Percentage","Survey data","Malignant neoplasm of breast",76.7,TRUE
2011,"Czechia","Percentage","Survey data","Malignant neoplasm of cervix uteri",76.9,TRUE
2011,"Czechia","Percentage","Programme data","Malignant neoplasm of breast",52.7,FALSE
2011,"Czechia","Percentage","Programme data","Malignant neoplasm of cervix uteri",74.72,TRUE
2011,"Denmark","Percentage","Survey data","Malignant neoplasm of breast",75,TRUE
2011,"Denmark","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Denmark","Percentage","Programme data","Malignant neoplasm of breast",83,TRUE
2011,"Denmark","Percentage","Programme data","Malignant neoplasm of cervix uteri",65.6,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Percentage","Survey data","Malignant neoplasm of breast",71.3,TRUE
2011,"Germany (until 1990 former territory of the FRG)","Percentage","Survey data","Malignant neoplasm of cervix uteri",76.9,TRUE
2011,"Germany (until 1990 former territory of the FRG)","Percentage","Programme data","Malignant neoplasm of breast",55.9,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Percentage","Programme data","Malignant neoplasm of cervix uteri",61.6,TRUE
2011,"Estonia","Percentage","Survey data","Malignant neoplasm of breast",51,TRUE
2011,"Estonia","Percentage","Survey data","Malignant neoplasm of cervix uteri",57.7,TRUE
2011,"Estonia","Percentage","Programme data","Malignant neoplasm of breast",51,FALSE
2011,"Estonia","Percentage","Programme data","Malignant neoplasm of cervix uteri",53,FALSE
2011,"Ireland","Percentage","Survey data","Malignant neoplasm of breast",74.9,TRUE
2011,"Ireland","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Ireland","Percentage","Programme data","Malignant neoplasm of breast",74.5,FALSE
2011,"Ireland","Percentage","Programme data","Malignant neoplasm of cervix uteri",60.9,FALSE
2011,"Greece","Percentage","Survey data","Malignant neoplasm of breast",70.1,TRUE
2011,"Greece","Percentage","Survey data","Malignant neoplasm of cervix uteri",75.52,TRUE
2011,"Greece","Percentage","Programme data","Malignant neoplasm of breast",55.9,TRUE
2011,"Greece","Percentage","Programme data","Malignant neoplasm of cervix uteri",61.6,TRUE
2011,"Spain","Percentage","Survey data","Malignant neoplasm of breast",77.1,FALSE
2011,"Spain","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,FALSE
2011,"Spain","Percentage","Programme data","Malignant neoplasm of breast",55.9,TRUE
2011,"Spain","Percentage","Programme data","Malignant neoplasm of cervix uteri",61.6,TRUE
2011,"France","Percentage","Survey data","Malignant neoplasm of breast",75.4,TRUE
2011,"France","Percentage","Survey data","Malignant neoplasm of cervix uteri",73.59,TRUE
2011,"France","Percentage","Programme data","Malignant neoplasm of breast",53.5,FALSE
2011,"France","Percentage","Programme data","Malignant neoplasm of cervix uteri",59,TRUE
2011,"Croatia","Percentage","Survey data","Malignant neoplasm of breast",67.4,TRUE
2011,"Croatia","Percentage","Survey data","Malignant neoplasm of cervix uteri",76.9,TRUE
2011,"Croatia","Percentage","Programme data","Malignant neoplasm of breast",57,FALSE
2011,"Croatia","Percentage","Programme data","Malignant neoplasm of cervix uteri",61.6,TRUE
2011,"Italy","Percentage","Survey data","Malignant neoplasm of breast",70.1,FALSE
2011,"Italy","Percentage","Survey data","Malignant neoplasm of cervix uteri",76.9,FALSE
2011,"Italy","Percentage","Programme data","Malignant neoplasm of breast",59.6,FALSE
2011,"Italy","Percentage","Programme data","Malignant neoplasm of cervix uteri",41.2,FALSE
2011,"Cyprus","Percentage","Survey data","Malignant neoplasm of breast",70.1,TRUE
2011,"Cyprus","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Cyprus","Percentage","Programme data","Malignant neoplasm of breast",31.28,FALSE
2011,"Cyprus","Percentage","Programme data","Malignant neoplasm of cervix uteri",61.6,TRUE
2011,"Latvia","Percentage","Survey data","Malignant neoplasm of breast",70.1,TRUE
2011,"Latvia","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Latvia","Percentage","Programme data","Malignant neoplasm of breast",33.8,FALSE
2011,"Latvia","Percentage","Programme data","Malignant neoplasm of cervix uteri",34.5,FALSE
2011,"Lithuania","Percentage","Survey data","Malignant neoplasm of breast",70.1,TRUE
2011,"Lithuania","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Lithuania","Percentage","Programme data","Malignant neoplasm of breast",32.6,FALSE
2011,"Lithuania","Percentage","Programme data","Malignant neoplasm of cervix uteri",42.7,FALSE
2011,"Luxembourg","Percentage","Survey data","Malignant neoplasm of breast",77.1,TRUE
2011,"Luxembourg","Percentage","Survey data","Malignant neoplasm of cervix uteri",76.9,TRUE
2011,"Luxembourg","Percentage","Programme data","Malignant neoplasm of breast",55.9,FALSE
2011,"Luxembourg","Percentage","Programme data","Malignant neoplasm of cervix uteri",67.75,TRUE
2011,"Hungary","Percentage","Survey data","Malignant neoplasm of breast",70.1,TRUE
2011,"Hungary","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Hungary","Percentage","Programme data","Malignant neoplasm of breast",46.06,FALSE
2011,"Hungary","Percentage","Programme data","Malignant neoplasm of cervix uteri",38.33,FALSE
2011,"Malta","Percentage","Survey data","Malignant neoplasm of breast",70.1,TRUE
2011,"Malta","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Malta","Percentage","Programme data","Malignant neoplasm of breast",50.9,FALSE
2011,"Malta","Percentage","Programme data","Malignant neoplasm of cervix uteri",24,TRUE
2011,"Netherlands","Percentage","Survey data","Malignant neoplasm of breast",85.6,FALSE
2011,"Netherlands","Percentage","Survey data","Malignant neoplasm of cervix uteri",64.8,FALSE
2011,"Netherlands","Percentage","Programme data","Malignant neoplasm of breast",80.8,FALSE
2011,"Netherlands","Percentage","Programme data","Malignant neoplasm of cervix uteri",66.2,FALSE
2011,"Austria","Percentage","Survey data","Malignant neoplasm of breast",72.7,TRUE
2011,"Austria","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Austria","Percentage","Programme data","Malignant neoplasm of breast",55.9,TRUE
2011,"Austria","Percentage","Programme data","Malignant neoplasm of cervix uteri",61.6,TRUE
2011,"Poland","Percentage","Survey data","Malignant neoplasm of breast",70.1,TRUE
2011,"Poland","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.7,TRUE
2011,"Poland","Percentage","Programme data","Malignant neoplasm of breast",55.9,TRUE
2011,"Poland","Percentage","Programme data","Malignant neoplasm of cervix uteri",61.6,TRUE
2011,"Portugal","Percentage","Survey data","Malignant neoplasm of breast",77.1,TRUE
2011,"Portugal","Percentage","Survey data","Malignant neoplasm of cervix uteri",70.7,TRUE
2011,"Portugal","Percentage","Programme data","Malignant neoplasm of breast",55.9,TRUE
2011,"Portugal","Percentage","Programme data","Malignant neoplasm of cervix uteri",61.6,TRUE
2011,"Romania","Percentage","Survey data","Malignant neoplasm of breast",70.1,TRUE
2011,"Romania","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Romania","Percentage","Programme data","Malignant neoplasm of breast",0.2,TRUE
2011,"Romania","Percentage","Programme data","Malignant neoplasm of cervix uteri",2.3,TRUE
2011,"Slovenia","Percentage","Survey data","Malignant neoplasm of breast",72.1,TRUE
2011,"Slovenia","Percentage","Survey data","Malignant neoplasm of cervix uteri",70.7,TRUE
2011,"Slovenia","Percentage","Programme data","Malignant neoplasm of breast",72.8,FALSE
2011,"Slovenia","Percentage","Programme data","Malignant neoplasm of cervix uteri",71.5,FALSE
2011,"Slovakia","Percentage","Survey data","Malignant neoplasm of breast",70.1,TRUE
2011,"Slovakia","Percentage","Survey data","Malignant neoplasm of cervix uteri",69,TRUE
2011,"Slovakia","Percentage","Programme data","Malignant neoplasm of breast",31.06,FALSE
2011,"Slovakia","Percentage","Programme data","Malignant neoplasm of cervix uteri",47.51,FALSE
2011,"Finland","Percentage","Survey data","Malignant neoplasm of breast",77.1,TRUE
2011,"Finland","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Finland","Percentage","Programme data","Malignant neoplasm of breast",84.8,FALSE
2011,"Finland","Percentage","Programme data","Malignant neoplasm of cervix uteri",67.9,FALSE
2011,"Sweden","Percentage","Survey data","Malignant neoplasm of breast",77.1,TRUE
2011,"Sweden","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Sweden","Percentage","Programme data","Malignant neoplasm of breast",55.9,TRUE
2011,"Sweden","Percentage","Programme data","Malignant neoplasm of cervix uteri",79.2,FALSE
2011,"Iceland","Percentage","Survey data","Malignant neoplasm of breast",77.1,TRUE
2011,"Iceland","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Iceland","Percentage","Programme data","Malignant neoplasm of breast",58,FALSE
2011,"Iceland","Percentage","Programme data","Malignant neoplasm of cervix uteri",61,FALSE
2011,"Liechtenstein","Percentage","Survey data","Malignant neoplasm of breast",70.1,TRUE
2011,"Liechtenstein","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Liechtenstein","Percentage","Programme data","Malignant neoplasm of breast",47.5,FALSE
2011,"Liechtenstein","Percentage","Programme data","Malignant neoplasm of cervix uteri",30.54,TRUE
2011,"Norway","Percentage","Survey data","Malignant neoplasm of breast",77.1,TRUE
2011,"Norway","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Norway","Percentage","Programme data","Malignant neoplasm of breast",74.6,FALSE
2011,"Norway","Percentage","Programme data","Malignant neoplasm of cervix uteri",76.2,FALSE
2011,"Switzerland","Percentage","Survey data","Malignant neoplasm of breast",49,TRUE
2011,"Switzerland","Percentage","Survey data","Malignant neoplasm of cervix uteri",73.6,TRUE
2011,"Switzerland","Percentage","Programme data","Malignant neoplasm of breast",55.9,TRUE
2011,"Switzerland","Percentage","Programme data","Malignant neoplasm of cervix uteri",61.6,TRUE
2011,"United Kingdom","Percentage","Survey data","Malignant neoplasm of breast",70.1,TRUE
2011,"United Kingdom","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"United Kingdom","Percentage","Programme data","Malignant neoplasm of breast",77.2,FALSE
2011,"United Kingdom","Percentage","Programme data","Malignant neoplasm of cervix uteri",78.65,FALSE
2011,"Montenegro","Percentage","Survey data","Malignant neoplasm of breast",77.1,TRUE
2011,"Montenegro","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Montenegro","Percentage","Programme data","Malignant neoplasm of breast",52.7,TRUE
2011,"Montenegro","Percentage","Programme data","Malignant neoplasm of cervix uteri",61.6,TRUE
2011,"North Macedonia","Percentage","Survey data","Malignant neoplasm of breast",77.1,TRUE
2011,"North Macedonia","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"North Macedonia","Percentage","Programme data","Malignant neoplasm of breast",55.9,TRUE
2011,"North Macedonia","Percentage","Programme data","Malignant neoplasm of cervix uteri",14.6,TRUE
2011,"Serbia","Percentage","Survey data","Malignant neoplasm of breast",70.1,TRUE
2011,"Serbia","Percentage","Survey data","Malignant neoplasm of cervix uteri",67.7,TRUE
2011,"Serbia","Percentage","Programme data","Malignant neoplasm of breast",7.6,TRUE
2011,"Serbia","Percentage","Programme data","Malignant neoplasm of cervix uteri",6,TRUE
2011,"Turkey","Percentage","Survey data","Malignant neoplasm of breast",28.1,TRUE
2011,"Turkey","Percentage","Survey data","Malignant neoplasm of cervix uteri",26.3,TRUE
2011,"Turkey","Percentage","Programme data","Malignant neoplasm of breast",30.82,TRUE
2011,"Turkey","Percentage","Programme data","Malignant neoplasm of cervix uteri",41,FALSE
2012,"Belgium","Percentage","Survey data","Malignant neoplasm of breast",67.3,TRUE
2012,"Belgium","Percentage","Survey data","Malignant neoplasm of cervix uteri",68.1,TRUE
2012,"Belgium","Percentage","Programme data","Malignant neoplasm of breast",62.7,FALSE
2012,"Belgium","Percentage","Programme data","Malignant neoplasm of cervix uteri",59.71,FALSE
2012,"Bulgaria","Percentage","Survey data","Malignant neoplasm of breast",70,TRUE
2012,"Bulgaria","Percentage","Survey data","Malignant neoplasm of cervix uteri",73.59,TRUE
2012,"Bulgaria","Percentage","Programme data","Malignant neoplasm of breast",20.55,TRUE
2012,"Bulgaria","Percentage","Programme data","Malignant neoplasm of cervix uteri",13.35,TRUE
2012,"Czechia","Percentage","Survey data","Malignant neoplasm of breast",71.3,TRUE
2012,"Czechia","Percentage","Survey data","Malignant neoplasm of cervix uteri",73.59,TRUE
2012,"Czechia","Percentage","Programme data","Malignant neoplasm of breast",54.9,FALSE
2012,"Czechia","Percentage","Programme data","Malignant neoplasm of cervix uteri",73.49,FALSE
2012,"Denmark","Percentage","Survey data","Malignant neoplasm of breast",75,TRUE
2012,"Denmark","Percentage","Survey data","Malignant neoplasm of cervix uteri",73.59,TRUE
2012,"Denmark","Percentage","Programme data","Malignant neoplasm of breast",83,FALSE
2012,"Denmark","Percentage","Programme data","Malignant neoplasm of cervix uteri",64.2,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Percentage","Survey data","Malignant neoplasm of breast",71.3,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Percentage","Survey data","Malignant neoplasm of cervix uteri",73.59,TRUE
2012,"Germany (until 1990 former territory of the FRG)","Percentage","Programme data","Malignant neoplasm of breast",56.3,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Percentage","Programme data","Malignant neoplasm of cervix uteri",64.2,TRUE
2012,"Estonia","Percentage","Survey data","Malignant neoplasm of breast",52,TRUE
2012,"Estonia","Percentage","Survey data","Malignant neoplasm of cervix uteri",57.7,TRUE
2012,"Estonia","Percentage","Programme data","Malignant neoplasm of breast",52,FALSE
2012,"Estonia","Percentage","Programme data","Malignant neoplasm of cervix uteri",50,FALSE
2012,"Ireland","Percentage","Survey data","Malignant neoplasm of breast",71.4,TRUE
2012,"Ireland","Percentage","Survey data","Malignant neoplasm of cervix uteri",73.59,TRUE
2012,"Ireland","Percentage","Programme data","Malignant neoplasm of breast",71.4,FALSE
2012,"Ireland","Percentage","Programme data","Malignant neoplasm of cervix uteri",67.9,FALSE
2012,"Greece","Percentage","Survey data","Malignant neoplasm of breast",70,TRUE
2012,"Greece","Percentage","Survey data","Malignant neoplasm of cervix uteri",75.52,TRUE
2012,"Greece","Percentage","Programme data","Malignant neoplasm of breast",62.7,TRUE
2012,"Greece","Percentage","Programme data","Malignant neoplasm of cervix uteri",64.2,TRUE
2012,"Spain","Percentage","Survey data","Malignant neoplasm of breast",79.8,TRUE
