"TIME","GEO","UNIT","ICHA11_HF","Value","Value_imp"
2009,"Euro area - 12 countries (2001-2006)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Government schemes",213.47,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Belgium","Million euro","All financing schemes",932.1,TRUE
2009,"Belgium","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Belgium","Million euro","Government schemes",213.47,TRUE
2009,"Belgium","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Belgium","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Bulgaria","Million euro","All financing schemes",925.55,TRUE
2009,"Bulgaria","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Bulgaria","Million euro","Government schemes",350.12,TRUE
2009,"Bulgaria","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Bulgaria","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Czechia","Million euro","All financing schemes",932.1,TRUE
2009,"Czechia","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Czechia","Million euro","Government schemes",213.47,TRUE
2009,"Czechia","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Czechia","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Denmark","Million euro","All financing schemes",0,TRUE
2009,"Denmark","Million euro","Government schemes and compulsory contributory health care financing schemes",0,TRUE
2009,"Denmark","Million euro","Government schemes",213.47,TRUE
2009,"Denmark","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",0,TRUE
2009,"Denmark","Million euro","Social health insurance schemes",0,TRUE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","All financing schemes",932.1,TRUE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","Government schemes",213.47,TRUE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Estonia","Million euro","All financing schemes",925.55,FALSE
2009,"Estonia","Million euro","Government schemes and compulsory contributory health care financing schemes",720.72,FALSE
2009,"Estonia","Million euro","Government schemes",98.54,FALSE
2009,"Estonia","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",622.18,FALSE
2009,"Estonia","Million euro","Social health insurance schemes",622.18,FALSE
2009,"Ireland","Million euro","All financing schemes",932.1,TRUE
2009,"Ireland","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Ireland","Million euro","Government schemes",213.47,TRUE
2009,"Ireland","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",56.22,TRUE
2009,"Ireland","Million euro","Social health insurance schemes",0,TRUE
2009,"Greece","Million euro","All financing schemes",932.1,TRUE
2009,"Greece","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Greece","Million euro","Government schemes",213.47,TRUE
2009,"Greece","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Greece","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Spain","Million euro","All financing schemes",932.1,TRUE
2009,"Spain","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Spain","Million euro","Government schemes",213.47,TRUE
2009,"Spain","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Spain","Million euro","Social health insurance schemes",181.89,TRUE
2009,"France","Million euro","All financing schemes",932.1,TRUE
2009,"France","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"France","Million euro","Government schemes",213.47,TRUE
2009,"France","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"France","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Croatia","Million euro","All financing schemes",932.1,TRUE
2009,"Croatia","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Croatia","Million euro","Government schemes",86.03,TRUE
2009,"Croatia","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Croatia","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Italy","Million euro","All financing schemes",932.1,TRUE
2009,"Italy","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Italy","Million euro","Government schemes",213.47,TRUE
2009,"Italy","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",341,TRUE
2009,"Italy","Million euro","Social health insurance schemes",341,TRUE
2009,"Cyprus","Million euro","All financing schemes",925.55,TRUE
2009,"Cyprus","Million euro","Government schemes and compulsory contributory health care financing schemes",590.54,TRUE
2009,"Cyprus","Million euro","Government schemes",581.57,TRUE
2009,"Cyprus","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.98,TRUE
2009,"Cyprus","Million euro","Social health insurance schemes",8.98,TRUE
2009,"Latvia","Million euro","All financing schemes",932.1,TRUE
2009,"Latvia","Million euro","Government schemes and compulsory contributory health care financing schemes",770.23,TRUE
2009,"Latvia","Million euro","Government schemes",770.23,TRUE
2009,"Latvia","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",0,TRUE
2009,"Latvia","Million euro","Social health insurance schemes",0,TRUE
2009,"Lithuania","Million euro","All financing schemes",925.55,TRUE
2009,"Lithuania","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Lithuania","Million euro","Government schemes",213.47,FALSE
2009,"Lithuania","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",213.47,TRUE
2009,"Lithuania","Million euro","Social health insurance schemes",213.47,TRUE
2009,"Luxembourg","Million euro","All financing schemes",932.1,TRUE
2009,"Luxembourg","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Luxembourg","Million euro","Government schemes",98.47,TRUE
2009,"Luxembourg","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Luxembourg","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Hungary","Million euro","All financing schemes",925.55,TRUE
2009,"Hungary","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Hungary","Million euro","Government schemes",648.02,FALSE
2009,"Hungary","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",622.18,TRUE
2009,"Hungary","Million euro","Social health insurance schemes",622.18,TRUE
2009,"Malta","Million euro","All financing schemes",889.47,TRUE
2009,"Malta","Million euro","Government schemes and compulsory contributory health care financing schemes",538.74,TRUE
2009,"Malta","Million euro","Government schemes",538.74,TRUE
2009,"Malta","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",0,TRUE
2009,"Malta","Million euro","Social health insurance schemes",0,TRUE
2009,"Netherlands","Million euro","All financing schemes",932.1,TRUE
2009,"Netherlands","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Netherlands","Million euro","Government schemes",213.47,TRUE
2009,"Netherlands","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Netherlands","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Austria","Million euro","All financing schemes",932.1,TRUE
2009,"Austria","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Austria","Million euro","Government schemes",213.47,TRUE
2009,"Austria","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Austria","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Poland","Million euro","All financing schemes",932.1,TRUE
2009,"Poland","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Poland","Million euro","Government schemes",213.47,TRUE
2009,"Poland","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Poland","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Portugal","Million euro","All financing schemes",181.89,TRUE
2009,"Portugal","Million euro","Government schemes and compulsory contributory health care financing schemes",181.89,TRUE
2009,"Portugal","Million euro","Government schemes",213.47,TRUE
2009,"Portugal","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,FALSE
2009,"Portugal","Million euro","Social health insurance schemes",181.89,FALSE
2009,"Romania","Million euro","All financing schemes",932.1,TRUE
2009,"Romania","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Romania","Million euro","Government schemes",626.87,TRUE
2009,"Romania","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Romania","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Slovenia","Million euro","All financing schemes",932.1,TRUE
2009,"Slovenia","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Slovenia","Million euro","Government schemes",118.98,TRUE
2009,"Slovenia","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Slovenia","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Slovakia","Million euro","All financing schemes",932.1,TRUE
2009,"Slovakia","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Slovakia","Million euro","Government schemes",371.58,TRUE
2009,"Slovakia","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Slovakia","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Finland","Million euro","All financing schemes",932.1,TRUE
2009,"Finland","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Finland","Million euro","Government schemes",213.47,TRUE
2009,"Finland","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Finland","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Sweden","Million euro","All financing schemes",0,TRUE
2009,"Sweden","Million euro","Government schemes and compulsory contributory health care financing schemes",0,TRUE
2009,"Sweden","Million euro","Government schemes",213.47,TRUE
2009,"Sweden","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",0,FALSE
2009,"Sweden","Million euro","Social health insurance schemes",0,FALSE
2009,"Iceland","Million euro","All financing schemes",939.05,TRUE
2009,"Iceland","Million euro","Government schemes and compulsory contributory health care financing schemes",750.62,TRUE
2009,"Iceland","Million euro","Government schemes",750.62,TRUE
2009,"Iceland","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",0,TRUE
2009,"Iceland","Million euro","Social health insurance schemes",0,TRUE
2009,"Liechtenstein","Million euro","All financing schemes",283.02,TRUE
2009,"Liechtenstein","Million euro","Government schemes and compulsory contributory health care financing schemes",185.77,TRUE
2009,"Liechtenstein","Million euro","Government schemes",43.46,TRUE
2009,"Liechtenstein","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",144.7,TRUE
2009,"Liechtenstein","Million euro","Social health insurance schemes",144.7,TRUE
2009,"Norway","Million euro","All financing schemes",932.1,TRUE
2009,"Norway","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Norway","Million euro","Government schemes",213.47,TRUE
2009,"Norway","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",0,TRUE
2009,"Norway","Million euro","Social health insurance schemes",0,TRUE
2009,"Switzerland","Million euro","All financing schemes",932.1,TRUE
2009,"Switzerland","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Switzerland","Million euro","Government schemes",213.47,TRUE
2009,"Switzerland","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Switzerland","Million euro","Social health insurance schemes",181.89,TRUE
2009,"United Kingdom","Million euro","All financing schemes",932.1,TRUE
2009,"United Kingdom","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"United Kingdom","Million euro","Government schemes",213.47,TRUE
2009,"United Kingdom","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",0,TRUE
2009,"United Kingdom","Million euro","Social health insurance schemes",0,TRUE
2009,"Bosnia and Herzegovina","Million euro","All financing schemes",932.1,TRUE
2009,"Bosnia and Herzegovina","Million euro","Government schemes and compulsory contributory health care financing schemes",936.07,TRUE
2009,"Bosnia and Herzegovina","Million euro","Government schemes",29.05,TRUE
2009,"Bosnia and Herzegovina","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",907.03,TRUE
2009,"Bosnia and Herzegovina","Million euro","Social health insurance schemes",937.77,TRUE
2010,"European Union - 27 countries (from 2020)","Million euro","All financing schemes",932.1,TRUE
2010,"European Union - 27 countries (from 2020)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"European Union - 27 countries (from 2020)","Million euro","Government schemes",197.75,TRUE
2010,"European Union - 27 countries (from 2020)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"European Union - 27 countries (from 2020)","Million euro","Social health insurance schemes",8.66,TRUE
2010,"European Union - 28 countries (2013-2020)","Million euro","All financing schemes",932.1,TRUE
2010,"European Union - 28 countries (2013-2020)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"European Union - 28 countries (2013-2020)","Million euro","Government schemes",197.75,TRUE
2010,"European Union - 28 countries (2013-2020)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"European Union - 28 countries (2013-2020)","Million euro","Social health insurance schemes",8.66,TRUE
2010,"European Union - 27 countries (2007-2013)","Million euro","All financing schemes",932.1,TRUE
2010,"European Union - 27 countries (2007-2013)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"European Union - 27 countries (2007-2013)","Million euro","Government schemes",197.75,TRUE
2010,"European Union - 27 countries (2007-2013)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"European Union - 27 countries (2007-2013)","Million euro","Social health insurance schemes",8.66,TRUE
2010,"European Union - 15 countries (1995-2004)","Million euro","All financing schemes",932.1,TRUE
2010,"European Union - 15 countries (1995-2004)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"European Union - 15 countries (1995-2004)","Million euro","Government schemes",197.75,TRUE
2010,"European Union - 15 countries (1995-2004)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"European Union - 15 countries (1995-2004)","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Euro area - 19 countries  (from 2015)","Million euro","All financing schemes",932.1,TRUE
2010,"Euro area - 19 countries  (from 2015)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"Euro area - 19 countries  (from 2015)","Million euro","Government schemes",197.75,TRUE
2010,"Euro area - 19 countries  (from 2015)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"Euro area - 19 countries  (from 2015)","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Euro area - 18 countries (2014)","Million euro","All financing schemes",932.1,TRUE
2010,"Euro area - 18 countries (2014)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"Euro area - 18 countries (2014)","Million euro","Government schemes",197.75,TRUE
2010,"Euro area - 18 countries (2014)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"Euro area - 18 countries (2014)","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Euro area - 12 countries (2001-2006)","Million euro","All financing schemes",932.1,TRUE
2010,"Euro area - 12 countries (2001-2006)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"Euro area - 12 countries (2001-2006)","Million euro","Government schemes",197.75,TRUE
2010,"Euro area - 12 countries (2001-2006)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"Euro area - 12 countries (2001-2006)","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Belgium","Million euro","All financing schemes",932.1,TRUE
2010,"Belgium","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"Belgium","Million euro","Government schemes",197.75,TRUE
2010,"Belgium","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"Belgium","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Bulgaria","Million euro","All financing schemes",925.55,TRUE
2010,"Bulgaria","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"Bulgaria","Million euro","Government schemes",350.12,TRUE
2010,"Bulgaria","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"Bulgaria","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Czechia","Million euro","All financing schemes",932.1,TRUE
2010,"Czechia","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"Czechia","Million euro","Government schemes",197.75,TRUE
2010,"Czechia","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"Czechia","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Denmark","Million euro","All financing schemes",0,TRUE
2010,"Denmark","Million euro","Government schemes and compulsory contributory health care financing schemes",0,TRUE
2010,"Denmark","Million euro","Government schemes",0,TRUE
2010,"Denmark","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",0,FALSE
2010,"Denmark","Million euro","Social health insurance schemes",0,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Million euro","All financing schemes",932.1,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Million euro","Government schemes",197.75,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Estonia","Million euro","All financing schemes",932.1,FALSE
2010,"Estonia","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,FALSE
2010,"Estonia","Million euro","Government schemes",101.75,FALSE
2010,"Estonia","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",609.7,FALSE
2010,"Estonia","Million euro","Social health insurance schemes",609.7,FALSE
2010,"Ireland","Million euro","All financing schemes",932.1,TRUE
2010,"Ireland","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"Ireland","Million euro","Government schemes",197.75,TRUE
2010,"Ireland","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",56.22,TRUE
2010,"Ireland","Million euro","Social health insurance schemes",0,TRUE
2010,"Greece","Million euro","All financing schemes",932.1,TRUE
2010,"Greece","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"Greece","Million euro","Government schemes",197.75,TRUE
2010,"Greece","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"Greece","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Spain","Million euro","All financing schemes",932.1,TRUE
2010,"Spain","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"Spain","Million euro","Government schemes",197.75,TRUE
2010,"Spain","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"Spain","Million euro","Social health insurance schemes",8.66,TRUE
2010,"France","Million euro","All financing schemes",932.1,TRUE
2010,"France","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"France","Million euro","Government schemes",197.75,TRUE
2010,"France","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"France","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Croatia","Million euro","All financing schemes",932.1,TRUE
2010,"Croatia","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"Croatia","Million euro","Government schemes",86.03,TRUE
2010,"Croatia","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"Croatia","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Italy","Million euro","All financing schemes",932.1,TRUE
2010,"Italy","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"Italy","Million euro","Government schemes",197.75,TRUE
2010,"Italy","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",341,TRUE
2010,"Italy","Million euro","Social health insurance schemes",341,TRUE
2010,"Cyprus","Million euro","All financing schemes",583.7,TRUE
2010,"Cyprus","Million euro","Government schemes and compulsory contributory health care financing schemes",583.7,FALSE
2010,"Cyprus","Million euro","Government schemes",575.04,FALSE
2010,"Cyprus","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,FALSE
2010,"Cyprus","Million euro","Social health insurance schemes",8.66,FALSE
2010,"Latvia","Million euro","All financing schemes",932.1,TRUE
2010,"Latvia","Million euro","Government schemes and compulsory contributory health care financing schemes",770.23,TRUE
2010,"Latvia","Million euro","Government schemes",770.23,TRUE
2010,"Latvia","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",0,TRUE
2010,"Latvia","Million euro","Social health insurance schemes",0,TRUE
2010,"Lithuania","Million euro","All financing schemes",925.55,TRUE
2010,"Lithuania","Million euro","Government schemes and compulsory contributory health care financing schemes",583.7,TRUE
2010,"Lithuania","Million euro","Government schemes",197.75,FALSE
2010,"Lithuania","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"Lithuania","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Luxembourg","Million euro","All financing schemes",932.1,TRUE
2010,"Luxembourg","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"Luxembourg","Million euro","Government schemes",98.47,TRUE
2010,"Luxembourg","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"Luxembourg","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Hungary","Million euro","All financing schemes",925.55,TRUE
2010,"Hungary","Million euro","Government schemes and compulsory contributory health care financing schemes",606.83,TRUE
2010,"Hungary","Million euro","Government schemes",606.83,FALSE
2010,"Hungary","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"Hungary","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Malta","Million euro","All financing schemes",889.47,TRUE
2010,"Malta","Million euro","Government schemes and compulsory contributory health care financing schemes",538.74,TRUE
2010,"Malta","Million euro","Government schemes",538.74,TRUE
2010,"Malta","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",0,TRUE
2010,"Malta","Million euro","Social health insurance schemes",0,TRUE
2010,"Netherlands","Million euro","All financing schemes",932.1,TRUE
2010,"Netherlands","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"Netherlands","Million euro","Government schemes",197.75,TRUE
2010,"Netherlands","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"Netherlands","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Austria","Million euro","All financing schemes",932.1,TRUE
2010,"Austria","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2010,"Austria","Million euro","Government schemes",197.75,TRUE
2010,"Austria","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8.66,TRUE
2010,"Austria","Million euro","Social health insurance schemes",8.66,TRUE
2010,"Poland","Million euro","All financing schemes",932.1,TRUE
