"TIME","GEO","ISCO08","UNIT","Value","Flag.and.Footnotes","Value_imp"
2010,"Spain","Medical doctors","Full-time equivalent (FTE)",19596.72,"",TRUE
2010,"Spain","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",TRUE
2010,"Spain","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"Spain","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Spain","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
2010,"France","Medical doctors","Full-time equivalent (FTE)",110956.52,"",FALSE
2010,"France","Nursing professionals and midwives","Full-time equivalent (FTE)",349585.59,"",FALSE
2010,"France","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2010,"France","Health care assistants","Full-time equivalent (FTE)",261687.47,"",FALSE
2010,"France","Hospital employment","Full-time equivalent (FTE)",1216111.85,"",FALSE
2010,"Croatia","Medical doctors","Full-time equivalent (FTE)",19596.72,"",TRUE
2010,"Croatia","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",TRUE
2010,"Croatia","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"Croatia","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Croatia","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
2010,"Italy","Medical doctors","Full-time equivalent (FTE)",19596.72,"",TRUE
2010,"Italy","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",TRUE
2010,"Italy","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"Italy","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Italy","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
2010,"Cyprus","Medical doctors","Full-time equivalent (FTE)",634,"",FALSE
2010,"Cyprus","Nursing professionals and midwives","Full-time equivalent (FTE)",3448,"",FALSE
2010,"Cyprus","Nursing associate professionals","Full-time equivalent (FTE)",196,"",FALSE
2010,"Cyprus","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Cyprus","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
2010,"Latvia","Medical doctors","Full-time equivalent (FTE)",19596.72,"",TRUE
2010,"Latvia","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",TRUE
2010,"Latvia","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"Latvia","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Latvia","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
2010,"Lithuania","Medical doctors","Full-time equivalent (FTE)",9558,"",FALSE
2010,"Lithuania","Nursing professionals and midwives","Full-time equivalent (FTE)",15971,"",FALSE
2010,"Lithuania","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2010,"Lithuania","Health care assistants","Full-time equivalent (FTE)",5348,"",FALSE
2010,"Lithuania","Hospital employment","Full-time equivalent (FTE)",46090,"",FALSE
2010,"Luxembourg","Medical doctors","Full-time equivalent (FTE)",19596.72,"",TRUE
2010,"Luxembourg","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",TRUE
2010,"Luxembourg","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"Luxembourg","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Luxembourg","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
2010,"Hungary","Medical doctors","Full-time equivalent (FTE)",15346.41,"",FALSE
2010,"Hungary","Nursing professionals and midwives","Full-time equivalent (FTE)",25992.19,"",FALSE
2010,"Hungary","Nursing associate professionals","Full-time equivalent (FTE)",8270.81,"",FALSE
2010,"Hungary","Health care assistants","Full-time equivalent (FTE)",12747.72,"",FALSE
2010,"Hungary","Hospital employment","Full-time equivalent (FTE)",94827.99,"",FALSE
2010,"Malta","Medical doctors","Full-time equivalent (FTE)",630.68,"",FALSE
2010,"Malta","Nursing professionals and midwives","Full-time equivalent (FTE)",2096,"",FALSE
2010,"Malta","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2010,"Malta","Health care assistants","Full-time equivalent (FTE)",1122,"",FALSE
2010,"Malta","Hospital employment","Full-time equivalent (FTE)",6321.21,"",FALSE
2010,"Netherlands","Medical doctors","Full-time equivalent (FTE)",19562,"e",FALSE
2010,"Netherlands","Nursing professionals and midwives","Full-time equivalent (FTE)",58010,"e",FALSE
2010,"Netherlands","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"Netherlands","Health care assistants","Full-time equivalent (FTE)",6661,"e",FALSE
2010,"Netherlands","Hospital employment","Full-time equivalent (FTE)",201280,"",FALSE
2010,"Austria","Medical doctors","Full-time equivalent (FTE)",20846.07,"",FALSE
2010,"Austria","Nursing professionals and midwives","Full-time equivalent (FTE)",48247.66,"",FALSE
2010,"Austria","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2010,"Austria","Health care assistants","Full-time equivalent (FTE)",8621.02,"",FALSE
2010,"Austria","Hospital employment","Full-time equivalent (FTE)",132737.08,"",FALSE
2010,"Poland","Medical doctors","Full-time equivalent (FTE)",19596.72,"",TRUE
2010,"Poland","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",TRUE
2010,"Poland","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"Poland","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Poland","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
2010,"Portugal","Medical doctors","Full-time equivalent (FTE)",19596.72,"",TRUE
2010,"Portugal","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",TRUE
2010,"Portugal","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"Portugal","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Portugal","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
2010,"Romania","Medical doctors","Full-time equivalent (FTE)",25327,"",FALSE
2010,"Romania","Nursing professionals and midwives","Full-time equivalent (FTE)",4228,"",FALSE
2010,"Romania","Nursing associate professionals","Full-time equivalent (FTE)",54868,"b",FALSE
2010,"Romania","Health care assistants","Full-time equivalent (FTE)",39957,"",FALSE
2010,"Romania","Hospital employment","Full-time equivalent (FTE)",156818,"",FALSE
2010,"Slovenia","Medical doctors","Full-time equivalent (FTE)",19596.72,"",TRUE
2010,"Slovenia","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",TRUE
2010,"Slovenia","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"Slovenia","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Slovenia","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
2010,"Slovakia","Medical doctors","Full-time equivalent (FTE)",8420.45,"",FALSE
2010,"Slovakia","Nursing professionals and midwives","Full-time equivalent (FTE)",22449.57,"",FALSE
2010,"Slovakia","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2010,"Slovakia","Health care assistants","Full-time equivalent (FTE)",5759.22,"",FALSE
2010,"Slovakia","Hospital employment","Full-time equivalent (FTE)",41479.97,"",FALSE
2010,"Finland","Medical doctors","Full-time equivalent (FTE)",8169.54,"be",FALSE
2010,"Finland","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",TRUE
2010,"Finland","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"Finland","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Finland","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
2010,"Iceland","Medical doctors","Full-time equivalent (FTE)",540.82,"",FALSE
2010,"Iceland","Nursing professionals and midwives","Full-time equivalent (FTE)",1378.08,"",FALSE
2010,"Iceland","Nursing associate professionals","Full-time equivalent (FTE)",581.43,"",FALSE
2010,"Iceland","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Iceland","Hospital employment","Full-time equivalent (FTE)",4720.56,"",FALSE
2010,"Liechtenstein","Medical doctors","Full-time equivalent (FTE)",11.7,"",FALSE
2010,"Liechtenstein","Nursing professionals and midwives","Full-time equivalent (FTE)",39.6,"",FALSE
2010,"Liechtenstein","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2010,"Liechtenstein","Health care assistants","Full-time equivalent (FTE)",30.01,"",FALSE
2010,"Liechtenstein","Hospital employment","Full-time equivalent (FTE)",144.31,"",FALSE
2010,"Norway","Medical doctors","Full-time equivalent (FTE)",11473,"",FALSE
2010,"Norway","Nursing professionals and midwives","Full-time equivalent (FTE)",36792,"",FALSE
2010,"Norway","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2010,"Norway","Health care assistants","Full-time equivalent (FTE)",8883,"",FALSE
2010,"Norway","Hospital employment","Full-time equivalent (FTE)",95973,"",FALSE
2010,"Switzerland","Medical doctors","Full-time equivalent (FTE)",17364.05,"b",FALSE
2010,"Switzerland","Nursing professionals and midwives","Full-time equivalent (FTE)",42900.62,"b",FALSE
2010,"Switzerland","Nursing associate professionals","Full-time equivalent (FTE)",4811.35,"b",FALSE
2010,"Switzerland","Health care assistants","Full-time equivalent (FTE)",11293.28,"b",FALSE
2010,"Switzerland","Hospital employment","Full-time equivalent (FTE)",139251.93,"b",FALSE
2010,"United Kingdom","Medical doctors","Full-time equivalent (FTE)",114770.7,"e",FALSE
2010,"United Kingdom","Nursing professionals and midwives","Full-time equivalent (FTE)",365055.56,"e",FALSE
2010,"United Kingdom","Nursing associate professionals","Full-time equivalent (FTE)",82398.34,"e",FALSE
2010,"United Kingdom","Health care assistants","Full-time equivalent (FTE)",53645.08,"e",FALSE
2010,"United Kingdom","Hospital employment","Full-time equivalent (FTE)",1253394.85,"e",FALSE
2010,"Montenegro","Medical doctors","Full-time equivalent (FTE)",19596.72,"",TRUE
2010,"Montenegro","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",TRUE
2010,"Montenegro","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"Montenegro","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Montenegro","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
2010,"North Macedonia","Medical doctors","Full-time equivalent (FTE)",19596.72,"",TRUE
2010,"North Macedonia","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",TRUE
2010,"North Macedonia","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"North Macedonia","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"North Macedonia","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
2010,"Albania","Medical doctors","Full-time equivalent (FTE)",19596.72,"",TRUE
2010,"Albania","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",TRUE
2010,"Albania","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"Albania","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Albania","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
2010,"Serbia","Medical doctors","Full-time equivalent (FTE)",10980,"",FALSE
2010,"Serbia","Nursing professionals and midwives","Full-time equivalent (FTE)",5070,"",FALSE
2010,"Serbia","Nursing associate professionals","Full-time equivalent (FTE)",23029,"",FALSE
2010,"Serbia","Health care assistants","Full-time equivalent (FTE)",0,"",FALSE
2010,"Serbia","Hospital employment","Full-time equivalent (FTE)",63269,"",FALSE
2010,"Turkey","Medical doctors","Full-time equivalent (FTE)",19596.72,"",TRUE
2010,"Turkey","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",TRUE
2010,"Turkey","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"Turkey","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Turkey","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
2011,"Belgium","Medical doctors","Full-time equivalent (FTE)",6381.84,"e",FALSE
2011,"Belgium","Nursing professionals and midwives","Full-time equivalent (FTE)",59479.45,"e",FALSE
2011,"Belgium","Nursing associate professionals","Full-time equivalent (FTE)",1102.78,"e",FALSE
2011,"Belgium","Health care assistants","Full-time equivalent (FTE)",9369.48,"e",FALSE
2011,"Belgium","Hospital employment","Full-time equivalent (FTE)",143458.63,"e",FALSE
2011,"Bulgaria","Medical doctors","Full-time equivalent (FTE)",20057.43,"",TRUE
2011,"Bulgaria","Nursing professionals and midwives","Full-time equivalent (FTE)",53562.02,"",TRUE
2011,"Bulgaria","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2011,"Bulgaria","Health care assistants","Full-time equivalent (FTE)",3055.3,"",TRUE
2011,"Bulgaria","Hospital employment","Full-time equivalent (FTE)",134386.54,"",TRUE
2011,"Czechia","Medical doctors","Full-time equivalent (FTE)",20057.43,"",FALSE
2011,"Czechia","Nursing professionals and midwives","Full-time equivalent (FTE)",53562.02,"",FALSE
2011,"Czechia","Nursing associate professionals","Full-time equivalent (FTE)",20057.43,"",TRUE
2011,"Czechia","Health care assistants","Full-time equivalent (FTE)",2908.31,"",FALSE
2011,"Czechia","Hospital employment","Full-time equivalent (FTE)",134386.54,"",FALSE
2011,"Denmark","Medical doctors","Full-time equivalent (FTE)",14490,"",FALSE
2011,"Denmark","Nursing professionals and midwives","Full-time equivalent (FTE)",35523,"",FALSE
2011,"Denmark","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2011,"Denmark","Health care assistants","Full-time equivalent (FTE)",11010,"",FALSE
2011,"Denmark","Hospital employment","Full-time equivalent (FTE)",102578,"",FALSE
2011,"Germany (until 1990 former territory of the FRG)","Medical doctors","Full-time equivalent (FTE)",147000,"",FALSE
2011,"Germany (until 1990 former territory of the FRG)","Nursing professionals and midwives","Full-time equivalent (FTE)",319000,"",FALSE
2011,"Germany (until 1990 former territory of the FRG)","Nursing associate professionals","Full-time equivalent (FTE)",30000,"",FALSE
2011,"Germany (until 1990 former territory of the FRG)","Health care assistants","Full-time equivalent (FTE)",11010,"",TRUE
2011,"Germany (until 1990 former territory of the FRG)","Hospital employment","Full-time equivalent (FTE)",934000,"",FALSE
2011,"Estonia","Medical doctors","Full-time equivalent (FTE)",2660.9,"",FALSE
2011,"Estonia","Nursing professionals and midwives","Full-time equivalent (FTE)",5930.1,"",FALSE
2011,"Estonia","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2011,"Estonia","Health care assistants","Full-time equivalent (FTE)",3055.3,"",FALSE
2011,"Estonia","Hospital employment","Full-time equivalent (FTE)",17582.3,"",FALSE
2011,"Ireland","Medical doctors","Full-time equivalent (FTE)",6274,"",FALSE
2011,"Ireland","Nursing professionals and midwives","Full-time equivalent (FTE)",19824,"",FALSE
2011,"Ireland","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2011,"Ireland","Health care assistants","Full-time equivalent (FTE)",3363,"",FALSE
2011,"Ireland","Hospital employment","Full-time equivalent (FTE)",49194,"",FALSE
2011,"Greece","Medical doctors","Full-time equivalent (FTE)",20057.43,"",TRUE
2011,"Greece","Nursing professionals and midwives","Full-time equivalent (FTE)",53562.02,"",TRUE
2011,"Greece","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2011,"Greece","Health care assistants","Full-time equivalent (FTE)",3055.3,"",TRUE
2011,"Greece","Hospital employment","Full-time equivalent (FTE)",134386.54,"",TRUE
2011,"Spain","Medical doctors","Full-time equivalent (FTE)",20057.43,"",TRUE
2011,"Spain","Nursing professionals and midwives","Full-time equivalent (FTE)",53562.02,"",TRUE
2011,"Spain","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2011,"Spain","Health care assistants","Full-time equivalent (FTE)",3055.3,"",TRUE
2011,"Spain","Hospital employment","Full-time equivalent (FTE)",134386.54,"",TRUE
2011,"France","Medical doctors","Full-time equivalent (FTE)",111848.94,"",FALSE
2011,"France","Nursing professionals and midwives","Full-time equivalent (FTE)",336299.53,"b",FALSE
2011,"France","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2011,"France","Health care assistants","Full-time equivalent (FTE)",225408.54,"b",FALSE
2011,"France","Hospital employment","Full-time equivalent (FTE)",1130915.69,"b",FALSE
2011,"Croatia","Medical doctors","Full-time equivalent (FTE)",20057.43,"",TRUE
2011,"Croatia","Nursing professionals and midwives","Full-time equivalent (FTE)",53562.02,"",TRUE
2011,"Croatia","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2011,"Croatia","Health care assistants","Full-time equivalent (FTE)",3055.3,"",TRUE
2011,"Croatia","Hospital employment","Full-time equivalent (FTE)",134386.54,"",TRUE
2011,"Italy","Medical doctors","Full-time equivalent (FTE)",20057.43,"",TRUE
2011,"Italy","Nursing professionals and midwives","Full-time equivalent (FTE)",53562.02,"",TRUE
2011,"Italy","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2011,"Italy","Health care assistants","Full-time equivalent (FTE)",3055.3,"",TRUE
2011,"Italy","Hospital employment","Full-time equivalent (FTE)",134386.54,"",TRUE
2011,"Cyprus","Medical doctors","Full-time equivalent (FTE)",762,"b",FALSE
2011,"Cyprus","Nursing professionals and midwives","Full-time equivalent (FTE)",3663,"b",FALSE
2011,"Cyprus","Nursing associate professionals","Full-time equivalent (FTE)",170,"",FALSE
2011,"Cyprus","Health care assistants","Full-time equivalent (FTE)",3055.3,"",TRUE
2011,"Cyprus","Hospital employment","Full-time equivalent (FTE)",134386.54,"",TRUE
2011,"Latvia","Medical doctors","Full-time equivalent (FTE)",20057.43,"",TRUE
2011,"Latvia","Nursing professionals and midwives","Full-time equivalent (FTE)",53562.02,"",TRUE
2011,"Latvia","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2011,"Latvia","Health care assistants","Full-time equivalent (FTE)",3055.3,"",TRUE
2011,"Latvia","Hospital employment","Full-time equivalent (FTE)",134386.54,"",TRUE
2011,"Lithuania","Medical doctors","Full-time equivalent (FTE)",9772,"",FALSE
2011,"Lithuania","Nursing professionals and midwives","Full-time equivalent (FTE)",16091,"",FALSE
2011,"Lithuania","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2011,"Lithuania","Health care assistants","Full-time equivalent (FTE)",5433,"",FALSE
2011,"Lithuania","Hospital employment","Full-time equivalent (FTE)",46963,"",FALSE
2011,"Luxembourg","Medical doctors","Full-time equivalent (FTE)",20057.43,"",TRUE
2011,"Luxembourg","Nursing professionals and midwives","Full-time equivalent (FTE)",53562.02,"",TRUE
2011,"Luxembourg","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2011,"Luxembourg","Health care assistants","Full-time equivalent (FTE)",3055.3,"",TRUE
2011,"Luxembourg","Hospital employment","Full-time equivalent (FTE)",134386.54,"",TRUE
2011,"Hungary","Medical doctors","Full-time equivalent (FTE)",16588.5,"",FALSE
2011,"Hungary","Nursing professionals and midwives","Full-time equivalent (FTE)",27803.23,"",FALSE
2011,"Hungary","Nursing associate professionals","Full-time equivalent (FTE)",7448.83,"",FALSE
2011,"Hungary","Health care assistants","Full-time equivalent (FTE)",13988.31,"",FALSE
2011,"Hungary","Hospital employment","Full-time equivalent (FTE)",99930.78,"",FALSE
2011,"Malta","Medical doctors","Full-time equivalent (FTE)",741.28,"",FALSE
2011,"Malta","Nursing professionals and midwives","Full-time equivalent (FTE)",2234.14,"",FALSE
2011,"Malta","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2011,"Malta","Health care assistants","Full-time equivalent (FTE)",1250.36,"",FALSE
2011,"Malta","Hospital employment","Full-time equivalent (FTE)",6743.55,"",FALSE
2011,"Netherlands","Medical doctors","Full-time equivalent (FTE)",19650,"e",FALSE
2011,"Netherlands","Nursing professionals and midwives","Full-time equivalent (FTE)",59112,"e",FALSE
2011,"Netherlands","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2011,"Netherlands","Health care assistants","Full-time equivalent (FTE)",5801,"e",FALSE
2011,"Netherlands","Hospital employment","Full-time equivalent (FTE)",204480,"",FALSE
2011,"Austria","Medical doctors","Full-time equivalent (FTE)",21154,"",FALSE
2011,"Austria","Nursing professionals and midwives","Full-time equivalent (FTE)",48908,"",FALSE
2011,"Austria","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2011,"Austria","Health care assistants","Full-time equivalent (FTE)",8527.49,"",FALSE
2011,"Austria","Hospital employment","Full-time equivalent (FTE)",134130,"",FALSE
2011,"Poland","Medical doctors","Full-time equivalent (FTE)",20057.43,"",TRUE
2011,"Poland","Nursing professionals and midwives","Full-time equivalent (FTE)",53562.02,"",TRUE
2011,"Poland","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2011,"Poland","Health care assistants","Full-time equivalent (FTE)",3055.3,"",TRUE
2011,"Poland","Hospital employment","Full-time equivalent (FTE)",134386.54,"",TRUE
2011,"Portugal","Medical doctors","Full-time equivalent (FTE)",20057.43,"",TRUE
2011,"Portugal","Nursing professionals and midwives","Full-time equivalent (FTE)",53562.02,"",TRUE
2011,"Portugal","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2011,"Portugal","Health care assistants","Full-time equivalent (FTE)",3055.3,"",TRUE
2011,"Portugal","Hospital employment","Full-time equivalent (FTE)",134386.54,"",TRUE
2011,"Romania","Medical doctors","Full-time equivalent (FTE)",25536,"",FALSE
2011,"Romania","Nursing professionals and midwives","Full-time equivalent (FTE)",5038,"",FALSE
2011,"Romania","Nursing associate professionals","Full-time equivalent (FTE)",52598,"",FALSE
2011,"Romania","Health care assistants","Full-time equivalent (FTE)",37894,"",FALSE
2011,"Romania","Hospital employment","Full-time equivalent (FTE)",150695,"",FALSE
2011,"Slovenia","Medical doctors","Full-time equivalent (FTE)",20057.43,"",TRUE
2011,"Slovenia","Nursing professionals and midwives","Full-time equivalent (FTE)",53562.02,"",TRUE
2011,"Slovenia","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2011,"Slovenia","Health care assistants","Full-time equivalent (FTE)",3055.3,"",TRUE
2011,"Slovenia","Hospital employment","Full-time equivalent (FTE)",134386.54,"",TRUE
2011,"Slovakia","Medical doctors","Full-time equivalent (FTE)",8278.26,"",FALSE
2011,"Slovakia","Nursing professionals and midwives","Full-time equivalent (FTE)",21761.62,"",FALSE
2011,"Slovakia","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2011,"Slovakia","Health care assistants","Full-time equivalent (FTE)",5530.59,"",FALSE
2011,"Slovakia","Hospital employment","Full-time equivalent (FTE)",40181.17,"",FALSE
2011,"Finland","Medical doctors","Full-time equivalent (FTE)",7485.26,"e",FALSE
2011,"Finland","Nursing professionals and midwives","Full-time equivalent (FTE)",53562.02,"",TRUE
2011,"Finland","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2011,"Finland","Health care assistants","Full-time equivalent (FTE)",3055.3,"",TRUE
2011,"Finland","Hospital employment","Full-time equivalent (FTE)",134386.54,"",TRUE
2011,"Iceland","Medical doctors","Full-time equivalent (FTE)",555.83,"",FALSE
2011,"Iceland","Nursing professionals and midwives","Full-time equivalent (FTE)",1408.25,"",FALSE
2011,"Iceland","Nursing associate professionals","Full-time equivalent (FTE)",554.9,"",FALSE
2011,"Iceland","Health care assistants","Full-time equivalent (FTE)",3055.3,"",TRUE
2011,"Iceland","Hospital employment","Full-time equivalent (FTE)",4673.12,"",FALSE
2011,"Liechtenstein","Medical doctors","Full-time equivalent (FTE)",10.46,"",FALSE
2011,"Liechtenstein","Nursing professionals and midwives","Full-time equivalent (FTE)",38.89,"",FALSE
2011,"Liechtenstein","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2011,"Liechtenstein","Health care assistants","Full-time equivalent (FTE)",28.79,"",FALSE
2011,"Liechtenstein","Hospital employment","Full-time equivalent (FTE)",141.47,"",FALSE
2011,"Norway","Medical doctors","Full-time equivalent (FTE)",11794,"",FALSE
