"TIME","GEO","UNIT","MED_SPEC","Value","Value_imp"
2010,"Greece","Number","General practitioners",2076,FALSE
2010,"Greece","Number","Other generalist medical practitioners",1315,FALSE
2010,"Greece","Number","Specialist medical practitioners",39552,FALSE
2010,"Greece","Number","General paediatricians",3279,FALSE
2010,"Spain","Number","Generalist medical practitioners",34620,FALSE
2010,"Spain","Number","General practitioners",34620,FALSE
2010,"Spain","Number","Other generalist medical practitioners",0,FALSE
2010,"Spain","Number","Specialist medical practitioners",107542,FALSE
2010,"Spain","Number","General paediatricians",11728,FALSE
2010,"France","Number","Generalist medical practitioners",103262,FALSE
2010,"France","Number","General practitioners",103262,FALSE
2010,"France","Number","Other generalist medical practitioners",29761,TRUE
2010,"France","Number","Specialist medical practitioners",108870,FALSE
2010,"France","Number","General paediatricians",7232,FALSE
2010,"Croatia","Number","Generalist medical practitioners",3350,FALSE
2010,"Croatia","Number","General practitioners",2228,FALSE
2010,"Croatia","Number","Other generalist medical practitioners",1122,FALSE
2010,"Croatia","Number","Specialist medical practitioners",8954,FALSE
2010,"Croatia","Number","General paediatricians",754,FALSE
2010,"Italy","Number","Generalist medical practitioners",52944,FALSE
2010,"Italy","Number","General practitioners",45878,FALSE
2010,"Italy","Number","Other generalist medical practitioners",7066,FALSE
2010,"Italy","Number","Specialist medical practitioners",173440,FALSE
2010,"Italy","Number","General paediatricians",17197,FALSE
2010,"Cyprus","Number","Generalist medical practitioners",735,TRUE
2010,"Cyprus","Number","General practitioners",735,TRUE
2010,"Cyprus","Number","Other generalist medical practitioners",0,TRUE
2010,"Cyprus","Number","Specialist medical practitioners",2311,TRUE
2010,"Cyprus","Number","General paediatricians",242,TRUE
2010,"Latvia","Number","Generalist medical practitioners",1311,FALSE
2010,"Latvia","Number","General practitioners",1311,FALSE
2010,"Latvia","Number","Other generalist medical practitioners",0,FALSE
2010,"Latvia","Number","Specialist medical practitioners",5206,FALSE
2010,"Latvia","Number","General paediatricians",271,FALSE
2010,"Lithuania","Number","Generalist medical practitioners",2381,FALSE
2010,"Lithuania","Number","General practitioners",2291,FALSE
2010,"Lithuania","Number","Other generalist medical practitioners",90,FALSE
2010,"Lithuania","Number","Specialist medical practitioners",8285,FALSE
2010,"Lithuania","Number","General paediatricians",828,FALSE
2010,"Luxembourg","Number","Generalist medical practitioners",414,FALSE
2010,"Luxembourg","Number","General practitioners",414,FALSE
2010,"Luxembourg","Number","Other generalist medical practitioners",0,FALSE
2010,"Luxembourg","Number","Specialist medical practitioners",992,FALSE
2010,"Luxembourg","Number","General paediatricians",83,FALSE
2010,"Hungary","Number","Generalist medical practitioners",7096,TRUE
2010,"Hungary","Number","General practitioners",4390,TRUE
2010,"Hungary","Number","Other generalist medical practitioners",2481,TRUE
2010,"Hungary","Number","Specialist medical practitioners",25615,TRUE
2010,"Hungary","Number","General paediatricians",2371,TRUE
2010,"Malta","Number","Generalist medical practitioners",278,FALSE
2010,"Malta","Number","General practitioners",278,FALSE
2010,"Malta","Number","Other generalist medical practitioners",0,FALSE
2010,"Malta","Number","Specialist medical practitioners",614,FALSE
2010,"Malta","Number","General paediatricians",59,FALSE
2010,"Netherlands","Number","Generalist medical practitioners",20848,FALSE
2010,"Netherlands","Number","General practitioners",12133,FALSE
2010,"Netherlands","Number","Other generalist medical practitioners",8715,FALSE
2010,"Netherlands","Number","Specialist medical practitioners",28394,FALSE
2010,"Netherlands","Number","General paediatricians",1484,FALSE
2010,"Austria","Number","Generalist medical practitioners",13219,FALSE
2010,"Austria","Number","General practitioners",6507,FALSE
2010,"Austria","Number","Other generalist medical practitioners",6712,FALSE
2010,"Austria","Number","Specialist medical practitioners",20103,FALSE
2010,"Austria","Number","General paediatricians",1183,FALSE
2010,"Poland","Number","Generalist medical practitioners",17484,FALSE
2010,"Poland","Number","General practitioners",7918,FALSE
2010,"Poland","Number","Other generalist medical practitioners",9566,FALSE
2010,"Poland","Number","Specialist medical practitioners",65717,FALSE
2010,"Poland","Number","General paediatricians",4721,FALSE
2010,"Portugal","Number","Generalist medical practitioners",21170,FALSE
2010,"Portugal","Number","General practitioners",19536,FALSE
2010,"Portugal","Number","Other generalist medical practitioners",1634,FALSE
2010,"Portugal","Number","Specialist medical practitioners",20956,FALSE
2010,"Portugal","Number","General paediatricians",1584,FALSE
2010,"Romania","Number","Generalist medical practitioners",18210,FALSE
2010,"Romania","Number","General practitioners",14509,FALSE
2010,"Romania","Number","Other generalist medical practitioners",3701,FALSE
2010,"Romania","Number","Specialist medical practitioners",32568,FALSE
2010,"Romania","Number","General paediatricians",2298,FALSE
2010,"Slovenia","Number","Generalist medical practitioners",1044,FALSE
2010,"Slovenia","Number","General practitioners",898,FALSE
2010,"Slovenia","Number","Other generalist medical practitioners",146,FALSE
2010,"Slovenia","Number","Specialist medical practitioners",3773,FALSE
2010,"Slovenia","Number","General paediatricians",490,FALSE
2010,"Finland","Number","Generalist medical practitioners",6380,FALSE
2010,"Finland","Number","General practitioners",7369,TRUE
2010,"Finland","Number","Other generalist medical practitioners",0,TRUE
2010,"Finland","Number","Specialist medical practitioners",10212,FALSE
2010,"Finland","Number","General paediatricians",692,FALSE
2010,"Sweden","Number","Generalist medical practitioners",5907,FALSE
2010,"Sweden","Number","General practitioners",5907,FALSE
2010,"Sweden","Number","Other generalist medical practitioners",0,FALSE
2010,"Sweden","Number","Specialist medical practitioners",19534,FALSE
2010,"Sweden","Number","General paediatricians",980,FALSE
2010,"Iceland","Number","Generalist medical practitioners",182,FALSE
2010,"Iceland","Number","General practitioners",182,FALSE
2010,"Iceland","Number","Other generalist medical practitioners",0,TRUE
2010,"Iceland","Number","Specialist medical practitioners",714,FALSE
2010,"Iceland","Number","General paediatricians",16,FALSE
2010,"Liechtenstein","Number","Generalist medical practitioners",37,FALSE
2010,"Liechtenstein","Number","General practitioners",26,FALSE
2010,"Liechtenstein","Number","Other generalist medical practitioners",11,FALSE
2010,"Liechtenstein","Number","Specialist medical practitioners",67,FALSE
2010,"Liechtenstein","Number","General paediatricians",5,FALSE
2010,"Norway","Number","Generalist medical practitioners",4039,FALSE
2010,"Norway","Number","General practitioners",3631,FALSE
2010,"Norway","Number","Other generalist medical practitioners",408,FALSE
2010,"Norway","Number","Specialist medical practitioners",8151,FALSE
2010,"Norway","Number","General paediatricians",658,FALSE
2010,"Switzerland","Number","Generalist medical practitioners",4748,FALSE
2010,"Switzerland","Number","General practitioners",7369,TRUE
2010,"Switzerland","Number","Other generalist medical practitioners",0,TRUE
2010,"Switzerland","Number","Specialist medical practitioners",19198,FALSE
2010,"Switzerland","Number","General paediatricians",1309,FALSE
2010,"United Kingdom","Number","Generalist medical practitioners",48641,FALSE
2010,"United Kingdom","Number","General practitioners",48641,FALSE
2010,"United Kingdom","Number","Other generalist medical practitioners",0,TRUE
2010,"United Kingdom","Number","Specialist medical practitioners",118033,FALSE
2010,"United Kingdom","Number","General paediatricians",9084,FALSE
2010,"Montenegro","Number","Generalist medical practitioners",195,FALSE
2010,"Montenegro","Number","General practitioners",195,FALSE
2010,"Montenegro","Number","Other generalist medical practitioners",0,FALSE
2010,"Montenegro","Number","Specialist medical practitioners",1081,FALSE
2010,"Montenegro","Number","General paediatricians",172,FALSE
2010,"North Macedonia","Number","Generalist medical practitioners",1823,FALSE
2010,"North Macedonia","Number","General practitioners",7369,TRUE
2010,"North Macedonia","Number","Other generalist medical practitioners",0,TRUE
2010,"North Macedonia","Number","Specialist medical practitioners",3718,FALSE
2010,"North Macedonia","Number","General paediatricians",394,FALSE
2010,"Albania","Number","Generalist medical practitioners",7369,TRUE
2010,"Albania","Number","General practitioners",1610,FALSE
2010,"Albania","Number","Other generalist medical practitioners",0,TRUE
2010,"Albania","Number","Specialist medical practitioners",2020,FALSE
2010,"Albania","Number","General paediatricians",1332,TRUE
2010,"Serbia","Number","Generalist medical practitioners",7031,FALSE
2010,"Serbia","Number","General practitioners",5423,FALSE
2010,"Serbia","Number","Other generalist medical practitioners",1608,FALSE
2010,"Serbia","Number","Specialist medical practitioners",15285,FALSE
2010,"Serbia","Number","General paediatricians",1967,FALSE
2010,"Turkey","Number","Generalist medical practitioners",41077,FALSE
2010,"Turkey","Number","General practitioners",41077,FALSE
2010,"Turkey","Number","Other generalist medical practitioners",0,TRUE
2010,"Turkey","Number","Specialist medical practitioners",82370,FALSE
2010,"Turkey","Number","General paediatricians",6358,FALSE
2011,"Belgium","Number","Generalist medical practitioners",12290,FALSE
2011,"Belgium","Number","General practitioners",12290,FALSE
2011,"Belgium","Number","Other generalist medical practitioners",0,FALSE
2011,"Belgium","Number","Specialist medical practitioners",19492,FALSE
2011,"Belgium","Number","General paediatricians",1350,FALSE
2011,"Bulgaria","Number","Generalist medical practitioners",4925,FALSE
2011,"Bulgaria","Number","General practitioners",4697,FALSE
2011,"Bulgaria","Number","Other generalist medical practitioners",228,FALSE
2011,"Bulgaria","Number","Specialist medical practitioners",23459,FALSE
2011,"Bulgaria","Number","General paediatricians",1423,FALSE
2011,"Czechia","Number","Generalist medical practitioners",7369,FALSE
2011,"Czechia","Number","General practitioners",7369,FALSE
2011,"Czechia","Number","Other generalist medical practitioners",0,FALSE
2011,"Czechia","Number","Specialist medical practitioners",30802,FALSE
2011,"Czechia","Number","General paediatricians",1323,FALSE
2011,"Denmark","Number","Generalist medical practitioners",4418,FALSE
2011,"Denmark","Number","General practitioners",7369,TRUE
2011,"Denmark","Number","Other generalist medical practitioners",0,TRUE
2011,"Denmark","Number","Specialist medical practitioners",8900,FALSE
2011,"Denmark","Number","General paediatricians",394,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Number","Generalist medical practitioners",75252,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Number","General practitioners",56902,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Number","Other generalist medical practitioners",18350,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Number","Specialist medical practitioners",235971,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Number","General paediatricians",12854,FALSE
2011,"Estonia","Number","Generalist medical practitioners",1001,FALSE
2011,"Estonia","Number","General practitioners",869,FALSE
2011,"Estonia","Number","Other generalist medical practitioners",132,FALSE
2011,"Estonia","Number","Specialist medical practitioners",3011,FALSE
2011,"Estonia","Number","General paediatricians",163,FALSE
2011,"Ireland","Number","Generalist medical practitioners",11366,FALSE
2011,"Ireland","Number","General practitioners",3309,FALSE
2011,"Ireland","Number","Other generalist medical practitioners",8057,FALSE
2011,"Ireland","Number","Specialist medical practitioners",7429,FALSE
2011,"Ireland","Number","General paediatricians",509,FALSE
2011,"Greece","Number","Generalist medical practitioners",3369,FALSE
2011,"Greece","Number","General practitioners",2226,FALSE
2011,"Greece","Number","Other generalist medical practitioners",1143,FALSE
2011,"Greece","Number","Specialist medical practitioners",40396,FALSE
2011,"Greece","Number","General paediatricians",3293,FALSE
2011,"Spain","Number","Generalist medical practitioners",34722,FALSE
2011,"Spain","Number","General practitioners",34722,FALSE
2011,"Spain","Number","Other generalist medical practitioners",0,FALSE
2011,"Spain","Number","Specialist medical practitioners",108759,FALSE
2011,"Spain","Number","General paediatricians",12037,FALSE
2011,"France","Number","Generalist medical practitioners",93140,FALSE
2011,"France","Number","General practitioners",64583,FALSE
2011,"France","Number","Other generalist medical practitioners",28557,FALSE
2011,"France","Number","Specialist medical practitioners",106780,FALSE
2011,"France","Number","General paediatricians",7287,FALSE
2011,"Croatia","Number","Generalist medical practitioners",3299,FALSE
2011,"Croatia","Number","General practitioners",2246,FALSE
2011,"Croatia","Number","Other generalist medical practitioners",1053,FALSE
2011,"Croatia","Number","Specialist medical practitioners",9191,FALSE
2011,"Croatia","Number","General paediatricians",754,FALSE
2011,"Italy","Number","Generalist medical practitioners",53856,FALSE
2011,"Italy","Number","General practitioners",46061,FALSE
2011,"Italy","Number","Other generalist medical practitioners",7795,FALSE
2011,"Italy","Number","Specialist medical practitioners",177625,FALSE
2011,"Italy","Number","General paediatricians",17475,FALSE
2011,"Cyprus","Number","Generalist medical practitioners",735,TRUE
2011,"Cyprus","Number","General practitioners",735,TRUE
2011,"Cyprus","Number","Other generalist medical practitioners",0,TRUE
2011,"Cyprus","Number","Specialist medical practitioners",2311,TRUE
2011,"Cyprus","Number","General paediatricians",242,TRUE
2011,"Latvia","Number","Generalist medical practitioners",1328,FALSE
2011,"Latvia","Number","General practitioners",1328,FALSE
2011,"Latvia","Number","Other generalist medical practitioners",0,FALSE
2011,"Latvia","Number","Specialist medical practitioners",5128,FALSE
2011,"Latvia","Number","General paediatricians",273,FALSE
2011,"Lithuania","Number","Generalist medical practitioners",2679,FALSE
2011,"Lithuania","Number","General practitioners",2577,FALSE
2011,"Lithuania","Number","Other generalist medical practitioners",102,FALSE
2011,"Lithuania","Number","Specialist medical practitioners",9728,FALSE
2011,"Lithuania","Number","General paediatricians",855,FALSE
2011,"Luxembourg","Number","Generalist medical practitioners",424,FALSE
2011,"Luxembourg","Number","General practitioners",424,FALSE
2011,"Luxembourg","Number","Other generalist medical practitioners",0,FALSE
2011,"Luxembourg","Number","Specialist medical practitioners",1010,FALSE
2011,"Luxembourg","Number","General paediatricians",82,FALSE
2011,"Hungary","Number","Generalist medical practitioners",7096,TRUE
2011,"Hungary","Number","General practitioners",4390,TRUE
2011,"Hungary","Number","Other generalist medical practitioners",2481,TRUE
2011,"Hungary","Number","Specialist medical practitioners",25615,TRUE
2011,"Hungary","Number","General paediatricians",2371,TRUE
2011,"Malta","Number","Generalist medical practitioners",315,FALSE
2011,"Malta","Number","General practitioners",315,FALSE
2011,"Malta","Number","Other generalist medical practitioners",0,FALSE
2011,"Malta","Number","Specialist medical practitioners",620,FALSE
2011,"Malta","Number","General paediatricians",55,FALSE
2011,"Netherlands","Number","Generalist medical practitioners",23301,FALSE
2011,"Netherlands","Number","General practitioners",12222,FALSE
2011,"Netherlands","Number","Other generalist medical practitioners",11079,FALSE
2011,"Netherlands","Number","Specialist medical practitioners",28994,FALSE
2011,"Netherlands","Number","General paediatricians",1500,FALSE
2011,"Austria","Number","Generalist medical practitioners",13403,FALSE
2011,"Austria","Number","General practitioners",6534,FALSE
2011,"Austria","Number","Other generalist medical practitioners",6869,FALSE
2011,"Austria","Number","Specialist medical practitioners",20532,FALSE
2011,"Austria","Number","General paediatricians",1213,FALSE
2011,"Poland","Number","Generalist medical practitioners",14525,FALSE
2011,"Poland","Number","General practitioners",7773,FALSE
2011,"Poland","Number","Other generalist medical practitioners",6752,FALSE
2011,"Poland","Number","Specialist medical practitioners",69696,FALSE
2011,"Poland","Number","General paediatricians",4812,FALSE
2011,"Portugal","Number","Generalist medical practitioners",21917,FALSE
2011,"Portugal","Number","General practitioners",20094,FALSE
2011,"Portugal","Number","Other generalist medical practitioners",1823,FALSE
2011,"Portugal","Number","Specialist medical practitioners",21606,FALSE
2011,"Portugal","Number","General paediatricians",1648,FALSE
2011,"Romania","Number","Generalist medical practitioners",17718,FALSE
2011,"Romania","Number","General practitioners",14615,FALSE
2011,"Romania","Number","Other generalist medical practitioners",3103,FALSE
2011,"Romania","Number","Specialist medical practitioners",33435,FALSE
2011,"Romania","Number","General paediatricians",2278,FALSE
2011,"Slovenia","Number","Generalist medical practitioners",1085,FALSE
2011,"Slovenia","Number","General practitioners",928,FALSE
2011,"Slovenia","Number","Other generalist medical practitioners",157,FALSE
2011,"Slovenia","Number","Specialist medical practitioners",3921,FALSE
2011,"Slovenia","Number","General paediatricians",496,FALSE
2011,"Finland","Number","Generalist medical practitioners",6644,FALSE
2011,"Finland","Number","General practitioners",7369,TRUE
2011,"Finland","Number","Other generalist medical practitioners",0,TRUE
2011,"Finland","Number","Specialist medical practitioners",10184,FALSE
2011,"Finland","Number","General paediatricians",726,FALSE
2011,"Sweden","Number","Generalist medical practitioners",5973,FALSE
2011,"Sweden","Number","General practitioners",5973,FALSE
2011,"Sweden","Number","Other generalist medical practitioners",0,FALSE
2011,"Sweden","Number","Specialist medical practitioners",20094,FALSE
2011,"Sweden","Number","General paediatricians",1016,FALSE
2011,"Iceland","Number","Generalist medical practitioners",185,FALSE
2011,"Iceland","Number","General practitioners",185,FALSE
2011,"Iceland","Number","Other generalist medical practitioners",0,TRUE
2011,"Iceland","Number","Specialist medical practitioners",697,FALSE
2011,"Iceland","Number","General paediatricians",15,FALSE
2011,"Liechtenstein","Number","Generalist medical practitioners",37,FALSE
2011,"Liechtenstein","Number","General practitioners",26,FALSE
2011,"Liechtenstein","Number","Other generalist medical practitioners",11,FALSE
2011,"Liechtenstein","Number","Specialist medical practitioners",74,FALSE
2011,"Liechtenstein","Number","General paediatricians",5,FALSE
2011,"Norway","Number","Generalist medical practitioners",4140,FALSE
2011,"Norway","Number","General practitioners",3710,FALSE
2011,"Norway","Number","Other generalist medical practitioners",430,FALSE
2011,"Norway","Number","Specialist medical practitioners",8449,FALSE
2011,"Norway","Number","General paediatricians",673,FALSE
2011,"Switzerland","Number","Generalist medical practitioners",8356,FALSE
2011,"Switzerland","Number","General practitioners",7369,TRUE
2011,"Switzerland","Number","Other generalist medical practitioners",0,TRUE
2011,"Switzerland","Number","Specialist medical practitioners",17086,FALSE
2011,"Switzerland","Number","General paediatricians",1391,FALSE
2011,"United Kingdom","Number","Generalist medical practitioners",49838,FALSE
2011,"United Kingdom","Number","General practitioners",49838,FALSE
2011,"United Kingdom","Number","Other generalist medical practitioners",0,TRUE
2011,"United Kingdom","Number","Specialist medical practitioners",120479,FALSE
2011,"United Kingdom","Number","General paediatricians",9170,FALSE
2011,"Montenegro","Number","Generalist medical practitioners",190,FALSE
2011,"Montenegro","Number","General practitioners",190,FALSE
2011,"Montenegro","Number","Other generalist medical practitioners",0,FALSE
2011,"Montenegro","Number","Specialist medical practitioners",1069,FALSE
2011,"Montenegro","Number","General paediatricians",173,FALSE
2011,"North Macedonia","Number","Generalist medical practitioners",1933,FALSE
2011,"North Macedonia","Number","General practitioners",7369,TRUE
2011,"North Macedonia","Number","Other generalist medical practitioners",0,TRUE
2011,"North Macedonia","Number","Specialist medical practitioners",3716,FALSE
2011,"North Macedonia","Number","General paediatricians",398,FALSE
2011,"Albania","Number","Generalist medical practitioners",7369,TRUE
2011,"Albania","Number","General practitioners",1542,FALSE
2011,"Albania","Number","Other generalist medical practitioners",0,TRUE
2011,"Albania","Number","Specialist medical practitioners",2038,FALSE
2011,"Albania","Number","General paediatricians",1350,TRUE
2011,"Serbia","Number","Generalist medical practitioners",6730,FALSE
2011,"Serbia","Number","General practitioners",5282,FALSE
2011,"Serbia","Number","Other generalist medical practitioners",1448,FALSE
2011,"Serbia","Number","Specialist medical practitioners",15682,FALSE
2011,"Serbia","Number","General paediatricians",2039,FALSE
2011,"Turkey","Number","Generalist medical practitioners",41840,FALSE
2011,"Turkey","Number","General practitioners",41840,FALSE
2011,"Turkey","Number","Other generalist medical practitioners",0,TRUE
2011,"Turkey","Number","Specialist medical practitioners",84189,FALSE
2011,"Turkey","Number","General paediatricians",6595,FALSE
2012,"Belgium","Number","Generalist medical practitioners",12363,FALSE
2012,"Belgium","Number","General practitioners",12363,FALSE
2012,"Belgium","Number","Other generalist medical practitioners",0,FALSE
2012,"Belgium","Number","Specialist medical practitioners",19831,FALSE
2012,"Belgium","Number","General paediatricians",1378,FALSE
2012,"Bulgaria","Number","Generalist medical practitioners",5097,FALSE
2012,"Bulgaria","Number","General practitioners",4900,FALSE
2012,"Bulgaria","Number","Other generalist medical practitioners",197,FALSE
2012,"Bulgaria","Number","Specialist medical practitioners",23502,FALSE
2012,"Bulgaria","Number","General paediatricians",1426,FALSE
2012,"Czechia","Number","Generalist medical practitioners",7386,FALSE
2012,"Czechia","Number","General practitioners",7386,FALSE
2012,"Czechia","Number","Other generalist medical practitioners",0,FALSE
2012,"Czechia","Number","Specialist medical practitioners",31238,FALSE
2012,"Czechia","Number","General paediatricians",1285,FALSE
2012,"Denmark","Number","Generalist medical practitioners",4477,FALSE
2012,"Denmark","Number","General practitioners",7386,TRUE
2012,"Denmark","Number","Other generalist medical practitioners",0,TRUE
2012,"Denmark","Number","Specialist medical practitioners",9110,FALSE
2012,"Denmark","Number","General paediatricians",400,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Number","Generalist medical practitioners",75390,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Number","General practitioners",56739.5,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Number","Other generalist medical practitioners",18650.5,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Number","Specialist medical practitioners",242000,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Number","General paediatricians",13047,FALSE
2012,"Estonia","Number","Generalist medical practitioners",959,FALSE
2012,"Estonia","Number","General practitioners",855,FALSE
2012,"Estonia","Number","Other generalist medical practitioners",104,FALSE
2012,"Estonia","Number","Specialist medical practitioners",3000,FALSE
2012,"Estonia","Number","General paediatricians",161,FALSE
2012,"Ireland","Number","Generalist medical practitioners",11288,FALSE
2012,"Ireland","Number","General practitioners",3318,FALSE
2012,"Ireland","Number","Other generalist medical practitioners",7970,FALSE
2012,"Ireland","Number","Specialist medical practitioners",6835,FALSE
2012,"Ireland","Number","General paediatricians",455,FALSE
2012,"Greece","Number","Generalist medical practitioners",3456,FALSE
2012,"Greece","Number","General practitioners",2383,FALSE
2012,"Greece","Number","Other generalist medical practitioners",1073,FALSE
2012,"Greece","Number","Specialist medical practitioners",41116,FALSE
2012,"Greece","Number","General paediatricians",3326,FALSE
2012,"Spain","Number","Generalist medical practitioners",35061,FALSE
2012,"Spain","Number","General practitioners",35061,FALSE
2012,"Spain","Number","Other generalist medical practitioners",0,FALSE
2012,"Spain","Number","Specialist medical practitioners",112699,FALSE
2012,"Spain","Number","General paediatricians",12029,FALSE
2012,"France","Number","Generalist medical practitioners",93283,FALSE
2012,"France","Number","General practitioners",63522,FALSE
2012,"France","Number","Other generalist medical practitioners",29761,FALSE
2012,"France","Number","Specialist medical practitioners",108501,FALSE
2012,"France","Number","General paediatricians",7466,FALSE
2012,"Croatia","Number","Generalist medical practitioners",3371,FALSE
2012,"Croatia","Number","General practitioners",2266,FALSE
2012,"Croatia","Number","Other generalist medical practitioners",1105,FALSE
2012,"Croatia","Number","Specialist medical practitioners",9401,FALSE
2012,"Croatia","Number","General paediatricians",752,FALSE
2012,"Italy","Number","Generalist medical practitioners",53994,FALSE
2012,"Italy","Number","General practitioners",45437,FALSE
2012,"Italy","Number","Other generalist medical practitioners",8557,FALSE
2012,"Italy","Number","Specialist medical practitioners",176627,FALSE
2012,"Italy","Number","General paediatricians",17270,FALSE
2012,"Cyprus","Number","Generalist medical practitioners",735,TRUE
2012,"Cyprus","Number","General practitioners",735,TRUE
2012,"Cyprus","Number","Other generalist medical practitioners",0,TRUE
2012,"Cyprus","Number","Specialist medical practitioners",2311,TRUE
2012,"Cyprus","Number","General paediatricians",242,TRUE
2012,"Latvia","Number","Generalist medical practitioners",1338,FALSE
2012,"Latvia","Number","General practitioners",1338,FALSE
2012,"Latvia","Number","Other generalist medical practitioners",0,FALSE
2012,"Latvia","Number","Specialist medical practitioners",5058,FALSE
2012,"Latvia","Number","General paediatricians",249,FALSE
2012,"Lithuania","Number","Generalist medical practitioners",2697,FALSE
2012,"Lithuania","Number","General practitioners",2552,FALSE
2012,"Lithuania","Number","Other generalist medical practitioners",145,FALSE
2012,"Lithuania","Number","Specialist medical practitioners",9907,FALSE
2012,"Lithuania","Number","General paediatricians",835,FALSE
2012,"Luxembourg","Number","Generalist medical practitioners",441,FALSE
2012,"Luxembourg","Number","General practitioners",441,FALSE
2012,"Luxembourg","Number","Other generalist medical practitioners",0,FALSE
2012,"Luxembourg","Number","Specialist medical practitioners",1048,FALSE
2012,"Luxembourg","Number","General paediatricians",83,FALSE
2012,"Hungary","Number","Generalist medical practitioners",7096,TRUE
2012,"Hungary","Number","General practitioners",4390,TRUE
2012,"Hungary","Number","Other generalist medical practitioners",2481,TRUE
2012,"Hungary","Number","Specialist medical practitioners",25615,TRUE
2012,"Hungary","Number","General paediatricians",2371,TRUE
2012,"Malta","Number","Generalist medical practitioners",335,FALSE
2012,"Malta","Number","General practitioners",335,FALSE
2012,"Malta","Number","Other generalist medical practitioners",0,FALSE
2012,"Malta","Number","Specialist medical practitioners",659,FALSE
2012,"Malta","Number","General paediatricians",63,FALSE
2012,"Netherlands","Number","Generalist medical practitioners",24135,FALSE
2012,"Netherlands","Number","General practitioners",12892,FALSE
2012,"Netherlands","Number","Other generalist medical practitioners",11243,FALSE
2012,"Netherlands","Number","Specialist medical practitioners",30376,FALSE
2012,"Netherlands","Number","General paediatricians",1556,FALSE
2012,"Austria","Number","Generalist medical practitioners",13657,FALSE
2012,"Austria","Number","General practitioners",6550,FALSE
2012,"Austria","Number","Other generalist medical practitioners",7107,FALSE
2012,"Austria","Number","Specialist medical practitioners",21107,FALSE
2012,"Austria","Number","General paediatricians",1234,FALSE
2012,"Poland","Number","Generalist medical practitioners",12645,FALSE
2012,"Poland","Number","General practitioners",8441,FALSE
2012,"Poland","Number","Other generalist medical practitioners",4204,FALSE
2012,"Poland","Number","Specialist medical practitioners",72380,FALSE
2012,"Poland","Number","General paediatricians",4880,FALSE
2012,"Portugal","Number","Generalist medical practitioners",22125,FALSE
2012,"Portugal","Number","General practitioners",20269,FALSE
2012,"Portugal","Number","Other generalist medical practitioners",1856,FALSE
2012,"Portugal","Number","Specialist medical practitioners",22465,FALSE
2012,"Portugal","Number","General paediatricians",1773,FALSE
