"TIME","GEO","UNIT","SOURCE","ICD10","Value","Flag and Footnotes"
"2010","Romania","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Slovenia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Slovenia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Slovenia","Percentage","Programme data","Malignant neoplasm of breast","85.10",""
"2010","Slovenia","Percentage","Programme data","Malignant neoplasm of cervix uteri","71.40","d"
"2010","Slovakia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Slovakia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Slovakia","Percentage","Programme data","Malignant neoplasm of breast","32.66","d"
"2010","Slovakia","Percentage","Programme data","Malignant neoplasm of cervix uteri","48.51","d"
"2010","Finland","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Finland","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Finland","Percentage","Programme data","Malignant neoplasm of breast","84.80",""
"2010","Finland","Percentage","Programme data","Malignant neoplasm of cervix uteri","66.70","d"
"2010","Sweden","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Sweden","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Sweden","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2010","Sweden","Percentage","Programme data","Malignant neoplasm of cervix uteri","80.10","d"
"2010","Iceland","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Iceland","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Iceland","Percentage","Programme data","Malignant neoplasm of breast","59.00","d"
"2010","Iceland","Percentage","Programme data","Malignant neoplasm of cervix uteri","65.00",""
"2010","Liechtenstein","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Liechtenstein","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Liechtenstein","Percentage","Programme data","Malignant neoplasm of breast","30.50",""
"2010","Liechtenstein","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Norway","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Norway","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Norway","Percentage","Programme data","Malignant neoplasm of breast","72.60",""
"2010","Norway","Percentage","Programme data","Malignant neoplasm of cervix uteri","76.70",""
"2010","Switzerland","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Switzerland","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Switzerland","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2010","Switzerland","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","United Kingdom","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","United Kingdom","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","United Kingdom","Percentage","Programme data","Malignant neoplasm of breast","76.95",""
"2010","United Kingdom","Percentage","Programme data","Malignant neoplasm of cervix uteri","78.91",""
"2010","Montenegro","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Montenegro","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Montenegro","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2010","Montenegro","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","North Macedonia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","North Macedonia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","North Macedonia","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2010","North Macedonia","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Serbia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Serbia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Serbia","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2010","Serbia","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Turkey","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Turkey","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Turkey","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2010","Turkey","Percentage","Programme data","Malignant neoplasm of cervix uteri","36.79","d"
"2011","Belgium","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Belgium","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Belgium","Percentage","Programme data","Malignant neoplasm of breast","62.70",""
"2011","Belgium","Percentage","Programme data","Malignant neoplasm of cervix uteri","61.60",""
"2011","Bulgaria","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Bulgaria","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Bulgaria","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2011","Bulgaria","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Czechia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Czechia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Czechia","Percentage","Programme data","Malignant neoplasm of breast","52.70",""
"2011","Czechia","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Denmark","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Denmark","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Denmark","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2011","Denmark","Percentage","Programme data","Malignant neoplasm of cervix uteri","65.60","d"
"2011","Germany (until 1990 former territory of the FRG)","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Germany (until 1990 former territory of the FRG)","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Germany (until 1990 former territory of the FRG)","Percentage","Programme data","Malignant neoplasm of breast","55.90",""
"2011","Germany (until 1990 former territory of the FRG)","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Estonia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Estonia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Estonia","Percentage","Programme data","Malignant neoplasm of breast","51.00","d"
"2011","Estonia","Percentage","Programme data","Malignant neoplasm of cervix uteri","53.00","d"
"2011","Ireland","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Ireland","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Ireland","Percentage","Programme data","Malignant neoplasm of breast","74.50","d"
"2011","Ireland","Percentage","Programme data","Malignant neoplasm of cervix uteri","60.90",""
"2011","Greece","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Greece","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Greece","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2011","Greece","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Spain","Percentage","Survey data","Malignant neoplasm of breast","77.10",""
"2011","Spain","Percentage","Survey data","Malignant neoplasm of cervix uteri","67.70",""
"2011","Spain","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2011","Spain","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","France","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","France","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","France","Percentage","Programme data","Malignant neoplasm of breast","53.50",""
"2011","France","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Croatia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Croatia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Croatia","Percentage","Programme data","Malignant neoplasm of breast","57.00",""
"2011","Croatia","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Italy","Percentage","Survey data","Malignant neoplasm of breast","70.10",""
"2011","Italy","Percentage","Survey data","Malignant neoplasm of cervix uteri","76.90",""
"2011","Italy","Percentage","Programme data","Malignant neoplasm of breast","59.60",""
"2011","Italy","Percentage","Programme data","Malignant neoplasm of cervix uteri","41.20",""
"2011","Cyprus","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Cyprus","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Cyprus","Percentage","Programme data","Malignant neoplasm of breast","31.28","d"
"2011","Cyprus","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Latvia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Latvia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Latvia","Percentage","Programme data","Malignant neoplasm of breast","33.80",""
"2011","Latvia","Percentage","Programme data","Malignant neoplasm of cervix uteri","34.50",""
"2011","Lithuania","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Lithuania","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Lithuania","Percentage","Programme data","Malignant neoplasm of breast","32.60",""
"2011","Lithuania","Percentage","Programme data","Malignant neoplasm of cervix uteri","42.70","d"
"2011","Luxembourg","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Luxembourg","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Luxembourg","Percentage","Programme data","Malignant neoplasm of breast","55.90",""
"2011","Luxembourg","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Hungary","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Hungary","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Hungary","Percentage","Programme data","Malignant neoplasm of breast","46.06",""
"2011","Hungary","Percentage","Programme data","Malignant neoplasm of cervix uteri","38.33",""
"2011","Malta","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Malta","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Malta","Percentage","Programme data","Malignant neoplasm of breast","50.90","d"
"2011","Malta","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Netherlands","Percentage","Survey data","Malignant neoplasm of breast","85.60",""
"2011","Netherlands","Percentage","Survey data","Malignant neoplasm of cervix uteri","64.80",""
"2011","Netherlands","Percentage","Programme data","Malignant neoplasm of breast","80.80",""
"2011","Netherlands","Percentage","Programme data","Malignant neoplasm of cervix uteri","66.20","d"
"2011","Austria","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Austria","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Austria","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2011","Austria","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Poland","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Poland","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Poland","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2011","Poland","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Portugal","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Portugal","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Portugal","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2011","Portugal","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Romania","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Romania","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Romania","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2011","Romania","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Slovenia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Slovenia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Slovenia","Percentage","Programme data","Malignant neoplasm of breast","72.80",""
"2011","Slovenia","Percentage","Programme data","Malignant neoplasm of cervix uteri","71.50","d"
"2011","Slovakia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Slovakia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Slovakia","Percentage","Programme data","Malignant neoplasm of breast","31.06","d"
"2011","Slovakia","Percentage","Programme data","Malignant neoplasm of cervix uteri","47.51","d"
"2011","Finland","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Finland","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Finland","Percentage","Programme data","Malignant neoplasm of breast","84.80",""
"2011","Finland","Percentage","Programme data","Malignant neoplasm of cervix uteri","67.90","d"
"2011","Sweden","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Sweden","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Sweden","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2011","Sweden","Percentage","Programme data","Malignant neoplasm of cervix uteri","79.20","d"
"2011","Iceland","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Iceland","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Iceland","Percentage","Programme data","Malignant neoplasm of breast","58.00","d"
"2011","Iceland","Percentage","Programme data","Malignant neoplasm of cervix uteri","61.00",""
"2011","Liechtenstein","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Liechtenstein","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Liechtenstein","Percentage","Programme data","Malignant neoplasm of breast","47.50",""
"2011","Liechtenstein","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Norway","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Norway","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Norway","Percentage","Programme data","Malignant neoplasm of breast","74.60",""
"2011","Norway","Percentage","Programme data","Malignant neoplasm of cervix uteri","76.20",""
"2011","Switzerland","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Switzerland","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Switzerland","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2011","Switzerland","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","United Kingdom","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","United Kingdom","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","United Kingdom","Percentage","Programme data","Malignant neoplasm of breast","77.20",""
"2011","United Kingdom","Percentage","Programme data","Malignant neoplasm of cervix uteri","78.65",""
"2011","Montenegro","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Montenegro","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Montenegro","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2011","Montenegro","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","North Macedonia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","North Macedonia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","North Macedonia","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2011","North Macedonia","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Serbia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Serbia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Serbia","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2011","Serbia","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2011","Turkey","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2011","Turkey","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2011","Turkey","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2011","Turkey","Percentage","Programme data","Malignant neoplasm of cervix uteri","41.00","d"
"2012","Belgium","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2012","Belgium","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2012","Belgium","Percentage","Programme data","Malignant neoplasm of breast","62.70",""
"2012","Belgium","Percentage","Programme data","Malignant neoplasm of cervix uteri","59.71",""
"2012","Bulgaria","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2012","Bulgaria","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2012","Bulgaria","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2012","Bulgaria","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2012","Czechia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2012","Czechia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2012","Czechia","Percentage","Programme data","Malignant neoplasm of breast","54.90",""
"2012","Czechia","Percentage","Programme data","Malignant neoplasm of cervix uteri","73.49",""
"2012","Denmark","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2012","Denmark","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2012","Denmark","Percentage","Programme data","Malignant neoplasm of breast","83.00",""
"2012","Denmark","Percentage","Programme data","Malignant neoplasm of cervix uteri","64.20","d"
"2012","Germany (until 1990 former territory of the FRG)","Percentage","Survey data","Malignant neoplasm of breast","71.30",""
"2012","Germany (until 1990 former territory of the FRG)","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2012","Germany (until 1990 former territory of the FRG)","Percentage","Programme data","Malignant neoplasm of breast","56.30",""
"2012","Germany (until 1990 former territory of the FRG)","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2012","Estonia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2012","Estonia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2012","Estonia","Percentage","Programme data","Malignant neoplasm of breast","52.00","d"
"2012","Estonia","Percentage","Programme data","Malignant neoplasm of cervix uteri","50.00","d"
"2012","Ireland","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2012","Ireland","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2012","Ireland","Percentage","Programme data","Malignant neoplasm of breast","71.40","d"
"2012","Ireland","Percentage","Programme data","Malignant neoplasm of cervix uteri","67.90","bd"
"2012","Greece","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2012","Greece","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2012","Greece","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2012","Greece","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2012","Spain","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2012","Spain","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2012","Spain","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2012","Spain","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2012","France","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2012","France","Percentage","Survey data","Malignant neoplasm of cervix uteri","73.59",""
"2012","France","Percentage","Programme data","Malignant neoplasm of breast","53.30",""
"2012","France","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2012","Croatia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2012","Croatia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2012","Croatia","Percentage","Programme data","Malignant neoplasm of breast","60.00",""
"2012","Croatia","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2012","Italy","Percentage","Survey data","Malignant neoplasm of breast","70.00",""
"2012","Italy","Percentage","Survey data","Malignant neoplasm of cervix uteri","77.00",""
"2012","Italy","Percentage","Programme data","Malignant neoplasm of breast","57.50",""
"2012","Italy","Percentage","Programme data","Malignant neoplasm of cervix uteri","41.00",""
"2012","Cyprus","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2012","Cyprus","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2012","Cyprus","Percentage","Programme data","Malignant neoplasm of breast","31.28","d"
"2012","Cyprus","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2012","Latvia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2012","Latvia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2012","Latvia","Percentage","Programme data","Malignant neoplasm of breast","32.70",""
"2012","Latvia","Percentage","Programme data","Malignant neoplasm of cervix uteri","26.70",""
"2012","Lithuania","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2012","Lithuania","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2012","Lithuania","Percentage","Programme data","Malignant neoplasm of breast","37.50",""
"2012","Lithuania","Percentage","Programme data","Malignant neoplasm of cervix uteri","43.80","d"
"2012","Luxembourg","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2012","Luxembourg","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2012","Luxembourg","Percentage","Programme data","Malignant neoplasm of breast","64.70",""
"2012","Luxembourg","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2012","Hungary","Percentage","Survey data","Malignant neoplasm of breast",":",""
