"TIME","GEO","MORTALIT","SEX","ICD10","UNIT","Value","Value_imp"
2011,"Greece","Treatable mortality","Females","Total","Number",3787.5,FALSE
2011,"Greece","Treatable mortality","Females","Total","Rate",74.53,FALSE
2011,"Spain","Total","Total","Total","Number",75150,FALSE
2011,"Spain","Total","Total","Total","Rate",202.44,FALSE
2011,"Spain","Total","Males","Total","Number",52603,FALSE
2011,"Spain","Total","Males","Total","Rate",295.82,FALSE
2011,"Spain","Total","Females","Total","Number",22547,FALSE
2011,"Spain","Total","Females","Total","Rate",116.71,FALSE
2011,"Spain","Preventable mortality","Total","Total","Number",47858,FALSE
2011,"Spain","Preventable mortality","Total","Total","Rate",128.2,FALSE
2011,"Spain","Preventable mortality","Males","Total","Number",37428,FALSE
2011,"Spain","Preventable mortality","Males","Total","Rate",208.86,FALSE
2011,"Spain","Preventable mortality","Females","Total","Number",10430,FALSE
2011,"Spain","Preventable mortality","Females","Total","Rate",53.75,FALSE
2011,"Spain","Treatable mortality","Total","Total","Number",27292,FALSE
2011,"Spain","Treatable mortality","Total","Total","Rate",74.24,FALSE
2011,"Spain","Treatable mortality","Males","Total","Number",15175,FALSE
2011,"Spain","Treatable mortality","Males","Total","Rate",86.96,FALSE
2011,"Spain","Treatable mortality","Females","Total","Number",12117,FALSE
2011,"Spain","Treatable mortality","Females","Total","Rate",62.96,FALSE
2011,"France","Total","Total","Total","Number",114555,FALSE
2011,"France","Total","Total","Total","Rate",214.83,FALSE
2011,"France","Total","Males","Total","Number",77581,FALSE
2011,"France","Total","Males","Total","Rate",304.22,FALSE
2011,"France","Total","Females","Total","Number",36974,FALSE
2011,"France","Total","Females","Total","Rate",133.21,FALSE
2011,"France","Preventable mortality","Total","Total","Number",78950.5,FALSE
2011,"France","Preventable mortality","Total","Total","Rate",147.19,FALSE
2011,"France","Preventable mortality","Males","Total","Number",59276,FALSE
2011,"France","Preventable mortality","Males","Total","Rate",230.85,FALSE
2011,"France","Preventable mortality","Females","Total","Number",19674.5,FALSE
2011,"France","Preventable mortality","Females","Total","Rate",70.54,FALSE
2011,"France","Treatable mortality","Total","Total","Number",35604.5,FALSE
2011,"France","Treatable mortality","Total","Total","Rate",67.64,FALSE
2011,"France","Treatable mortality","Males","Total","Number",18305,FALSE
2011,"France","Treatable mortality","Males","Total","Rate",73.36,FALSE
2011,"France","Treatable mortality","Females","Total","Number",17299.5,FALSE
2011,"France","Treatable mortality","Females","Total","Rate",62.67,FALSE
2011,"Croatia","Total","Total","Total","Number",16118,FALSE
2011,"Croatia","Total","Total","Total","Rate",414.76,FALSE
2011,"Croatia","Total","Males","Total","Number",10743,FALSE
2011,"Croatia","Total","Males","Total","Rate",601.7,FALSE
2011,"Croatia","Total","Females","Total","Number",5375,FALSE
2011,"Croatia","Total","Females","Total","Rate",255.29,FALSE
2011,"Croatia","Preventable mortality","Total","Total","Number",10144.5,FALSE
2011,"Croatia","Preventable mortality","Total","Total","Rate",260.04,FALSE
2011,"Croatia","Preventable mortality","Males","Total","Number",7363.5,FALSE
2011,"Croatia","Preventable mortality","Males","Total","Rate",409.37,FALSE
2011,"Croatia","Preventable mortality","Females","Total","Number",2781,FALSE
2011,"Croatia","Preventable mortality","Females","Total","Rate",131.81,FALSE
2011,"Croatia","Treatable mortality","Total","Total","Number",5973.5,FALSE
2011,"Croatia","Treatable mortality","Total","Total","Rate",154.72,FALSE
2011,"Croatia","Treatable mortality","Males","Total","Number",3379.5,FALSE
2011,"Croatia","Treatable mortality","Males","Total","Rate",192.33,FALSE
2011,"Croatia","Treatable mortality","Females","Total","Number",2594,FALSE
2011,"Croatia","Treatable mortality","Females","Total","Rate",123.47,FALSE
2011,"Italy","Total","Total","Total","Number",109290,FALSE
2011,"Italy","Total","Total","Total","Rate",200.23,FALSE
2011,"Italy","Total","Males","Total","Number",70599,FALSE
2011,"Italy","Total","Males","Total","Rate",272.18,FALSE
2011,"Italy","Total","Females","Total","Number",38691,FALSE
2011,"Italy","Total","Females","Total","Rate",135.1,FALSE
2011,"Italy","Preventable mortality","Total","Total","Number",68165.5,FALSE
2011,"Italy","Preventable mortality","Total","Total","Rate",124.8,FALSE
2011,"Italy","Preventable mortality","Males","Total","Number",49362.5,FALSE
2011,"Italy","Preventable mortality","Males","Total","Rate",189.96,FALSE
2011,"Italy","Preventable mortality","Females","Total","Number",18803,FALSE
2011,"Italy","Preventable mortality","Females","Total","Rate",65.56,FALSE
2011,"Italy","Treatable mortality","Total","Total","Number",41124.5,FALSE
2011,"Italy","Treatable mortality","Total","Total","Rate",75.43,FALSE
2011,"Italy","Treatable mortality","Males","Total","Number",21236.5,FALSE
2011,"Italy","Treatable mortality","Males","Total","Rate",82.23,FALSE
2011,"Italy","Treatable mortality","Females","Total","Number",19888,FALSE
2011,"Italy","Treatable mortality","Females","Total","Rate",69.54,FALSE
2011,"Cyprus","Total","Total","Total","Number",1192,FALSE
2011,"Cyprus","Total","Total","Total","Rate",187.9,FALSE
2011,"Cyprus","Total","Males","Total","Number",777,FALSE
2011,"Cyprus","Total","Males","Total","Rate",251.9,FALSE
2011,"Cyprus","Total","Females","Total","Number",415,FALSE
2011,"Cyprus","Total","Females","Total","Rate",128.19,FALSE
2011,"Cyprus","Preventable mortality","Total","Total","Number",701,FALSE
2011,"Cyprus","Preventable mortality","Total","Total","Rate",108.76,FALSE
2011,"Cyprus","Preventable mortality","Males","Total","Number",514,FALSE
2011,"Cyprus","Preventable mortality","Males","Total","Rate",163.84,FALSE
2011,"Cyprus","Preventable mortality","Females","Total","Number",187,FALSE
2011,"Cyprus","Preventable mortality","Females","Total","Rate",57.31,FALSE
2011,"Cyprus","Treatable mortality","Total","Total","Number",491,FALSE
2011,"Cyprus","Treatable mortality","Total","Total","Rate",79.15,FALSE
2011,"Cyprus","Treatable mortality","Males","Total","Number",263,FALSE
2011,"Cyprus","Treatable mortality","Males","Total","Rate",88.06,FALSE
2011,"Cyprus","Treatable mortality","Females","Total","Number",228,FALSE
2011,"Cyprus","Treatable mortality","Females","Total","Rate",70.88,FALSE
2011,"Latvia","Total","Total","Total","Number",11371,FALSE
2011,"Latvia","Total","Total","Total","Rate",606.08,FALSE
2011,"Latvia","Total","Males","Total","Number",7450,FALSE
2011,"Latvia","Total","Males","Total","Rate",963.33,FALSE
2011,"Latvia","Total","Females","Total","Number",3921,FALSE
2011,"Latvia","Total","Females","Total","Rate",353.29,FALSE
2011,"Latvia","Preventable mortality","Total","Total","Number",6951,FALSE
2011,"Latvia","Preventable mortality","Total","Total","Rate",369.91,FALSE
2011,"Latvia","Preventable mortality","Males","Total","Number",4940.5,FALSE
2011,"Latvia","Preventable mortality","Males","Total","Rate",630.02,FALSE
2011,"Latvia","Preventable mortality","Females","Total","Number",2010.5,FALSE
2011,"Latvia","Preventable mortality","Females","Total","Rate",182.03,FALSE
2011,"Latvia","Treatable mortality","Total","Total","Number",4420,FALSE
2011,"Latvia","Treatable mortality","Total","Total","Rate",236.17,FALSE
2011,"Latvia","Treatable mortality","Males","Total","Number",2509.5,FALSE
2011,"Latvia","Treatable mortality","Males","Total","Rate",333.31,FALSE
2011,"Latvia","Treatable mortality","Females","Total","Number",1910.5,FALSE
2011,"Latvia","Treatable mortality","Females","Total","Rate",171.26,FALSE
2011,"Lithuania","Total","Total","Total","Number",15927,FALSE
2011,"Lithuania","Total","Total","Total","Rate",602.34,FALSE
2011,"Lithuania","Total","Males","Total","Number",10918,FALSE
2011,"Lithuania","Total","Males","Total","Rate",977.25,FALSE
2011,"Lithuania","Total","Females","Total","Number",5009,FALSE
2011,"Lithuania","Total","Females","Total","Rate",327.17,FALSE
2011,"Lithuania","Preventable mortality","Total","Total","Number",10133,FALSE
2011,"Lithuania","Preventable mortality","Total","Total","Rate",380.89,FALSE
2011,"Lithuania","Preventable mortality","Males","Total","Number",7497.5,FALSE
2011,"Lithuania","Preventable mortality","Males","Total","Rate",660.16,FALSE
2011,"Lithuania","Preventable mortality","Females","Total","Number",2635.5,FALSE
2011,"Lithuania","Preventable mortality","Females","Total","Rate",172.85,FALSE
2011,"Lithuania","Treatable mortality","Total","Total","Number",5794,FALSE
2011,"Lithuania","Treatable mortality","Total","Total","Rate",221.45,FALSE
2011,"Lithuania","Treatable mortality","Males","Total","Number",3420.5,FALSE
2011,"Lithuania","Treatable mortality","Males","Total","Rate",317.09,FALSE
2011,"Lithuania","Treatable mortality","Females","Total","Number",2373.5,FALSE
2011,"Lithuania","Treatable mortality","Females","Total","Rate",154.33,FALSE
2011,"Luxembourg","Total","Total","Total","Number",917,FALSE
2011,"Luxembourg","Total","Total","Total","Rate",233.01,FALSE
2011,"Luxembourg","Total","Males","Total","Number",582,FALSE
2011,"Luxembourg","Total","Males","Total","Rate",300.43,FALSE
2011,"Luxembourg","Total","Females","Total","Number",335,FALSE
2011,"Luxembourg","Total","Females","Total","Rate",168.75,FALSE
2011,"Luxembourg","Preventable mortality","Total","Total","Number",598,FALSE
2011,"Luxembourg","Preventable mortality","Total","Total","Rate",150,FALSE
2011,"Luxembourg","Preventable mortality","Males","Total","Number",412.5,FALSE
2011,"Luxembourg","Preventable mortality","Males","Total","Rate",208.56,FALSE
2011,"Luxembourg","Preventable mortality","Females","Total","Number",185.5,FALSE
2011,"Luxembourg","Preventable mortality","Females","Total","Rate",93.02,FALSE
2011,"Luxembourg","Treatable mortality","Total","Total","Number",319,FALSE
2011,"Luxembourg","Treatable mortality","Total","Total","Rate",83.01,FALSE
2011,"Luxembourg","Treatable mortality","Males","Total","Number",169.5,FALSE
2011,"Luxembourg","Treatable mortality","Males","Total","Rate",91.87,FALSE
2011,"Luxembourg","Treatable mortality","Females","Total","Number",149.5,FALSE
2011,"Luxembourg","Treatable mortality","Females","Total","Rate",75.73,FALSE
2011,"Hungary","Total","Total","Total","Number",49068,FALSE
2011,"Hungary","Total","Total","Total","Rate",556.06,FALSE
2011,"Hungary","Total","Males","Total","Number",31638,FALSE
2011,"Hungary","Total","Males","Total","Rate",815.66,FALSE
2011,"Hungary","Total","Females","Total","Number",17430,FALSE
2011,"Hungary","Total","Females","Total","Rate",353.77,FALSE
2011,"Hungary","Preventable mortality","Total","Total","Number",31885,FALSE
2011,"Hungary","Preventable mortality","Total","Total","Rate",358.54,FALSE
2011,"Hungary","Preventable mortality","Males","Total","Number",21921,FALSE
2011,"Hungary","Preventable mortality","Males","Total","Rate",557.7,FALSE
2011,"Hungary","Preventable mortality","Females","Total","Number",9964,FALSE
2011,"Hungary","Preventable mortality","Females","Total","Rate",201.43,FALSE
2011,"Hungary","Treatable mortality","Total","Total","Number",17183,FALSE
2011,"Hungary","Treatable mortality","Total","Total","Rate",197.53,FALSE
2011,"Hungary","Treatable mortality","Males","Total","Number",9717,FALSE
2011,"Hungary","Treatable mortality","Males","Total","Rate",257.96,FALSE
2011,"Hungary","Treatable mortality","Females","Total","Number",7466,FALSE
2011,"Hungary","Treatable mortality","Females","Total","Rate",152.34,FALSE
2011,"Malta","Total","Total","Total","Number",886,FALSE
2011,"Malta","Total","Total","Total","Rate",240.98,FALSE
2011,"Malta","Total","Males","Total","Number",580,FALSE
2011,"Malta","Total","Males","Total","Rate",329.06,FALSE
2011,"Malta","Total","Females","Total","Number",306,FALSE
2011,"Malta","Total","Females","Total","Rate",160.38,FALSE
2011,"Malta","Preventable mortality","Total","Total","Number",496,FALSE
2011,"Malta","Preventable mortality","Total","Total","Rate",133.54,FALSE
2011,"Malta","Preventable mortality","Males","Total","Number",372,FALSE
2011,"Malta","Preventable mortality","Males","Total","Rate",207.7,FALSE
2011,"Malta","Preventable mortality","Females","Total","Number",124,FALSE
2011,"Malta","Preventable mortality","Females","Total","Rate",64.72,FALSE
2011,"Malta","Treatable mortality","Total","Total","Number",390,FALSE
2011,"Malta","Treatable mortality","Total","Total","Rate",107.44,FALSE
2011,"Malta","Treatable mortality","Males","Total","Number",208,FALSE
2011,"Malta","Treatable mortality","Males","Total","Rate",121.36,FALSE
2011,"Malta","Treatable mortality","Females","Total","Number",182,FALSE
2011,"Malta","Treatable mortality","Females","Total","Rate",95.66,FALSE
2011,"Netherlands","Total","Total","Total","Number",31271,FALSE
2011,"Netherlands","Total","Total","Total","Rate",220.45,FALSE
2011,"Netherlands","Total","Males","Total","Number",18256,FALSE
2011,"Netherlands","Total","Males","Total","Rate",262.72,FALSE
2011,"Netherlands","Total","Females","Total","Number",13015,FALSE
2011,"Netherlands","Total","Females","Total","Rate",179.99,FALSE
2011,"Netherlands","Preventable mortality","Total","Total","Number",20079,FALSE
2011,"Netherlands","Preventable mortality","Total","Total","Rate",141.37,FALSE
2011,"Netherlands","Preventable mortality","Males","Total","Number",12797.5,FALSE
2011,"Netherlands","Preventable mortality","Males","Total","Rate",183.49,FALSE
2011,"Netherlands","Preventable mortality","Females","Total","Number",7281.5,FALSE
2011,"Netherlands","Preventable mortality","Females","Total","Rate",100.74,FALSE
2011,"Netherlands","Treatable mortality","Total","Total","Number",11192,FALSE
2011,"Netherlands","Treatable mortality","Total","Total","Rate",79.08,FALSE
2011,"Netherlands","Treatable mortality","Males","Total","Number",5458.5,FALSE
2011,"Netherlands","Treatable mortality","Males","Total","Rate",79.22,FALSE
2011,"Netherlands","Treatable mortality","Females","Total","Number",5733.5,FALSE
2011,"Netherlands","Treatable mortality","Females","Total","Rate",79.25,FALSE
2011,"Austria","Total","Total","Total","Number",18435,FALSE
2011,"Austria","Total","Total","Total","Rate",250.05,FALSE
2011,"Austria","Total","Males","Total","Number",12181,FALSE
2011,"Austria","Total","Males","Total","Rate",345.36,FALSE
2011,"Austria","Total","Females","Total","Number",6254,FALSE
2011,"Austria","Total","Females","Total","Rate",162.69,FALSE
2011,"Austria","Preventable mortality","Total","Total","Number",12494.5,FALSE
2011,"Austria","Preventable mortality","Total","Total","Rate",168.77,FALSE
2011,"Austria","Preventable mortality","Males","Total","Number",8828.5,FALSE
2011,"Austria","Preventable mortality","Males","Total","Rate",248.5,FALSE
2011,"Austria","Preventable mortality","Females","Total","Number",3666,FALSE
2011,"Austria","Preventable mortality","Females","Total","Rate",95.29,FALSE
2011,"Austria","Treatable mortality","Total","Total","Number",5940.5,FALSE
2011,"Austria","Treatable mortality","Total","Total","Rate",81.28,FALSE
2011,"Austria","Treatable mortality","Males","Total","Number",3352.5,FALSE
2011,"Austria","Treatable mortality","Males","Total","Rate",96.86,FALSE
2011,"Austria","Treatable mortality","Females","Total","Number",2588,FALSE
