"TIME","GEO","FACILITY","UNIT","Value","Value_imp"
2010,"Estonia","Geriatric day care places","Number",568,TRUE
2010,"Ireland","Operation theatres in hospital","Number",222,TRUE
2010,"Ireland","Day care places altogether","Number",1857,FALSE
2010,"Ireland","Surgical day care places","Number",1857,TRUE
2010,"Ireland","Oncological day care place","Number",1362,TRUE
2010,"Ireland","Psychiatric day care place","Number",2279,TRUE
2010,"Ireland","Geriatric day care places","Number",1839,TRUE
2010,"Greece","Operation theatres in hospital","Number",1286,TRUE
2010,"Greece","Day care places altogether","Number",2578,FALSE
2010,"Greece","Surgical day care places","Number",269,TRUE
2010,"Greece","Oncological day care place","Number",479,TRUE
2010,"Greece","Psychiatric day care place","Number",118,TRUE
2010,"Greece","Geriatric day care places","Number",1839,TRUE
2010,"Spain","Operation theatres in hospital","Number",4120,FALSE
2010,"Spain","Day care places altogether","Number",14320,FALSE
2010,"Spain","Surgical day care places","Number",2562,FALSE
2010,"Spain","Oncological day care place","Number",6410,FALSE
2010,"Spain","Psychiatric day care place","Number",3068,FALSE
2010,"Spain","Geriatric day care places","Number",2280,FALSE
2010,"France","Operation theatres in hospital","Number",11337,TRUE
2010,"France","Day care places altogether","Number",63385,FALSE
2010,"France","Surgical day care places","Number",13346,FALSE
2010,"France","Oncological day care place","Number",6052,TRUE
2010,"France","Psychiatric day care place","Number",28285,FALSE
2010,"France","Geriatric day care places","Number",628,TRUE
2010,"Croatia","Operation theatres in hospital","Number",403,TRUE
2010,"Croatia","Day care places altogether","Number",2669,TRUE
2010,"Croatia","Surgical day care places","Number",244,TRUE
2010,"Croatia","Oncological day care place","Number",214,TRUE
2010,"Croatia","Psychiatric day care place","Number",1044,TRUE
2010,"Croatia","Geriatric day care places","Number",0,TRUE
2010,"Italy","Operation theatres in hospital","Number",6088,FALSE
2010,"Italy","Day care places altogether","Number",22765,FALSE
2010,"Italy","Surgical day care places","Number",7841,FALSE
2010,"Italy","Oncological day care place","Number",3097,FALSE
2010,"Italy","Psychiatric day care place","Number",701,FALSE
2010,"Italy","Geriatric day care places","Number",262,FALSE
2010,"Cyprus","Operation theatres in hospital","Number",28,TRUE
2010,"Cyprus","Day care places altogether","Number",208,FALSE
2010,"Cyprus","Surgical day care places","Number",8,FALSE
2010,"Cyprus","Oncological day care place","Number",27,FALSE
2010,"Cyprus","Psychiatric day care place","Number",0,FALSE
2010,"Cyprus","Geriatric day care places","Number",0,FALSE
2010,"Latvia","Operation theatres in hospital","Number",197,FALSE
2010,"Latvia","Day care places altogether","Number",1323,FALSE
2010,"Latvia","Surgical day care places","Number",2039,TRUE
2010,"Latvia","Oncological day care place","Number",1362,TRUE
2010,"Latvia","Psychiatric day care place","Number",120,FALSE
2010,"Latvia","Geriatric day care places","Number",1839,TRUE
2010,"Lithuania","Operation theatres in hospital","Number",1220,TRUE
2010,"Lithuania","Day care places altogether","Number",239,TRUE
2010,"Lithuania","Surgical day care places","Number",2039,TRUE
2010,"Lithuania","Oncological day care place","Number",1362,TRUE
2010,"Lithuania","Psychiatric day care place","Number",3068,TRUE
2010,"Lithuania","Geriatric day care places","Number",1839,TRUE
2010,"Luxembourg","Operation theatres in hospital","Number",52,FALSE
2010,"Luxembourg","Day care places altogether","Number",5960,TRUE
2010,"Luxembourg","Surgical day care places","Number",2039,TRUE
2010,"Luxembourg","Oncological day care place","Number",1362,TRUE
2010,"Luxembourg","Psychiatric day care place","Number",3068,TRUE
2010,"Luxembourg","Geriatric day care places","Number",568,TRUE
2010,"Hungary","Operation theatres in hospital","Number",1014,TRUE
2010,"Hungary","Day care places altogether","Number",5960,TRUE
2010,"Hungary","Surgical day care places","Number",2039,TRUE
2010,"Hungary","Oncological day care place","Number",1362,TRUE
2010,"Hungary","Psychiatric day care place","Number",3068,TRUE
2010,"Hungary","Geriatric day care places","Number",1839,TRUE
2010,"Malta","Operation theatres in hospital","Number",45,FALSE
2010,"Malta","Day care places altogether","Number",149,FALSE
2010,"Malta","Surgical day care places","Number",2039,TRUE
2010,"Malta","Oncological day care place","Number",27,TRUE
2010,"Malta","Psychiatric day care place","Number",3068,TRUE
2010,"Malta","Geriatric day care places","Number",30,TRUE
2010,"Netherlands","Operation theatres in hospital","Number",1177,TRUE
2010,"Netherlands","Day care places altogether","Number",5126,TRUE
2010,"Netherlands","Surgical day care places","Number",2039,TRUE
2010,"Netherlands","Oncological day care place","Number",1362,TRUE
2010,"Netherlands","Psychiatric day care place","Number",3068,TRUE
2010,"Netherlands","Geriatric day care places","Number",1839,TRUE
2010,"Austria","Operation theatres in hospital","Number",288,FALSE
2010,"Austria","Day care places altogether","Number",5960,TRUE
2010,"Austria","Surgical day care places","Number",2039,TRUE
2010,"Austria","Oncological day care place","Number",1362,TRUE
2010,"Austria","Psychiatric day care place","Number",3068,TRUE
2010,"Austria","Geriatric day care places","Number",1839,TRUE
2010,"Poland","Operation theatres in hospital","Number",3154,FALSE
2010,"Poland","Day care places altogether","Number",7585,FALSE
2010,"Poland","Surgical day care places","Number",1036,FALSE
2010,"Poland","Oncological day care place","Number",446,FALSE
2010,"Poland","Psychiatric day care place","Number",1160,FALSE
2010,"Poland","Geriatric day care places","Number",0,FALSE
2010,"Portugal","Operation theatres in hospital","Number",827,FALSE
2010,"Portugal","Day care places altogether","Number",841,FALSE
2010,"Portugal","Surgical day care places","Number",2039,TRUE
2010,"Portugal","Oncological day care place","Number",1362,TRUE
2010,"Portugal","Psychiatric day care place","Number",3068,TRUE
2010,"Portugal","Geriatric day care places","Number",1839,TRUE
2010,"Romania","Operation theatres in hospital","Number",1768,FALSE
2010,"Romania","Day care places altogether","Number",5733,FALSE
2010,"Romania","Surgical day care places","Number",565,FALSE
2010,"Romania","Oncological day care place","Number",318,FALSE
2010,"Romania","Psychiatric day care place","Number",300,FALSE
2010,"Romania","Geriatric day care places","Number",1,FALSE
2010,"Slovenia","Operation theatres in hospital","Number",148,FALSE
2010,"Slovenia","Day care places altogether","Number",5960,TRUE
2010,"Slovenia","Surgical day care places","Number",2039,TRUE
2010,"Slovenia","Oncological day care place","Number",1362,TRUE
2010,"Slovenia","Psychiatric day care place","Number",3068,TRUE
2010,"Slovenia","Geriatric day care places","Number",1839,TRUE
2010,"Slovakia","Operation theatres in hospital","Number",1220,TRUE
2010,"Slovakia","Day care places altogether","Number",3373,FALSE
2010,"Slovakia","Surgical day care places","Number",1589,FALSE
2010,"Slovakia","Oncological day care place","Number",4,FALSE
2010,"Slovakia","Psychiatric day care place","Number",480,FALSE
2010,"Slovakia","Geriatric day care places","Number",10,FALSE
2010,"Liechtenstein","Operation theatres in hospital","Number",4,FALSE
2010,"Liechtenstein","Day care places altogether","Number",7,FALSE
2010,"Liechtenstein","Surgical day care places","Number",7,FALSE
2010,"Liechtenstein","Oncological day care place","Number",0,FALSE
2010,"Liechtenstein","Psychiatric day care place","Number",0,FALSE
2010,"Liechtenstein","Geriatric day care places","Number",0,FALSE
2010,"Switzerland","Operation theatres in hospital","Number",956,FALSE
2010,"Switzerland","Day care places altogether","Number",5960,TRUE
2010,"Switzerland","Surgical day care places","Number",2039,TRUE
2010,"Switzerland","Oncological day care place","Number",1362,TRUE
2010,"Switzerland","Psychiatric day care place","Number",3068,TRUE
2010,"Switzerland","Geriatric day care places","Number",1839,TRUE
2010,"United Kingdom","Operation theatres in hospital","Number",3739,FALSE
2010,"United Kingdom","Day care places altogether","Number",13186,FALSE
2010,"United Kingdom","Surgical day care places","Number",2039,TRUE
2010,"United Kingdom","Oncological day care place","Number",1362,TRUE
2010,"United Kingdom","Psychiatric day care place","Number",3068,TRUE
2010,"United Kingdom","Geriatric day care places","Number",1839,TRUE
2010,"North Macedonia","Operation theatres in hospital","Number",1220,TRUE
2010,"North Macedonia","Day care places altogether","Number",148,FALSE
2010,"North Macedonia","Surgical day care places","Number",0,FALSE
2010,"North Macedonia","Oncological day care place","Number",42,FALSE
2010,"North Macedonia","Psychiatric day care place","Number",10,FALSE
2010,"North Macedonia","Geriatric day care places","Number",0,FALSE
2010,"Serbia","Operation theatres in hospital","Number",480,FALSE
2010,"Serbia","Day care places altogether","Number",2582,FALSE
2010,"Serbia","Surgical day care places","Number",516,FALSE
2010,"Serbia","Oncological day care place","Number",194,FALSE
2010,"Serbia","Psychiatric day care place","Number",1049,FALSE
2010,"Serbia","Geriatric day care places","Number",2,FALSE
2010,"Turkey","Operation theatres in hospital","Number",5206,FALSE
2010,"Turkey","Day care places altogether","Number",5960,TRUE
2010,"Turkey","Surgical day care places","Number",2039,TRUE
2010,"Turkey","Oncological day care place","Number",1362,TRUE
2010,"Turkey","Psychiatric day care place","Number",3068,TRUE
2010,"Turkey","Geriatric day care places","Number",1839,TRUE
2011,"Belgium","Operation theatres in hospital","Number",1241,FALSE
2011,"Belgium","Day care places altogether","Number",6213,FALSE
2011,"Belgium","Surgical day care places","Number",2177,FALSE
2011,"Belgium","Oncological day care place","Number",1460,FALSE
2011,"Belgium","Psychiatric day care place","Number",2267,FALSE
2011,"Belgium","Geriatric day care places","Number",556,FALSE
2011,"Bulgaria","Operation theatres in hospital","Number",993,TRUE
2011,"Bulgaria","Day care places altogether","Number",2187,TRUE
2011,"Bulgaria","Surgical day care places","Number",2177,TRUE
2011,"Bulgaria","Oncological day care place","Number",1460,TRUE
2011,"Bulgaria","Psychiatric day care place","Number",917,TRUE
2011,"Bulgaria","Geriatric day care places","Number",1949,TRUE
2011,"Czechia","Operation theatres in hospital","Number",993,FALSE
2011,"Czechia","Day care places altogether","Number",6213,TRUE
2011,"Czechia","Surgical day care places","Number",993,TRUE
2011,"Czechia","Oncological day care place","Number",993,TRUE
2011,"Czechia","Psychiatric day care place","Number",2267,TRUE
2011,"Czechia","Geriatric day care places","Number",993,TRUE
2011,"Denmark","Operation theatres in hospital","Number",993,TRUE
2011,"Denmark","Day care places altogether","Number",6213,TRUE
2011,"Denmark","Surgical day care places","Number",2177,TRUE
2011,"Denmark","Oncological day care place","Number",1460,TRUE
2011,"Denmark","Psychiatric day care place","Number",3366,TRUE
2011,"Denmark","Geriatric day care places","Number",1949,TRUE
2011,"Germany (until 1990 former territory of the FRG)","Operation theatres in hospital","Number",1241,TRUE
2011,"Germany (until 1990 former territory of the FRG)","Day care places altogether","Number",23832,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Surgical day care places","Number",53,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Oncological day care place","Number",983,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Psychiatric day care place","Number",15457,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Geriatric day care places","Number",1949,FALSE
2011,"Estonia","Operation theatres in hospital","Number",132,TRUE
2011,"Estonia","Day care places altogether","Number",385,FALSE
2011,"Estonia","Surgical day care places","Number",385,TRUE
2011,"Estonia","Oncological day care place","Number",983,TRUE
2011,"Estonia","Psychiatric day care place","Number",2267,TRUE
2011,"Estonia","Geriatric day care places","Number",556,TRUE
2011,"Ireland","Operation theatres in hospital","Number",221,FALSE
2011,"Ireland","Day care places altogether","Number",1936,FALSE
2011,"Ireland","Surgical day care places","Number",221,TRUE
2011,"Ireland","Oncological day care place","Number",983,TRUE
2011,"Ireland","Psychiatric day care place","Number",2267,TRUE
2011,"Ireland","Geriatric day care places","Number",556,TRUE
2011,"Greece","Operation theatres in hospital","Number",1286,TRUE
2011,"Greece","Day care places altogether","Number",2674,FALSE
2011,"Greece","Surgical day care places","Number",269,TRUE
2011,"Greece","Oncological day care place","Number",479,TRUE
2011,"Greece","Psychiatric day care place","Number",118,TRUE
2011,"Greece","Geriatric day care places","Number",1949,TRUE
2011,"Spain","Operation theatres in hospital","Number",4202,FALSE
2011,"Spain","Day care places altogether","Number",15458,FALSE
2011,"Spain","Surgical day care places","Number",2838,FALSE
2011,"Spain","Oncological day care place","Number",6957,FALSE
2011,"Spain","Psychiatric day care place","Number",3366,FALSE
2011,"Spain","Geriatric day care places","Number",2297,FALSE
2011,"France","Operation theatres in hospital","Number",11337,TRUE
2011,"France","Day care places altogether","Number",65595,FALSE
2011,"France","Surgical day care places","Number",14110,FALSE
2011,"France","Oncological day care place","Number",6052,TRUE
2011,"France","Psychiatric day care place","Number",28424,FALSE
2011,"France","Geriatric day care places","Number",628,TRUE
2011,"Croatia","Operation theatres in hospital","Number",403,TRUE
2011,"Croatia","Day care places altogether","Number",2669,TRUE
2011,"Croatia","Surgical day care places","Number",244,TRUE
2011,"Croatia","Oncological day care place","Number",214,TRUE
2011,"Croatia","Psychiatric day care place","Number",1044,TRUE
2011,"Croatia","Geriatric day care places","Number",0,TRUE
2011,"Italy","Operation theatres in hospital","Number",6092,FALSE
2011,"Italy","Day care places altogether","Number",22114,FALSE
2011,"Italy","Surgical day care places","Number",8013,FALSE
2011,"Italy","Oncological day care place","Number",3056,FALSE
2011,"Italy","Psychiatric day care place","Number",631,FALSE
2011,"Italy","Geriatric day care places","Number",206,FALSE
2011,"Cyprus","Operation theatres in hospital","Number",28,TRUE
2011,"Cyprus","Day care places altogether","Number",193,FALSE
2011,"Cyprus","Surgical day care places","Number",5,FALSE
2011,"Cyprus","Oncological day care place","Number",26,FALSE
2011,"Cyprus","Psychiatric day care place","Number",0,FALSE
2011,"Cyprus","Geriatric day care places","Number",0,FALSE
2011,"Latvia","Operation theatres in hospital","Number",224,FALSE
2011,"Latvia","Day care places altogether","Number",1400,FALSE
2011,"Latvia","Surgical day care places","Number",2177,TRUE
2011,"Latvia","Oncological day care place","Number",1460,TRUE
2011,"Latvia","Psychiatric day care place","Number",120,FALSE
2011,"Latvia","Geriatric day care places","Number",1949,TRUE
2011,"Lithuania","Operation theatres in hospital","Number",993,TRUE
2011,"Lithuania","Day care places altogether","Number",239,TRUE
2011,"Lithuania","Surgical day care places","Number",2177,TRUE
2011,"Lithuania","Oncological day care place","Number",1460,TRUE
2011,"Lithuania","Psychiatric day care place","Number",3366,TRUE
2011,"Lithuania","Geriatric day care places","Number",1949,TRUE
2011,"Luxembourg","Operation theatres in hospital","Number",52,FALSE
2011,"Luxembourg","Day care places altogether","Number",6213,TRUE
2011,"Luxembourg","Surgical day care places","Number",2177,TRUE
2011,"Luxembourg","Oncological day care place","Number",1460,TRUE
2011,"Luxembourg","Psychiatric day care place","Number",3366,TRUE
2011,"Luxembourg","Geriatric day care places","Number",556,TRUE
2011,"Hungary","Operation theatres in hospital","Number",1014,TRUE
2011,"Hungary","Day care places altogether","Number",6213,TRUE
2011,"Hungary","Surgical day care places","Number",2177,TRUE
2011,"Hungary","Oncological day care place","Number",1460,TRUE
2011,"Hungary","Psychiatric day care place","Number",3366,TRUE
2011,"Hungary","Geriatric day care places","Number",1949,TRUE
2011,"Malta","Operation theatres in hospital","Number",42,FALSE
2011,"Malta","Day care places altogether","Number",149,FALSE
2011,"Malta","Surgical day care places","Number",2177,TRUE
2011,"Malta","Oncological day care place","Number",27,TRUE
2011,"Malta","Psychiatric day care place","Number",3366,TRUE
2011,"Malta","Geriatric day care places","Number",30,TRUE
2011,"Netherlands","Operation theatres in hospital","Number",1177,TRUE
2011,"Netherlands","Day care places altogether","Number",5126,TRUE
2011,"Netherlands","Surgical day care places","Number",2177,TRUE
2011,"Netherlands","Oncological day care place","Number",1460,TRUE
2011,"Netherlands","Psychiatric day care place","Number",3366,TRUE
2011,"Netherlands","Geriatric day care places","Number",1949,TRUE
2011,"Austria","Operation theatres in hospital","Number",290,FALSE
2011,"Austria","Day care places altogether","Number",6213,TRUE
2011,"Austria","Surgical day care places","Number",2177,TRUE
2011,"Austria","Oncological day care place","Number",1460,TRUE
2011,"Austria","Psychiatric day care place","Number",3366,TRUE
2011,"Austria","Geriatric day care places","Number",1949,TRUE
2011,"Poland","Operation theatres in hospital","Number",3142,FALSE
2011,"Poland","Day care places altogether","Number",7489,FALSE
2011,"Poland","Surgical day care places","Number",855,FALSE
2011,"Poland","Oncological day care place","Number",492,FALSE
2011,"Poland","Psychiatric day care place","Number",1196,FALSE
2011,"Poland","Geriatric day care places","Number",0,FALSE
2011,"Portugal","Operation theatres in hospital","Number",860,FALSE
2011,"Portugal","Day care places altogether","Number",1376,FALSE
2011,"Portugal","Surgical day care places","Number",2177,TRUE
2011,"Portugal","Oncological day care place","Number",1460,TRUE
2011,"Portugal","Psychiatric day care place","Number",3366,TRUE
2011,"Portugal","Geriatric day care places","Number",1949,TRUE
2011,"Romania","Operation theatres in hospital","Number",1806,FALSE
2011,"Romania","Day care places altogether","Number",5749,FALSE
2011,"Romania","Surgical day care places","Number",611,FALSE
2011,"Romania","Oncological day care place","Number",421,FALSE
2011,"Romania","Psychiatric day care place","Number",217,FALSE
2011,"Romania","Geriatric day care places","Number",10,FALSE
2011,"Slovenia","Operation theatres in hospital","Number",154,FALSE
2011,"Slovenia","Day care places altogether","Number",6213,TRUE
2011,"Slovenia","Surgical day care places","Number",2177,TRUE
2011,"Slovenia","Oncological day care place","Number",1460,TRUE
2011,"Slovenia","Psychiatric day care place","Number",3366,TRUE
2011,"Slovenia","Geriatric day care places","Number",1949,TRUE
2011,"Slovakia","Operation theatres in hospital","Number",993,TRUE
2011,"Slovakia","Day care places altogether","Number",4005,FALSE
2011,"Slovakia","Surgical day care places","Number",1857,FALSE
2011,"Slovakia","Oncological day care place","Number",26,FALSE
2011,"Slovakia","Psychiatric day care place","Number",477,FALSE
2011,"Slovakia","Geriatric day care places","Number",24,FALSE
2011,"Liechtenstein","Operation theatres in hospital","Number",4,FALSE
2011,"Liechtenstein","Day care places altogether","Number",7,FALSE
2011,"Liechtenstein","Surgical day care places","Number",7,FALSE
2011,"Liechtenstein","Oncological day care place","Number",0,FALSE
2011,"Liechtenstein","Psychiatric day care place","Number",0,FALSE
2011,"Liechtenstein","Geriatric day care places","Number",0,FALSE
2011,"Switzerland","Operation theatres in hospital","Number",975,FALSE
2011,"Switzerland","Day care places altogether","Number",6213,TRUE
2011,"Switzerland","Surgical day care places","Number",2177,TRUE
2011,"Switzerland","Oncological day care place","Number",1460,TRUE
2011,"Switzerland","Psychiatric day care place","Number",3366,TRUE
2011,"Switzerland","Geriatric day care places","Number",1949,TRUE
2011,"United Kingdom","Operation theatres in hospital","Number",3636,FALSE
2011,"United Kingdom","Day care places altogether","Number",13960,FALSE
2011,"United Kingdom","Surgical day care places","Number",2177,TRUE
2011,"United Kingdom","Oncological day care place","Number",1460,TRUE
2011,"United Kingdom","Psychiatric day care place","Number",3366,TRUE
2011,"United Kingdom","Geriatric day care places","Number",1949,TRUE
2011,"North Macedonia","Operation theatres in hospital","Number",993,TRUE
2011,"North Macedonia","Day care places altogether","Number",150,TRUE
2011,"North Macedonia","Surgical day care places","Number",0,FALSE
2011,"North Macedonia","Oncological day care place","Number",38,TRUE
2011,"North Macedonia","Psychiatric day care place","Number",10,TRUE
2011,"North Macedonia","Geriatric day care places","Number",0,FALSE
2011,"Serbia","Operation theatres in hospital","Number",499,FALSE
2011,"Serbia","Day care places altogether","Number",2747,FALSE
2011,"Serbia","Surgical day care places","Number",544,FALSE
2011,"Serbia","Oncological day care place","Number",250,FALSE
2011,"Serbia","Psychiatric day care place","Number",1092,FALSE
2011,"Serbia","Geriatric day care places","Number",2,FALSE
2011,"Turkey","Operation theatres in hospital","Number",5206,FALSE
2011,"Turkey","Day care places altogether","Number",6213,TRUE
2011,"Turkey","Surgical day care places","Number",2177,TRUE
2011,"Turkey","Oncological day care place","Number",1460,TRUE
2011,"Turkey","Psychiatric day care place","Number",3366,TRUE
2011,"Turkey","Geriatric day care places","Number",1949,TRUE
2012,"Belgium","Operation theatres in hospital","Number",1258,FALSE
2012,"Belgium","Day care places altogether","Number",5960,TRUE
2012,"Belgium","Surgical day care places","Number",2247,FALSE
2012,"Belgium","Oncological day care place","Number",1501,FALSE
2012,"Belgium","Psychiatric day care place","Number",1869,FALSE
2012,"Belgium","Geriatric day care places","Number",544,FALSE
2012,"Bulgaria","Operation theatres in hospital","Number",993,TRUE
2012,"Bulgaria","Day care places altogether","Number",2187,TRUE
2012,"Bulgaria","Surgical day care places","Number",2247,TRUE
2012,"Bulgaria","Oncological day care place","Number",1501,TRUE
2012,"Bulgaria","Psychiatric day care place","Number",917,TRUE
2012,"Bulgaria","Geriatric day care places","Number",2013,TRUE
2012,"Czechia","Operation theatres in hospital","Number",993,FALSE
2012,"Czechia","Day care places altogether","Number",993,TRUE
2012,"Czechia","Surgical day care places","Number",993,TRUE
2012,"Czechia","Oncological day care place","Number",1047,TRUE
2012,"Czechia","Psychiatric day care place","Number",1869,TRUE
2012,"Czechia","Geriatric day care places","Number",993,TRUE
2012,"Denmark","Operation theatres in hospital","Number",993,TRUE
2012,"Denmark","Day care places altogether","Number",2049,TRUE
2012,"Denmark","Surgical day care places","Number",2247,TRUE
2012,"Denmark","Oncological day care place","Number",1501,TRUE
2012,"Denmark","Psychiatric day care place","Number",3848,TRUE
2012,"Denmark","Geriatric day care places","Number",2013,TRUE
2012,"Germany (until 1990 former territory of the FRG)","Operation theatres in hospital","Number",1258,TRUE
2012,"Germany (until 1990 former territory of the FRG)","Day care places altogether","Number",25400,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Surgical day care places","Number",73,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Oncological day care place","Number",1047,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Psychiatric day care place","Number",16773,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Geriatric day care places","Number",2013,FALSE
2012,"Estonia","Operation theatres in hospital","Number",132,TRUE
2012,"Estonia","Day care places altogether","Number",382,FALSE
2012,"Estonia","Surgical day care places","Number",382,TRUE
2012,"Estonia","Oncological day care place","Number",1047,TRUE
2012,"Estonia","Psychiatric day care place","Number",1869,TRUE
2012,"Estonia","Geriatric day care places","Number",544,TRUE
2012,"Ireland","Operation theatres in hospital","Number",222,FALSE
2012,"Ireland","Day care places altogether","Number",2049,FALSE
2012,"Ireland","Surgical day care places","Number",222,TRUE
2012,"Ireland","Oncological day care place","Number",1047,TRUE
2012,"Ireland","Psychiatric day care place","Number",1869,TRUE
2012,"Ireland","Geriatric day care places","Number",544,TRUE
2012,"Greece","Operation theatres in hospital","Number",1286,TRUE
2012,"Greece","Day care places altogether","Number",2993,FALSE
2012,"Greece","Surgical day care places","Number",269,TRUE
2012,"Greece","Oncological day care place","Number",479,TRUE
2012,"Greece","Psychiatric day care place","Number",118,TRUE
2012,"Greece","Geriatric day care places","Number",2013,TRUE
2012,"Spain","Operation theatres in hospital","Number",4267,FALSE
2012,"Spain","Day care places altogether","Number",16537,FALSE
2012,"Spain","Surgical day care places","Number",3008,FALSE
2012,"Spain","Oncological day care place","Number",7352,FALSE
2012,"Spain","Psychiatric day care place","Number",3848,FALSE
2012,"Spain","Geriatric day care places","Number",2329,FALSE
2012,"France","Operation theatres in hospital","Number",11337,TRUE
2012,"France","Day care places altogether","Number",68493,FALSE
2012,"France","Surgical day care places","Number",15272,FALSE
2012,"France","Oncological day care place","Number",6052,TRUE
2012,"France","Psychiatric day care place","Number",28871,FALSE
2012,"France","Geriatric day care places","Number",628,TRUE
2012,"Croatia","Operation theatres in hospital","Number",403,FALSE
2012,"Croatia","Day care places altogether","Number",2300,FALSE
2012,"Croatia","Surgical day care places","Number",199,FALSE
2012,"Croatia","Oncological day care place","Number",120,FALSE
2012,"Croatia","Psychiatric day care place","Number",920,FALSE
2012,"Croatia","Geriatric day care places","Number",0,FALSE
2012,"Italy","Operation theatres in hospital","Number",6118,FALSE
2012,"Italy","Day care places altogether","Number",18756,FALSE
2012,"Italy","Surgical day care places","Number",8139,FALSE
2012,"Italy","Oncological day care place","Number",2818,FALSE
2012,"Italy","Psychiatric day care place","Number",603,FALSE
2012,"Italy","Geriatric day care places","Number",191,FALSE
2012,"Cyprus","Operation theatres in hospital","Number",24,FALSE
2012,"Cyprus","Day care places altogether","Number",205,FALSE
2012,"Cyprus","Surgical day care places","Number",5,FALSE
2012,"Cyprus","Oncological day care place","Number",26,FALSE
2012,"Cyprus","Psychiatric day care place","Number",0,FALSE
2012,"Cyprus","Geriatric day care places","Number",0,FALSE
2012,"Latvia","Operation theatres in hospital","Number",241,FALSE
2012,"Latvia","Day care places altogether","Number",1515,FALSE
2012,"Latvia","Surgical day care places","Number",2247,TRUE
2012,"Latvia","Oncological day care place","Number",1501,TRUE
2012,"Latvia","Psychiatric day care place","Number",155,FALSE
2012,"Latvia","Geriatric day care places","Number",2013,TRUE
2012,"Lithuania","Operation theatres in hospital","Number",993,TRUE
2012,"Lithuania","Day care places altogether","Number",239,TRUE
2012,"Lithuania","Surgical day care places","Number",2247,TRUE
2012,"Lithuania","Oncological day care place","Number",1501,TRUE
2012,"Lithuania","Psychiatric day care place","Number",3848,TRUE
2012,"Lithuania","Geriatric day care places","Number",2013,TRUE
2012,"Luxembourg","Operation theatres in hospital","Number",52,FALSE
2012,"Luxembourg","Day care places altogether","Number",2049,TRUE
2012,"Luxembourg","Surgical day care places","Number",2247,TRUE
2012,"Luxembourg","Oncological day care place","Number",1501,TRUE
2012,"Luxembourg","Psychiatric day care place","Number",3848,TRUE
2012,"Luxembourg","Geriatric day care places","Number",544,TRUE
2012,"Hungary","Operation theatres in hospital","Number",1014,FALSE
2012,"Hungary","Day care places altogether","Number",2049,TRUE
2012,"Hungary","Surgical day care places","Number",2247,TRUE
2012,"Hungary","Oncological day care place","Number",1501,TRUE
2012,"Hungary","Psychiatric day care place","Number",3848,TRUE
2012,"Hungary","Geriatric day care places","Number",2013,TRUE
2012,"Malta","Operation theatres in hospital","Number",41,FALSE
