"TIME","GEO","ISCO08","UNIT","Value","Flag and Footnotes"
"2010","Germany (until 1990 former territory of the FRG)","Hospital employment","Full-time equivalent (FTE)","926 000.00",""
"2010","Estonia","Medical doctors","Full-time equivalent (FTE)","2 663.20",""
"2010","Estonia","Nursing professionals and midwives","Full-time equivalent (FTE)","5 969.70",""
"2010","Estonia","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2010","Estonia","Health care assistants","Full-time equivalent (FTE)","2 790.70",""
"2010","Estonia","Hospital employment","Full-time equivalent (FTE)","17 435.90",""
"2010","Ireland","Medical doctors","Full-time equivalent (FTE)","5 943.00",""
"2010","Ireland","Nursing professionals and midwives","Full-time equivalent (FTE)","19 820.00",""
"2010","Ireland","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2010","Ireland","Health care assistants","Full-time equivalent (FTE)","3 318.00",""
"2010","Ireland","Hospital employment","Full-time equivalent (FTE)","49 764.00",""
"2010","Greece","Medical doctors","Full-time equivalent (FTE)",":",""
"2010","Greece","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2010","Greece","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Greece","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Greece","Hospital employment","Full-time equivalent (FTE)",":",""
"2010","Spain","Medical doctors","Full-time equivalent (FTE)",":",""
"2010","Spain","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2010","Spain","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Spain","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Spain","Hospital employment","Full-time equivalent (FTE)",":",""
"2010","France","Medical doctors","Full-time equivalent (FTE)","110 956.52",""
"2010","France","Nursing professionals and midwives","Full-time equivalent (FTE)","349 585.59",""
"2010","France","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2010","France","Health care assistants","Full-time equivalent (FTE)","261 687.47",""
"2010","France","Hospital employment","Full-time equivalent (FTE)","1 216 111.85",""
"2010","Croatia","Medical doctors","Full-time equivalent (FTE)",":",""
"2010","Croatia","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2010","Croatia","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Croatia","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Croatia","Hospital employment","Full-time equivalent (FTE)",":",""
"2010","Italy","Medical doctors","Full-time equivalent (FTE)",":",""
"2010","Italy","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2010","Italy","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Italy","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Italy","Hospital employment","Full-time equivalent (FTE)",":",""
"2010","Cyprus","Medical doctors","Full-time equivalent (FTE)","634.00",""
"2010","Cyprus","Nursing professionals and midwives","Full-time equivalent (FTE)","3 448.00",""
"2010","Cyprus","Nursing associate professionals","Full-time equivalent (FTE)","196.00",""
"2010","Cyprus","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Cyprus","Hospital employment","Full-time equivalent (FTE)",":",""
"2010","Latvia","Medical doctors","Full-time equivalent (FTE)",":",""
"2010","Latvia","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2010","Latvia","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Latvia","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Latvia","Hospital employment","Full-time equivalent (FTE)",":",""
"2010","Lithuania","Medical doctors","Full-time equivalent (FTE)","9 558.00",""
"2010","Lithuania","Nursing professionals and midwives","Full-time equivalent (FTE)","15 971.00",""
"2010","Lithuania","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2010","Lithuania","Health care assistants","Full-time equivalent (FTE)","5 348.00",""
"2010","Lithuania","Hospital employment","Full-time equivalent (FTE)","46 090.00",""
"2010","Luxembourg","Medical doctors","Full-time equivalent (FTE)",":",""
"2010","Luxembourg","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2010","Luxembourg","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Luxembourg","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Luxembourg","Hospital employment","Full-time equivalent (FTE)",":",""
"2010","Hungary","Medical doctors","Full-time equivalent (FTE)","15 346.41",""
"2010","Hungary","Nursing professionals and midwives","Full-time equivalent (FTE)","25 992.19",""
"2010","Hungary","Nursing associate professionals","Full-time equivalent (FTE)","8 270.81",""
"2010","Hungary","Health care assistants","Full-time equivalent (FTE)","12 747.72",""
"2010","Hungary","Hospital employment","Full-time equivalent (FTE)","94 827.99",""
"2010","Malta","Medical doctors","Full-time equivalent (FTE)","630.68",""
"2010","Malta","Nursing professionals and midwives","Full-time equivalent (FTE)","2 096.00",""
"2010","Malta","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2010","Malta","Health care assistants","Full-time equivalent (FTE)","1 122.00",""
"2010","Malta","Hospital employment","Full-time equivalent (FTE)","6 321.21",""
"2010","Netherlands","Medical doctors","Full-time equivalent (FTE)","19 562.00","e"
"2010","Netherlands","Nursing professionals and midwives","Full-time equivalent (FTE)","58 010.00","e"
"2010","Netherlands","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Netherlands","Health care assistants","Full-time equivalent (FTE)","6 661.00","e"
"2010","Netherlands","Hospital employment","Full-time equivalent (FTE)","201 280.00",""
"2010","Austria","Medical doctors","Full-time equivalent (FTE)","20 846.07",""
"2010","Austria","Nursing professionals and midwives","Full-time equivalent (FTE)","48 247.66",""
"2010","Austria","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2010","Austria","Health care assistants","Full-time equivalent (FTE)","8 621.02",""
"2010","Austria","Hospital employment","Full-time equivalent (FTE)","132 737.08",""
"2010","Poland","Medical doctors","Full-time equivalent (FTE)",":",""
"2010","Poland","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2010","Poland","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Poland","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Poland","Hospital employment","Full-time equivalent (FTE)",":",""
"2010","Portugal","Medical doctors","Full-time equivalent (FTE)",":",""
"2010","Portugal","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2010","Portugal","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Portugal","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Portugal","Hospital employment","Full-time equivalent (FTE)",":",""
"2010","Romania","Medical doctors","Full-time equivalent (FTE)","25 327.00",""
"2010","Romania","Nursing professionals and midwives","Full-time equivalent (FTE)","4 228.00",""
"2010","Romania","Nursing associate professionals","Full-time equivalent (FTE)","54 868.00","b"
"2010","Romania","Health care assistants","Full-time equivalent (FTE)","39 957.00",""
"2010","Romania","Hospital employment","Full-time equivalent (FTE)","156 818.00",""
"2010","Slovenia","Medical doctors","Full-time equivalent (FTE)",":",""
"2010","Slovenia","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2010","Slovenia","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Slovenia","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Slovenia","Hospital employment","Full-time equivalent (FTE)",":",""
"2010","Slovakia","Medical doctors","Full-time equivalent (FTE)","8 420.45",""
"2010","Slovakia","Nursing professionals and midwives","Full-time equivalent (FTE)","22 449.57",""
"2010","Slovakia","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2010","Slovakia","Health care assistants","Full-time equivalent (FTE)","5 759.22",""
"2010","Slovakia","Hospital employment","Full-time equivalent (FTE)","41 479.97",""
"2010","Finland","Medical doctors","Full-time equivalent (FTE)","8 169.54","be"
"2010","Finland","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2010","Finland","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Finland","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Finland","Hospital employment","Full-time equivalent (FTE)",":",""
"2010","Iceland","Medical doctors","Full-time equivalent (FTE)","540.82",""
"2010","Iceland","Nursing professionals and midwives","Full-time equivalent (FTE)","1 378.08",""
"2010","Iceland","Nursing associate professionals","Full-time equivalent (FTE)","581.43",""
"2010","Iceland","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Iceland","Hospital employment","Full-time equivalent (FTE)","4 720.56",""
"2010","Liechtenstein","Medical doctors","Full-time equivalent (FTE)","11.70",""
"2010","Liechtenstein","Nursing professionals and midwives","Full-time equivalent (FTE)","39.60",""
"2010","Liechtenstein","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2010","Liechtenstein","Health care assistants","Full-time equivalent (FTE)","30.01",""
"2010","Liechtenstein","Hospital employment","Full-time equivalent (FTE)","144.31",""
"2010","Norway","Medical doctors","Full-time equivalent (FTE)","11 473.00",""
"2010","Norway","Nursing professionals and midwives","Full-time equivalent (FTE)","36 792.00",""
"2010","Norway","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2010","Norway","Health care assistants","Full-time equivalent (FTE)","8 883.00",""
"2010","Norway","Hospital employment","Full-time equivalent (FTE)","95 973.00",""
"2010","Switzerland","Medical doctors","Full-time equivalent (FTE)","17 364.05","b"
"2010","Switzerland","Nursing professionals and midwives","Full-time equivalent (FTE)","42 900.62","b"
"2010","Switzerland","Nursing associate professionals","Full-time equivalent (FTE)","4 811.35","b"
"2010","Switzerland","Health care assistants","Full-time equivalent (FTE)","11 293.28","b"
"2010","Switzerland","Hospital employment","Full-time equivalent (FTE)","139 251.93","b"
"2010","United Kingdom","Medical doctors","Full-time equivalent (FTE)","114 770.70","e"
"2010","United Kingdom","Nursing professionals and midwives","Full-time equivalent (FTE)","365 055.56","e"
"2010","United Kingdom","Nursing associate professionals","Full-time equivalent (FTE)","82 398.34","e"
"2010","United Kingdom","Health care assistants","Full-time equivalent (FTE)","53 645.08","e"
"2010","United Kingdom","Hospital employment","Full-time equivalent (FTE)","1 253 394.85","e"
"2010","Montenegro","Medical doctors","Full-time equivalent (FTE)",":",""
"2010","Montenegro","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2010","Montenegro","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Montenegro","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Montenegro","Hospital employment","Full-time equivalent (FTE)",":",""
"2010","North Macedonia","Medical doctors","Full-time equivalent (FTE)",":",""
"2010","North Macedonia","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2010","North Macedonia","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","North Macedonia","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","North Macedonia","Hospital employment","Full-time equivalent (FTE)",":",""
"2010","Albania","Medical doctors","Full-time equivalent (FTE)",":",""
"2010","Albania","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2010","Albania","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Albania","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Albania","Hospital employment","Full-time equivalent (FTE)",":",""
"2010","Serbia","Medical doctors","Full-time equivalent (FTE)","10 980.00",""
"2010","Serbia","Nursing professionals and midwives","Full-time equivalent (FTE)","5 070.00",""
"2010","Serbia","Nursing associate professionals","Full-time equivalent (FTE)","23 029.00",""
"2010","Serbia","Health care assistants","Full-time equivalent (FTE)","0.00",""
"2010","Serbia","Hospital employment","Full-time equivalent (FTE)","63 269.00",""
"2010","Turkey","Medical doctors","Full-time equivalent (FTE)",":",""
"2010","Turkey","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2010","Turkey","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Turkey","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Turkey","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","Belgium","Medical doctors","Full-time equivalent (FTE)","6 381.84","e"
"2011","Belgium","Nursing professionals and midwives","Full-time equivalent (FTE)","59 479.45","e"
"2011","Belgium","Nursing associate professionals","Full-time equivalent (FTE)","1 102.78","e"
"2011","Belgium","Health care assistants","Full-time equivalent (FTE)","9 369.48","e"
"2011","Belgium","Hospital employment","Full-time equivalent (FTE)","143 458.63","e"
"2011","Bulgaria","Medical doctors","Full-time equivalent (FTE)",":",""
"2011","Bulgaria","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2011","Bulgaria","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Bulgaria","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Bulgaria","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","Czechia","Medical doctors","Full-time equivalent (FTE)","20 057.43",""
"2011","Czechia","Nursing professionals and midwives","Full-time equivalent (FTE)","53 562.02",""
"2011","Czechia","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Czechia","Health care assistants","Full-time equivalent (FTE)","2 908.31",""
"2011","Czechia","Hospital employment","Full-time equivalent (FTE)","134 386.54",""
"2011","Denmark","Medical doctors","Full-time equivalent (FTE)","14 490.00",""
"2011","Denmark","Nursing professionals and midwives","Full-time equivalent (FTE)","35 523.00",""
"2011","Denmark","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2011","Denmark","Health care assistants","Full-time equivalent (FTE)","11 010.00",""
"2011","Denmark","Hospital employment","Full-time equivalent (FTE)","102 578.00",""
"2011","Germany (until 1990 former territory of the FRG)","Medical doctors","Full-time equivalent (FTE)","147 000.00",""
"2011","Germany (until 1990 former territory of the FRG)","Nursing professionals and midwives","Full-time equivalent (FTE)","319 000.00",""
"2011","Germany (until 1990 former territory of the FRG)","Nursing associate professionals","Full-time equivalent (FTE)","30 000.00",""
"2011","Germany (until 1990 former territory of the FRG)","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Germany (until 1990 former territory of the FRG)","Hospital employment","Full-time equivalent (FTE)","934 000.00",""
"2011","Estonia","Medical doctors","Full-time equivalent (FTE)","2 660.90",""
"2011","Estonia","Nursing professionals and midwives","Full-time equivalent (FTE)","5 930.10",""
"2011","Estonia","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2011","Estonia","Health care assistants","Full-time equivalent (FTE)","3 055.30",""
"2011","Estonia","Hospital employment","Full-time equivalent (FTE)","17 582.30",""
"2011","Ireland","Medical doctors","Full-time equivalent (FTE)","6 274.00",""
"2011","Ireland","Nursing professionals and midwives","Full-time equivalent (FTE)","19 824.00",""
"2011","Ireland","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2011","Ireland","Health care assistants","Full-time equivalent (FTE)","3 363.00",""
"2011","Ireland","Hospital employment","Full-time equivalent (FTE)","49 194.00",""
"2011","Greece","Medical doctors","Full-time equivalent (FTE)",":",""
"2011","Greece","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2011","Greece","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Greece","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Greece","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","Spain","Medical doctors","Full-time equivalent (FTE)",":",""
"2011","Spain","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2011","Spain","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Spain","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Spain","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","France","Medical doctors","Full-time equivalent (FTE)","111 848.94",""
"2011","France","Nursing professionals and midwives","Full-time equivalent (FTE)","336 299.53","b"
"2011","France","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2011","France","Health care assistants","Full-time equivalent (FTE)","225 408.54","b"
"2011","France","Hospital employment","Full-time equivalent (FTE)","1 130 915.69","b"
"2011","Croatia","Medical doctors","Full-time equivalent (FTE)",":",""
"2011","Croatia","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2011","Croatia","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Croatia","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Croatia","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","Italy","Medical doctors","Full-time equivalent (FTE)",":",""
"2011","Italy","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2011","Italy","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Italy","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Italy","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","Cyprus","Medical doctors","Full-time equivalent (FTE)","762.00","b"
"2011","Cyprus","Nursing professionals and midwives","Full-time equivalent (FTE)","3 663.00","b"
"2011","Cyprus","Nursing associate professionals","Full-time equivalent (FTE)","170.00",""
"2011","Cyprus","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Cyprus","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","Latvia","Medical doctors","Full-time equivalent (FTE)",":",""
"2011","Latvia","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2011","Latvia","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Latvia","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Latvia","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","Lithuania","Medical doctors","Full-time equivalent (FTE)","9 772.00",""
"2011","Lithuania","Nursing professionals and midwives","Full-time equivalent (FTE)","16 091.00",""
"2011","Lithuania","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2011","Lithuania","Health care assistants","Full-time equivalent (FTE)","5 433.00",""
"2011","Lithuania","Hospital employment","Full-time equivalent (FTE)","46 963.00",""
"2011","Luxembourg","Medical doctors","Full-time equivalent (FTE)",":",""
"2011","Luxembourg","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2011","Luxembourg","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Luxembourg","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Luxembourg","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","Hungary","Medical doctors","Full-time equivalent (FTE)","16 588.50",""
"2011","Hungary","Nursing professionals and midwives","Full-time equivalent (FTE)","27 803.23",""
"2011","Hungary","Nursing associate professionals","Full-time equivalent (FTE)","7 448.83",""
"2011","Hungary","Health care assistants","Full-time equivalent (FTE)","13 988.31",""
"2011","Hungary","Hospital employment","Full-time equivalent (FTE)","99 930.78",""
"2011","Malta","Medical doctors","Full-time equivalent (FTE)","741.28",""
"2011","Malta","Nursing professionals and midwives","Full-time equivalent (FTE)","2 234.14",""
"2011","Malta","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2011","Malta","Health care assistants","Full-time equivalent (FTE)","1 250.36",""
"2011","Malta","Hospital employment","Full-time equivalent (FTE)","6 743.55",""
"2011","Netherlands","Medical doctors","Full-time equivalent (FTE)","19 650.00","e"
"2011","Netherlands","Nursing professionals and midwives","Full-time equivalent (FTE)","59 112.00","e"
"2011","Netherlands","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Netherlands","Health care assistants","Full-time equivalent (FTE)","5 801.00","e"
"2011","Netherlands","Hospital employment","Full-time equivalent (FTE)","204 480.00",""
"2011","Austria","Medical doctors","Full-time equivalent (FTE)","21 154.00",""
"2011","Austria","Nursing professionals and midwives","Full-time equivalent (FTE)","48 908.00",""
"2011","Austria","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2011","Austria","Health care assistants","Full-time equivalent (FTE)","8 527.49",""
"2011","Austria","Hospital employment","Full-time equivalent (FTE)","134 130.00",""
"2011","Poland","Medical doctors","Full-time equivalent (FTE)",":",""
"2011","Poland","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2011","Poland","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Poland","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Poland","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","Portugal","Medical doctors","Full-time equivalent (FTE)",":",""
"2011","Portugal","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2011","Portugal","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Portugal","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Portugal","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","Romania","Medical doctors","Full-time equivalent (FTE)","25 536.00",""
"2011","Romania","Nursing professionals and midwives","Full-time equivalent (FTE)","5 038.00",""
"2011","Romania","Nursing associate professionals","Full-time equivalent (FTE)","52 598.00",""
"2011","Romania","Health care assistants","Full-time equivalent (FTE)","37 894.00",""
"2011","Romania","Hospital employment","Full-time equivalent (FTE)","150 695.00",""
"2011","Slovenia","Medical doctors","Full-time equivalent (FTE)",":",""
"2011","Slovenia","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2011","Slovenia","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Slovenia","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Slovenia","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","Slovakia","Medical doctors","Full-time equivalent (FTE)","8 278.26",""
"2011","Slovakia","Nursing professionals and midwives","Full-time equivalent (FTE)","21 761.62",""
"2011","Slovakia","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2011","Slovakia","Health care assistants","Full-time equivalent (FTE)","5 530.59",""
"2011","Slovakia","Hospital employment","Full-time equivalent (FTE)","40 181.17",""
"2011","Finland","Medical doctors","Full-time equivalent (FTE)","7 485.26","e"
"2011","Finland","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2011","Finland","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Finland","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Finland","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","Iceland","Medical doctors","Full-time equivalent (FTE)","555.83",""
"2011","Iceland","Nursing professionals and midwives","Full-time equivalent (FTE)","1 408.25",""
"2011","Iceland","Nursing associate professionals","Full-time equivalent (FTE)","554.90",""
"2011","Iceland","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Iceland","Hospital employment","Full-time equivalent (FTE)","4 673.12",""
"2011","Liechtenstein","Medical doctors","Full-time equivalent (FTE)","10.46",""
"2011","Liechtenstein","Nursing professionals and midwives","Full-time equivalent (FTE)","38.89",""
"2011","Liechtenstein","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2011","Liechtenstein","Health care assistants","Full-time equivalent (FTE)","28.79",""
"2011","Liechtenstein","Hospital employment","Full-time equivalent (FTE)","141.47",""
"2011","Norway","Medical doctors","Full-time equivalent (FTE)","11 794.00",""
"2011","Norway","Nursing professionals and midwives","Full-time equivalent (FTE)","37 711.00",""
"2011","Norway","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2011","Norway","Health care assistants","Full-time equivalent (FTE)","8 647.00",""
"2011","Norway","Hospital employment","Full-time equivalent (FTE)","96 331.00",""
"2011","Switzerland","Medical doctors","Full-time equivalent (FTE)","18 059.48",""
"2011","Switzerland","Nursing professionals and midwives","Full-time equivalent (FTE)","43 005.48",""
"2011","Switzerland","Nursing associate professionals","Full-time equivalent (FTE)","5 476.86",""
"2011","Switzerland","Health care assistants","Full-time equivalent (FTE)","10 921.61",""
"2011","Switzerland","Hospital employment","Full-time equivalent (FTE)","141 311.37",""
"2011","United Kingdom","Medical doctors","Full-time equivalent (FTE)","115 989.96","e"
"2011","United Kingdom","Nursing professionals and midwives","Full-time equivalent (FTE)","360 464.18","e"
"2011","United Kingdom","Nursing associate professionals","Full-time equivalent (FTE)","76 567.22","e"
"2011","United Kingdom","Health care assistants","Full-time equivalent (FTE)","55 103.74","e"
"2011","United Kingdom","Hospital employment","Full-time equivalent (FTE)","1 223 996.34","e"
"2011","Montenegro","Medical doctors","Full-time equivalent (FTE)",":",""
"2011","Montenegro","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2011","Montenegro","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Montenegro","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Montenegro","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","North Macedonia","Medical doctors","Full-time equivalent (FTE)",":",""
"2011","North Macedonia","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2011","North Macedonia","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","North Macedonia","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","North Macedonia","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","Albania","Medical doctors","Full-time equivalent (FTE)",":",""
"2011","Albania","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2011","Albania","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Albania","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Albania","Hospital employment","Full-time equivalent (FTE)",":",""
"2011","Serbia","Medical doctors","Full-time equivalent (FTE)","11 048.00",""
"2011","Serbia","Nursing professionals and midwives","Full-time equivalent (FTE)","5 212.00",""
"2011","Serbia","Nursing associate professionals","Full-time equivalent (FTE)","23 148.00",""
"2011","Serbia","Health care assistants","Full-time equivalent (FTE)","0.00",""
"2011","Serbia","Hospital employment","Full-time equivalent (FTE)","63 656.00",""
"2011","Turkey","Medical doctors","Full-time equivalent (FTE)",":",""
"2011","Turkey","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2011","Turkey","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2011","Turkey","Health care assistants","Full-time equivalent (FTE)",":",""
"2011","Turkey","Hospital employment","Full-time equivalent (FTE)",":",""
"2012","Belgium","Medical doctors","Full-time equivalent (FTE)","6 627.94","e"
"2012","Belgium","Nursing professionals and midwives","Full-time equivalent (FTE)","60 708.79","e"
"2012","Belgium","Nursing associate professionals","Full-time equivalent (FTE)","1 049.01","e"
