"TIME","GEO","UNIT","WSTATUS","ISCO08","Value","Flag and Footnotes"
"2010","Finland","Number","Practising","Dentists","4 234.00",""
"2010","Finland","Number","Practising","Pharmacists","5 944.00",""
"2010","Finland","Number","Practising","Physiotherapists",":",""
"2010","Sweden","Number","Practising","Medical doctors","35 708.00",""
"2010","Sweden","Number","Practising","Dentists","7 605.00",""
"2010","Sweden","Number","Practising","Pharmacists","7 139.00",""
"2010","Sweden","Number","Practising","Physiotherapists",":",""
"2010","Iceland","Number","Practising","Medical doctors","1 142.00",""
"2010","Iceland","Number","Practising","Dentists","299.00",""
"2010","Iceland","Number","Practising","Pharmacists","155.00",""
"2010","Iceland","Number","Practising","Physiotherapists",":",""
"2010","Liechtenstein","Number","Practising","Medical doctors","104.00","b"
"2010","Liechtenstein","Number","Practising","Dentists","44.00",""
"2010","Liechtenstein","Number","Practising","Pharmacists","8.00",""
"2010","Liechtenstein","Number","Practising","Physiotherapists",":",""
"2010","Norway","Number","Practising","Medical doctors","20 114.00",""
"2010","Norway","Number","Practising","Dentists","4 293.00",""
"2010","Norway","Number","Practising","Pharmacists","3 120.00",""
"2010","Norway","Number","Practising","Physiotherapists",":",""
"2010","Switzerland","Number","Practising","Medical doctors","29 803.00",""
"2010","Switzerland","Number","Practising","Dentists","4 109.00",""
"2010","Switzerland","Number","Practising","Pharmacists","4 973.00",""
"2010","Switzerland","Number","Practising","Physiotherapists",":",""
"2010","United Kingdom","Number","Practising","Medical doctors","166 250.00",""
"2010","United Kingdom","Number","Practising","Dentists","32 298.00",""
"2010","United Kingdom","Number","Practising","Pharmacists","40 641.00",""
"2010","United Kingdom","Number","Practising","Physiotherapists",":",""
"2010","Montenegro","Number","Practising","Medical doctors","1 260.00",""
"2010","Montenegro","Number","Practising","Dentists",":",""
"2010","Montenegro","Number","Practising","Pharmacists",":",""
"2010","Montenegro","Number","Practising","Physiotherapists",":",""
"2010","North Macedonia","Number","Practising","Medical doctors",":",""
"2010","North Macedonia","Number","Practising","Dentists",":",""
"2010","North Macedonia","Number","Practising","Pharmacists",":",""
"2010","North Macedonia","Number","Practising","Physiotherapists",":",""
"2010","Albania","Number","Practising","Medical doctors","3 640.00",""
"2010","Albania","Number","Practising","Dentists",":",""
"2010","Albania","Number","Practising","Pharmacists","1 324.00",""
"2010","Albania","Number","Practising","Physiotherapists",":",""
"2010","Serbia","Number","Practising","Medical doctors",":",""
"2010","Serbia","Number","Practising","Dentists",":",""
"2010","Serbia","Number","Practising","Pharmacists",":",""
"2010","Serbia","Number","Practising","Physiotherapists",":",""
"2010","Turkey","Number","Practising","Medical doctors",":",""
"2010","Turkey","Number","Practising","Dentists",":",""
"2010","Turkey","Number","Practising","Pharmacists",":",""
"2010","Turkey","Number","Practising","Physiotherapists",":",""
"2011","European Union - 27 countries (from 2020)","Number","Practising","Medical doctors",":",""
"2011","European Union - 27 countries (from 2020)","Number","Practising","Dentists",":",""
"2011","European Union - 27 countries (from 2020)","Number","Practising","Pharmacists",":",""
"2011","European Union - 27 countries (from 2020)","Number","Practising","Physiotherapists",":",""
"2011","European Union - 28 countries (2013-2020)","Number","Practising","Medical doctors",":",""
"2011","European Union - 28 countries (2013-2020)","Number","Practising","Dentists",":",""
"2011","European Union - 28 countries (2013-2020)","Number","Practising","Pharmacists",":",""
"2011","European Union - 28 countries (2013-2020)","Number","Practising","Physiotherapists",":",""
"2011","Belgium","Number","Practising","Medical doctors","32 182.00",""
"2011","Belgium","Number","Practising","Dentists","7 777.00",""
"2011","Belgium","Number","Practising","Pharmacists","12 845.00",""
"2011","Belgium","Number","Practising","Physiotherapists",":",""
"2011","Bulgaria","Number","Practising","Medical doctors","28 384.00",""
"2011","Bulgaria","Number","Practising","Dentists","6 682.00",""
"2011","Bulgaria","Number","Practising","Pharmacists",":",""
"2011","Bulgaria","Number","Practising","Physiotherapists",":",""
"2011","Czechia","Number","Practising","Medical doctors","38 171.00",""
"2011","Czechia","Number","Practising","Dentists","7 429.00",""
"2011","Czechia","Number","Practising","Pharmacists","6 222.00",""
"2011","Czechia","Number","Practising","Physiotherapists",":",""
"2011","Denmark","Number","Practising","Medical doctors","21 108.00",""
"2011","Denmark","Number","Practising","Dentists","4 468.00",""
"2011","Denmark","Number","Practising","Pharmacists","2 689.00",""
"2011","Denmark","Number","Practising","Physiotherapists",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Practising","Medical doctors","311 223.00",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Practising","Dentists","66 974.00",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Practising","Pharmacists","50 656.00",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Practising","Physiotherapists",":",""
"2011","Estonia","Number","Practising","Medical doctors","4 372.00",""
"2011","Estonia","Number","Practising","Dentists","1 179.00",""
"2011","Estonia","Number","Practising","Pharmacists","832.00",""
"2011","Estonia","Number","Practising","Physiotherapists",":",""
"2011","Ireland","Number","Practising","Medical doctors","12 215.00","e"
"2011","Ireland","Number","Practising","Dentists",":",""
"2011","Ireland","Number","Practising","Pharmacists",":",""
"2011","Ireland","Number","Practising","Physiotherapists",":",""
"2011","Greece","Number","Practising","Medical doctors",":",""
"2011","Greece","Number","Practising","Dentists",":",""
"2011","Greece","Number","Practising","Pharmacists",":",""
"2011","Greece","Number","Practising","Physiotherapists",":",""
"2011","Spain","Number","Practising","Medical doctors","179 267.00",""
"2011","Spain","Number","Practising","Dentists",":",""
"2011","Spain","Number","Practising","Pharmacists","43 767.00",""
"2011","Spain","Number","Practising","Physiotherapists",":",""
"2011","France","Number","Practising","Medical doctors","199 920.00","b"
"2011","France","Number","Practising","Dentists","41 507.00",""
"2011","France","Number","Practising","Pharmacists","68 732.00",""
"2011","France","Number","Practising","Physiotherapists",":",""
"2011","France (metropolitan)","Number","Practising","Medical doctors",":",""
"2011","France (metropolitan)","Number","Practising","Dentists",":",""
"2011","France (metropolitan)","Number","Practising","Pharmacists",":",""
"2011","France (metropolitan)","Number","Practising","Physiotherapists",":",""
"2011","Croatia","Number","Practising","Medical doctors","12 490.00",""
"2011","Croatia","Number","Practising","Dentists","3 162.00",""
"2011","Croatia","Number","Practising","Pharmacists","2 972.00",""
"2011","Croatia","Number","Practising","Physiotherapists",":",""
"2011","Italy","Number","Practising","Medical doctors","231 481.00","e"
"2011","Italy","Number","Practising","Dentists",":",""
"2011","Italy","Number","Practising","Pharmacists",":",""
"2011","Italy","Number","Practising","Physiotherapists",":",""
"2011","Cyprus","Number","Practising","Medical doctors","2 529.00",""
"2011","Cyprus","Number","Practising","Dentists","783.00",""
"2011","Cyprus","Number","Practising","Pharmacists","190.00",""
"2011","Cyprus","Number","Practising","Physiotherapists",":",""
"2011","Latvia","Number","Practising","Medical doctors","6 456.00",""
"2011","Latvia","Number","Practising","Dentists","1 456.00",""
"2011","Latvia","Number","Practising","Pharmacists","1 358.00",""
"2011","Latvia","Number","Practising","Physiotherapists",":",""
"2011","Lithuania","Number","Practising","Medical doctors","12 407.00",""
"2011","Lithuania","Number","Practising","Dentists","2 486.00",""
"2011","Lithuania","Number","Practising","Pharmacists",":",""
"2011","Lithuania","Number","Practising","Physiotherapists",":",""
"2011","Luxembourg","Number","Practising","Medical doctors","1 440.00",""
"2011","Luxembourg","Number","Practising","Dentists","436.00",""
"2011","Luxembourg","Number","Practising","Pharmacists","374.00",""
"2011","Luxembourg","Number","Practising","Physiotherapists",":",""
"2011","Hungary","Number","Practising","Medical doctors","29 500.00",""
"2011","Hungary","Number","Practising","Dentists","5 236.00",""
"2011","Hungary","Number","Practising","Pharmacists","5 741.00",""
"2011","Hungary","Number","Practising","Physiotherapists",":",""
"2011","Malta","Number","Practising","Medical doctors","1 319.00","b"
"2011","Malta","Number","Practising","Dentists","186.00",""
"2011","Malta","Number","Practising","Pharmacists","335.00","e"
"2011","Malta","Number","Practising","Physiotherapists",":",""
"2011","Netherlands","Number","Practising","Medical doctors",":",""
"2011","Netherlands","Number","Practising","Dentists","8 225.00",""
"2011","Netherlands","Number","Practising","Pharmacists","3 465.00",""
"2011","Netherlands","Number","Practising","Physiotherapists",":",""
"2011","Austria","Number","Practising","Medical doctors","40 634.00",""
"2011","Austria","Number","Practising","Dentists","4 743.00",""
"2011","Austria","Number","Practising","Pharmacists","5 700.00",""
"2011","Austria","Number","Practising","Physiotherapists",":",""
"2011","Poland","Number","Practising","Medical doctors","84 221.00",""
"2011","Poland","Number","Practising","Dentists","13 033.00",""
"2011","Poland","Number","Practising","Pharmacists","26 290.00",""
"2011","Poland","Number","Practising","Physiotherapists",":",""
"2011","Portugal","Number","Practising","Medical doctors",":",""
"2011","Portugal","Number","Practising","Dentists",":",""
"2011","Portugal","Number","Practising","Pharmacists","7 930.00",""
"2011","Portugal","Number","Practising","Physiotherapists",":",""
"2011","Romania","Number","Practising","Medical doctors","51 153.00",""
"2011","Romania","Number","Practising","Dentists","13 324.00",""
"2011","Romania","Number","Practising","Pharmacists","14 490.00",""
"2011","Romania","Number","Practising","Physiotherapists",":",""
"2011","Slovenia","Number","Practising","Medical doctors","5 121.00",""
"2011","Slovenia","Number","Practising","Dentists","1 280.00",""
"2011","Slovenia","Number","Practising","Pharmacists","1 131.00",""
"2011","Slovenia","Number","Practising","Physiotherapists",":",""
"2011","Slovakia","Number","Practising","Medical doctors",":",""
"2011","Slovakia","Number","Practising","Dentists",":",""
"2011","Slovakia","Number","Practising","Pharmacists",":",""
"2011","Slovakia","Number","Practising","Physiotherapists",":",""
"2011","Finland","Number","Practising","Medical doctors","16 090.00","e"
"2011","Finland","Number","Practising","Dentists","4 191.00",""
"2011","Finland","Number","Practising","Pharmacists","5 997.00",""
"2011","Finland","Number","Practising","Physiotherapists",":",""
"2011","Sweden","Number","Practising","Medical doctors","36 743.00",""
"2011","Sweden","Number","Practising","Dentists","7 730.00",""
"2011","Sweden","Number","Practising","Pharmacists","7 280.00",""
"2011","Sweden","Number","Practising","Physiotherapists",":",""
"2011","Iceland","Number","Practising","Medical doctors","1 118.00",""
"2011","Iceland","Number","Practising","Dentists","283.00","b"
"2011","Iceland","Number","Practising","Pharmacists","157.00",""
"2011","Iceland","Number","Practising","Physiotherapists",":",""
"2011","Liechtenstein","Number","Practising","Medical doctors","111.00",""
"2011","Liechtenstein","Number","Practising","Dentists","46.00",""
"2011","Liechtenstein","Number","Practising","Pharmacists","9.00",""
"2011","Liechtenstein","Number","Practising","Physiotherapists",":",""
"2011","Norway","Number","Practising","Medical doctors","20 744.00",""
"2011","Norway","Number","Practising","Dentists","4 380.00",""
"2011","Norway","Number","Practising","Pharmacists","3 196.00",""
"2011","Norway","Number","Practising","Physiotherapists",":",""
"2011","Switzerland","Number","Practising","Medical doctors","30 327.00",""
"2011","Switzerland","Number","Practising","Dentists","4 123.00",""
"2011","Switzerland","Number","Practising","Pharmacists","5 258.00",""
"2011","Switzerland","Number","Practising","Physiotherapists",":",""
"2011","United Kingdom","Number","Practising","Medical doctors","169 919.00",""
"2011","United Kingdom","Number","Practising","Dentists","33 218.00",""
"2011","United Kingdom","Number","Practising","Pharmacists","48 042.00","b"
"2011","United Kingdom","Number","Practising","Physiotherapists",":",""
"2011","Montenegro","Number","Practising","Medical doctors","1 241.00",""
"2011","Montenegro","Number","Practising","Dentists",":",""
"2011","Montenegro","Number","Practising","Pharmacists",":",""
"2011","Montenegro","Number","Practising","Physiotherapists",":",""
"2011","North Macedonia","Number","Practising","Medical doctors",":",""
"2011","North Macedonia","Number","Practising","Dentists",":",""
"2011","North Macedonia","Number","Practising","Pharmacists",":",""
"2011","North Macedonia","Number","Practising","Physiotherapists",":",""
"2011","Albania","Number","Practising","Medical doctors","3 578.00",""
"2011","Albania","Number","Practising","Dentists",":",""
"2011","Albania","Number","Practising","Pharmacists","1 388.00",""
"2011","Albania","Number","Practising","Physiotherapists",":",""
"2011","Serbia","Number","Practising","Medical doctors",":",""
"2011","Serbia","Number","Practising","Dentists",":",""
"2011","Serbia","Number","Practising","Pharmacists",":",""
"2011","Serbia","Number","Practising","Physiotherapists",":",""
"2011","Turkey","Number","Practising","Medical doctors",":",""
"2011","Turkey","Number","Practising","Dentists",":",""
"2011","Turkey","Number","Practising","Pharmacists",":",""
"2011","Turkey","Number","Practising","Physiotherapists",":",""
"2012","European Union - 27 countries (from 2020)","Number","Practising","Medical doctors",":",""
"2012","European Union - 27 countries (from 2020)","Number","Practising","Dentists",":",""
"2012","European Union - 27 countries (from 2020)","Number","Practising","Pharmacists",":",""
"2012","European Union - 27 countries (from 2020)","Number","Practising","Physiotherapists",":",""
"2012","European Union - 28 countries (2013-2020)","Number","Practising","Medical doctors",":",""
"2012","European Union - 28 countries (2013-2020)","Number","Practising","Dentists",":",""
"2012","European Union - 28 countries (2013-2020)","Number","Practising","Pharmacists",":",""
"2012","European Union - 28 countries (2013-2020)","Number","Practising","Physiotherapists",":",""
"2012","Belgium","Number","Practising","Medical doctors","32 583.00",""
"2012","Belgium","Number","Practising","Dentists","7 869.00",""
"2012","Belgium","Number","Practising","Pharmacists","13 027.00",""
"2012","Belgium","Number","Practising","Physiotherapists",":",""
"2012","Bulgaria","Number","Practising","Medical doctors","28 599.00",""
"2012","Bulgaria","Number","Practising","Dentists","6 750.00",""
"2012","Bulgaria","Number","Practising","Pharmacists",":",""
"2012","Bulgaria","Number","Practising","Physiotherapists",":",""
"2012","Czechia","Number","Practising","Medical doctors","38 624.00",""
"2012","Czechia","Number","Practising","Dentists","7 461.00",""
"2012","Czechia","Number","Practising","Pharmacists","6 327.00",""
"2012","Czechia","Number","Practising","Physiotherapists",":",""
"2012","Denmark","Number","Practising","Medical doctors","21 458.00",""
"2012","Denmark","Number","Practising","Dentists","4 454.00",""
"2012","Denmark","Number","Practising","Pharmacists","2 788.00",""
"2012","Denmark","Number","Practising","Physiotherapists",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Practising","Medical doctors","317 390.00",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Practising","Dentists","67 812.00",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Practising","Pharmacists","50 456.00",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Practising","Physiotherapists",":",""
"2012","Estonia","Number","Practising","Medical doctors","4 343.00",""
"2012","Estonia","Number","Practising","Dentists","1 196.00",""
"2012","Estonia","Number","Practising","Pharmacists","847.00",""
"2012","Estonia","Number","Practising","Physiotherapists",":",""
"2012","Ireland","Number","Practising","Medical doctors","12 450.00","e"
"2012","Ireland","Number","Practising","Dentists",":",""
"2012","Ireland","Number","Practising","Pharmacists",":",""
"2012","Ireland","Number","Practising","Physiotherapists",":",""
"2012","Greece","Number","Practising","Medical doctors",":",""
"2012","Greece","Number","Practising","Dentists",":",""
"2012","Greece","Number","Practising","Pharmacists",":",""
"2012","Greece","Number","Practising","Physiotherapists",":",""
"2012","Spain","Number","Practising","Medical doctors","178 833.00",""
"2012","Spain","Number","Practising","Dentists",":",""
"2012","Spain","Number","Practising","Pharmacists","49 200.00",""
"2012","Spain","Number","Practising","Physiotherapists",":",""
"2012","France","Number","Practising","Medical doctors","201 784.00",""
"2012","France","Number","Practising","Dentists","41 740.00",""
"2012","France","Number","Practising","Pharmacists","69 520.00",""
"2012","France","Number","Practising","Physiotherapists",":",""
"2012","France (metropolitan)","Number","Practising","Medical doctors",":",""
"2012","France (metropolitan)","Number","Practising","Dentists",":",""
"2012","France (metropolitan)","Number","Practising","Pharmacists",":",""
"2012","France (metropolitan)","Number","Practising","Physiotherapists",":",""
"2012","Croatia","Number","Practising","Medical doctors","12 772.00",""
"2012","Croatia","Number","Practising","Dentists","3 223.00",""
"2012","Croatia","Number","Practising","Pharmacists","3 004.00",""
"2012","Croatia","Number","Practising","Physiotherapists",":",""
"2012","Italy","Number","Practising","Medical doctors","230 621.00",""
"2012","Italy","Number","Practising","Dentists",":",""
"2012","Italy","Number","Practising","Pharmacists",":",""
"2012","Italy","Number","Practising","Physiotherapists",":",""
"2012","Cyprus","Number","Practising","Medical doctors","2 606.00",""
"2012","Cyprus","Number","Practising","Dentists","816.00",""
"2012","Cyprus","Number","Practising","Pharmacists","195.00",""
"2012","Cyprus","Number","Practising","Physiotherapists",":",""
"2012","Latvia","Number","Practising","Medical doctors","6 396.00",""
"2012","Latvia","Number","Practising","Dentists","1 445.00",""
"2012","Latvia","Number","Practising","Pharmacists","1 402.00",""
"2012","Latvia","Number","Practising","Physiotherapists",":",""
"2012","Lithuania","Number","Practising","Medical doctors","12 604.00",""
"2012","Lithuania","Number","Practising","Dentists","2 685.00",""
"2012","Lithuania","Number","Practising","Pharmacists",":",""
"2012","Lithuania","Number","Practising","Physiotherapists",":",""
"2012","Luxembourg","Number","Practising","Medical doctors","1 490.00",""
"2012","Luxembourg","Number","Practising","Dentists","441.00",""
"2012","Luxembourg","Number","Practising","Pharmacists","380.00",""
"2012","Luxembourg","Number","Practising","Physiotherapists",":",""
"2012","Hungary","Number","Practising","Medical doctors","30 641.00",""
"2012","Hungary","Number","Practising","Dentists","5 609.00",""
"2012","Hungary","Number","Practising","Pharmacists","5 683.00",""
"2012","Hungary","Number","Practising","Physiotherapists",":",""
"2012","Malta","Number","Practising","Medical doctors","1 381.00",""
"2012","Malta","Number","Practising","Dentists","190.00",""
"2012","Malta","Number","Practising","Pharmacists","454.00","be"
"2012","Malta","Number","Practising","Physiotherapists",":",""
"2012","Netherlands","Number","Practising","Medical doctors",":",""
"2012","Netherlands","Number","Practising","Dentists","8 290.00",""
"2012","Netherlands","Number","Practising","Pharmacists","3 443.00",""
"2012","Netherlands","Number","Practising","Physiotherapists",":",""
"2012","Austria","Number","Practising","Medical doctors","41 268.00",""
"2012","Austria","Number","Practising","Dentists","4 797.00",""
"2012","Austria","Number","Practising","Pharmacists","5 823.00",""
"2012","Austria","Number","Practising","Physiotherapists",":",""
"2012","Poland","Number","Practising","Medical doctors","85 025.00",""
"2012","Poland","Number","Practising","Dentists","12 491.00",""
"2012","Poland","Number","Practising","Pharmacists","26 843.00",""
"2012","Poland","Number","Practising","Physiotherapists",":",""
"2012","Portugal","Number","Practising","Medical doctors",":",""
"2012","Portugal","Number","Practising","Dentists",":",""
"2012","Portugal","Number","Practising","Pharmacists","7 744.00",""
"2012","Portugal","Number","Practising","Physiotherapists",":",""
"2012","Romania","Number","Practising","Medical doctors","52 362.00",""
"2012","Romania","Number","Practising","Dentists","13 779.00",""
"2012","Romania","Number","Practising","Pharmacists","15 359.00",""
"2012","Romania","Number","Practising","Physiotherapists",":",""
"2012","Slovenia","Number","Practising","Medical doctors","5 228.00",""
"2012","Slovenia","Number","Practising","Dentists","1 296.00",""
"2012","Slovenia","Number","Practising","Pharmacists","1 159.00",""
"2012","Slovenia","Number","Practising","Physiotherapists",":",""
"2012","Slovakia","Number","Practising","Medical doctors",":",""
"2012","Slovakia","Number","Practising","Dentists",":",""
"2012","Slovakia","Number","Practising","Pharmacists",":",""
"2012","Slovakia","Number","Practising","Physiotherapists",":",""
"2012","Finland","Number","Practising","Medical doctors","16 614.00","e"
"2012","Finland","Number","Practising","Dentists","4 009.00",""
"2012","Finland","Number","Practising","Pharmacists","6 259.00",""
"2012","Finland","Number","Practising","Physiotherapists",":",""
"2012","Sweden","Number","Practising","Medical doctors","37 769.00",""
"2012","Sweden","Number","Practising","Dentists","7 809.00",""
"2012","Sweden","Number","Practising","Pharmacists","7 320.00",""
"2012","Sweden","Number","Practising","Physiotherapists",":",""
"2012","Iceland","Number","Practising","Medical doctors","1 142.00",""
"2012","Iceland","Number","Practising","Dentists","270.00",""
"2012","Iceland","Number","Practising","Pharmacists","149.00",""
"2012","Iceland","Number","Practising","Physiotherapists",":",""
"2012","Liechtenstein","Number","Practising","Medical doctors","116.00",""
"2012","Liechtenstein","Number","Practising","Dentists","50.00",""
"2012","Liechtenstein","Number","Practising","Pharmacists","10.00",""
"2012","Liechtenstein","Number","Practising","Physiotherapists",":",""
"2012","Norway","Number","Practising","Medical doctors","21 238.00",""
"2012","Norway","Number","Practising","Dentists","4 340.00",""
"2012","Norway","Number","Practising","Pharmacists","3 367.00",""
"2012","Norway","Number","Practising","Physiotherapists",":",""
"2012","Switzerland","Number","Practising","Medical doctors","31 313.00",""
"2012","Switzerland","Number","Practising","Dentists","4 181.00",""
"2012","Switzerland","Number","Practising","Pharmacists","5 324.00",""
"2012","Switzerland","Number","Practising","Physiotherapists",":",""
"2012","United Kingdom","Number","Practising","Medical doctors","171 747.00",""
"2012","United Kingdom","Number","Practising","Dentists","33 268.00",""
"2012","United Kingdom","Number","Practising","Pharmacists","49 731.00",""
"2012","United Kingdom","Number","Practising","Physiotherapists",":",""
"2012","Montenegro","Number","Practising","Medical doctors","1 257.00",""
"2012","Montenegro","Number","Practising","Dentists",":",""
"2012","Montenegro","Number","Practising","Pharmacists",":",""
"2012","Montenegro","Number","Practising","Physiotherapists",":",""
"2012","North Macedonia","Number","Practising","Medical doctors",":",""
