"TIME","GEO","UNIT","MED_SPEC","Value","Flag and Footnotes"
"2010","Netherlands","Number","Other generalist medical practitioners","8 715.00",""
"2010","Netherlands","Number","Specialist medical practitioners","28 394.00",""
"2010","Netherlands","Number","General paediatricians","1 484.00",""
"2010","Austria","Number","Generalist medical practitioners","13 219.00",""
"2010","Austria","Number","General practitioners","6 507.00",""
"2010","Austria","Number","Other generalist medical practitioners","6 712.00",""
"2010","Austria","Number","Specialist medical practitioners","20 103.00",""
"2010","Austria","Number","General paediatricians","1 183.00",""
"2010","Poland","Number","Generalist medical practitioners","17 484.00",""
"2010","Poland","Number","General practitioners","7 918.00",""
"2010","Poland","Number","Other generalist medical practitioners","9 566.00",""
"2010","Poland","Number","Specialist medical practitioners","65 717.00",""
"2010","Poland","Number","General paediatricians","4 721.00",""
"2010","Portugal","Number","Generalist medical practitioners","21 170.00",""
"2010","Portugal","Number","General practitioners","19 536.00",""
"2010","Portugal","Number","Other generalist medical practitioners","1 634.00",""
"2010","Portugal","Number","Specialist medical practitioners","20 956.00",""
"2010","Portugal","Number","General paediatricians","1 584.00",""
"2010","Romania","Number","Generalist medical practitioners","18 210.00","b"
"2010","Romania","Number","General practitioners","14 509.00","b"
"2010","Romania","Number","Other generalist medical practitioners","3 701.00","b"
"2010","Romania","Number","Specialist medical practitioners","32 568.00","b"
"2010","Romania","Number","General paediatricians","2 298.00","b"
"2010","Slovenia","Number","Generalist medical practitioners","1 044.00",""
"2010","Slovenia","Number","General practitioners","898.00",""
"2010","Slovenia","Number","Other generalist medical practitioners","146.00",""
"2010","Slovenia","Number","Specialist medical practitioners","3 773.00",""
"2010","Slovenia","Number","General paediatricians","490.00",""
"2010","Finland","Number","Generalist medical practitioners","6 380.00","be"
"2010","Finland","Number","General practitioners",":",""
"2010","Finland","Number","Other generalist medical practitioners",":",""
"2010","Finland","Number","Specialist medical practitioners","10 212.00","be"
"2010","Finland","Number","General paediatricians","692.00","be"
"2010","Sweden","Number","Generalist medical practitioners","5 907.00",""
"2010","Sweden","Number","General practitioners","5 907.00",""
"2010","Sweden","Number","Other generalist medical practitioners","0.00",""
"2010","Sweden","Number","Specialist medical practitioners","19 534.00",""
"2010","Sweden","Number","General paediatricians","980.00",""
"2010","Iceland","Number","Generalist medical practitioners","182.00",""
"2010","Iceland","Number","General practitioners","182.00",""
"2010","Iceland","Number","Other generalist medical practitioners",":",""
"2010","Iceland","Number","Specialist medical practitioners","714.00",""
"2010","Iceland","Number","General paediatricians","16.00",""
"2010","Liechtenstein","Number","Generalist medical practitioners","37.00","b"
"2010","Liechtenstein","Number","General practitioners","26.00",""
"2010","Liechtenstein","Number","Other generalist medical practitioners","11.00","b"
"2010","Liechtenstein","Number","Specialist medical practitioners","67.00",""
"2010","Liechtenstein","Number","General paediatricians","5.00",""
"2010","Norway","Number","Generalist medical practitioners","4 039.00",""
"2010","Norway","Number","General practitioners","3 631.00",""
"2010","Norway","Number","Other generalist medical practitioners","408.00",""
"2010","Norway","Number","Specialist medical practitioners","8 151.00",""
"2010","Norway","Number","General paediatricians","658.00",""
"2010","Switzerland","Number","Generalist medical practitioners","4 748.00",""
"2010","Switzerland","Number","General practitioners",":",""
"2010","Switzerland","Number","Other generalist medical practitioners",":",""
"2010","Switzerland","Number","Specialist medical practitioners","19 198.00",""
"2010","Switzerland","Number","General paediatricians","1 309.00",""
"2010","United Kingdom","Number","Generalist medical practitioners","48 641.00",""
"2010","United Kingdom","Number","General practitioners","48 641.00","d"
"2010","United Kingdom","Number","Other generalist medical practitioners",":",""
"2010","United Kingdom","Number","Specialist medical practitioners","118 033.00",""
"2010","United Kingdom","Number","General paediatricians","9 084.00",""
"2010","Montenegro","Number","Generalist medical practitioners","195.00",""
"2010","Montenegro","Number","General practitioners","195.00",""
"2010","Montenegro","Number","Other generalist medical practitioners","0.00",""
"2010","Montenegro","Number","Specialist medical practitioners","1 081.00",""
"2010","Montenegro","Number","General paediatricians","172.00",""
"2010","North Macedonia","Number","Generalist medical practitioners","1 823.00",""
"2010","North Macedonia","Number","General practitioners",":",""
"2010","North Macedonia","Number","Other generalist medical practitioners",":",""
"2010","North Macedonia","Number","Specialist medical practitioners","3 718.00",""
"2010","North Macedonia","Number","General paediatricians","394.00",""
"2010","Albania","Number","Generalist medical practitioners",":",""
"2010","Albania","Number","General practitioners","1 610.00",""
"2010","Albania","Number","Other generalist medical practitioners",":",""
"2010","Albania","Number","Specialist medical practitioners","2 020.00",""
"2010","Albania","Number","General paediatricians",":",""
"2010","Serbia","Number","Generalist medical practitioners","7 031.00",""
"2010","Serbia","Number","General practitioners","5 423.00",""
"2010","Serbia","Number","Other generalist medical practitioners","1 608.00",""
"2010","Serbia","Number","Specialist medical practitioners","15 285.00",""
"2010","Serbia","Number","General paediatricians","1 967.00",""
"2010","Turkey","Number","Generalist medical practitioners","41 077.00",""
"2010","Turkey","Number","General practitioners","41 077.00","d"
"2010","Turkey","Number","Other generalist medical practitioners",":",""
"2010","Turkey","Number","Specialist medical practitioners","82 370.00",""
"2010","Turkey","Number","General paediatricians","6 358.00",""
"2011","Belgium","Number","Generalist medical practitioners","12 290.00",""
"2011","Belgium","Number","General practitioners","12 290.00",""
"2011","Belgium","Number","Other generalist medical practitioners","0.00",""
"2011","Belgium","Number","Specialist medical practitioners","19 492.00",""
"2011","Belgium","Number","General paediatricians","1 350.00",""
"2011","Bulgaria","Number","Generalist medical practitioners","4 925.00",""
"2011","Bulgaria","Number","General practitioners","4 697.00",""
"2011","Bulgaria","Number","Other generalist medical practitioners","228.00",""
"2011","Bulgaria","Number","Specialist medical practitioners","23 459.00",""
"2011","Bulgaria","Number","General paediatricians","1 423.00",""
"2011","Czechia","Number","Generalist medical practitioners","7 369.00",""
"2011","Czechia","Number","General practitioners","7 369.00",""
"2011","Czechia","Number","Other generalist medical practitioners","0.00",""
"2011","Czechia","Number","Specialist medical practitioners","30 802.00",""
"2011","Czechia","Number","General paediatricians","1 323.00",""
"2011","Denmark","Number","Generalist medical practitioners","4 418.00",""
"2011","Denmark","Number","General practitioners",":",""
"2011","Denmark","Number","Other generalist medical practitioners",":",""
"2011","Denmark","Number","Specialist medical practitioners","8 900.00",""
"2011","Denmark","Number","General paediatricians","394.00",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Generalist medical practitioners","75 252.00",""
"2011","Germany (until 1990 former territory of the FRG)","Number","General practitioners","56 902.00",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Other generalist medical practitioners","18 350.00",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Specialist medical practitioners","235 971.00",""
"2011","Germany (until 1990 former territory of the FRG)","Number","General paediatricians","12 854.00",""
"2011","Estonia","Number","Generalist medical practitioners","1 001.00",""
"2011","Estonia","Number","General practitioners","869.00",""
"2011","Estonia","Number","Other generalist medical practitioners","132.00",""
"2011","Estonia","Number","Specialist medical practitioners","3 011.00",""
"2011","Estonia","Number","General paediatricians","163.00",""
"2011","Ireland","Number","Generalist medical practitioners","11 366.00","b"
"2011","Ireland","Number","General practitioners","3 309.00","b"
"2011","Ireland","Number","Other generalist medical practitioners","8 057.00","b"
"2011","Ireland","Number","Specialist medical practitioners","7 429.00","b"
"2011","Ireland","Number","General paediatricians","509.00","b"
"2011","Greece","Number","Generalist medical practitioners","3 369.00",""
"2011","Greece","Number","General practitioners","2 226.00",""
"2011","Greece","Number","Other generalist medical practitioners","1 143.00",""
"2011","Greece","Number","Specialist medical practitioners","40 396.00",""
"2011","Greece","Number","General paediatricians","3 293.00",""
"2011","Spain","Number","Generalist medical practitioners","34 722.00",""
"2011","Spain","Number","General practitioners","34 722.00",""
"2011","Spain","Number","Other generalist medical practitioners","0.00",""
"2011","Spain","Number","Specialist medical practitioners","108 759.00","d"
"2011","Spain","Number","General paediatricians","12 037.00",""
"2011","France","Number","Generalist medical practitioners","93 140.00","b"
"2011","France","Number","General practitioners","64 583.00","b"
"2011","France","Number","Other generalist medical practitioners","28 557.00",""
"2011","France","Number","Specialist medical practitioners","106 780.00","b"
"2011","France","Number","General paediatricians","7 287.00","b"
"2011","Croatia","Number","Generalist medical practitioners","3 299.00",""
"2011","Croatia","Number","General practitioners","2 246.00",""
"2011","Croatia","Number","Other generalist medical practitioners","1 053.00",""
"2011","Croatia","Number","Specialist medical practitioners","9 191.00",""
"2011","Croatia","Number","General paediatricians","754.00",""
"2011","Italy","Number","Generalist medical practitioners","53 856.00","e"
"2011","Italy","Number","General practitioners","46 061.00",""
"2011","Italy","Number","Other generalist medical practitioners","7 795.00","e"
"2011","Italy","Number","Specialist medical practitioners","177 625.00","e"
"2011","Italy","Number","General paediatricians","17 475.00","e"
"2011","Cyprus","Number","Generalist medical practitioners",":",""
"2011","Cyprus","Number","General practitioners",":",""
"2011","Cyprus","Number","Other generalist medical practitioners",":",""
"2011","Cyprus","Number","Specialist medical practitioners",":",""
"2011","Cyprus","Number","General paediatricians",":",""
"2011","Latvia","Number","Generalist medical practitioners","1 328.00",""
"2011","Latvia","Number","General practitioners","1 328.00",""
"2011","Latvia","Number","Other generalist medical practitioners","0.00",""
"2011","Latvia","Number","Specialist medical practitioners","5 128.00",""
"2011","Latvia","Number","General paediatricians","273.00",""
"2011","Lithuania","Number","Generalist medical practitioners","2 679.00","b"
"2011","Lithuania","Number","General practitioners","2 577.00","b"
"2011","Lithuania","Number","Other generalist medical practitioners","102.00","b"
"2011","Lithuania","Number","Specialist medical practitioners","9 728.00","b"
"2011","Lithuania","Number","General paediatricians","855.00","b"
"2011","Luxembourg","Number","Generalist medical practitioners","424.00",""
"2011","Luxembourg","Number","General practitioners","424.00",""
"2011","Luxembourg","Number","Other generalist medical practitioners","0.00",""
"2011","Luxembourg","Number","Specialist medical practitioners","1 010.00",""
"2011","Luxembourg","Number","General paediatricians","82.00",""
"2011","Hungary","Number","Generalist medical practitioners",":",""
"2011","Hungary","Number","General practitioners",":",""
"2011","Hungary","Number","Other generalist medical practitioners",":",""
"2011","Hungary","Number","Specialist medical practitioners",":",""
"2011","Hungary","Number","General paediatricians",":",""
"2011","Malta","Number","Generalist medical practitioners","315.00",""
"2011","Malta","Number","General practitioners","315.00",""
"2011","Malta","Number","Other generalist medical practitioners","0.00",""
"2011","Malta","Number","Specialist medical practitioners","620.00",""
"2011","Malta","Number","General paediatricians","55.00",""
"2011","Netherlands","Number","Generalist medical practitioners","23 301.00",""
"2011","Netherlands","Number","General practitioners","12 222.00",""
"2011","Netherlands","Number","Other generalist medical practitioners","11 079.00",""
"2011","Netherlands","Number","Specialist medical practitioners","28 994.00",""
"2011","Netherlands","Number","General paediatricians","1 500.00",""
"2011","Austria","Number","Generalist medical practitioners","13 403.00",""
"2011","Austria","Number","General practitioners","6 534.00",""
"2011","Austria","Number","Other generalist medical practitioners","6 869.00",""
"2011","Austria","Number","Specialist medical practitioners","20 532.00",""
"2011","Austria","Number","General paediatricians","1 213.00",""
"2011","Poland","Number","Generalist medical practitioners","14 525.00",""
"2011","Poland","Number","General practitioners","7 773.00",""
"2011","Poland","Number","Other generalist medical practitioners","6 752.00",""
"2011","Poland","Number","Specialist medical practitioners","69 696.00",""
"2011","Poland","Number","General paediatricians","4 812.00",""
"2011","Portugal","Number","Generalist medical practitioners","21 917.00",""
"2011","Portugal","Number","General practitioners","20 094.00",""
"2011","Portugal","Number","Other generalist medical practitioners","1 823.00",""
"2011","Portugal","Number","Specialist medical practitioners","21 606.00",""
"2011","Portugal","Number","General paediatricians","1 648.00",""
"2011","Romania","Number","Generalist medical practitioners","17 718.00",""
"2011","Romania","Number","General practitioners","14 615.00",""
"2011","Romania","Number","Other generalist medical practitioners","3 103.00",""
"2011","Romania","Number","Specialist medical practitioners","33 435.00",""
"2011","Romania","Number","General paediatricians","2 278.00",""
"2011","Slovenia","Number","Generalist medical practitioners","1 085.00",""
"2011","Slovenia","Number","General practitioners","928.00",""
"2011","Slovenia","Number","Other generalist medical practitioners","157.00",""
"2011","Slovenia","Number","Specialist medical practitioners","3 921.00",""
"2011","Slovenia","Number","General paediatricians","496.00",""
"2011","Finland","Number","Generalist medical practitioners","6 644.00","e"
"2011","Finland","Number","General practitioners",":",""
"2011","Finland","Number","Other generalist medical practitioners",":",""
"2011","Finland","Number","Specialist medical practitioners","10 184.00","e"
"2011","Finland","Number","General paediatricians","726.00","e"
"2011","Sweden","Number","Generalist medical practitioners","5 973.00",""
"2011","Sweden","Number","General practitioners","5 973.00",""
"2011","Sweden","Number","Other generalist medical practitioners","0.00",""
"2011","Sweden","Number","Specialist medical practitioners","20 094.00",""
"2011","Sweden","Number","General paediatricians","1 016.00",""
"2011","Iceland","Number","Generalist medical practitioners","185.00",""
"2011","Iceland","Number","General practitioners","185.00",""
"2011","Iceland","Number","Other generalist medical practitioners",":",""
"2011","Iceland","Number","Specialist medical practitioners","697.00",""
"2011","Iceland","Number","General paediatricians","15.00",""
"2011","Liechtenstein","Number","Generalist medical practitioners","37.00",""
"2011","Liechtenstein","Number","General practitioners","26.00",""
"2011","Liechtenstein","Number","Other generalist medical practitioners","11.00",""
"2011","Liechtenstein","Number","Specialist medical practitioners","74.00",""
"2011","Liechtenstein","Number","General paediatricians","5.00",""
"2011","Norway","Number","Generalist medical practitioners","4 140.00",""
"2011","Norway","Number","General practitioners","3 710.00",""
"2011","Norway","Number","Other generalist medical practitioners","430.00",""
"2011","Norway","Number","Specialist medical practitioners","8 449.00",""
"2011","Norway","Number","General paediatricians","673.00",""
"2011","Switzerland","Number","Generalist medical practitioners","8 356.00","b"
"2011","Switzerland","Number","General practitioners",":",""
"2011","Switzerland","Number","Other generalist medical practitioners",":",""
"2011","Switzerland","Number","Specialist medical practitioners","17 086.00","b"
"2011","Switzerland","Number","General paediatricians","1 391.00",""
"2011","United Kingdom","Number","Generalist medical practitioners","49 838.00",""
"2011","United Kingdom","Number","General practitioners","49 838.00","d"
"2011","United Kingdom","Number","Other generalist medical practitioners",":",""
"2011","United Kingdom","Number","Specialist medical practitioners","120 479.00",""
"2011","United Kingdom","Number","General paediatricians","9 170.00",""
"2011","Montenegro","Number","Generalist medical practitioners","190.00",""
"2011","Montenegro","Number","General practitioners","190.00",""
"2011","Montenegro","Number","Other generalist medical practitioners","0.00",""
"2011","Montenegro","Number","Specialist medical practitioners","1 069.00",""
"2011","Montenegro","Number","General paediatricians","173.00",""
"2011","North Macedonia","Number","Generalist medical practitioners","1 933.00",""
"2011","North Macedonia","Number","General practitioners",":",""
"2011","North Macedonia","Number","Other generalist medical practitioners",":",""
"2011","North Macedonia","Number","Specialist medical practitioners","3 716.00",""
"2011","North Macedonia","Number","General paediatricians","398.00",""
"2011","Albania","Number","Generalist medical practitioners",":",""
"2011","Albania","Number","General practitioners","1 542.00",""
"2011","Albania","Number","Other generalist medical practitioners",":",""
"2011","Albania","Number","Specialist medical practitioners","2 038.00",""
"2011","Albania","Number","General paediatricians",":",""
"2011","Serbia","Number","Generalist medical practitioners","6 730.00",""
"2011","Serbia","Number","General practitioners","5 282.00",""
"2011","Serbia","Number","Other generalist medical practitioners","1 448.00",""
"2011","Serbia","Number","Specialist medical practitioners","15 682.00",""
"2011","Serbia","Number","General paediatricians","2 039.00",""
"2011","Turkey","Number","Generalist medical practitioners","41 840.00",""
"2011","Turkey","Number","General practitioners","41 840.00","d"
"2011","Turkey","Number","Other generalist medical practitioners",":",""
"2011","Turkey","Number","Specialist medical practitioners","84 189.00",""
"2011","Turkey","Number","General paediatricians","6 595.00",""
"2012","Belgium","Number","Generalist medical practitioners","12 363.00",""
"2012","Belgium","Number","General practitioners","12 363.00",""
"2012","Belgium","Number","Other generalist medical practitioners","0.00",""
"2012","Belgium","Number","Specialist medical practitioners","19 831.00",""
"2012","Belgium","Number","General paediatricians","1 378.00",""
"2012","Bulgaria","Number","Generalist medical practitioners","5 097.00",""
"2012","Bulgaria","Number","General practitioners","4 900.00",""
"2012","Bulgaria","Number","Other generalist medical practitioners","197.00",""
"2012","Bulgaria","Number","Specialist medical practitioners","23 502.00",""
"2012","Bulgaria","Number","General paediatricians","1 426.00",""
"2012","Czechia","Number","Generalist medical practitioners","7 386.00",""
"2012","Czechia","Number","General practitioners","7 386.00",""
"2012","Czechia","Number","Other generalist medical practitioners","0.00",""
"2012","Czechia","Number","Specialist medical practitioners","31 238.00",""
"2012","Czechia","Number","General paediatricians","1 285.00",""
"2012","Denmark","Number","Generalist medical practitioners","4 477.00",""
"2012","Denmark","Number","General practitioners",":",""
"2012","Denmark","Number","Other generalist medical practitioners",":",""
"2012","Denmark","Number","Specialist medical practitioners","9 110.00",""
"2012","Denmark","Number","General paediatricians","400.00",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Generalist medical practitioners","75 390.00",""
"2012","Germany (until 1990 former territory of the FRG)","Number","General practitioners","56 739.50",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Other generalist medical practitioners","18 650.50",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Specialist medical practitioners","242 000.00",""
"2012","Germany (until 1990 former territory of the FRG)","Number","General paediatricians","13 047.00",""
"2012","Estonia","Number","Generalist medical practitioners","959.00",""
"2012","Estonia","Number","General practitioners","855.00",""
"2012","Estonia","Number","Other generalist medical practitioners","104.00",""
"2012","Estonia","Number","Specialist medical practitioners","3 000.00",""
"2012","Estonia","Number","General paediatricians","161.00",""
"2012","Ireland","Number","Generalist medical practitioners","11 288.00",""
"2012","Ireland","Number","General practitioners","3 318.00",""
"2012","Ireland","Number","Other generalist medical practitioners","7 970.00",""
"2012","Ireland","Number","Specialist medical practitioners","6 835.00",""
"2012","Ireland","Number","General paediatricians","455.00",""
"2012","Greece","Number","Generalist medical practitioners","3 456.00",""
"2012","Greece","Number","General practitioners","2 383.00",""
"2012","Greece","Number","Other generalist medical practitioners","1 073.00",""
"2012","Greece","Number","Specialist medical practitioners","41 116.00",""
"2012","Greece","Number","General paediatricians","3 326.00",""
"2012","Spain","Number","Generalist medical practitioners","35 061.00",""
"2012","Spain","Number","General practitioners","35 061.00",""
"2012","Spain","Number","Other generalist medical practitioners","0.00",""
"2012","Spain","Number","Specialist medical practitioners","112 699.00","bd"
"2012","Spain","Number","General paediatricians","12 029.00",""
"2012","France","Number","Generalist medical practitioners","93 283.00",""
"2012","France","Number","General practitioners","63 522.00",""
"2012","France","Number","Other generalist medical practitioners","29 761.00",""
"2012","France","Number","Specialist medical practitioners","108 501.00",""
"2012","France","Number","General paediatricians","7 466.00",""
"2012","Croatia","Number","Generalist medical practitioners","3 371.00",""
"2012","Croatia","Number","General practitioners","2 266.00",""
"2012","Croatia","Number","Other generalist medical practitioners","1 105.00",""
"2012","Croatia","Number","Specialist medical practitioners","9 401.00",""
"2012","Croatia","Number","General paediatricians","752.00",""
"2012","Italy","Number","Generalist medical practitioners","53 994.00",""
"2012","Italy","Number","General practitioners","45 437.00",""
"2012","Italy","Number","Other generalist medical practitioners","8 557.00",""
"2012","Italy","Number","Specialist medical practitioners","176 627.00",""
"2012","Italy","Number","General paediatricians","17 270.00",""
"2012","Cyprus","Number","Generalist medical practitioners",":",""
"2012","Cyprus","Number","General practitioners",":",""
"2012","Cyprus","Number","Other generalist medical practitioners",":",""
"2012","Cyprus","Number","Specialist medical practitioners",":",""
"2012","Cyprus","Number","General paediatricians",":",""
"2012","Latvia","Number","Generalist medical practitioners","1 338.00",""
"2012","Latvia","Number","General practitioners","1 338.00",""
"2012","Latvia","Number","Other generalist medical practitioners","0.00",""
"2012","Latvia","Number","Specialist medical practitioners","5 058.00",""
"2012","Latvia","Number","General paediatricians","249.00",""
"2012","Lithuania","Number","Generalist medical practitioners","2 697.00",""
"2012","Lithuania","Number","General practitioners","2 552.00",""
"2012","Lithuania","Number","Other generalist medical practitioners","145.00",""
"2012","Lithuania","Number","Specialist medical practitioners","9 907.00",""
"2012","Lithuania","Number","General paediatricians","835.00",""
"2012","Luxembourg","Number","Generalist medical practitioners","441.00",""
"2012","Luxembourg","Number","General practitioners","441.00",""
"2012","Luxembourg","Number","Other generalist medical practitioners","0.00",""
"2012","Luxembourg","Number","Specialist medical practitioners","1 048.00",""
"2012","Luxembourg","Number","General paediatricians","83.00",""
"2012","Hungary","Number","Generalist medical practitioners",":",""
"2012","Hungary","Number","General practitioners",":",""
"2012","Hungary","Number","Other generalist medical practitioners",":",""
"2012","Hungary","Number","Specialist medical practitioners",":",""
"2012","Hungary","Number","General paediatricians",":",""
"2012","Malta","Number","Generalist medical practitioners","335.00",""
"2012","Malta","Number","General practitioners","335.00",""
"2012","Malta","Number","Other generalist medical practitioners","0.00",""
"2012","Malta","Number","Specialist medical practitioners","659.00",""
"2012","Malta","Number","General paediatricians","63.00",""
"2012","Netherlands","Number","Generalist medical practitioners","24 135.00",""
"2012","Netherlands","Number","General practitioners","12 892.00",""
"2012","Netherlands","Number","Other generalist medical practitioners","11 243.00",""
"2012","Netherlands","Number","Specialist medical practitioners","30 376.00",""
"2012","Netherlands","Number","General paediatricians","1 556.00",""
"2012","Austria","Number","Generalist medical practitioners","13 657.00",""
"2012","Austria","Number","General practitioners","6 550.00",""
"2012","Austria","Number","Other generalist medical practitioners","7 107.00",""
"2012","Austria","Number","Specialist medical practitioners","21 107.00",""
"2012","Austria","Number","General paediatricians","1 234.00",""
"2012","Poland","Number","Generalist medical practitioners","12 645.00",""
"2012","Poland","Number","General practitioners","8 441.00",""
"2012","Poland","Number","Other generalist medical practitioners","4 204.00",""
"2012","Poland","Number","Specialist medical practitioners","72 380.00",""
"2012","Poland","Number","General paediatricians","4 880.00",""
"2012","Portugal","Number","Generalist medical practitioners","22 125.00",""
"2012","Portugal","Number","General practitioners","20 269.00",""
"2012","Portugal","Number","Other generalist medical practitioners","1 856.00",""
"2012","Portugal","Number","Specialist medical practitioners","22 465.00",""
"2012","Portugal","Number","General paediatricians","1 773.00",""
"2012","Romania","Number","Generalist medical practitioners","16 741.00",""
"2012","Romania","Number","General practitioners","13 766.00",""
"2012","Romania","Number","Other generalist medical practitioners","2 975.00",""
"2012","Romania","Number","Specialist medical practitioners","35 621.00",""
"2012","Romania","Number","General paediatricians","2 402.00",""
"2012","Slovenia","Number","Generalist medical practitioners","1 127.00",""
"2012","Slovenia","Number","General practitioners","959.00",""
"2012","Slovenia","Number","Other generalist medical practitioners","168.00",""
"2012","Slovenia","Number","Specialist medical practitioners","3 948.00",""
"2012","Slovenia","Number","General paediatricians","524.00",""
