"TIME","GEO","ICHA_HC","INDIC_HE","UNIT","Value","Flag and Footnotes"
"2010","North Macedonia","Services of curative care","Discharges","Number","196 447.00",""
"2010","North Macedonia","Services of curative care","In-patient average length of stay (in days)","Number","6.22",""
"2010","North Macedonia","Services of curative care","Bed-days","Number",":",""
"2010","North Macedonia","In-patient care","Discharges","Number",":",""
"2010","North Macedonia","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2010","North Macedonia","In-patient care","Bed-days","Number",":",""
"2010","Albania","Services of curative care","Discharges","Number",":",""
"2010","Albania","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2010","Albania","Services of curative care","Bed-days","Number",":",""
"2010","Albania","In-patient care","Discharges","Number","255 024.00",""
"2010","Albania","In-patient care","In-patient average length of stay (in days)","Number","5.80",""
"2010","Albania","In-patient care","Bed-days","Number",":",""
"2010","Serbia","Services of curative care","Discharges","Number","1 037 830.00",""
"2010","Serbia","Services of curative care","In-patient average length of stay (in days)","Number","8.20",""
"2010","Serbia","Services of curative care","Bed-days","Number","8 521 379.00",""
"2010","Serbia","In-patient care","Discharges","Number","1 154 930.00",""
"2010","Serbia","In-patient care","In-patient average length of stay (in days)","Number","9.00",""
"2010","Serbia","In-patient care","Bed-days","Number",":",""
"2010","Turkey","Services of curative care","Discharges","Number","10 499 918.00",""
"2010","Turkey","Services of curative care","In-patient average length of stay (in days)","Number","4.04",""
"2010","Turkey","Services of curative care","Bed-days","Number","42 408 423.00",""
"2010","Turkey","In-patient care","Discharges","Number","10 528 173.00",""
"2010","Turkey","In-patient care","In-patient average length of stay (in days)","Number","4.08",""
"2010","Turkey","In-patient care","Bed-days","Number",":",""
"2011","European Union - 27 countries (from 2020)","Services of curative care","Discharges","Number",":",""
"2011","European Union - 27 countries (from 2020)","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2011","European Union - 27 countries (from 2020)","Services of curative care","Bed-days","Number",":",""
"2011","European Union - 27 countries (from 2020)","In-patient care","Discharges","Number","79 101 698.00","e"
"2011","European Union - 27 countries (from 2020)","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2011","European Union - 27 countries (from 2020)","In-patient care","Bed-days","Number",":",""
"2011","European Union - 28 countries (2013-2020)","Services of curative care","Discharges","Number",":",""
"2011","European Union - 28 countries (2013-2020)","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2011","European Union - 28 countries (2013-2020)","Services of curative care","Bed-days","Number",":",""
"2011","European Union - 28 countries (2013-2020)","In-patient care","Discharges","Number","87 589 438.00","e"
"2011","European Union - 28 countries (2013-2020)","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2011","European Union - 28 countries (2013-2020)","In-patient care","Bed-days","Number",":",""
"2011","Belgium","Services of curative care","Discharges","Number","1 804 812.00",""
"2011","Belgium","Services of curative care","In-patient average length of stay (in days)","Number","7.10",""
"2011","Belgium","Services of curative care","Bed-days","Number","12 752 281.00",""
"2011","Belgium","In-patient care","Discharges","Number","1 832 140.00",""
"2011","Belgium","In-patient care","In-patient average length of stay (in days)","Number","8.02",""
"2011","Belgium","In-patient care","Bed-days","Number",":",""
"2011","Bulgaria","Services of curative care","Discharges","Number",":",""
"2011","Bulgaria","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2011","Bulgaria","Services of curative care","Bed-days","Number",":",""
"2011","Bulgaria","In-patient care","Discharges","Number","1 961 448.00",""
"2011","Bulgaria","In-patient care","In-patient average length of stay (in days)","Number","6.00",""
"2011","Bulgaria","In-patient care","Bed-days","Number",":",""
"2011","Czechia","Services of curative care","Discharges","Number","1 950 051.00",""
"2011","Czechia","Services of curative care","In-patient average length of stay (in days)","Number","6.40",""
"2011","Czechia","Services of curative care","Bed-days","Number","12 483 768.00",""
"2011","Czechia","In-patient care","Discharges","Number","2 119 827.00",""
"2011","Czechia","In-patient care","In-patient average length of stay (in days)","Number","9.80",""
"2011","Czechia","In-patient care","Bed-days","Number",":",""
"2011","Denmark","Services of curative care","Discharges","Number",":",""
"2011","Denmark","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2011","Denmark","Services of curative care","Bed-days","Number",":",""
"2011","Denmark","In-patient care","Discharges","Number","872 386.00",""
"2011","Denmark","In-patient care","In-patient average length of stay (in days)","Number","5.80",""
"2011","Denmark","In-patient care","Bed-days","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Services of curative care","Discharges","Number","18 257 267.00",""
"2011","Germany (until 1990 former territory of the FRG)","Services of curative care","In-patient average length of stay (in days)","Number","7.90",""
"2011","Germany (until 1990 former territory of the FRG)","Services of curative care","Bed-days","Number","144 781 700.00",""
"2011","Germany (until 1990 former territory of the FRG)","In-patient care","Discharges","Number","19 868 738.00",""
"2011","Germany (until 1990 former territory of the FRG)","In-patient care","In-patient average length of stay (in days)","Number","9.30",""
"2011","Germany (until 1990 former territory of the FRG)","In-patient care","Bed-days","Number",":",""
"2011","Estonia","Services of curative care","Discharges","Number","211 815.00",""
"2011","Estonia","Services of curative care","In-patient average length of stay (in days)","Number","5.50",""
"2011","Estonia","Services of curative care","Bed-days","Number","1 171 081.00",""
"2011","Estonia","In-patient care","Discharges","Number","241 616.00",""
"2011","Estonia","In-patient care","In-patient average length of stay (in days)","Number","7.70",""
"2011","Estonia","In-patient care","Bed-days","Number",":",""
"2011","Ireland","Services of curative care","Discharges","Number","587 074.00",""
"2011","Ireland","Services of curative care","In-patient average length of stay (in days)","Number","5.90",""
"2011","Ireland","Services of curative care","Bed-days","Number","3 468 624.00",""
"2011","Ireland","In-patient care","Discharges","Number","601 733.00",""
"2011","Ireland","In-patient care","In-patient average length of stay (in days)","Number","6.40",""
"2011","Ireland","In-patient care","Bed-days","Number",":",""
"2011","Greece","Services of curative care","Discharges","Number","2 177 730.00","d"
"2011","Greece","Services of curative care","In-patient average length of stay (in days)","Number","5.40","d"
"2011","Greece","Services of curative care","Bed-days","Number",":",""
"2011","Greece","In-patient care","Discharges","Number","2 199 062.00","d"
"2011","Greece","In-patient care","In-patient average length of stay (in days)","Number","6.80","d"
"2011","Greece","In-patient care","Bed-days","Number",":",""
"2011","Spain","Services of curative care","Discharges","Number","5 148 503.00",""
"2011","Spain","Services of curative care","In-patient average length of stay (in days)","Number","6.23",""
"2011","Spain","Services of curative care","Bed-days","Number","32 084 295.00",""
"2011","Spain","In-patient care","Discharges","Number","5 181 555.00",""
"2011","Spain","In-patient care","In-patient average length of stay (in days)","Number","7.71",""
"2011","Spain","In-patient care","Bed-days","Number",":",""
"2011","France","Services of curative care","Discharges","Number","10 453 136.00",""
"2011","France","Services of curative care","In-patient average length of stay (in days)","Number","5.75",""
"2011","France","Services of curative care","Bed-days","Number","60 072 685.00",""
"2011","France","In-patient care","Discharges","Number","12 091 541.00",""
"2011","France","In-patient care","In-patient average length of stay (in days)","Number","10.10",""
"2011","France","In-patient care","Bed-days","Number",":",""
"2011","Croatia","Services of curative care","Discharges","Number","669 249.00",""
"2011","Croatia","Services of curative care","In-patient average length of stay (in days)","Number","7.10",""
"2011","Croatia","Services of curative care","Bed-days","Number","4 750 756.00",""
"2011","Croatia","In-patient care","Discharges","Number","744 518.00",""
"2011","Croatia","In-patient care","In-patient average length of stay (in days)","Number","9.29",""
"2011","Croatia","In-patient care","Bed-days","Number",":",""
"2011","Italy","Services of curative care","Discharges","Number","7 046 625.00",""
"2011","Italy","Services of curative care","In-patient average length of stay (in days)","Number","6.81",""
"2011","Italy","Services of curative care","Bed-days","Number","47 987 909.00",""
"2011","Italy","In-patient care","Discharges","Number","7 860 783.00",""
"2011","Italy","In-patient care","In-patient average length of stay (in days)","Number","7.72",""
"2011","Italy","In-patient care","Bed-days","Number",":",""
"2011","Cyprus","Services of curative care","Discharges","Number","76 756.00","d"
"2011","Cyprus","Services of curative care","In-patient average length of stay (in days)","Number","5.30","d"
"2011","Cyprus","Services of curative care","Bed-days","Number",":",""
"2011","Cyprus","In-patient care","Discharges","Number","77 195.00","d"
"2011","Cyprus","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2011","Cyprus","In-patient care","Bed-days","Number",":",""
"2011","Latvia","Services of curative care","Discharges","Number","317 288.00",""
"2011","Latvia","Services of curative care","In-patient average length of stay (in days)","Number","5.97",""
"2011","Latvia","Services of curative care","Bed-days","Number","1 893 909.00",""
"2011","Latvia","In-patient care","Discharges","Number","391 770.00",""
"2011","Latvia","In-patient care","In-patient average length of stay (in days)","Number","8.44",""
"2011","Latvia","In-patient care","Bed-days","Number",":",""
"2011","Lithuania","Services of curative care","Discharges","Number","703 756.00",""
"2011","Lithuania","Services of curative care","In-patient average length of stay (in days)","Number","6.99",""
"2011","Lithuania","Services of curative care","Bed-days","Number","4 917 006.00",""
"2011","Lithuania","In-patient care","Discharges","Number","721 728.00",""
"2011","Lithuania","In-patient care","In-patient average length of stay (in days)","Number","7.84",""
"2011","Lithuania","In-patient care","Bed-days","Number",":",""
"2011","Luxembourg","Services of curative care","Discharges","Number","79 136.00",""
"2011","Luxembourg","Services of curative care","In-patient average length of stay (in days)","Number","7.28",""
"2011","Luxembourg","Services of curative care","Bed-days","Number","575 849.00",""
"2011","Luxembourg","In-patient care","Discharges","Number","81 221.00",""
"2011","Luxembourg","In-patient care","In-patient average length of stay (in days)","Number","8.75",""
"2011","Luxembourg","In-patient care","Bed-days","Number",":",""
"2011","Hungary","Services of curative care","Discharges","Number","1 784 638.00",""
"2011","Hungary","Services of curative care","In-patient average length of stay (in days)","Number","5.78",""
"2011","Hungary","Services of curative care","Bed-days","Number","10 321 905.00",""
"2011","Hungary","In-patient care","Discharges","Number","2 060 110.00",""
"2011","Hungary","In-patient care","In-patient average length of stay (in days)","Number","9.49",""
"2011","Hungary","In-patient care","Bed-days","Number",":",""
"2011","Malta","Services of curative care","Discharges","Number","57 957.00",""
"2011","Malta","Services of curative care","In-patient average length of stay (in days)","Number","5.27",""
"2011","Malta","Services of curative care","Bed-days","Number","305 456.00",""
"2011","Malta","In-patient care","Discharges","Number","60 588.00",""
"2011","Malta","In-patient care","In-patient average length of stay (in days)","Number","7.57",""
"2011","Malta","In-patient care","Bed-days","Number",":",""
"2011","Netherlands","Services of curative care","Discharges","Number",":",""
"2011","Netherlands","Services of curative care","In-patient average length of stay (in days)","Number","6.50","b"
"2011","Netherlands","Services of curative care","Bed-days","Number",":",""
"2011","Netherlands","In-patient care","Discharges","Number",":",""
"2011","Netherlands","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2011","Netherlands","In-patient care","Bed-days","Number",":",""
"2011","Austria","Services of curative care","Discharges","Number","2 176 231.00",""
"2011","Austria","Services of curative care","In-patient average length of stay (in days)","Number","6.55",""
"2011","Austria","Services of curative care","Bed-days","Number","14 253 594.00",""
"2011","Austria","In-patient care","Discharges","Number","2 302 892.00",""
"2011","Austria","In-patient care","In-patient average length of stay (in days)","Number","7.80",""
"2011","Austria","In-patient care","Bed-days","Number",":",""
"2011","Poland","Services of curative care","Discharges","Number","6 110 759.00",""
"2011","Poland","Services of curative care","In-patient average length of stay (in days)","Number","7.10",""
"2011","Poland","Services of curative care","Bed-days","Number","43 485 761.00",""
"2011","Poland","In-patient care","Discharges","Number","6 221 629.00",""
"2011","Poland","In-patient care","In-patient average length of stay (in days)","Number","7.40",""
"2011","Poland","In-patient care","Bed-days","Number",":",""
"2011","Portugal","Services of curative care","Discharges","Number","1 142 719.00",""
"2011","Portugal","Services of curative care","In-patient average length of stay (in days)","Number","8.75",""
"2011","Portugal","Services of curative care","Bed-days","Number","9 999 022.00",""
"2011","Portugal","In-patient care","Discharges","Number","1 177 431.00",""
"2011","Portugal","In-patient care","In-patient average length of stay (in days)","Number","8.70",""
"2011","Portugal","In-patient care","Bed-days","Number",":",""
"2011","Romania","Services of curative care","Discharges","Number","4 306 277.00",""
"2011","Romania","Services of curative care","In-patient average length of stay (in days)","Number","6.48",""
"2011","Romania","Services of curative care","Bed-days","Number","27 915 460.00",""
"2011","Romania","In-patient care","Discharges","Number","4 633 328.00",""
"2011","Romania","In-patient care","In-patient average length of stay (in days)","Number","7.50",""
"2011","Romania","In-patient care","Bed-days","Number",":",""
"2011","Slovenia","Services of curative care","Discharges","Number","338 071.00","b"
"2011","Slovenia","Services of curative care","In-patient average length of stay (in days)","Number","6.84","b"
"2011","Slovenia","Services of curative care","Bed-days","Number","2 311 144.00",""
"2011","Slovenia","In-patient care","Discharges","Number","358 195.00","b"
"2011","Slovenia","In-patient care","In-patient average length of stay (in days)","Number","7.30","b"
"2011","Slovenia","In-patient care","Bed-days","Number",":",""
"2011","Slovakia","Services of curative care","Discharges","Number","914 152.00",""
"2011","Slovakia","Services of curative care","In-patient average length of stay (in days)","Number","6.30",""
"2011","Slovakia","Services of curative care","Bed-days","Number","5 714 801.00",""
"2011","Slovakia","In-patient care","Discharges","Number","1 009 687.00",""
"2011","Slovakia","In-patient care","In-patient average length of stay (in days)","Number","8.00",""
"2011","Slovakia","In-patient care","Bed-days","Number",":",""
"2011","Finland","Services of curative care","Discharges","Number","918 631.00",""
"2011","Finland","Services of curative care","In-patient average length of stay (in days)","Number","6.90",""
"2011","Finland","Services of curative care","Bed-days","Number","6 368 574.00",""
