"TIME","GEO","UNIT","SEX","ICD10","Value","Value_imp"
2011,"Spain","Number","Total","Other sepsis",2946,FALSE
2011,"Spain","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",11834,FALSE
2011,"Spain","Number","Total","Pneumonia, organism unspecified",7819,FALSE
2011,"France","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",6616,FALSE
2011,"France","Number","Total","Other sepsis",5094,FALSE
2011,"France","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",11842,FALSE
2011,"France","Number","Total","Pneumonia, organism unspecified",9971,FALSE
2011,"France (metropolitan)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",6433,FALSE
2011,"France (metropolitan)","Number","Total","Other sepsis",4978,FALSE
2011,"France (metropolitan)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",11579,FALSE
2011,"France (metropolitan)","Number","Total","Pneumonia, organism unspecified",9781,FALSE
2011,"Croatia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",154,FALSE
2011,"Croatia","Number","Total","Other sepsis",121,FALSE
2011,"Croatia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",890,FALSE
2011,"Croatia","Number","Total","Pneumonia, organism unspecified",270,FALSE
2011,"Italy","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",5652,FALSE
2011,"Italy","Number","Total","Other sepsis",5423,FALSE
2011,"Italy","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",10691,FALSE
2011,"Italy","Number","Total","Pneumonia, organism unspecified",8211,FALSE
2011,"Cyprus","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",51,FALSE
2011,"Cyprus","Number","Total","Other sepsis",34,FALSE
2011,"Cyprus","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",103,FALSE
2011,"Cyprus","Number","Total","Pneumonia, organism unspecified",76,FALSE
2011,"Latvia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",224,FALSE
2011,"Latvia","Number","Total","Other sepsis",34,FALSE
2011,"Latvia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",400,FALSE
2011,"Latvia","Number","Total","Pneumonia, organism unspecified",327,FALSE
2011,"Lithuania","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",317,FALSE
2011,"Lithuania","Number","Total","Other sepsis",235,FALSE
2011,"Lithuania","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",675,FALSE
2011,"Lithuania","Number","Total","Pneumonia, organism unspecified",347,FALSE
2011,"Luxembourg","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",41,FALSE
2011,"Luxembourg","Number","Total","Other sepsis",49,FALSE
2011,"Luxembourg","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",74,FALSE
2011,"Luxembourg","Number","Total","Pneumonia, organism unspecified",77,FALSE
2011,"Hungary","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",549,FALSE
2011,"Hungary","Number","Total","Other sepsis",67,FALSE
2011,"Hungary","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",3137,FALSE
2011,"Hungary","Number","Total","Pneumonia, organism unspecified",449,FALSE
2011,"Malta","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",17,FALSE
2011,"Malta","Number","Total","Other sepsis",8,FALSE
2011,"Malta","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",93,FALSE
2011,"Malta","Number","Total","Pneumonia, organism unspecified",76,FALSE
2011,"Netherlands","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",1050,FALSE
2011,"Netherlands","Number","Total","Other sepsis",1067,FALSE
2011,"Netherlands","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",3641,FALSE
2011,"Netherlands","Number","Total","Pneumonia, organism unspecified",4918,FALSE
2011,"Austria","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",587,FALSE
2011,"Austria","Number","Total","Other sepsis",93,FALSE
2011,"Austria","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",1074,FALSE
2011,"Austria","Number","Total","Pneumonia, organism unspecified",1052,FALSE
2011,"Poland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",1348,FALSE
2011,"Poland","Number","Total","Other sepsis",1744,FALSE
2011,"Poland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",5929,FALSE
2011,"Poland","Number","Total","Pneumonia, organism unspecified",8262,FALSE
2011,"Portugal","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",1151,FALSE
2011,"Portugal","Number","Total","Other sepsis",1125,FALSE
2011,"Portugal","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",3612,FALSE
2011,"Portugal","Number","Total","Pneumonia, organism unspecified",5163,FALSE
2011,"Romania","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",1708,FALSE
2011,"Romania","Number","Total","Other sepsis",525,FALSE
2011,"Romania","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",3232,FALSE
2011,"Romania","Number","Total","Pneumonia, organism unspecified",5126,FALSE
2011,"Slovenia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",39,FALSE
2011,"Slovenia","Number","Total","Other sepsis",37,FALSE
2011,"Slovenia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",467,FALSE
2011,"Slovenia","Number","Total","Pneumonia, organism unspecified",465,FALSE
2011,"Slovakia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",111,FALSE
2011,"Slovakia","Number","Total","Other sepsis",105,FALSE
2011,"Slovakia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",1499,FALSE
2011,"Slovakia","Number","Total","Pneumonia, organism unspecified",1300,FALSE
2011,"Finland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",266,FALSE
2011,"Finland","Number","Total","Other sepsis",140,FALSE
2011,"Finland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",862,FALSE
2011,"Finland","Number","Total","Pneumonia, organism unspecified",282,FALSE
2011,"Sweden","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",1202,FALSE
2011,"Sweden","Number","Total","Other sepsis",846,FALSE
2011,"Sweden","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",1235,FALSE
2011,"Sweden","Number","Total","Pneumonia, organism unspecified",1921,FALSE
2011,"Iceland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",11,FALSE
2011,"Iceland","Number","Total","Other sepsis",5,FALSE
2011,"Iceland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",18,FALSE
2011,"Iceland","Number","Total","Pneumonia, organism unspecified",75,FALSE
2011,"Liechtenstein","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",2,FALSE
2011,"Liechtenstein","Number","Total","Other sepsis",2,TRUE
2011,"Liechtenstein","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",1,FALSE
2011,"Liechtenstein","Number","Total","Pneumonia, organism unspecified",1,FALSE
2011,"Norway","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",588,FALSE
2011,"Norway","Number","Total","Other sepsis",367,FALSE
2011,"Norway","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",766,FALSE
2011,"Norway","Number","Total","Pneumonia, organism unspecified",1549,FALSE
2011,"Switzerland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",616,FALSE
2011,"Switzerland","Number","Total","Other sepsis",183,FALSE
2011,"Switzerland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",1488,FALSE
2011,"Switzerland","Number","Total","Pneumonia, organism unspecified",1141,FALSE
2011,"United Kingdom","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",3801,FALSE
2011,"United Kingdom","Number","Total","Other sepsis",2555,FALSE
2011,"United Kingdom","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",17160,FALSE
2011,"United Kingdom","Number","Total","Pneumonia, organism unspecified",27968,FALSE
2011,"Serbia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",297,FALSE
2011,"Serbia","Number","Total","Other sepsis",141,FALSE
2011,"Serbia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",1168,FALSE
2011,"Serbia","Number","Total","Pneumonia, organism unspecified",751,FALSE
2011,"Turkey","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",2374,FALSE
2011,"Turkey","Number","Total","Other sepsis",2668,FALSE
2011,"Turkey","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",4016,FALSE
2011,"Turkey","Number","Total","Pneumonia, organism unspecified",4111,FALSE
2012,"European Union - 27 countries (from 2020)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",38818,FALSE
2012,"European Union - 27 countries (from 2020)","Number","Total","Other sepsis",36762,FALSE
