"TIME","GEO","UNIT","Value","Value_imp"
2016,"Poland","Percentage",39.88,TRUE
2016,"Portugal","Percentage",57.5,FALSE
2016,"Romania","Percentage",7.8,FALSE
2016,"Slovenia","Percentage",9.8,FALSE
2016,"Slovakia","Percentage",13.3,FALSE
2016,"Finland","Percentage",47.3,FALSE
2016,"Sweden","Percentage",49.4,FALSE
2016,"Iceland","Percentage",47,FALSE
2016,"Liechtenstein","Percentage",27.8,FALSE
2016,"Norway","Percentage",38,FALSE
2016,"Switzerland","Percentage",43.55,TRUE
2016,"United Kingdom","Percentage",70.54,FALSE
2016,"Montenegro","Percentage",13.16,FALSE
2016,"North Macedonia","Percentage",5.8,FALSE
2016,"Serbia","Percentage",10.7,FALSE
2016,"Turkey","Percentage",7,FALSE
2017,"European Union - 27 countries (from 2020)","Percentage",40.63,FALSE
2017,"European Union - 28 countries (2013-2020)","Percentage",44.45,FALSE
2017,"Belgium","Percentage",58,TRUE
2017,"Bulgaria","Percentage",40.63,TRUE
2017,"Czechia","Percentage",20.26,FALSE
2017,"Denmark","Percentage",50,FALSE
2017,"Germany (until 1990 former territory of the FRG)","Percentage",34.8,FALSE
2017,"Estonia","Percentage",4.8,FALSE
2017,"Ireland","Percentage",57.6,FALSE
2017,"Greece","Percentage",48.91,TRUE
2017,"Spain","Percentage",55.7,FALSE
2017,"France","Percentage",49.7,FALSE
2017,"Croatia","Percentage",23,FALSE
2017,"Italy","Percentage",52,FALSE
2017,"Cyprus","Percentage",40.63,TRUE
2017,"Latvia","Percentage",6.88,FALSE
2017,"Lithuania","Percentage",13.4,FALSE
2017,"Luxembourg","Percentage",37.61,FALSE
2017,"Hungary","Percentage",26.8,FALSE
2017,"Malta","Percentage",55.5,FALSE
2017,"Netherlands","Percentage",64,FALSE
2017,"Austria","Percentage",40.63,TRUE
2017,"Poland","Percentage",40.63,TRUE
2017,"Portugal","Percentage",60.8,FALSE
2017,"Romania","Percentage",16.1,FALSE
2017,"Slovenia","Percentage",11.8,FALSE
2017,"Slovakia","Percentage",13,FALSE
2017,"Finland","Percentage",47.6,FALSE
2017,"Sweden","Percentage",49.8,FALSE
2017,"Iceland","Percentage",45,FALSE
2017,"Liechtenstein","Percentage",20.2,FALSE
2017,"Norway","Percentage",34.4,FALSE
2017,"Switzerland","Percentage",44.45,TRUE
2017,"United Kingdom","Percentage",72.56,FALSE
2017,"Montenegro","Percentage",12.5,FALSE
2017,"North Macedonia","Percentage",6.5,FALSE
2017,"Serbia","Percentage",11.2,FALSE
2017,"Turkey","Percentage",9,TRUE
2018,"European Union - 27 countries (from 2020)","Percentage",41.37,FALSE
2018,"European Union - 28 countries (2013-2020)","Percentage",45.02,FALSE
2018,"Belgium","Percentage",59.1,FALSE
2018,"Bulgaria","Percentage",41.37,TRUE
2018,"Czechia","Percentage",21.45,FALSE
2018,"Denmark","Percentage",52,FALSE
2018,"Germany (until 1990 former territory of the FRG)","Percentage",35.3,TRUE
2018,"Estonia","Percentage",10.2,FALSE
2018,"Ireland","Percentage",68.5,FALSE
2018,"Greece","Percentage",56.18,FALSE
2018,"Spain","Percentage",54.3,FALSE
2018,"France","Percentage",51,FALSE
2018,"Croatia","Percentage",29,FALSE
2018,"Italy","Percentage",52.7,FALSE
2018,"Cyprus","Percentage",41.37,TRUE
2018,"Latvia","Percentage",7.73,FALSE
2018,"Lithuania","Percentage",14.8,FALSE
2018,"Luxembourg","Percentage",39.76,FALSE
2018,"Hungary","Percentage",24.1,FALSE
2018,"Malta","Percentage",51.4,FALSE
2018,"Netherlands","Percentage",62.7,FALSE
2018,"Austria","Percentage",41.37,TRUE
2018,"Poland","Percentage",41.37,TRUE
2018,"Portugal","Percentage",57.5,TRUE
2018,"Romania","Percentage",20.8,FALSE
2018,"Slovenia","Percentage",12.9,FALSE
2018,"Slovakia","Percentage",12.5,FALSE
2018,"Finland","Percentage",49.5,FALSE
2018,"Sweden","Percentage",52.2,FALSE
2018,"Iceland","Percentage",49.4,FALSE
2018,"Liechtenstein","Percentage",27.8,TRUE
2018,"Norway","Percentage",38.2,FALSE
2018,"Switzerland","Percentage",45.02,TRUE
2018,"United Kingdom","Percentage",71.97,FALSE
2018,"Montenegro","Percentage",13.59,FALSE
2018,"North Macedonia","Percentage",6.9,FALSE
2018,"Serbia","Percentage",11.1,FALSE
2018,"Turkey","Percentage",9,TRUE
2019,"European Union - 27 countries (from 2020)","Percentage",40.63,TRUE
2019,"European Union - 28 countries (2013-2020)","Percentage",44.45,TRUE
2019,"Belgium","Percentage",58,TRUE
2019,"Bulgaria","Percentage",34,TRUE
2019,"Czechia","Percentage",20.26,TRUE
2019,"Denmark","Percentage",50,TRUE
2019,"Germany (until 1990 former territory of the FRG)","Percentage",35.3,TRUE
2019,"Estonia","Percentage",4.8,TRUE
2019,"Ireland","Percentage",57.6,TRUE
2019,"Greece","Percentage",54.9,TRUE
2019,"Spain","Percentage",54.9,FALSE
2019,"France","Percentage",50,TRUE
2019,"Croatia","Percentage",34,FALSE
2019,"Italy","Percentage",53.1,FALSE
2019,"Cyprus","Percentage",34,TRUE
2019,"Latvia","Percentage",11.65,FALSE
2019,"Lithuania","Percentage",13.4,TRUE
2019,"Luxembourg","Percentage",37.97,TRUE
2019,"Hungary","Percentage",24.1,TRUE
2019,"Malta","Percentage",53.7,TRUE
2019,"Netherlands","Percentage",64,TRUE
2019,"Austria","Percentage",34,TRUE
2019,"Poland","Percentage",34,TRUE
2019,"Portugal","Percentage",57.5,TRUE
2019,"Romania","Percentage",16.1,TRUE
2019,"Slovenia","Percentage",11.8,TRUE
2019,"Slovakia","Percentage",13,TRUE
2019,"Finland","Percentage",47.6,TRUE
2019,"Sweden","Percentage",49.8,TRUE
2019,"Iceland","Percentage",47.5,FALSE
2019,"Liechtenstein","Percentage",27.8,TRUE
2019,"Norway","Percentage",38,TRUE
2019,"Switzerland","Percentage",46,TRUE
2019,"United Kingdom","Percentage",71.97,TRUE
2019,"Montenegro","Percentage",13.16,TRUE
2019,"North Macedonia","Percentage",6.5,TRUE
2019,"Serbia","Percentage",11.1,TRUE
2019,"Turkey","Percentage",9,TRUE
