"TIME","GEO","OWNER","UNIT","Value","Flag and Footnotes"
"2010","Estonia","Not-for-profit private ownership","Inhabitants per ...","3 541.16",""
"2010","Estonia","Not-for-profit private ownership","Per hundred thousand inhabitants","28.24",""
"2010","Estonia","For-profit private ownership","Number","325.00",""
"2010","Estonia","For-profit private ownership","Inhabitants per ...","4 096.85",""
"2010","Estonia","For-profit private ownership","Per hundred thousand inhabitants","24.41",""
"2010","Greece","Public ownership","Number","34 288.00",""
"2010","Greece","Public ownership","Inhabitants per ...","324.35",""
"2010","Greece","Public ownership","Per hundred thousand inhabitants","308.31",""
"2010","Greece","Not-for-profit private ownership","Number","1 368.00",""
"2010","Greece","Not-for-profit private ownership","Inhabitants per ...","8 129.63",""
"2010","Greece","Not-for-profit private ownership","Per hundred thousand inhabitants","12.30",""
"2010","Greece","For-profit private ownership","Number","14 172.00",""
"2010","Greece","For-profit private ownership","Inhabitants per ...","784.74",""
"2010","Greece","For-profit private ownership","Per hundred thousand inhabitants","127.43",""
"2010","Spain","Public ownership","Number","99 533.00","b"
"2010","Spain","Public ownership","Inhabitants per ...","467.95","b"
"2010","Spain","Public ownership","Per hundred thousand inhabitants","213.70","b"
"2010","Spain","Not-for-profit private ownership","Number","19 047.00","b"
"2010","Spain","Not-for-profit private ownership","Inhabitants per ...","2 445.37","b"
"2010","Spain","Not-for-profit private ownership","Per hundred thousand inhabitants","40.89","b"
"2010","Spain","For-profit private ownership","Number","26 371.00","b"
"2010","Spain","For-profit private ownership","Inhabitants per ...","1 766.22","b"
"2010","Spain","For-profit private ownership","Per hundred thousand inhabitants","56.62","b"
"2010","France","Public ownership","Number","260 642.00",""
"2010","France","Public ownership","Inhabitants per ...","248.69",""
"2010","France","Public ownership","Per hundred thousand inhabitants","402.11",""
"2010","France","Not-for-profit private ownership","Number","58 818.00",""
"2010","France","Not-for-profit private ownership","Inhabitants per ...","1 102.02",""
"2010","France","Not-for-profit private ownership","Per hundred thousand inhabitants","90.74",""
"2010","France","For-profit private ownership","Number","97 250.00",""
"2010","France","For-profit private ownership","Inhabitants per ...","666.52",""
"2010","France","For-profit private ownership","Per hundred thousand inhabitants","150.03",""
"2010","Croatia","Public ownership","Number","24 702.00",""
"2010","Croatia","Public ownership","Inhabitants per ...","173.93",""
"2010","Croatia","Public ownership","Per hundred thousand inhabitants","574.95",""
"2010","Croatia","Not-for-profit private ownership","Number","0.00",""
"2010","Croatia","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","Croatia","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2010","Croatia","For-profit private ownership","Number","129.00",""
"2010","Croatia","For-profit private ownership","Inhabitants per ...","33 305.05",""
"2010","Croatia","For-profit private ownership","Per hundred thousand inhabitants","3.00",""
"2010","Italy","Public ownership","Number","147 780.00",""
"2010","Italy","Public ownership","Inhabitants per ...","401.12",""
"2010","Italy","Public ownership","Per hundred thousand inhabitants","249.30",""
"2010","Italy","Not-for-profit private ownership","Number","7 813.00",""
"2010","Italy","Not-for-profit private ownership","Inhabitants per ...","7 587.02",""
"2010","Italy","Not-for-profit private ownership","Per hundred thousand inhabitants","13.18",""
"2010","Italy","For-profit private ownership","Number","60 387.00",""
"2010","Italy","For-profit private ownership","Inhabitants per ...","981.63",""
"2010","Italy","For-profit private ownership","Per hundred thousand inhabitants","101.87",""
"2010","Cyprus","Public ownership","Number","1 514.00",""
"2010","Cyprus","Public ownership","Inhabitants per ...","547.85",""
"2010","Cyprus","Public ownership","Per hundred thousand inhabitants","182.53",""
"2010","Cyprus","Not-for-profit private ownership","Number","0.00",""
"2010","Cyprus","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","Cyprus","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2010","Cyprus","For-profit private ownership","Number","1 444.00",""
"2010","Cyprus","For-profit private ownership","Inhabitants per ...","574.41",""
"2010","Cyprus","For-profit private ownership","Per hundred thousand inhabitants","174.09",""
"2010","Latvia","Public ownership","Number","11 154.00",""
"2010","Latvia","Public ownership","Inhabitants per ...","188.05",""
"2010","Latvia","Public ownership","Per hundred thousand inhabitants","531.76",""
"2010","Latvia","Not-for-profit private ownership","Number","0.00",""
"2010","Latvia","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","Latvia","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2010","Latvia","For-profit private ownership","Number","766.00",""
"2010","Latvia","For-profit private ownership","Inhabitants per ...","2 738.32",""
"2010","Latvia","For-profit private ownership","Per hundred thousand inhabitants","36.52",""
"2010","Lithuania","Public ownership","Number","22 015.00",""
"2010","Lithuania","Public ownership","Inhabitants per ...","140.69",""
"2010","Lithuania","Public ownership","Per hundred thousand inhabitants","710.78",""
"2010","Lithuania","Not-for-profit private ownership","Number","0.00",""
"2010","Lithuania","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","Lithuania","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2010","Lithuania","For-profit private ownership","Number","175.00",""
"2010","Lithuania","For-profit private ownership","Inhabitants per ...","17 698.75",""
"2010","Lithuania","For-profit private ownership","Per hundred thousand inhabitants","5.65",""
"2010","Hungary","Public ownership","Number","69 552.00",""
"2010","Hungary","Public ownership","Inhabitants per ...","143.78",""
"2010","Hungary","Public ownership","Per hundred thousand inhabitants","695.52",""
"2010","Hungary","Not-for-profit private ownership","Number","2 085.00",""
"2010","Hungary","Not-for-profit private ownership","Inhabitants per ...","4 796.17",""
"2010","Hungary","Not-for-profit private ownership","Per hundred thousand inhabitants","20.85",""
"2010","Hungary","For-profit private ownership","Number","181.00",""
"2010","Hungary","For-profit private ownership","Inhabitants per ...","55 248.75",""
"2010","Hungary","For-profit private ownership","Per hundred thousand inhabitants","1.81",""
"2010","Malta","Public ownership","Number","1 710.00",""
"2010","Malta","Public ownership","Inhabitants per ...","242.40",""
"2010","Malta","Public ownership","Per hundred thousand inhabitants","412.54",""
"2010","Malta","Not-for-profit private ownership","Number","0.00",""
"2010","Malta","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","Malta","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2010","Malta","For-profit private ownership","Number","164.00",""
"2010","Malta","For-profit private ownership","Inhabitants per ...","2 527.49",""
"2010","Malta","For-profit private ownership","Per hundred thousand inhabitants","39.56",""
"2010","Netherlands","Public ownership","Number",":",""
"2010","Netherlands","Public ownership","Inhabitants per ...",":",""
"2010","Netherlands","Public ownership","Per hundred thousand inhabitants",":",""
"2010","Netherlands","Not-for-profit private ownership","Number","69 793.00",""
"2010","Netherlands","Not-for-profit private ownership","Inhabitants per ...","238.07",""
"2010","Netherlands","Not-for-profit private ownership","Per hundred thousand inhabitants","420.05",""
"2010","Netherlands","For-profit private ownership","Number",":",""
"2010","Netherlands","For-profit private ownership","Inhabitants per ...",":",""
"2010","Netherlands","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2010","Austria","Public ownership","Number","45 367.00",""
"2010","Austria","Public ownership","Inhabitants per ...","184.35",""
"2010","Austria","Public ownership","Per hundred thousand inhabitants","542.45",""
"2010","Austria","Not-for-profit private ownership","Number","11 519.00",""
"2010","Austria","Not-for-profit private ownership","Inhabitants per ...","726.05",""
"2010","Austria","Not-for-profit private ownership","Per hundred thousand inhabitants","137.73",""
"2010","Austria","For-profit private ownership","Number","7 122.00",""
"2010","Austria","For-profit private ownership","Inhabitants per ...","1 174.31",""
"2010","Austria","For-profit private ownership","Per hundred thousand inhabitants","85.16",""
"2010","Poland","Public ownership","Number","190 175.00",""
"2010","Poland","Public ownership","Inhabitants per ...","200.04",""
"2010","Poland","Public ownership","Per hundred thousand inhabitants","499.90",""
"2010","Poland","Not-for-profit private ownership","Number","0.00",""
"2010","Poland","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","Poland","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2010","Poland","For-profit private ownership","Number","61 281.00",""
"2010","Poland","For-profit private ownership","Inhabitants per ...","620.79",""
"2010","Poland","For-profit private ownership","Per hundred thousand inhabitants","161.08",""
"2010","Portugal","Public ownership","Number","26 048.00",""
"2010","Portugal","Public ownership","Inhabitants per ...","405.91",""
"2010","Portugal","Public ownership","Per hundred thousand inhabitants","246.36",""
"2010","Portugal","Not-for-profit private ownership","Number","6 533.00",""
"2010","Portugal","Not-for-profit private ownership","Inhabitants per ...","1 618.41",""
"2010","Portugal","Not-for-profit private ownership","Per hundred thousand inhabitants","61.79",""
"2010","Portugal","For-profit private ownership","Number","3 065.00",""
"2010","Portugal","For-profit private ownership","Inhabitants per ...","3 449.62",""
"2010","Portugal","For-profit private ownership","Per hundred thousand inhabitants","28.99",""
"2010","Romania","Public ownership","Number","131 759.00",""
"2010","Romania","Public ownership","Inhabitants per ...","162.71",""
"2010","Romania","Public ownership","Per hundred thousand inhabitants","614.60",""
"2010","Romania","Not-for-profit private ownership","Number","210.00",""
"2010","Romania","Not-for-profit private ownership","Inhabitants per ...","102 085.72",""
"2010","Romania","Not-for-profit private ownership","Per hundred thousand inhabitants","0.98",""
"2010","Romania","For-profit private ownership","Number","2 767.00",""
"2010","Romania","For-profit private ownership","Inhabitants per ...","7 747.74",""
"2010","Romania","For-profit private ownership","Per hundred thousand inhabitants","12.91",""
"2010","Slovenia","Public ownership","Number","9 265.00",""
"2010","Slovenia","Public ownership","Inhabitants per ...","221.11",""
"2010","Slovenia","Public ownership","Per hundred thousand inhabitants","452.26",""
"2010","Slovenia","Not-for-profit private ownership","Number","0.00",""
"2010","Slovenia","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","Slovenia","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2010","Slovenia","For-profit private ownership","Number","102.00",""
"2010","Slovenia","For-profit private ownership","Inhabitants per ...","20 084.14",""
"2010","Slovenia","For-profit private ownership","Per hundred thousand inhabitants","4.98",""
"2010","Finland","Public ownership","Number","30 024.00",""
"2010","Finland","Public ownership","Inhabitants per ...","178.64",""
"2010","Finland","Public ownership","Per hundred thousand inhabitants","559.80",""
"2010","Finland","Not-for-profit private ownership","Number",":",""
"2010","Finland","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","Finland","Not-for-profit private ownership","Per hundred thousand inhabitants",":",""
"2010","Finland","For-profit private ownership","Number","1 372.00",""
"2010","Finland","For-profit private ownership","Inhabitants per ...","3 909.15",""
"2010","Finland","For-profit private ownership","Per hundred thousand inhabitants","25.58",""
"2010","Iceland","Public ownership","Number","1 140.00",""
"2010","Iceland","Public ownership","Inhabitants per ...","278.98",""
"2010","Iceland","Public ownership","Per hundred thousand inhabitants","358.44",""
"2010","Iceland","Not-for-profit private ownership","Number","0.00",""
"2010","Iceland","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","Iceland","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2010","Iceland","For-profit private ownership","Number","0.00",""
"2010","Iceland","For-profit private ownership","Inhabitants per ...",":",""
"2010","Iceland","For-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2010","Liechtenstein","Public ownership","Number","74.00",""
"2010","Liechtenstein","Public ownership","Inhabitants per ...","486.78",""
"2010","Liechtenstein","Public ownership","Per hundred thousand inhabitants","205.43",""
"2010","Liechtenstein","Not-for-profit private ownership","Number","0.00",""
"2010","Liechtenstein","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","Liechtenstein","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2010","Liechtenstein","For-profit private ownership","Number","4.00",""
"2010","Liechtenstein","For-profit private ownership","Inhabitants per ...","9 005.38",""
"2010","Liechtenstein","For-profit private ownership","Per hundred thousand inhabitants","11.10",""
"2010","Norway","Public ownership","Number","16 185.00",""
"2010","Norway","Public ownership","Inhabitants per ...","302.09",""
"2010","Norway","Public ownership","Per hundred thousand inhabitants","331.03",""
"2010","Norway","Not-for-profit private ownership","Number",":",""
"2010","Norway","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","Norway","Not-for-profit private ownership","Per hundred thousand inhabitants",":",""
"2010","Norway","For-profit private ownership","Number",":",""
"2010","Norway","For-profit private ownership","Inhabitants per ...",":",""
"2010","Norway","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2010","United Kingdom","Public ownership","Number","183 831.00","b"
"2010","United Kingdom","Public ownership","Inhabitants per ...","341.44","b"
"2010","United Kingdom","Public ownership","Per hundred thousand inhabitants","292.88","b"
"2010","United Kingdom","Not-for-profit private ownership","Number",":",""
"2010","United Kingdom","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","United Kingdom","Not-for-profit private ownership","Per hundred thousand inhabitants",":",""
"2010","United Kingdom","For-profit private ownership","Number",":",""
"2010","United Kingdom","For-profit private ownership","Inhabitants per ...",":",""
"2010","United Kingdom","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2010","Montenegro","Public ownership","Number","2 466.00",""
"2010","Montenegro","Public ownership","Inhabitants per ...","251.19",""
"2010","Montenegro","Public ownership","Per hundred thousand inhabitants","398.11",""
"2010","Montenegro","Not-for-profit private ownership","Number","0.00",""
"2010","Montenegro","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","Montenegro","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2010","Montenegro","For-profit private ownership","Number",":",""
"2010","Montenegro","For-profit private ownership","Inhabitants per ...",":",""
"2010","Montenegro","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2010","North Macedonia","Public ownership","Number","9 237.00",""
"2010","North Macedonia","Public ownership","Inhabitants per ...","222.48",""
"2010","North Macedonia","Public ownership","Per hundred thousand inhabitants","449.49",""
"2010","North Macedonia","Not-for-profit private ownership","Number","0.00",""
"2010","North Macedonia","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","North Macedonia","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2010","North Macedonia","For-profit private ownership","Number","197.00",""
"2010","North Macedonia","For-profit private ownership","Inhabitants per ...","10 431.49",""
"2010","North Macedonia","For-profit private ownership","Per hundred thousand inhabitants","9.59",""
"2010","Serbia","Public ownership","Number","39 299.00",""
"2010","Serbia","Public ownership","Inhabitants per ...","185.22",""
"2010","Serbia","Public ownership","Per hundred thousand inhabitants","539.89",""
"2010","Serbia","Not-for-profit private ownership","Number","0.00",""
"2010","Serbia","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","Serbia","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2010","Serbia","For-profit private ownership","Number",":",""
"2010","Serbia","For-profit private ownership","Inhabitants per ...",":",""
"2010","Serbia","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2010","Turkey","Public ownership","Number","168 661.00",""
"2010","Turkey","Public ownership","Inhabitants per ...","433.66",""
"2010","Turkey","Public ownership","Per hundred thousand inhabitants","230.59",""
"2010","Turkey","Not-for-profit private ownership","Number","0.00",""
"2010","Turkey","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","Turkey","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2010","Turkey","For-profit private ownership","Number","31 578.00",""
"2010","Turkey","For-profit private ownership","Inhabitants per ...","2 316.24",""
"2010","Turkey","For-profit private ownership","Per hundred thousand inhabitants","43.17",""
"2011","Belgium","Public ownership","Number","18 136.00",""
"2011","Belgium","Public ownership","Inhabitants per ...","608.64",""
"2011","Belgium","Public ownership","Per hundred thousand inhabitants","164.30",""
"2011","Belgium","Not-for-profit private ownership","Number","48 649.00",""
"2011","Belgium","Not-for-profit private ownership","Inhabitants per ...","226.90",""
"2011","Belgium","Not-for-profit private ownership","Per hundred thousand inhabitants","440.73",""
"2011","Belgium","For-profit private ownership","Number",":",""
"2011","Belgium","For-profit private ownership","Inhabitants per ...",":",""
"2011","Belgium","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2011","Bulgaria","Public ownership","Number","41 128.00",""
"2011","Bulgaria","Public ownership","Inhabitants per ...","178.67",""
"2011","Bulgaria","Public ownership","Per hundred thousand inhabitants","559.69",""
"2011","Bulgaria","Not-for-profit private ownership","Number","0.00",""
"2011","Bulgaria","Not-for-profit private ownership","Inhabitants per ...",":",""
"2011","Bulgaria","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2011","Bulgaria","For-profit private ownership","Number","6 263.00",""
"2011","Bulgaria","For-profit private ownership","Inhabitants per ...","1 173.29",""
"2011","Bulgaria","For-profit private ownership","Per hundred thousand inhabitants","85.23",""
"2011","Czechia","Public ownership","Number","63 354.00",""
"2011","Czechia","Public ownership","Inhabitants per ...","165.67",""
"2011","Czechia","Public ownership","Per hundred thousand inhabitants","603.60",""
"2011","Czechia","Not-for-profit private ownership","Number","254.00",""
"2011","Czechia","Not-for-profit private ownership","Inhabitants per ...","41 323.18",""
"2011","Czechia","Not-for-profit private ownership","Per hundred thousand inhabitants","2.42",""
"2011","Czechia","For-profit private ownership","Number","10 528.00",""
"2011","Czechia","For-profit private ownership","Inhabitants per ...","996.97",""
"2011","Czechia","For-profit private ownership","Per hundred thousand inhabitants","100.30",""
"2011","Denmark","Public ownership","Number","16 384.00","b"
"2011","Denmark","Public ownership","Inhabitants per ...","340.00","b"
"2011","Denmark","Public ownership","Per hundred thousand inhabitants","294.12","b"
"2011","Denmark","Not-for-profit private ownership","Number","558.00",""
"2011","Denmark","Not-for-profit private ownership","Inhabitants per ...","9 983.10",""
"2011","Denmark","Not-for-profit private ownership","Per hundred thousand inhabitants","10.02",""
"2011","Denmark","For-profit private ownership","Number","491.00",""
"2011","Denmark","For-profit private ownership","Inhabitants per ...","11 345.36",""
"2011","Denmark","For-profit private ownership","Per hundred thousand inhabitants","8.81",""
"2011","Germany (until 1990 former territory of the FRG)","Public ownership","Number","273 382.00",""
"2011","Germany (until 1990 former territory of the FRG)","Public ownership","Inhabitants per ...","293.64",""
"2011","Germany (until 1990 former territory of the FRG)","Public ownership","Per hundred thousand inhabitants","340.56",""
"2011","Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Number","198 911.00",""
"2011","Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Inhabitants per ...","403.57",""
"2011","Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Per hundred thousand inhabitants","247.79",""
"2011","Germany (until 1990 former territory of the FRG)","For-profit private ownership","Number","200 280.00",""
"2011","Germany (until 1990 former territory of the FRG)","For-profit private ownership","Inhabitants per ...","400.81",""
"2011","Germany (until 1990 former territory of the FRG)","For-profit private ownership","Per hundred thousand inhabitants","249.49",""
"2011","Estonia","Public ownership","Number","6 355.00",""
"2011","Estonia","Public ownership","Inhabitants per ...","208.88",""
"2011","Estonia","Public ownership","Per hundred thousand inhabitants","478.74",""
"2011","Estonia","Not-for-profit private ownership","Number","406.00",""
"2011","Estonia","Not-for-profit private ownership","Inhabitants per ...","3 269.55",""
"2011","Estonia","Not-for-profit private ownership","Per hundred thousand inhabitants","30.59",""
"2011","Estonia","For-profit private ownership","Number","353.00",""
"2011","Estonia","For-profit private ownership","Inhabitants per ...","3 760.45",""
"2011","Estonia","For-profit private ownership","Per hundred thousand inhabitants","26.59",""
"2011","Greece","Public ownership","Number","33 383.00",""
"2011","Greece","Public ownership","Inhabitants per ...","332.65",""
"2011","Greece","Public ownership","Per hundred thousand inhabitants","300.62",""
"2011","Greece","Not-for-profit private ownership","Number","1 314.00",""
"2011","Greece","Not-for-profit private ownership","Inhabitants per ...","8 451.22",""
"2011","Greece","Not-for-profit private ownership","Per hundred thousand inhabitants","11.83",""
"2011","Greece","For-profit private ownership","Number","14 995.00",""
"2011","Greece","For-profit private ownership","Inhabitants per ...","740.57",""
"2011","Greece","For-profit private ownership","Per hundred thousand inhabitants","135.03",""
"2011","Spain","Public ownership","Number","97 751.00",""
"2011","Spain","Public ownership","Inhabitants per ...","478.18",""
"2011","Spain","Public ownership","Per hundred thousand inhabitants","209.13",""
"2011","Spain","Not-for-profit private ownership","Number","18 436.00",""
"2011","Spain","Not-for-profit private ownership","Inhabitants per ...","2 535.40",""
"2011","Spain","Not-for-profit private ownership","Per hundred thousand inhabitants","39.44",""
"2011","Spain","For-profit private ownership","Number","26 207.00",""
"2011","Spain","For-profit private ownership","Inhabitants per ...","1 783.60",""
"2011","Spain","For-profit private ownership","Per hundred thousand inhabitants","56.07",""
"2011","France","Public ownership","Number","258 444.00",""
"2011","France","Public ownership","Inhabitants per ...","252.00",""
"2011","France","Public ownership","Per hundred thousand inhabitants","396.83",""
"2011","France","Not-for-profit private ownership","Number","57 997.00",""
"2011","France","Not-for-profit private ownership","Inhabitants per ...","1 122.95",""
"2011","France","Not-for-profit private ownership","Per hundred thousand inhabitants","89.05",""
"2011","France","For-profit private ownership","Number","97 763.00",""
"2011","France","For-profit private ownership","Inhabitants per ...","666.18",""
"2011","France","For-profit private ownership","Per hundred thousand inhabitants","150.11",""
"2011","Croatia","Public ownership","Number","25 344.00",""
"2011","Croatia","Public ownership","Inhabitants per ...","168.99",""
"2011","Croatia","Public ownership","Per hundred thousand inhabitants","591.75",""
"2011","Croatia","Not-for-profit private ownership","Number","0.00",""
"2011","Croatia","Not-for-profit private ownership","Inhabitants per ...",":",""
"2011","Croatia","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2011","Croatia","For-profit private ownership","Number","143.00",""
"2011","Croatia","For-profit private ownership","Inhabitants per ...","29 950.49",""
"2011","Croatia","For-profit private ownership","Per hundred thousand inhabitants","3.34",""
"2011","Italy","Public ownership","Number","142 887.00",""
"2011","Italy","Public ownership","Inhabitants per ...","415.57",""
"2011","Italy","Public ownership","Per hundred thousand inhabitants","240.63",""
"2011","Italy","Not-for-profit private ownership","Number","7 582.00",""
"2011","Italy","Not-for-profit private ownership","Inhabitants per ...","7 831.63",""
"2011","Italy","Not-for-profit private ownership","Per hundred thousand inhabitants","12.77",""
"2011","Italy","For-profit private ownership","Number","58 385.00",""
"2011","Italy","For-profit private ownership","Inhabitants per ...","1 017.03",""
"2011","Italy","For-profit private ownership","Per hundred thousand inhabitants","98.33",""
"2011","Cyprus","Public ownership","Number","1 517.00",""
"2011","Cyprus","Public ownership","Inhabitants per ...","560.90",""
"2011","Cyprus","Public ownership","Per hundred thousand inhabitants","178.29",""
"2011","Cyprus","Not-for-profit private ownership","Number","0.00",""
"2011","Cyprus","Not-for-profit private ownership","Inhabitants per ...",":",""
"2011","Cyprus","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2011","Cyprus","For-profit private ownership","Number","1 471.00",""
"2011","Cyprus","For-profit private ownership","Inhabitants per ...","578.44",""
"2011","Cyprus","For-profit private ownership","Per hundred thousand inhabitants","172.88",""
"2011","Latvia","Public ownership","Number","11 061.00",""
"2011","Latvia","Public ownership","Inhabitants per ...","186.21",""
"2011","Latvia","Public ownership","Per hundred thousand inhabitants","537.02",""
"2011","Latvia","Not-for-profit private ownership","Number","0.00",""
"2011","Latvia","Not-for-profit private ownership","Inhabitants per ...",":",""
"2011","Latvia","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2011","Latvia","For-profit private ownership","Number","1 050.00",""
"2011","Latvia","For-profit private ownership","Inhabitants per ...","1 961.63",""
"2011","Latvia","For-profit private ownership","Per hundred thousand inhabitants","50.98",""
"2011","Lithuania","Public ownership","Number","22 401.00",""
"2011","Lithuania","Public ownership","Inhabitants per ...","135.18",""
"2011","Lithuania","Public ownership","Per hundred thousand inhabitants","739.77",""
"2011","Lithuania","Not-for-profit private ownership","Number","0.00",""
"2011","Lithuania","Not-for-profit private ownership","Inhabitants per ...",":",""
"2011","Lithuania","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2011","Lithuania","For-profit private ownership","Number","110.00",""
"2011","Lithuania","For-profit private ownership","Inhabitants per ...","27 528.31",""
"2011","Lithuania","For-profit private ownership","Per hundred thousand inhabitants","3.63",""
"2011","Hungary","Public ownership","Number","69 427.00",""
"2011","Hungary","Public ownership","Inhabitants per ...","143.44",""
"2011","Hungary","Public ownership","Per hundred thousand inhabitants","697.14",""
"2011","Hungary","Not-for-profit private ownership","Number","2 055.00",""
