"TIME","GEO","UNIT","FACILITY","Value","Flag and Footnotes"
"2010","European Union - 28 countries (2013-2020)","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","European Union - 28 countries (2013-2020)","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",":",""
"2010","European Union - 28 countries (2013-2020)","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",":",""
"2010","Belgium","Number","Available beds in hospitals (HP.1)","66 645.00",""
"2010","Belgium","Number","Curative care beds in hospitals (HP.1)","59 482.00","d"
"2010","Belgium","Number","Rehabilitative care beds in hospitals (HP.1)","5 363.00",""
"2010","Belgium","Number","Long-term care beds in hospitals (HP.1)","1 800.00",""
"2010","Belgium","Number","Other beds in hospitals (HP.1)",":",""
"2010","Belgium","Inhabitants per ...","Available beds in hospitals (HP.1)","163.86",""
"2010","Belgium","Inhabitants per ...","Curative care beds in hospitals (HP.1)","183.59",""
"2010","Belgium","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)","2 036.22",""
"2010","Belgium","Inhabitants per ...","Long-term care beds in hospitals (HP.1)","6 066.82",""
"2010","Belgium","Inhabitants per ...","Other beds in hospitals (HP.1)",":",""
"2010","Belgium","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","610.29",""
"2010","Belgium","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","544.69",""
"2010","Belgium","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","49.11",""
"2010","Belgium","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","16.48",""
"2010","Belgium","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",":",""
"2010","Bulgaria","Number","Available beds in hospitals (HP.1)","48 934.00",""
"2010","Bulgaria","Number","Curative care beds in hospitals (HP.1)","41 221.00",""
"2010","Bulgaria","Number","Rehabilitative care beds in hospitals (HP.1)","5 176.00",""
"2010","Bulgaria","Number","Long-term care beds in hospitals (HP.1)","1 710.00",""
"2010","Bulgaria","Number","Other beds in hospitals (HP.1)","827.00",""
"2010","Bulgaria","Inhabitants per ...","Available beds in hospitals (HP.1)","151.13",""
"2010","Bulgaria","Inhabitants per ...","Curative care beds in hospitals (HP.1)","179.41",""
"2010","Bulgaria","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)","1 428.83",""
"2010","Bulgaria","Inhabitants per ...","Long-term care beds in hospitals (HP.1)","4 324.91",""
"2010","Bulgaria","Inhabitants per ...","Other beds in hospitals (HP.1)","8 942.68",""
"2010","Bulgaria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","661.66",""
"2010","Bulgaria","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","557.37",""
"2010","Bulgaria","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","69.99",""
"2010","Bulgaria","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","23.12",""
"2010","Bulgaria","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","11.18",""
"2010","Czechia","Number","Available beds in hospitals (HP.1)","76 413.00","b"
"2010","Czechia","Number","Curative care beds in hospitals (HP.1)","50 270.00","b"
"2010","Czechia","Number","Rehabilitative care beds in hospitals (HP.1)","3 887.00","b"
"2010","Czechia","Number","Long-term care beds in hospitals (HP.1)","20 589.00","b"
"2010","Czechia","Number","Other beds in hospitals (HP.1)","1 667.00","b"
"2010","Czechia","Inhabitants per ...","Available beds in hospitals (HP.1)","137.08",""
"2010","Czechia","Inhabitants per ...","Curative care beds in hospitals (HP.1)","208.36",""
"2010","Czechia","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)","2 694.73",""
"2010","Czechia","Inhabitants per ...","Long-term care beds in hospitals (HP.1)","508.74",""
"2010","Czechia","Inhabitants per ...","Other beds in hospitals (HP.1)","6 283.39",""
"2010","Czechia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","729.52",""
"2010","Czechia","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","479.93",""
"2010","Czechia","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","37.11",""
"2010","Czechia","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","196.56",""
"2010","Czechia","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","15.91",""
"2010","Denmark","Number","Available beds in hospitals (HP.1)","19 405.00",""
"2010","Denmark","Number","Curative care beds in hospitals (HP.1)","19 059.00","d"
"2010","Denmark","Number","Rehabilitative care beds in hospitals (HP.1)","162.00",""
"2010","Denmark","Number","Long-term care beds in hospitals (HP.1)","184.00",""
"2010","Denmark","Number","Other beds in hospitals (HP.1)","0.00",""
"2010","Denmark","Inhabitants per ...","Available beds in hospitals (HP.1)","285.89",""
"2010","Denmark","Inhabitants per ...","Curative care beds in hospitals (HP.1)","291.08",""
"2010","Denmark","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)","34 244.96",""
"2010","Denmark","Inhabitants per ...","Long-term care beds in hospitals (HP.1)","30 150.45",""
"2010","Denmark","Inhabitants per ...","Other beds in hospitals (HP.1)",":",""
"2010","Denmark","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","349.79",""
"2010","Denmark","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","343.55",""
"2010","Denmark","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","2.92",""
"2010","Denmark","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","3.32",""
"2010","Denmark","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","0.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Available beds in hospitals (HP.1)","674 473.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Curative care beds in hospitals (HP.1)","502 749.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Rehabilitative care beds in hospitals (HP.1)","171 724.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Long-term care beds in hospitals (HP.1)","0.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Other beds in hospitals (HP.1)","0.00",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Available beds in hospitals (HP.1)","120.11",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Curative care beds in hospitals (HP.1)","161.14",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)","471.76",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",":",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Other beds in hospitals (HP.1)",":",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","832.56",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","620.58",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","211.97",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","0.00",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","0.00",""
"2010","Estonia","Number","Available beds in hospitals (HP.1)","7 022.00",""
"2010","Estonia","Number","Curative care beds in hospitals (HP.1)","5 002.00",""
"2010","Estonia","Number","Rehabilitative care beds in hospitals (HP.1)","297.00",""
"2010","Estonia","Number","Long-term care beds in hospitals (HP.1)","1 557.00",""
"2010","Estonia","Number","Other beds in hospitals (HP.1)","166.00",""
"2010","Estonia","Inhabitants per ...","Available beds in hospitals (HP.1)","189.61",""
"2010","Estonia","Inhabitants per ...","Curative care beds in hospitals (HP.1)","266.19",""
"2010","Estonia","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)","4 483.08",""
"2010","Estonia","Inhabitants per ...","Long-term care beds in hospitals (HP.1)","855.15",""
"2010","Estonia","Inhabitants per ...","Other beds in hospitals (HP.1)","8 020.93",""
"2010","Estonia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","527.39",""
"2010","Estonia","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","375.67",""
"2010","Estonia","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","22.31",""
"2010","Estonia","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","116.94",""
"2010","Estonia","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","12.47",""
"2010","Ireland","Number","Available beds in hospitals (HP.1)","12 434.00",""
"2010","Ireland","Number","Curative care beds in hospitals (HP.1)","11 417.00",""
"2010","Ireland","Number","Rehabilitative care beds in hospitals (HP.1)","129.00",""
"2010","Ireland","Number","Long-term care beds in hospitals (HP.1)","888.00",""
"2010","Ireland","Number","Other beds in hospitals (HP.1)","0.00",""
"2010","Ireland","Inhabitants per ...","Available beds in hospitals (HP.1)","366.75",""
"2010","Ireland","Inhabitants per ...","Curative care beds in hospitals (HP.1)","399.42",""
"2010","Ireland","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)","35 350.03",""
"2010","Ireland","Inhabitants per ...","Long-term care beds in hospitals (HP.1)","5 135.31",""
"2010","Ireland","Inhabitants per ...","Other beds in hospitals (HP.1)",":",""
"2010","Ireland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","272.67",""
"2010","Ireland","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","250.36",""
"2010","Ireland","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","2.83",""
"2010","Ireland","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","19.47",""
"2010","Ireland","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","0.00",""
"2010","Greece","Number","Available beds in hospitals (HP.1)","49 828.00",""
"2010","Greece","Number","Curative care beds in hospitals (HP.1)","40 664.00",""
"2010","Greece","Number","Rehabilitative care beds in hospitals (HP.1)","464.00",""
"2010","Greece","Number","Long-term care beds in hospitals (HP.1)",":",""
"2010","Greece","Number","Other beds in hospitals (HP.1)","8 700.00",""
"2010","Greece","Inhabitants per ...","Available beds in hospitals (HP.1)","223.19",""
"2010","Greece","Inhabitants per ...","Curative care beds in hospitals (HP.1)","273.49",""
"2010","Greece","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)","23 968.41",""
"2010","Greece","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",":",""
"2010","Greece","Inhabitants per ...","Other beds in hospitals (HP.1)","1 278.32",""
"2010","Greece","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","448.04",""
"2010","Greece","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","365.64",""
"2010","Greece","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","4.17",""
"2010","Greece","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",":",""
"2010","Greece","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","78.23",""
"2010","Spain","Number","Available beds in hospitals (HP.1)","144 951.00","b"
"2010","Spain","Number","Curative care beds in hospitals (HP.1)","118 413.00","b"
"2010","Spain","Number","Rehabilitative care beds in hospitals (HP.1)","1 691.00","b"
"2010","Spain","Number","Long-term care beds in hospitals (HP.1)","24 847.00","b"
"2010","Spain","Number","Other beds in hospitals (HP.1)","0.00",""
"2010","Spain","Inhabitants per ...","Available beds in hospitals (HP.1)","321.33",""
"2010","Spain","Inhabitants per ...","Curative care beds in hospitals (HP.1)","393.34",""
"2010","Spain","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)","27 544.00",""
"2010","Spain","Inhabitants per ...","Long-term care beds in hospitals (HP.1)","1 874.55",""
"2010","Spain","Inhabitants per ...","Other beds in hospitals (HP.1)",":",""
"2010","Spain","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","311.21",""
"2010","Spain","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","254.23",""
"2010","Spain","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","3.63",""
"2010","Spain","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","53.35",""
"2010","Spain","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","0.00",""
"2010","France","Number","Available beds in hospitals (HP.1)","416 710.00",""
"2010","France","Number","Curative care beds in hospitals (HP.1)","224 385.00",""
"2010","France","Number","Rehabilitative care beds in hospitals (HP.1)","100 506.00",""
"2010","France","Number","Long-term care beds in hospitals (HP.1)","34 571.00",""
"2010","France","Number","Other beds in hospitals (HP.1)","57 248.00","d"
"2010","France","Inhabitants per ...","Available beds in hospitals (HP.1)","155.55",""
"2010","France","Inhabitants per ...","Curative care beds in hospitals (HP.1)","288.87",""
"2010","France","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)","644.92",""
"2010","France","Inhabitants per ...","Long-term care beds in hospitals (HP.1)","1 874.95",""
"2010","France","Inhabitants per ...","Other beds in hospitals (HP.1)","1 132.25",""
"2010","France","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","642.88",""
"2010","France","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","346.17",""
"2010","France","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","155.06",""
"2010","France","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","53.33",""
"2010","France","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","88.32",""
"2010","Croatia","Number","Available beds in hospitals (HP.1)","24 831.00",""
"2010","Croatia","Number","Curative care beds in hospitals (HP.1)",":",""
"2010","Croatia","Number","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","Croatia","Number","Long-term care beds in hospitals (HP.1)",":",""
"2010","Croatia","Number","Other beds in hospitals (HP.1)",":",""
"2010","Croatia","Inhabitants per ...","Available beds in hospitals (HP.1)","173.02",""
"2010","Croatia","Inhabitants per ...","Curative care beds in hospitals (HP.1)",":",""
"2010","Croatia","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","Croatia","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",":",""
"2010","Croatia","Inhabitants per ...","Other beds in hospitals (HP.1)",":",""
"2010","Croatia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","577.96",""
"2010","Croatia","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",":",""
"2010","Croatia","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","Croatia","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",":",""
"2010","Croatia","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",":",""
"2010","Italy","Number","Available beds in hospitals (HP.1)","215 980.00",""
"2010","Italy","Number","Curative care beds in hospitals (HP.1)","179 773.00",""
"2010","Italy","Number","Rehabilitative care beds in hospitals (HP.1)","25 043.00",""
"2010","Italy","Number","Long-term care beds in hospitals (HP.1)","11 164.00",""
"2010","Italy","Number","Other beds in hospitals (HP.1)","0.00",""
"2010","Italy","Inhabitants per ...","Available beds in hospitals (HP.1)","274.46",""
"2010","Italy","Inhabitants per ...","Curative care beds in hospitals (HP.1)","329.73",""
"2010","Italy","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)","2 367.03",""
"2010","Italy","Inhabitants per ...","Long-term care beds in hospitals (HP.1)","5 309.69",""
"2010","Italy","Inhabitants per ...","Other beds in hospitals (HP.1)",":",""
"2010","Italy","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","364.35",""
"2010","Italy","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","303.27",""
"2010","Italy","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","42.25",""
"2010","Italy","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","18.83",""
"2010","Italy","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","0.00",""
"2010","Cyprus","Number","Available beds in hospitals (HP.1)","2 958.00",""
"2010","Cyprus","Number","Curative care beds in hospitals (HP.1)","2 958.00",""
"2010","Cyprus","Number","Rehabilitative care beds in hospitals (HP.1)","0.00",""
"2010","Cyprus","Number","Long-term care beds in hospitals (HP.1)","0.00",""
"2010","Cyprus","Number","Other beds in hospitals (HP.1)","0.00",""
"2010","Cyprus","Inhabitants per ...","Available beds in hospitals (HP.1)","280.41",""
"2010","Cyprus","Inhabitants per ...","Curative care beds in hospitals (HP.1)","280.41",""
"2010","Cyprus","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","Cyprus","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",":",""
"2010","Cyprus","Inhabitants per ...","Other beds in hospitals (HP.1)",":",""
"2010","Cyprus","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","356.62",""
"2010","Cyprus","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","356.62",""
"2010","Cyprus","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","0.00",""
"2010","Cyprus","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","0.00",""
"2010","Cyprus","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","0.00",""
"2010","Latvia","Number","Available beds in hospitals (HP.1)","11 920.00",""
"2010","Latvia","Number","Curative care beds in hospitals (HP.1)","7 433.00",""
"2010","Latvia","Number","Rehabilitative care beds in hospitals (HP.1)","462.00",""
"2010","Latvia","Number","Long-term care beds in hospitals (HP.1)","1 350.00",""
"2010","Latvia","Number","Other beds in hospitals (HP.1)","2 675.00","d"
"2010","Latvia","Inhabitants per ...","Available beds in hospitals (HP.1)","175.97",""
"2010","Latvia","Inhabitants per ...","Curative care beds in hospitals (HP.1)","282.19",""
"2010","Latvia","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)","4 540.16",""
"2010","Latvia","Inhabitants per ...","Long-term care beds in hospitals (HP.1)","1 553.74",""
"2010","Latvia","Inhabitants per ...","Other beds in hospitals (HP.1)","784.13",""
"2010","Latvia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","568.28",""
"2010","Latvia","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","354.37",""
"2010","Latvia","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","22.03",""
"2010","Latvia","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","64.36",""
"2010","Latvia","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","127.53",""
"2010","Lithuania","Number","Available beds in hospitals (HP.1)","22 190.00",""
"2010","Lithuania","Number","Curative care beds in hospitals (HP.1)","18 992.00","e"
"2010","Lithuania","Number","Rehabilitative care beds in hospitals (HP.1)","1 390.00",""
"2010","Lithuania","Number","Long-term care beds in hospitals (HP.1)","1 808.00","e"
"2010","Lithuania","Number","Other beds in hospitals (HP.1)","0.00",""
"2010","Lithuania","Inhabitants per ...","Available beds in hospitals (HP.1)","139.58",""
"2010","Lithuania","Inhabitants per ...","Curative care beds in hospitals (HP.1)","163.08","d"
"2010","Lithuania","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)","2 228.26",""
"2010","Lithuania","Inhabitants per ...","Long-term care beds in hospitals (HP.1)","1 713.10","d"
"2010","Lithuania","Inhabitants per ...","Other beds in hospitals (HP.1)",":",""
"2010","Lithuania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","716.43",""
"2010","Lithuania","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","613.18","d"
"2010","Lithuania","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","44.88",""
"2010","Lithuania","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","58.37","d"
"2010","Lithuania","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","0.00",""
"2010","Luxembourg","Number","Available beds in hospitals (HP.1)","2 721.00",""
"2010","Luxembourg","Number","Curative care beds in hospitals (HP.1)","2 098.00",""
"2010","Luxembourg","Number","Rehabilitative care beds in hospitals (HP.1)","177.00",""
"2010","Luxembourg","Number","Long-term care beds in hospitals (HP.1)","0.00",""
"2010","Luxembourg","Number","Other beds in hospitals (HP.1)","446.00",""
"2010","Luxembourg","Inhabitants per ...","Available beds in hospitals (HP.1)","186.31",""
"2010","Luxembourg","Inhabitants per ...","Curative care beds in hospitals (HP.1)","241.64",""
"2010","Luxembourg","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)","2 864.14",""
"2010","Luxembourg","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",":",""
"2010","Luxembourg","Inhabitants per ...","Other beds in hospitals (HP.1)","1 136.67",""
"2010","Luxembourg","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","536.74",""
"2010","Luxembourg","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","413.85",""
"2010","Luxembourg","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","34.91",""
"2010","Luxembourg","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","0.00",""
"2010","Luxembourg","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","87.98",""
"2010","Hungary","Number","Available beds in hospitals (HP.1)","71 818.00",""
"2010","Hungary","Number","Curative care beds in hospitals (HP.1)","44 503.00",""
"2010","Hungary","Number","Rehabilitative care beds in hospitals (HP.1)","15 910.00",""
"2010","Hungary","Number","Long-term care beds in hospitals (HP.1)","11 405.00",""
"2010","Hungary","Number","Other beds in hospitals (HP.1)","0.00",""
"2010","Hungary","Inhabitants per ...","Available beds in hospitals (HP.1)","139.24",""
"2010","Hungary","Inhabitants per ...","Curative care beds in hospitals (HP.1)","224.70",""
"2010","Hungary","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)","628.54",""
"2010","Hungary","Inhabitants per ...","Long-term care beds in hospitals (HP.1)","876.81",""
"2010","Hungary","Inhabitants per ...","Other beds in hospitals (HP.1)",":",""
"2010","Hungary","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","718.18",""
"2010","Hungary","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","445.03",""
"2010","Hungary","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)","159.10",""
"2010","Hungary","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","114.05",""
"2010","Hungary","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","0.00",""
"2010","Malta","Number","Available beds in hospitals (HP.1)","1 874.00",""
"2010","Malta","Number","Curative care beds in hospitals (HP.1)","1 119.00",""
"2010","Malta","Number","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","Malta","Number","Long-term care beds in hospitals (HP.1)","0.00",""
"2010","Malta","Number","Other beds in hospitals (HP.1)","153.00",""
"2010","Malta","Inhabitants per ...","Available beds in hospitals (HP.1)","221.19",""
"2010","Malta","Inhabitants per ...","Curative care beds in hospitals (HP.1)","370.43",""
"2010","Malta","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","Malta","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",":",""
"2010","Malta","Inhabitants per ...","Other beds in hospitals (HP.1)","2 709.20",""
"2010","Malta","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","452.10",""
"2010","Malta","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","269.96",""
"2010","Malta","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","Malta","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","0.00",""
"2010","Malta","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)","36.91",""
"2010","Netherlands","Number","Available beds in hospitals (HP.1)","69 793.00","b"
"2010","Netherlands","Number","Curative care beds in hospitals (HP.1)","47 293.00","bd"
"2010","Netherlands","Number","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","Netherlands","Number","Long-term care beds in hospitals (HP.1)","8 600.00","e"
"2010","Netherlands","Number","Other beds in hospitals (HP.1)","0.00",""
"2010","Netherlands","Inhabitants per ...","Available beds in hospitals (HP.1)","238.07",""
"2010","Netherlands","Inhabitants per ...","Curative care beds in hospitals (HP.1)","351.33","b"
"2010","Netherlands","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","Netherlands","Inhabitants per ...","Long-term care beds in hospitals (HP.1)","1 932.02",""
"2010","Netherlands","Inhabitants per ...","Other beds in hospitals (HP.1)",":",""
"2010","Netherlands","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","420.05",""
"2010","Netherlands","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","284.63","b"
"2010","Netherlands","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","Netherlands","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)","51.76",""
