"TIME","GEO","UNIT","FACILITY","ICHA_HP","Value","Flag and Footnotes"
"2010","Czechia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","0.63",""
"2010","Czechia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals","0.53",""
"2010","Czechia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care","0.11",""
"2010","Czechia","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care","1.16",""
"2010","Czechia","Per hundred thousand inhabitants","Gamma cameras","Hospitals",":",""
"2010","Czechia","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care",":",""
"2010","Czechia","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care","0.75",""
"2010","Czechia","Per hundred thousand inhabitants","Angiography units","Hospitals",":",""
"2010","Czechia","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care",":",""
"2010","Czechia","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care","0.31",""
"2010","Czechia","Per hundred thousand inhabitants","Lithotriptors","Hospitals",":",""
"2010","Czechia","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Denmark","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","153.00",""
"2010","Denmark","Number","Computed Tomography Scanners","Hospitals","152.00",""
"2010","Denmark","Number","Computed Tomography Scanners","Providers of ambulatory health care","1.00",""
"2010","Denmark","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",":",""
"2010","Denmark","Number","Magnetic Resonance Imaging Units","Hospitals",":",""
"2010","Denmark","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care",":",""
"2010","Denmark","Number","Gamma cameras","Hospitals and providers of ambulatory health care",":",""
"2010","Denmark","Number","Gamma cameras","Hospitals",":",""
"2010","Denmark","Number","Gamma cameras","Providers of ambulatory health care",":",""
"2010","Denmark","Number","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2010","Denmark","Number","Angiography units","Hospitals",":",""
"2010","Denmark","Number","Angiography units","Providers of ambulatory health care",":",""
"2010","Denmark","Number","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2010","Denmark","Number","Lithotriptors","Hospitals",":",""
"2010","Denmark","Number","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Denmark","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","36 259.37",""
"2010","Denmark","Inhabitants per ...","Computed Tomography Scanners","Hospitals","36 497.91",""
"2010","Denmark","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care","5 547 683.00",""
"2010","Denmark","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",":",""
"2010","Denmark","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals",":",""
"2010","Denmark","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care",":",""
"2010","Denmark","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care",":",""
"2010","Denmark","Inhabitants per ...","Gamma cameras","Hospitals",":",""
"2010","Denmark","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",":",""
"2010","Denmark","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2010","Denmark","Inhabitants per ...","Angiography units","Hospitals",":",""
"2010","Denmark","Inhabitants per ...","Angiography units","Providers of ambulatory health care",":",""
"2010","Denmark","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2010","Denmark","Inhabitants per ...","Lithotriptors","Hospitals",":",""
"2010","Denmark","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Denmark","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","2.76",""
"2010","Denmark","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals","2.74",""
"2010","Denmark","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care","0.02",""
"2010","Denmark","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",":",""
"2010","Denmark","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals",":",""
"2010","Denmark","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care",":",""
"2010","Denmark","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care",":",""
"2010","Denmark","Per hundred thousand inhabitants","Gamma cameras","Hospitals",":",""
"2010","Denmark","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care",":",""
"2010","Denmark","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2010","Denmark","Per hundred thousand inhabitants","Angiography units","Hospitals",":",""
"2010","Denmark","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care",":",""
"2010","Denmark","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2010","Denmark","Per hundred thousand inhabitants","Lithotriptors","Hospitals",":",""
"2010","Denmark","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","2 643.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Computed Tomography Scanners","Hospitals","1 450.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Computed Tomography Scanners","Providers of ambulatory health care","1 193.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","2 211.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Magnetic Resonance Imaging Units","Hospitals","842.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care","1 369.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Gamma cameras","Hospitals and providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Gamma cameras","Hospitals","580.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Gamma cameras","Providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Angiography units","Hospitals","786.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Angiography units","Providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Lithotriptors","Hospitals","324.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","30 651.59",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Computed Tomography Scanners","Hospitals","55 870.46",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care","67 906.25",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","36 640.51",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals","96 213.97",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care","59 176.16",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Gamma cameras","Hospitals","139 676.14",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Angiography units","Hospitals","103 068.91",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Angiography units","Providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Lithotriptors","Hospitals","250 037.53",""
"2010","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","3.26",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals","1.79",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care","1.47",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","2.73",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals","1.04",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care","1.69",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Gamma cameras","Hospitals","0.72",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Angiography units","Hospitals","0.97",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Lithotriptors","Hospitals","0.40",""
"2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Estonia","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","21.00",""
"2010","Estonia","Number","Computed Tomography Scanners","Hospitals","19.00",""
"2010","Estonia","Number","Computed Tomography Scanners","Providers of ambulatory health care","2.00",""
"2010","Estonia","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","11.00",""
"2010","Estonia","Number","Magnetic Resonance Imaging Units","Hospitals","5.00",""
"2010","Estonia","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care","6.00",""
"2010","Estonia","Number","Gamma cameras","Hospitals and providers of ambulatory health care","3.00",""
"2010","Estonia","Number","Gamma cameras","Hospitals","3.00",""
"2010","Estonia","Number","Gamma cameras","Providers of ambulatory health care","0.00",""
"2010","Estonia","Number","Angiography units","Hospitals and providers of ambulatory health care","8.00",""
"2010","Estonia","Number","Angiography units","Hospitals","8.00",""
"2010","Estonia","Number","Angiography units","Providers of ambulatory health care","0.00",""
"2010","Estonia","Number","Lithotriptors","Hospitals and providers of ambulatory health care","3.00",""
"2010","Estonia","Number","Lithotriptors","Hospitals","3.00",""
"2010","Estonia","Number","Lithotriptors","Providers of ambulatory health care","0.00",""
"2010","Estonia","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","63 403.57",""
"2010","Estonia","Inhabitants per ...","Computed Tomography Scanners","Hospitals","70 077.63",""
"2010","Estonia","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care","665 737.50",""
"2010","Estonia","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","121 043.18",""
"2010","Estonia","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals","266 295.00",""
"2010","Estonia","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care","221 912.50",""
"2010","Estonia","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care","443 825.00",""
"2010","Estonia","Inhabitants per ...","Gamma cameras","Hospitals","443 825.00",""
"2010","Estonia","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",":",""
"2010","Estonia","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care","166 434.38",""
"2010","Estonia","Inhabitants per ...","Angiography units","Hospitals","166 434.38",""
"2010","Estonia","Inhabitants per ...","Angiography units","Providers of ambulatory health care",":",""
"2010","Estonia","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care","443 825.00",""
"2010","Estonia","Inhabitants per ...","Lithotriptors","Hospitals","443 825.00",""
"2010","Estonia","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Estonia","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","1.58",""
"2010","Estonia","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals","1.43",""
"2010","Estonia","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care","0.15",""
"2010","Estonia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","0.83",""
"2010","Estonia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals","0.38",""
"2010","Estonia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care","0.45",""
"2010","Estonia","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care","0.23",""
"2010","Estonia","Per hundred thousand inhabitants","Gamma cameras","Hospitals","0.23",""
"2010","Estonia","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care","0.00",""
"2010","Estonia","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care","0.60",""
"2010","Estonia","Per hundred thousand inhabitants","Angiography units","Hospitals","0.60",""
"2010","Estonia","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care","0.00",""
"2010","Estonia","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care","0.23",""
"2010","Estonia","Per hundred thousand inhabitants","Lithotriptors","Hospitals","0.23",""
"2010","Estonia","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care","0.00",""
"2010","Ireland","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","70.00",""
"2010","Ireland","Number","Computed Tomography Scanners","Hospitals",":",""
"2010","Ireland","Number","Computed Tomography Scanners","Providers of ambulatory health care",":",""
"2010","Ireland","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","56.00",""
"2010","Ireland","Number","Magnetic Resonance Imaging Units","Hospitals","41.00",""
"2010","Ireland","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care","15.00",""
"2010","Ireland","Number","Gamma cameras","Hospitals and providers of ambulatory health care","29.00",""
"2010","Ireland","Number","Gamma cameras","Hospitals","29.00",""
"2010","Ireland","Number","Gamma cameras","Providers of ambulatory health care","0.00",""
"2010","Ireland","Number","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2010","Ireland","Number","Angiography units","Hospitals",":",""
"2010","Ireland","Number","Angiography units","Providers of ambulatory health care",":",""
"2010","Ireland","Number","Lithotriptors","Hospitals and providers of ambulatory health care","6.00",""
"2010","Ireland","Number","Lithotriptors","Hospitals",":",""
"2010","Ireland","Number","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Ireland","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","65 145.06",""
"2010","Ireland","Inhabitants per ...","Computed Tomography Scanners","Hospitals",":",""
"2010","Ireland","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care",":",""
"2010","Ireland","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","81 431.33",""
"2010","Ireland","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals","111 223.28",""
"2010","Ireland","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care","304 010.30",""
"2010","Ireland","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care","157 246.71",""
