"TIME","GEO","FACILITY","UNIT","Value","Flag and Footnotes"
"2010","North Macedonia","Geriatric day care places","Number","0.00",""
"2010","Serbia","Operation theatres in hospital","Number","480.00",""
"2010","Serbia","Day care places altogether","Number","2 582.00",""
"2010","Serbia","Surgical day care places","Number","516.00",""
"2010","Serbia","Oncological day care place","Number","194.00",""
"2010","Serbia","Psychiatric day care place","Number","1 049.00",""
"2010","Serbia","Geriatric day care places","Number","2.00",""
"2010","Turkey","Operation theatres in hospital","Number","5 206.00",""
"2010","Turkey","Day care places altogether","Number",":",""
"2010","Turkey","Surgical day care places","Number",":",""
"2010","Turkey","Oncological day care place","Number",":",""
"2010","Turkey","Psychiatric day care place","Number",":",""
"2010","Turkey","Geriatric day care places","Number",":",""
"2011","Belgium","Operation theatres in hospital","Number","1 241.00",""
"2011","Belgium","Day care places altogether","Number","6 213.00",""
"2011","Belgium","Surgical day care places","Number","2 177.00",""
"2011","Belgium","Oncological day care place","Number","1 460.00",""
"2011","Belgium","Psychiatric day care place","Number","2 267.00",""
"2011","Belgium","Geriatric day care places","Number","556.00",""
"2011","Bulgaria","Operation theatres in hospital","Number",":",""
"2011","Bulgaria","Day care places altogether","Number",":",""
"2011","Bulgaria","Surgical day care places","Number",":",""
"2011","Bulgaria","Oncological day care place","Number",":",""
"2011","Bulgaria","Psychiatric day care place","Number",":",""
"2011","Bulgaria","Geriatric day care places","Number",":",""
"2011","Czechia","Operation theatres in hospital","Number","993.00",""
"2011","Czechia","Day care places altogether","Number",":",""
"2011","Czechia","Surgical day care places","Number",":",""
"2011","Czechia","Oncological day care place","Number",":",""
"2011","Czechia","Psychiatric day care place","Number",":",""
"2011","Czechia","Geriatric day care places","Number",":",""
"2011","Denmark","Operation theatres in hospital","Number",":",""
"2011","Denmark","Day care places altogether","Number",":",""
"2011","Denmark","Surgical day care places","Number",":",""
"2011","Denmark","Oncological day care place","Number",":",""
"2011","Denmark","Psychiatric day care place","Number",":",""
"2011","Denmark","Geriatric day care places","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Operation theatres in hospital","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Day care places altogether","Number","23 832.00",""
"2011","Germany (until 1990 former territory of the FRG)","Surgical day care places","Number","53.00",""
"2011","Germany (until 1990 former territory of the FRG)","Oncological day care place","Number","983.00",""
"2011","Germany (until 1990 former territory of the FRG)","Psychiatric day care place","Number","15 457.00",""
"2011","Germany (until 1990 former territory of the FRG)","Geriatric day care places","Number","1 949.00",""
"2011","Estonia","Operation theatres in hospital","Number",":",""
"2011","Estonia","Day care places altogether","Number","385.00",""
"2011","Estonia","Surgical day care places","Number",":",""
"2011","Estonia","Oncological day care place","Number",":",""
"2011","Estonia","Psychiatric day care place","Number",":",""
"2011","Estonia","Geriatric day care places","Number",":",""
"2011","Ireland","Operation theatres in hospital","Number","221.00",""
"2011","Ireland","Day care places altogether","Number","1 936.00",""
"2011","Ireland","Surgical day care places","Number",":",""
"2011","Ireland","Oncological day care place","Number",":",""
"2011","Ireland","Psychiatric day care place","Number",":",""
"2011","Ireland","Geriatric day care places","Number",":",""
"2011","Greece","Operation theatres in hospital","Number",":",""
"2011","Greece","Day care places altogether","Number","2 674.00",""
"2011","Greece","Surgical day care places","Number",":",""
"2011","Greece","Oncological day care place","Number",":",""
"2011","Greece","Psychiatric day care place","Number",":",""
"2011","Greece","Geriatric day care places","Number",":",""
"2011","Spain","Operation theatres in hospital","Number","4 202.00",""
"2011","Spain","Day care places altogether","Number","15 458.00",""
"2011","Spain","Surgical day care places","Number","2 838.00",""
"2011","Spain","Oncological day care place","Number","6 957.00",""
"2011","Spain","Psychiatric day care place","Number","3 366.00",""
"2011","Spain","Geriatric day care places","Number","2 297.00",""
"2011","France","Operation theatres in hospital","Number",":",""
"2011","France","Day care places altogether","Number","65 595.00",""
"2011","France","Surgical day care places","Number","14 110.00",""
"2011","France","Oncological day care place","Number",":",""
"2011","France","Psychiatric day care place","Number","28 424.00",""
"2011","France","Geriatric day care places","Number",":",""
"2011","Croatia","Operation theatres in hospital","Number",":",""
"2011","Croatia","Day care places altogether","Number",":",""
"2011","Croatia","Surgical day care places","Number",":",""
"2011","Croatia","Oncological day care place","Number",":",""
"2011","Croatia","Psychiatric day care place","Number",":",""
"2011","Croatia","Geriatric day care places","Number",":",""
"2011","Italy","Operation theatres in hospital","Number","6 092.00",""
"2011","Italy","Day care places altogether","Number","22 114.00",""
"2011","Italy","Surgical day care places","Number","8 013.00",""
"2011","Italy","Oncological day care place","Number","3 056.00",""
"2011","Italy","Psychiatric day care place","Number","631.00",""
"2011","Italy","Geriatric day care places","Number","206.00",""
"2011","Cyprus","Operation theatres in hospital","Number",":",""
"2011","Cyprus","Day care places altogether","Number","193.00","d"
"2011","Cyprus","Surgical day care places","Number","5.00","d"
"2011","Cyprus","Oncological day care place","Number","26.00","d"
"2011","Cyprus","Psychiatric day care place","Number","0.00",""
"2011","Cyprus","Geriatric day care places","Number","0.00",""
"2011","Latvia","Operation theatres in hospital","Number","224.00",""
"2011","Latvia","Day care places altogether","Number","1 400.00",""
"2011","Latvia","Surgical day care places","Number",":",""
"2011","Latvia","Oncological day care place","Number",":",""
"2011","Latvia","Psychiatric day care place","Number","120.00",""
"2011","Latvia","Geriatric day care places","Number",":",""
"2011","Lithuania","Operation theatres in hospital","Number",":",""
"2011","Lithuania","Day care places altogether","Number",":",""
"2011","Lithuania","Surgical day care places","Number",":",""
"2011","Lithuania","Oncological day care place","Number",":",""
"2011","Lithuania","Psychiatric day care place","Number",":",""
"2011","Lithuania","Geriatric day care places","Number",":",""
"2011","Luxembourg","Operation theatres in hospital","Number","52.00",""
"2011","Luxembourg","Day care places altogether","Number",":",""
"2011","Luxembourg","Surgical day care places","Number",":",""
"2011","Luxembourg","Oncological day care place","Number",":",""
"2011","Luxembourg","Psychiatric day care place","Number",":",""
"2011","Luxembourg","Geriatric day care places","Number",":",""
"2011","Hungary","Operation theatres in hospital","Number",":",""
"2011","Hungary","Day care places altogether","Number",":",""
"2011","Hungary","Surgical day care places","Number",":",""
"2011","Hungary","Oncological day care place","Number",":",""
"2011","Hungary","Psychiatric day care place","Number",":",""
"2011","Hungary","Geriatric day care places","Number",":",""
"2011","Malta","Operation theatres in hospital","Number","42.00",""
"2011","Malta","Day care places altogether","Number","149.00",""
"2011","Malta","Surgical day care places","Number",":",""
"2011","Malta","Oncological day care place","Number",":",""
"2011","Malta","Psychiatric day care place","Number",":",""
"2011","Malta","Geriatric day care places","Number",":",""
"2011","Netherlands","Operation theatres in hospital","Number",":",""
"2011","Netherlands","Day care places altogether","Number",":",""
"2011","Netherlands","Surgical day care places","Number",":",""
"2011","Netherlands","Oncological day care place","Number",":",""
"2011","Netherlands","Psychiatric day care place","Number",":",""
"2011","Netherlands","Geriatric day care places","Number",":",""
"2011","Austria","Operation theatres in hospital","Number","290.00","e"
"2011","Austria","Day care places altogether","Number",":",""
"2011","Austria","Surgical day care places","Number",":",""
"2011","Austria","Oncological day care place","Number",":",""
"2011","Austria","Psychiatric day care place","Number",":",""
"2011","Austria","Geriatric day care places","Number",":",""
"2011","Poland","Operation theatres in hospital","Number","3 142.00",""
"2011","Poland","Day care places altogether","Number","7 489.00",""
"2011","Poland","Surgical day care places","Number","855.00",""
"2011","Poland","Oncological day care place","Number","492.00",""
"2011","Poland","Psychiatric day care place","Number","1 196.00",""
"2011","Poland","Geriatric day care places","Number","0.00",""
"2011","Portugal","Operation theatres in hospital","Number","860.00",""
"2011","Portugal","Day care places altogether","Number","1 376.00",""
"2011","Portugal","Surgical day care places","Number",":",""
"2011","Portugal","Oncological day care place","Number",":",""
"2011","Portugal","Psychiatric day care place","Number",":",""
"2011","Portugal","Geriatric day care places","Number",":",""
"2011","Romania","Operation theatres in hospital","Number","1 806.00",""
"2011","Romania","Day care places altogether","Number","5 749.00",""
"2011","Romania","Surgical day care places","Number","611.00",""
"2011","Romania","Oncological day care place","Number","421.00",""
"2011","Romania","Psychiatric day care place","Number","217.00",""
"2011","Romania","Geriatric day care places","Number","10.00",""
"2011","Slovenia","Operation theatres in hospital","Number","154.00",""
"2011","Slovenia","Day care places altogether","Number",":",""
"2011","Slovenia","Surgical day care places","Number",":",""
"2011","Slovenia","Oncological day care place","Number",":",""
"2011","Slovenia","Psychiatric day care place","Number",":",""
"2011","Slovenia","Geriatric day care places","Number",":",""
"2011","Slovakia","Operation theatres in hospital","Number",":",""
"2011","Slovakia","Day care places altogether","Number","4 005.00",""
"2011","Slovakia","Surgical day care places","Number","1 857.00",""
"2011","Slovakia","Oncological day care place","Number","26.00",""
"2011","Slovakia","Psychiatric day care place","Number","477.00",""
"2011","Slovakia","Geriatric day care places","Number","24.00",""
"2011","Liechtenstein","Operation theatres in hospital","Number","4.00",""
"2011","Liechtenstein","Day care places altogether","Number","7.00",""
"2011","Liechtenstein","Surgical day care places","Number","7.00",""
"2011","Liechtenstein","Oncological day care place","Number","0.00",""
"2011","Liechtenstein","Psychiatric day care place","Number","0.00",""
"2011","Liechtenstein","Geriatric day care places","Number","0.00",""
"2011","Switzerland","Operation theatres in hospital","Number","975.00",""
"2011","Switzerland","Day care places altogether","Number",":",""
"2011","Switzerland","Surgical day care places","Number",":",""
"2011","Switzerland","Oncological day care place","Number",":",""
"2011","Switzerland","Psychiatric day care place","Number",":",""
"2011","Switzerland","Geriatric day care places","Number",":",""
"2011","United Kingdom","Operation theatres in hospital","Number","3 636.00","e"
"2011","United Kingdom","Day care places altogether","Number","13 960.00","e"
"2011","United Kingdom","Surgical day care places","Number",":",""
"2011","United Kingdom","Oncological day care place","Number",":",""
"2011","United Kingdom","Psychiatric day care place","Number",":",""
"2011","United Kingdom","Geriatric day care places","Number",":",""
"2011","North Macedonia","Operation theatres in hospital","Number",":",""
"2011","North Macedonia","Day care places altogether","Number",":",""
"2011","North Macedonia","Surgical day care places","Number","0.00",""
"2011","North Macedonia","Oncological day care place","Number",":",""
"2011","North Macedonia","Psychiatric day care place","Number",":",""
"2011","North Macedonia","Geriatric day care places","Number","0.00",""
"2011","Serbia","Operation theatres in hospital","Number","499.00",""
"2011","Serbia","Day care places altogether","Number","2 747.00",""
"2011","Serbia","Surgical day care places","Number","544.00",""
"2011","Serbia","Oncological day care place","Number","250.00",""
"2011","Serbia","Psychiatric day care place","Number","1 092.00",""
"2011","Serbia","Geriatric day care places","Number","2.00",""
"2011","Turkey","Operation theatres in hospital","Number","5 206.00",""
"2011","Turkey","Day care places altogether","Number",":",""
"2011","Turkey","Surgical day care places","Number",":",""
"2011","Turkey","Oncological day care place","Number",":",""
"2011","Turkey","Psychiatric day care place","Number",":",""
"2011","Turkey","Geriatric day care places","Number",":",""
"2012","Belgium","Operation theatres in hospital","Number","1 258.00",""
"2012","Belgium","Day care places altogether","Number",":",""
"2012","Belgium","Surgical day care places","Number","2 247.00",""
"2012","Belgium","Oncological day care place","Number","1 501.00",""
"2012","Belgium","Psychiatric day care place","Number","1 869.00",""
"2012","Belgium","Geriatric day care places","Number","544.00",""
"2012","Bulgaria","Operation theatres in hospital","Number",":",""
"2012","Bulgaria","Day care places altogether","Number",":",""
"2012","Bulgaria","Surgical day care places","Number",":",""
"2012","Bulgaria","Oncological day care place","Number",":",""
"2012","Bulgaria","Psychiatric day care place","Number",":",""
"2012","Bulgaria","Geriatric day care places","Number",":",""
"2012","Czechia","Operation theatres in hospital","Number","993.00",""
"2012","Czechia","Day care places altogether","Number",":",""
"2012","Czechia","Surgical day care places","Number",":",""
"2012","Czechia","Oncological day care place","Number",":",""
"2012","Czechia","Psychiatric day care place","Number",":",""
"2012","Czechia","Geriatric day care places","Number",":",""
"2012","Denmark","Operation theatres in hospital","Number",":",""
"2012","Denmark","Day care places altogether","Number",":",""
"2012","Denmark","Surgical day care places","Number",":",""
"2012","Denmark","Oncological day care place","Number",":",""
"2012","Denmark","Psychiatric day care place","Number",":",""
"2012","Denmark","Geriatric day care places","Number",":",""
"2012","Germany (until 1990 former territory of the FRG)","Operation theatres in hospital","Number",":",""
"2012","Germany (until 1990 former territory of the FRG)","Day care places altogether","Number","25 400.00",""
"2012","Germany (until 1990 former territory of the FRG)","Surgical day care places","Number","73.00",""
"2012","Germany (until 1990 former territory of the FRG)","Oncological day care place","Number","1 047.00",""
"2012","Germany (until 1990 former territory of the FRG)","Psychiatric day care place","Number","16 773.00",""
"2012","Germany (until 1990 former territory of the FRG)","Geriatric day care places","Number","2 013.00",""
"2012","Estonia","Operation theatres in hospital","Number",":",""
"2012","Estonia","Day care places altogether","Number","382.00",""
"2012","Estonia","Surgical day care places","Number",":",""
"2012","Estonia","Oncological day care place","Number",":",""
"2012","Estonia","Psychiatric day care place","Number",":",""
"2012","Estonia","Geriatric day care places","Number",":",""
"2012","Ireland","Operation theatres in hospital","Number","222.00",""
"2012","Ireland","Day care places altogether","Number","2 049.00",""
"2012","Ireland","Surgical day care places","Number",":",""
"2012","Ireland","Oncological day care place","Number",":",""
"2012","Ireland","Psychiatric day care place","Number",":",""
"2012","Ireland","Geriatric day care places","Number",":",""
"2012","Greece","Operation theatres in hospital","Number",":",""
"2012","Greece","Day care places altogether","Number","2 993.00",""
"2012","Greece","Surgical day care places","Number",":",""
"2012","Greece","Oncological day care place","Number",":",""
"2012","Greece","Psychiatric day care place","Number",":",""
"2012","Greece","Geriatric day care places","Number",":",""
"2012","Spain","Operation theatres in hospital","Number","4 267.00",""
"2012","Spain","Day care places altogether","Number","16 537.00",""
"2012","Spain","Surgical day care places","Number","3 008.00",""
"2012","Spain","Oncological day care place","Number","7 352.00",""
"2012","Spain","Psychiatric day care place","Number","3 848.00",""
"2012","Spain","Geriatric day care places","Number","2 329.00",""
"2012","France","Operation theatres in hospital","Number",":",""
"2012","France","Day care places altogether","Number","68 493.00",""
"2012","France","Surgical day care places","Number","15 272.00",""
"2012","France","Oncological day care place","Number",":",""
"2012","France","Psychiatric day care place","Number","28 871.00",""
"2012","France","Geriatric day care places","Number",":",""
"2012","Croatia","Operation theatres in hospital","Number","403.00",""
"2012","Croatia","Day care places altogether","Number","2 300.00",""
"2012","Croatia","Surgical day care places","Number","199.00",""
"2012","Croatia","Oncological day care place","Number","120.00",""
"2012","Croatia","Psychiatric day care place","Number","920.00",""
"2012","Croatia","Geriatric day care places","Number","0.00",""
"2012","Italy","Operation theatres in hospital","Number","6 118.00",""
"2012","Italy","Day care places altogether","Number","18 756.00",""
"2012","Italy","Surgical day care places","Number","8 139.00",""
"2012","Italy","Oncological day care place","Number","2 818.00",""
"2012","Italy","Psychiatric day care place","Number","603.00",""
"2012","Italy","Geriatric day care places","Number","191.00",""
"2012","Cyprus","Operation theatres in hospital","Number","24.00","d"
"2012","Cyprus","Day care places altogether","Number","205.00","d"
"2012","Cyprus","Surgical day care places","Number","5.00","d"
"2012","Cyprus","Oncological day care place","Number","26.00","d"
"2012","Cyprus","Psychiatric day care place","Number","0.00",""
"2012","Cyprus","Geriatric day care places","Number","0.00",""
"2012","Latvia","Operation theatres in hospital","Number","241.00",""
"2012","Latvia","Day care places altogether","Number","1 515.00",""
"2012","Latvia","Surgical day care places","Number",":",""
"2012","Latvia","Oncological day care place","Number",":",""
"2012","Latvia","Psychiatric day care place","Number","155.00",""
"2012","Latvia","Geriatric day care places","Number",":",""
"2012","Lithuania","Operation theatres in hospital","Number",":",""
"2012","Lithuania","Day care places altogether","Number",":",""
"2012","Lithuania","Surgical day care places","Number",":",""
"2012","Lithuania","Oncological day care place","Number",":",""
"2012","Lithuania","Psychiatric day care place","Number",":",""
"2012","Lithuania","Geriatric day care places","Number",":",""
"2012","Luxembourg","Operation theatres in hospital","Number","52.00",""
"2012","Luxembourg","Day care places altogether","Number",":",""
"2012","Luxembourg","Surgical day care places","Number",":",""
"2012","Luxembourg","Oncological day care place","Number",":",""
"2012","Luxembourg","Psychiatric day care place","Number",":",""
"2012","Luxembourg","Geriatric day care places","Number",":",""
"2012","Hungary","Operation theatres in hospital","Number","1 014.00",""
"2012","Hungary","Day care places altogether","Number",":",""
"2012","Hungary","Surgical day care places","Number",":",""
"2012","Hungary","Oncological day care place","Number",":",""
"2012","Hungary","Psychiatric day care place","Number",":",""
"2012","Hungary","Geriatric day care places","Number",":",""
"2012","Malta","Operation theatres in hospital","Number","41.00",""
"2012","Malta","Day care places altogether","Number","149.00",""
"2012","Malta","Surgical day care places","Number",":",""
"2012","Malta","Oncological day care place","Number",":",""
"2012","Malta","Psychiatric day care place","Number",":",""
"2012","Malta","Geriatric day care places","Number",":",""
"2012","Netherlands","Operation theatres in hospital","Number",":",""
"2012","Netherlands","Day care places altogether","Number",":",""
"2012","Netherlands","Surgical day care places","Number",":",""
"2012","Netherlands","Oncological day care place","Number",":",""
"2012","Netherlands","Psychiatric day care place","Number",":",""
"2012","Netherlands","Geriatric day care places","Number",":",""
"2012","Austria","Operation theatres in hospital","Number","291.00","e"
"2012","Austria","Day care places altogether","Number",":",""
"2012","Austria","Surgical day care places","Number",":",""
"2012","Austria","Oncological day care place","Number",":",""
"2012","Austria","Psychiatric day care place","Number",":",""
"2012","Austria","Geriatric day care places","Number",":",""
"2012","Poland","Operation theatres in hospital","Number","3 381.00",""
"2012","Poland","Day care places altogether","Number","8 415.00","d"
"2012","Poland","Surgical day care places","Number",":",""
"2012","Poland","Oncological day care place","Number",":",""
"2012","Poland","Psychiatric day care place","Number",":",""
"2012","Poland","Geriatric day care places","Number",":",""
"2012","Portugal","Operation theatres in hospital","Number","892.00",""
"2012","Portugal","Day care places altogether","Number","1 697.00",""
"2012","Portugal","Surgical day care places","Number",":",""
"2012","Portugal","Oncological day care place","Number",":",""
"2012","Portugal","Psychiatric day care place","Number",":",""
"2012","Portugal","Geriatric day care places","Number",":",""
"2012","Romania","Operation theatres in hospital","Number","1 814.00",""
"2012","Romania","Day care places altogether","Number","6 177.00",""
"2012","Romania","Surgical day care places","Number","578.00",""
"2012","Romania","Oncological day care place","Number","548.00",""
"2012","Romania","Psychiatric day care place","Number","270.00",""
"2012","Romania","Geriatric day care places","Number","5.00",""
"2012","Slovenia","Operation theatres in hospital","Number","155.00",""
"2012","Slovenia","Day care places altogether","Number",":",""
"2012","Slovenia","Surgical day care places","Number",":",""
"2012","Slovenia","Oncological day care place","Number",":",""
"2012","Slovenia","Psychiatric day care place","Number",":",""
"2012","Slovenia","Geriatric day care places","Number",":",""
