"TIME","Pais","Computed_Tomography_Scanners","Gamma_cameras","Lithotriptors","Magnetic_Resonance_Imaging_Units","Angiography_units"
2013,"Denmark",212,94,66,78,89
2013,"Germany (until 1990 former territory of the FRG)",2719,94,66,2332,89
2013,"Estonia",25,3,4,15,9
2013,"Ireland",82,30,6,61,78
2013,"Greece",369,158,20,242,120
2013,"Spain",820,298,85,715,262
2013,"France",953,382,36,618,78
2013,"Croatia",69,29,30,45,29
2013,"Italy",1994,583,36,1518,807
2013,"Cyprus",28,10,6,17,7
2013,"Latvia",70,6,1,21,14
2013,"Lithuania",70,9,8,31,22
2013,"Luxembourg",12,8,1,7,8
2013,"Hungary",78,113,59,30,40
2013,"Malta",8,2,2,4,4
2013,"Netherlands",194,155,35,193,78
2013,"Austria",251,100,36,163,78
2013,"Poland",650,135,189,258,404
2013,"Portugal",249,94,36,78,78
2013,"Romania",194,45,39,87,55
2013,"Slovenia",25,17,2,19,17
2013,"Slovakia",83,31,33,36,49
2013,"Finland",118,46,3,120,101
2013,"Sweden",249,94,36,78,78
2013,"Iceland",13,2,1,7,6
2013,"Liechtenstein",1,0,0,1,1
2013,"Switzerland",296,94,36,78,234
2013,"United Kingdom",596.61,94,36,461.53,78
2013,"North Macedonia",15,3,3,6,6
2013,"Albania",22,1,2,4,3
2013,"Serbia",71,21,12,18,23
2013,"Turkey",1058,252,279,751,354
2014,"Belgium",244,244,132,132,132
2014,"Bulgaria",247,27,60,51,82
2014,"Czechia",159,117,39,78,90
2014,"Denmark",213,93,60,78,90
2014,"Germany (until 1990 former territory of the FRG)",2862,93,60,2470,90
2014,"Estonia",26,3,4,15,7
2014,"Ireland",77,29,6,62,82
2014,"Greece",377,158,20,249,110
2014,"Spain",818,301,89,721,259
2014,"France",1016,381,39,720,82
2014,"Croatia",64,32,27,44,34
2014,"Italy",2000,555,39,1592,838
2014,"Cyprus",28,10,6,17,7
2014,"Latvia",72,6,1,25,12
2014,"Lithuania",65,9,7,31,23
2014,"Luxembourg",12,8,1,7,9
2014,"Hungary",82,113,57,31,41
2014,"Malta",9,2,2,5,4
2014,"Netherlands",225,160,37,217,82
2014,"Austria",251,99,39,168,82
2014,"Poland",594,138,189,251,427
2014,"Portugal",244,93,39,78,82
2014,"Romania",214,44,46,94,56
2014,"Slovenia",27,17,2,19,17
2014,"Slovakia",94,27,36,45,46
2014,"Finland",117,46,3,127,107
2014,"Sweden",244,93,39,78,82
2014,"Iceland",13,2,1,7,7
2014,"Liechtenstein",1,0,0,1,1
2014,"Switzerland",296,93,39,78,247
2014,"United Kingdom",610.99,93,39,466.96,82
2014,"North Macedonia",15,3,3,6,6
2014,"Albania",14,1,2,4,3
2014,"Serbia",70,21,11,20,23
2014,"Turkey",1071,260,307,757,363
2015,"Belgium",266,266,132,132,132
2015,"Bulgaria",241,24,70,51,80
2015,"Czechia",170,122,37,88,91
2015,"Denmark",214,94,70,88,91
2015,"Germany (until 1990 former territory of the FRG)",2866,94,70,2747,91
2015,"Estonia",22,3,4,16,7
2015,"Ireland",83,28,6,66,80
2015,"Greece",391,158,20,268,110
2015,"Spain",837,304,87,736,267
2015,"France",1103,456,37,836,80
2015,"Croatia",64,33,27,46,66
2015,"Italy",2023,508,37,1715,834
2015,"Cyprus",29,10,6,16,7
2015,"Latvia",73,6,1,25,11
2015,"Lithuania",61,9,8,32,25
2015,"Luxembourg",10,8,1,7,9
2015,"Hungary",83,113,59,35,56
2015,"Malta",8,2,2,5,4
2015,"Netherlands",233,139,41,212,80
2015,"Austria",250,98,37,179,80
2015,"Poland",652,148,192,290,468
2015,"Portugal",241,94,37,88,80
2015,"Romania",233,44,44,107,71
2015,"Slovenia",27,17,2,19,17
2015,"Slovakia",97,27,37,48,47
2015,"Finland",118,48,3,142,84
2015,"Sweden",241,94,37,88,80
2015,"Iceland",13,3,1,7,7
2015,"Liechtenstein",1,0,0,1,1
2015,"Switzerland",312,94,37,88,234
2015,"United Kingdom",596.61,94,37,461.53,80
2015,"North Macedonia",15,3,3,6,6
2015,"Albania",14,1,2,4,3
2015,"Serbia",70,22,12,22,24
2015,"Turkey",1119,274,350,794,406
2016,"Belgium",271,271,132,132,132
2016,"Bulgaria",247,23,66,56,80
2016,"Czechia",164,121,37,90,90
2016,"Denmark",224,94,94,90,94
2016,"Germany (until 1990 former territory of the FRG)",2896,94,2840,2840,2840
2016,"Estonia",23,3,4,18,7
2016,"Ireland",82,28,6,70,70
2016,"Greece",387,138,20,290,120
2016,"Spain",851,304,87,748,262
2016,"France",1131,462,904,904,904
2016,"Croatia",74,33,27,45,34
2016,"Italy",2079,479,1722,1722,834
2016,"Cyprus",29,10,6,17,7
2016,"Latvia",71,6,1,27,12
2016,"Lithuania",66,9,8,35,24
2016,"Luxembourg",10,7,1,7,10
2016,"Hungary",87,114,59,39,41
2016,"Malta",9,2,2,5,4
2016,"Netherlands",222,141,37,218,10
2016,"Austria",254,93,2,196,10
2016,"Poland",658,155,189,299,427
2016,"Portugal",247,94,2,90,10
2016,"Romania",249,47,44,116,56
2016,"Slovenia",29,17,2,23,20
2016,"Slovakia",94,27,36,49,47
2016,"Finland",133,46,2,140,86
2016,"Sweden",247,94,2,90,10
2016,"Iceland",13,3,1,7,7
2016,"Liechtenstein",1,0,0,1,1
2016,"Switzerland",326,94,2,90,234
2016,"United Kingdom",596.61,94,2,461.53,10
2016,"North Macedonia",15,3,3,6,6
2016,"Albania",14,1,2,4,3
2016,"Serbia",68,21,11,22,24
2016,"Turkey",1152,292,307,836,363
2017,"Belgium",271,271,271,132,271
2017,"Bulgaria",253,20,66,70,80
2017,"Czechia",167,121,37,100,90
2017,"Denmark",229,94,224,100,224
2017,"Germany (until 1990 former territory of the FRG)",2904,94,2896,2869,2896
2017,"Estonia",24,3,4,18,7
2017,"Ireland",92,28,6,73,73
2017,"Greece",368,135,20,285,120
2017,"Spain",869,297,87,763,262
2017,"France",1161,469,950,950,950
2017,"Croatia",75,29,27,47,34
2017,"Italy",2093,492,1735,1735,834
2017,"Cyprus",29,10,6,18,7
2017,"Latvia",76,7,1,27,12
2017,"Lithuania",66,8,8,35,24
2017,"Luxembourg",10,7,1,7,9
2017,"Hungary",90,114,59,46,41
2017,"Malta",9,2,2,5,4
2017,"Netherlands",231,133,37,223,223
2017,"Austria",252,93,202,202,202
2017,"Poland",641,149,189,301,427
2017,"Portugal",253,94,2,100,10
2017,"Romania",274,45,44,140,56
2017,"Slovenia",31,17,2,24,17
2017,"Slovakia",94,30,36,52,47
2017,"Finland",135,46,3,149,86
2017,"Sweden",253,94,2,100,10
2017,"Iceland",15,3,1,7,7
2017,"Liechtenstein",1,0,0,1,1
2017,"Switzerland",332,94,6,100,234
2017,"United Kingdom",596.61,94,2,461.53,10
2017,"North Macedonia",15,3,3,6,6
2017,"Albania",14,1,2,4,3
2017,"Serbia",74,21,11,24,24
2017,"Turkey",1186,293,307,884,363
2018,"Belgium",273,133,271,133,271
2018,"Bulgaria",273,22,66,73,80
2018,"Czechia",171,127,37,110,90
2018,"Denmark",230,88,229,110,229
2018,"Germany (until 1990 former territory of the FRG)",2896,88,2896,2840,2896
2018,"Estonia",25,3,4,18,7
2018,"Ireland",99,23,6,78,78
2018,"Greece",436,144,20,315,120
2018,"Spain",895,309,87,805,262
2018,"France",1184,466,989,989,989
2018,"Croatia",80,26,27,51,34
2018,"Italy",2122,465,1736,1736,834
2018,"Cyprus",29,10,6,18,7
2018,"Latvia",74,7,1,26,12
2018,"Lithuania",68,8,8,35,24
2018,"Luxembourg",10,7,1,7,9
2018,"Hungary",92,114,59,48,41
2018,"Malta",9,2,2,5,4
2018,"Netherlands",245,141,37,225,225
2018,"Austria",255,93,208,208,208
2018,"Poland",689,140,189,350,427
2018,"Portugal",273,88,2,110,10
2018,"Romania",309,48,44,175,56
2018,"Slovenia",33,17,2,25,17
2018,"Slovakia",100,30,36,52,47
2018,"Finland",91,42,3,151,86
2018,"Sweden",273,88,2,110,10
2018,"Iceland",17,3,1,7,7
2018,"Liechtenstein",1,0,0,1,1
2018,"Switzerland",338,88,332,110,234
2018,"United Kingdom",596.61,88,2,461.53,10
2018,"North Macedonia",15,3,3,6,6
2018,"Albania",14,1,2,4,3
2018,"Serbia",78,20,11,27,24
2018,"Turkey",1211,299,307,915,363
2019,"Belgium",272,133,272,133,272
2019,"Bulgaria",253,22,66,70,80
2019,"Czechia",167,121,37,100,90
2019,"Denmark",236,85,230,133,230
2019,"Germany (until 1990 former territory of the FRG)",2896,85,2896,2840,2896
2019,"Estonia",24,3,4,18,7
2019,"Ireland",105,28,6,73,99
2019,"Greece",387,138,20,290,120
2019,"Spain",869,304,87,763,262
2019,"France",1222,462,1034,1034,1034
2019,"Croatia",75,29,27,47,34
2019,"Italy",2093,479,1736,1735,834
2019,"Cyprus",29,10,6,18,7
2019,"Latvia",74,7,1,27,12
2019,"Lithuania",74,8,8,35,24
2019,"Luxembourg",10,7,1,9,9
2019,"Hungary",90,114,59,46,41
2019,"Malta",9,2,2,5,4
2019,"Netherlands",231,141,37,223,225
2019,"Austria",254,93,208,202,208
2019,"Poland",658,149,189,301,427
2019,"Portugal",236,85,2,133,10
2019,"Romania",274,47,44,140,56
2019,"Slovenia",38,17,2,26,17
2019,"Slovakia",94,30,36,52,47
2019,"Finland",133,46,3,159,86
2019,"Sweden",236,85,2,133,10
2019,"Iceland",17,3,1,7,7
2019,"Liechtenstein",1,0,0,1,1
2019,"Switzerland",332,85,332,133,234
2019,"United Kingdom",596.61,85,2,461.53,10
2019,"North Macedonia",15,3,3,6,6
2019,"Albania",14,1,2,4,3
2019,"Serbia",81,22,11,27,24
2019,"Turkey",1186,293,307,884,363
