"TIME","GEO","UNIT","ICD9CM","Value","Value_imp"
2005,"Italy","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",83.39,FALSE
2005,"Italy","Per hundred thousand inhabitants","Haemodialysis",70.77,FALSE
2005,"Italy","Per hundred thousand inhabitants","Transplantation of kidney",12.62,FALSE
2005,"Lithuania","Number","Transplantation of kidney and haemodialysis",2671,TRUE
2005,"Lithuania","Number","Haemodialysis",1888,TRUE
2005,"Lithuania","Number","Transplantation of kidney",353,FALSE
2005,"Lithuania","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",90.31,TRUE
2005,"Lithuania","Per hundred thousand inhabitants","Haemodialysis",60.75,TRUE
2005,"Lithuania","Per hundred thousand inhabitants","Transplantation of kidney",10.34,FALSE
2005,"Luxembourg","Number","Transplantation of kidney and haemodialysis",10371,TRUE
2005,"Luxembourg","Number","Haemodialysis",207,FALSE
2005,"Luxembourg","Number","Transplantation of kidney",4179,TRUE
2005,"Luxembourg","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",98.97,TRUE
2005,"Luxembourg","Per hundred thousand inhabitants","Haemodialysis",44.5,FALSE
2005,"Luxembourg","Per hundred thousand inhabitants","Transplantation of kidney",31.02,TRUE
2005,"Hungary","Number","Transplantation of kidney and haemodialysis",7323,FALSE
2005,"Hungary","Number","Haemodialysis",5476,FALSE
2005,"Hungary","Number","Transplantation of kidney",1847,FALSE
2005,"Hungary","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",72.6,FALSE
2005,"Hungary","Per hundred thousand inhabitants","Haemodialysis",54.29,FALSE
2005,"Hungary","Per hundred thousand inhabitants","Transplantation of kidney",18.31,FALSE
2005,"Malta","Number","Transplantation of kidney and haemodialysis",10371,TRUE
2005,"Malta","Number","Haemodialysis",5733,TRUE
2005,"Malta","Number","Transplantation of kidney",4179,TRUE
2005,"Malta","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",98.97,TRUE
2005,"Malta","Per hundred thousand inhabitants","Haemodialysis",59.09,TRUE
2005,"Malta","Per hundred thousand inhabitants","Transplantation of kidney",31.02,TRUE
2005,"Netherlands","Number","Transplantation of kidney and haemodialysis",11238,FALSE
2005,"Netherlands","Number","Haemodialysis",5327,FALSE
2005,"Netherlands","Number","Transplantation of kidney",5911,FALSE
2005,"Netherlands","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",68.86,FALSE
2005,"Netherlands","Per hundred thousand inhabitants","Haemodialysis",32.64,FALSE
2005,"Netherlands","Per hundred thousand inhabitants","Transplantation of kidney",36.22,FALSE
2005,"Austria","Number","Transplantation of kidney and haemodialysis",7242,FALSE
2005,"Austria","Number","Haemodialysis",3742,FALSE
2005,"Austria","Number","Transplantation of kidney",3500,FALSE
2005,"Austria","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",88.02,FALSE
2005,"Austria","Per hundred thousand inhabitants","Haemodialysis",45.48,FALSE
2005,"Austria","Per hundred thousand inhabitants","Transplantation of kidney",42.54,FALSE
2005,"Poland","Number","Transplantation of kidney and haemodialysis",10371,TRUE
2005,"Poland","Number","Haemodialysis",24418,FALSE
2005,"Poland","Number","Transplantation of kidney",4179,TRUE
2005,"Poland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",98.97,TRUE
2005,"Poland","Per hundred thousand inhabitants","Haemodialysis",63.98,FALSE
2005,"Poland","Per hundred thousand inhabitants","Transplantation of kidney",31.02,TRUE
2005,"Portugal","Number","Transplantation of kidney and haemodialysis",13237,FALSE
2005,"Portugal","Number","Haemodialysis",8829,FALSE
2005,"Portugal","Number","Transplantation of kidney",4408,FALSE
2005,"Portugal","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",125.48,FALSE
2005,"Portugal","Per hundred thousand inhabitants","Haemodialysis",83.69,FALSE
2005,"Portugal","Per hundred thousand inhabitants","Transplantation of kidney",41.78,FALSE
2005,"Romania","Number","Transplantation of kidney and haemodialysis",7994,FALSE
2005,"Romania","Number","Haemodialysis",7994,FALSE
2005,"Romania","Number","Transplantation of kidney",2240,TRUE
2005,"Romania","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",36.95,FALSE
2005,"Romania","Per hundred thousand inhabitants","Haemodialysis",36.95,FALSE
2005,"Romania","Per hundred thousand inhabitants","Transplantation of kidney",31.02,TRUE
2005,"Slovakia","Number","Transplantation of kidney and haemodialysis",3600,FALSE
2005,"Slovakia","Number","Haemodialysis",2790,FALSE
2005,"Slovakia","Number","Transplantation of kidney",810,FALSE
2005,"Slovakia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",66.83,FALSE
2005,"Slovakia","Per hundred thousand inhabitants","Haemodialysis",51.79,FALSE
2005,"Slovakia","Per hundred thousand inhabitants","Transplantation of kidney",15.04,FALSE
2005,"Finland","Number","Transplantation of kidney and haemodialysis",3754,FALSE
2005,"Finland","Number","Haemodialysis",1560,FALSE
2005,"Finland","Number","Transplantation of kidney",2194,FALSE
2005,"Finland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",71.56,FALSE
2005,"Finland","Per hundred thousand inhabitants","Haemodialysis",29.74,FALSE
2005,"Finland","Per hundred thousand inhabitants","Transplantation of kidney",41.82,FALSE
2005,"Iceland","Number","Transplantation of kidney and haemodialysis",143,FALSE
2005,"Iceland","Number","Haemodialysis",59,FALSE
2005,"Iceland","Number","Transplantation of kidney",84,FALSE
2005,"Iceland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",48.19,FALSE
2005,"Iceland","Per hundred thousand inhabitants","Haemodialysis",19.88,FALSE
2005,"Iceland","Per hundred thousand inhabitants","Transplantation of kidney",28.31,FALSE
2005,"Liechtenstein","Number","Transplantation of kidney and haemodialysis",0,TRUE
2005,"Liechtenstein","Number","Haemodialysis",0,TRUE
2005,"Liechtenstein","Number","Transplantation of kidney",0,TRUE
2005,"Liechtenstein","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",0,TRUE
2005,"Liechtenstein","Per hundred thousand inhabitants","Haemodialysis",0,TRUE
2005,"Liechtenstein","Per hundred thousand inhabitants","Transplantation of kidney",0,TRUE
2005,"Switzerland","Number","Transplantation of kidney and haemodialysis",10371,TRUE
2005,"Switzerland","Number","Haemodialysis",5733,TRUE
2005,"Switzerland","Number","Transplantation of kidney",4179,TRUE
2005,"Switzerland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",98.97,TRUE
2005,"Switzerland","Per hundred thousand inhabitants","Haemodialysis",56.01,TRUE
2005,"Switzerland","Per hundred thousand inhabitants","Transplantation of kidney",31.02,TRUE
2005,"United Kingdom","Number","Transplantation of kidney and haemodialysis",41776,FALSE
2005,"United Kingdom","Number","Haemodialysis",22702,FALSE
2005,"United Kingdom","Number","Transplantation of kidney",19074,FALSE
2005,"United Kingdom","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",69.37,FALSE
2005,"United Kingdom","Per hundred thousand inhabitants","Haemodialysis",37.7,FALSE
2005,"United Kingdom","Per hundred thousand inhabitants","Transplantation of kidney",31.67,FALSE
2005,"Serbia","Number","Transplantation of kidney and haemodialysis",10371,TRUE
2005,"Serbia","Number","Haemodialysis",4369,TRUE
2005,"Serbia","Number","Transplantation of kidney",4179,TRUE
2005,"Serbia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",98.97,TRUE
2005,"Serbia","Per hundred thousand inhabitants","Haemodialysis",59.44,TRUE
2005,"Serbia","Per hundred thousand inhabitants","Transplantation of kidney",31.02,TRUE
2005,"Turkey","Number","Transplantation of kidney and haemodialysis",60635,TRUE
2005,"Turkey","Number","Haemodialysis",38235,FALSE
2005,"Turkey","Number","Transplantation of kidney",5743,TRUE
2005,"Turkey","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",80.52,TRUE
2005,"Turkey","Per hundred thousand inhabitants","Haemodialysis",53.06,FALSE
2005,"Turkey","Per hundred thousand inhabitants","Transplantation of kidney",7.64,TRUE
2006,"Belgium","Number","Transplantation of kidney and haemodialysis",10948,FALSE
2006,"Belgium","Number","Haemodialysis",6475,FALSE
2006,"Belgium","Number","Transplantation of kidney",4473,FALSE
2006,"Belgium","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",103.79,FALSE
2006,"Belgium","Per hundred thousand inhabitants","Haemodialysis",61.39,FALSE
2006,"Belgium","Per hundred thousand inhabitants","Transplantation of kidney",42.41,FALSE
2006,"Bulgaria","Number","Transplantation of kidney and haemodialysis",8228,TRUE
2006,"Bulgaria","Number","Haemodialysis",6475,TRUE
2006,"Bulgaria","Number","Transplantation of kidney",1733,TRUE
2006,"Bulgaria","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",103.79,TRUE
2006,"Bulgaria","Per hundred thousand inhabitants","Haemodialysis",61.39,TRUE
2006,"Bulgaria","Per hundred thousand inhabitants","Transplantation of kidney",31.87,TRUE
2006,"Czechia","Number","Transplantation of kidney and haemodialysis",9956,TRUE
2006,"Czechia","Number","Haemodialysis",5878,FALSE
2006,"Czechia","Number","Transplantation of kidney",3687,TRUE
2006,"Czechia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",95.51,TRUE
2006,"Czechia","Per hundred thousand inhabitants","Haemodialysis",57.24,FALSE
2006,"Czechia","Per hundred thousand inhabitants","Transplantation of kidney",35.37,TRUE
2006,"Denmark","Number","Transplantation of kidney and haemodialysis",4288,FALSE
2006,"Denmark","Number","Haemodialysis",2555,FALSE
2006,"Denmark","Number","Transplantation of kidney",1733,FALSE
2006,"Denmark","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",78.86,FALSE
2006,"Denmark","Per hundred thousand inhabitants","Haemodialysis",46.99,FALSE
2006,"Denmark","Per hundred thousand inhabitants","Transplantation of kidney",31.87,FALSE
2006,"Germany (until 1990 former territory of the FRG)","Number","Transplantation of kidney and haemodialysis",91718,FALSE
2006,"Germany (until 1990 former territory of the FRG)","Number","Haemodialysis",66508,FALSE
2006,"Germany (until 1990 former territory of the FRG)","Number","Transplantation of kidney",25210,FALSE
2006,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",111.34,FALSE
2006,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Haemodialysis",80.74,FALSE
2006,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Transplantation of kidney",30.6,FALSE
2006,"Estonia","Number","Transplantation of kidney and haemodialysis",10948,TRUE
2006,"Estonia","Number","Haemodialysis",5878,TRUE
2006,"Estonia","Number","Transplantation of kidney",395,TRUE
2006,"Estonia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",103.79,TRUE
2006,"Estonia","Per hundred thousand inhabitants","Haemodialysis",57.24,TRUE
2006,"Estonia","Per hundred thousand inhabitants","Transplantation of kidney",29.47,TRUE
2006,"Ireland","Number","Transplantation of kidney and haemodialysis",3329,TRUE
2006,"Ireland","Number","Haemodialysis",1475,FALSE
2006,"Ireland","Number","Transplantation of kidney",1728,TRUE
2006,"Ireland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",75.22,TRUE
2006,"Ireland","Per hundred thousand inhabitants","Haemodialysis",34.62,FALSE
2006,"Ireland","Per hundred thousand inhabitants","Transplantation of kidney",39.04,TRUE
2006,"Greece","Number","Transplantation of kidney and haemodialysis",10970,FALSE
2006,"Greece","Number","Haemodialysis",8844,FALSE
2006,"Greece","Number","Transplantation of kidney",2126,FALSE
2006,"Greece","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",98.4,FALSE
2006,"Greece","Per hundred thousand inhabitants","Haemodialysis",79.33,FALSE
2006,"Greece","Per hundred thousand inhabitants","Transplantation of kidney",19.07,FALSE
2006,"Spain","Number","Transplantation of kidney and haemodialysis",40252,FALSE
2006,"Spain","Number","Haemodialysis",21395,FALSE
2006,"Spain","Number","Transplantation of kidney",18857,FALSE
2006,"Spain","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",91.24,FALSE
2006,"Spain","Per hundred thousand inhabitants","Haemodialysis",48.5,FALSE
2006,"Spain","Per hundred thousand inhabitants","Transplantation of kidney",42.74,FALSE
2006,"France","Number","Transplantation of kidney and haemodialysis",57325,TRUE
2006,"France","Number","Haemodialysis",32600,TRUE
2006,"France","Number","Transplantation of kidney",25699,TRUE
2006,"France","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",90.99,TRUE
2006,"France","Per hundred thousand inhabitants","Haemodialysis",51.08,TRUE
2006,"France","Per hundred thousand inhabitants","Transplantation of kidney",40.04,TRUE
2006,"Croatia","Number","Transplantation of kidney and haemodialysis",3799,FALSE
2006,"Croatia","Number","Haemodialysis",2963,FALSE
2006,"Croatia","Number","Transplantation of kidney",836,FALSE
2006,"Croatia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",85.52,FALSE
2006,"Croatia","Per hundred thousand inhabitants","Haemodialysis",66.7,FALSE
2006,"Croatia","Per hundred thousand inhabitants","Transplantation of kidney",18.82,FALSE
2006,"Italy","Number","Transplantation of kidney and haemodialysis",52395,FALSE
2006,"Italy","Number","Haemodialysis",43605,FALSE
2006,"Italy","Number","Transplantation of kidney",8790,FALSE
2006,"Italy","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",88.89,FALSE
2006,"Italy","Per hundred thousand inhabitants","Haemodialysis",73.98,FALSE
2006,"Italy","Per hundred thousand inhabitants","Transplantation of kidney",14.91,FALSE
2006,"Lithuania","Number","Transplantation of kidney and haemodialysis",2671,TRUE
2006,"Lithuania","Number","Haemodialysis",1888,TRUE
2006,"Lithuania","Number","Transplantation of kidney",406,FALSE
2006,"Lithuania","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",90.31,TRUE
2006,"Lithuania","Per hundred thousand inhabitants","Haemodialysis",61.39,TRUE
2006,"Lithuania","Per hundred thousand inhabitants","Transplantation of kidney",11.96,FALSE
2006,"Luxembourg","Number","Transplantation of kidney and haemodialysis",10948,TRUE
2006,"Luxembourg","Number","Haemodialysis",218,FALSE
2006,"Luxembourg","Number","Transplantation of kidney",4473,TRUE
2006,"Luxembourg","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",103.79,TRUE
2006,"Luxembourg","Per hundred thousand inhabitants","Haemodialysis",46.12,FALSE
2006,"Luxembourg","Per hundred thousand inhabitants","Transplantation of kidney",31.87,TRUE
2006,"Hungary","Number","Transplantation of kidney and haemodialysis",7758,FALSE
2006,"Hungary","Number","Haemodialysis",5707,FALSE
2006,"Hungary","Number","Transplantation of kidney",2051,FALSE
2006,"Hungary","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",77.03,FALSE
2006,"Hungary","Per hundred thousand inhabitants","Haemodialysis",56.67,FALSE
2006,"Hungary","Per hundred thousand inhabitants","Transplantation of kidney",20.36,FALSE
2006,"Malta","Number","Transplantation of kidney and haemodialysis",10948,TRUE
2006,"Malta","Number","Haemodialysis",519,TRUE
2006,"Malta","Number","Transplantation of kidney",4473,TRUE
2006,"Malta","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",103.79,TRUE
2006,"Malta","Per hundred thousand inhabitants","Haemodialysis",61.39,TRUE
2006,"Malta","Per hundred thousand inhabitants","Transplantation of kidney",31.87,TRUE
2006,"Netherlands","Number","Transplantation of kidney and haemodialysis",11757,FALSE
2006,"Netherlands","Number","Haemodialysis",5514,FALSE
2006,"Netherlands","Number","Transplantation of kidney",6243,FALSE
2006,"Netherlands","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",71.93,FALSE
2006,"Netherlands","Per hundred thousand inhabitants","Haemodialysis",33.73,FALSE
2006,"Netherlands","Per hundred thousand inhabitants","Transplantation of kidney",38.19,FALSE
2006,"Austria","Number","Transplantation of kidney and haemodialysis",7544,FALSE
2006,"Austria","Number","Haemodialysis",3881,FALSE
2006,"Austria","Number","Transplantation of kidney",3663,FALSE
2006,"Austria","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",91.24,FALSE
2006,"Austria","Per hundred thousand inhabitants","Haemodialysis",46.94,FALSE
2006,"Austria","Per hundred thousand inhabitants","Transplantation of kidney",44.3,FALSE
2006,"Poland","Number","Transplantation of kidney and haemodialysis",10948,TRUE
2006,"Poland","Number","Haemodialysis",25213,FALSE
2006,"Poland","Number","Transplantation of kidney",4473,TRUE
2006,"Poland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",103.79,TRUE
2006,"Poland","Per hundred thousand inhabitants","Haemodialysis",66.1,FALSE
2006,"Poland","Per hundred thousand inhabitants","Transplantation of kidney",31.87,TRUE
2006,"Portugal","Number","Transplantation of kidney and haemodialysis",13727,FALSE
2006,"Portugal","Number","Haemodialysis",9189,FALSE
2006,"Portugal","Number","Transplantation of kidney",4538,FALSE
2006,"Portugal","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",129.69,FALSE
2006,"Portugal","Per hundred thousand inhabitants","Haemodialysis",86.82,FALSE
2006,"Portugal","Per hundred thousand inhabitants","Transplantation of kidney",42.87,FALSE
2006,"Romania","Number","Transplantation of kidney and haemodialysis",9139,FALSE
2006,"Romania","Number","Haemodialysis",9139,FALSE
2006,"Romania","Number","Transplantation of kidney",2240,TRUE
2006,"Romania","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",42.33,FALSE
2006,"Romania","Per hundred thousand inhabitants","Haemodialysis",42.33,FALSE
2006,"Romania","Per hundred thousand inhabitants","Transplantation of kidney",31.87,TRUE
2006,"Slovakia","Number","Transplantation of kidney and haemodialysis",4583,TRUE
2006,"Slovakia","Number","Haemodialysis",2904,FALSE
2006,"Slovakia","Number","Transplantation of kidney",1343,TRUE
2006,"Slovakia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",84.75,TRUE
2006,"Slovakia","Per hundred thousand inhabitants","Haemodialysis",53.86,FALSE
2006,"Slovakia","Per hundred thousand inhabitants","Transplantation of kidney",24.83,TRUE
2006,"Finland","Number","Transplantation of kidney and haemodialysis",3829,FALSE
2006,"Finland","Number","Haemodialysis",1542,FALSE
2006,"Finland","Number","Transplantation of kidney",2287,FALSE
2006,"Finland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",72.71,FALSE
2006,"Finland","Per hundred thousand inhabitants","Haemodialysis",29.28,FALSE
2006,"Finland","Per hundred thousand inhabitants","Transplantation of kidney",43.43,FALSE
2006,"Iceland","Number","Transplantation of kidney and haemodialysis",147,FALSE
2006,"Iceland","Number","Haemodialysis",52,FALSE
2006,"Iceland","Number","Transplantation of kidney",95,FALSE
2006,"Iceland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",48.39,FALSE
2006,"Iceland","Per hundred thousand inhabitants","Haemodialysis",17.12,FALSE
2006,"Iceland","Per hundred thousand inhabitants","Transplantation of kidney",31.27,FALSE
2006,"Liechtenstein","Number","Transplantation of kidney and haemodialysis",0,TRUE
2006,"Liechtenstein","Number","Haemodialysis",0,TRUE
2006,"Liechtenstein","Number","Transplantation of kidney",0,TRUE
2006,"Liechtenstein","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",0,TRUE
2006,"Liechtenstein","Per hundred thousand inhabitants","Haemodialysis",0,TRUE
2006,"Liechtenstein","Per hundred thousand inhabitants","Transplantation of kidney",0,TRUE
2006,"Switzerland","Number","Transplantation of kidney and haemodialysis",10948,TRUE
2006,"Switzerland","Number","Haemodialysis",5878,TRUE
2006,"Switzerland","Number","Transplantation of kidney",4473,TRUE
2006,"Switzerland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",103.79,TRUE
2006,"Switzerland","Per hundred thousand inhabitants","Haemodialysis",57.24,TRUE
2006,"Switzerland","Per hundred thousand inhabitants","Transplantation of kidney",31.87,TRUE
2006,"United Kingdom","Number","Transplantation of kidney and haemodialysis",43901,FALSE
2006,"United Kingdom","Number","Haemodialysis",23550,FALSE
2006,"United Kingdom","Number","Transplantation of kidney",20351,FALSE
2006,"United Kingdom","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",72.45,FALSE
2006,"United Kingdom","Per hundred thousand inhabitants","Haemodialysis",38.86,FALSE
2006,"United Kingdom","Per hundred thousand inhabitants","Transplantation of kidney",33.58,FALSE
2006,"Serbia","Number","Transplantation of kidney and haemodialysis",10948,TRUE
2006,"Serbia","Number","Haemodialysis",4369,TRUE
2006,"Serbia","Number","Transplantation of kidney",4473,TRUE
2006,"Serbia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",103.79,TRUE
2006,"Serbia","Per hundred thousand inhabitants","Haemodialysis",59.44,TRUE
2006,"Serbia","Per hundred thousand inhabitants","Transplantation of kidney",31.87,TRUE
2006,"Turkey","Number","Transplantation of kidney and haemodialysis",60635,TRUE
2006,"Turkey","Number","Haemodialysis",42846,FALSE
2006,"Turkey","Number","Transplantation of kidney",5743,TRUE
2006,"Turkey","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",80.52,TRUE
2006,"Turkey","Per hundred thousand inhabitants","Haemodialysis",60.26,FALSE
2006,"Turkey","Per hundred thousand inhabitants","Transplantation of kidney",7.64,TRUE
2007,"Belgium","Number","Transplantation of kidney and haemodialysis",11396,FALSE
2007,"Belgium","Number","Haemodialysis",6696,FALSE
2007,"Belgium","Number","Transplantation of kidney",4700,FALSE
2007,"Belgium","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",107.25,FALSE
2007,"Belgium","Per hundred thousand inhabitants","Haemodialysis",63.02,FALSE
2007,"Belgium","Per hundred thousand inhabitants","Transplantation of kidney",44.23,FALSE
2007,"Bulgaria","Number","Transplantation of kidney and haemodialysis",9659,TRUE
2007,"Bulgaria","Number","Haemodialysis",6696,TRUE
2007,"Bulgaria","Number","Transplantation of kidney",3573,TRUE
2007,"Bulgaria","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",107.25,TRUE
2007,"Bulgaria","Per hundred thousand inhabitants","Haemodialysis",63.02,TRUE
2007,"Bulgaria","Per hundred thousand inhabitants","Transplantation of kidney",34.57,TRUE
2007,"Czechia","Number","Transplantation of kidney and haemodialysis",9659,FALSE
2007,"Czechia","Number","Haemodialysis",6086,FALSE
2007,"Czechia","Number","Transplantation of kidney",3573,FALSE
2007,"Czechia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",93.47,FALSE
2007,"Czechia","Per hundred thousand inhabitants","Haemodialysis",58.89,FALSE
