"TIME","GEO","UNIT","SEX","ICD10","Value","Flag and Footnotes"
"2011","Bulgaria","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","1 227",""
"2011","Bulgaria","Number","Total","Pneumonia, organism unspecified","1 200",""
"2011","Czechia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","651",""
"2011","Czechia","Number","Total","Other sepsis","714",""
"2011","Czechia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","2 336",""
"2011","Czechia","Number","Total","Pneumonia, organism unspecified","2 073",""
"2011","Denmark","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","559",""
"2011","Denmark","Number","Total","Other sepsis","250",""
"2011","Denmark","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","1 954",""
"2011","Denmark","Number","Total","Pneumonia, organism unspecified","890",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","9 300",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","Other sepsis","7 411",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","15 593",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","Pneumonia, organism unspecified","18 020",""
"2011","Estonia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","127",""
"2011","Estonia","Number","Total","Other sepsis","3",""
"2011","Estonia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","347",""
"2011","Estonia","Number","Total","Pneumonia, organism unspecified","29",""
"2011","Ireland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","142",""
"2011","Ireland","Number","Total","Other sepsis","93",""
"2011","Ireland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","684",""
"2011","Ireland","Number","Total","Pneumonia, organism unspecified","1 040",""
"2011","Greece","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","254",""
"2011","Greece","Number","Total","Other sepsis","3 626",""
"2011","Greece","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","5 612",""
"2011","Greece","Number","Total","Pneumonia, organism unspecified","1 665",""
"2011","Spain","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","3 452",""
"2011","Spain","Number","Total","Other sepsis","2 946",""
"2011","Spain","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","11 834",""
"2011","Spain","Number","Total","Pneumonia, organism unspecified","7 819",""
"2011","France","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","6 616",""
"2011","France","Number","Total","Other sepsis","5 094",""
"2011","France","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","11 842",""
"2011","France","Number","Total","Pneumonia, organism unspecified","9 971",""
"2011","France (metropolitan)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","6 433",""
"2011","France (metropolitan)","Number","Total","Other sepsis","4 978",""
"2011","France (metropolitan)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","11 579",""
"2011","France (metropolitan)","Number","Total","Pneumonia, organism unspecified","9 781",""
"2011","Croatia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","154",""
"2011","Croatia","Number","Total","Other sepsis","121",""
"2011","Croatia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","890",""
"2011","Croatia","Number","Total","Pneumonia, organism unspecified","270",""
"2011","Italy","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","5 652",""
"2011","Italy","Number","Total","Other sepsis","5 423",""
"2011","Italy","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","10 691",""
"2011","Italy","Number","Total","Pneumonia, organism unspecified","8 211",""
"2011","Cyprus","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","51",""
"2011","Cyprus","Number","Total","Other sepsis","34",""
"2011","Cyprus","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","103",""
"2011","Cyprus","Number","Total","Pneumonia, organism unspecified","76",""
"2011","Latvia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","224",""
"2011","Latvia","Number","Total","Other sepsis","34",""
"2011","Latvia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","400",""
"2011","Latvia","Number","Total","Pneumonia, organism unspecified","327",""
"2011","Lithuania","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","317",""
"2011","Lithuania","Number","Total","Other sepsis","235",""
"2011","Lithuania","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","675",""
"2011","Lithuania","Number","Total","Pneumonia, organism unspecified","347",""
"2011","Luxembourg","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","41",""
"2011","Luxembourg","Number","Total","Other sepsis","49",""
"2011","Luxembourg","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","74",""
"2011","Luxembourg","Number","Total","Pneumonia, organism unspecified","77",""
"2011","Hungary","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","549",""
"2011","Hungary","Number","Total","Other sepsis","67",""
"2011","Hungary","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","3 137",""
"2011","Hungary","Number","Total","Pneumonia, organism unspecified","449",""
"2011","Malta","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","17",""
"2011","Malta","Number","Total","Other sepsis","8",""
"2011","Malta","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","93",""
"2011","Malta","Number","Total","Pneumonia, organism unspecified","76",""
"2011","Netherlands","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","1 050",""
"2011","Netherlands","Number","Total","Other sepsis","1 067",""
"2011","Netherlands","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","3 641",""
"2011","Netherlands","Number","Total","Pneumonia, organism unspecified","4 918",""
"2011","Austria","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","587",""
"2011","Austria","Number","Total","Other sepsis","93",""
"2011","Austria","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","1 074",""
"2011","Austria","Number","Total","Pneumonia, organism unspecified","1 052",""
"2011","Poland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","1 348",""
"2011","Poland","Number","Total","Other sepsis","1 744",""
"2011","Poland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","5 929",""
"2011","Poland","Number","Total","Pneumonia, organism unspecified","8 262",""
"2011","Portugal","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","1 151",""
"2011","Portugal","Number","Total","Other sepsis","1 125",""
"2011","Portugal","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","3 612",""
"2011","Portugal","Number","Total","Pneumonia, organism unspecified","5 163",""
"2011","Romania","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","1 708",""
"2011","Romania","Number","Total","Other sepsis","525",""
"2011","Romania","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","3 232",""
"2011","Romania","Number","Total","Pneumonia, organism unspecified","5 126",""
"2011","Slovenia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","39",""
"2011","Slovenia","Number","Total","Other sepsis","37",""
"2011","Slovenia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","467",""
"2011","Slovenia","Number","Total","Pneumonia, organism unspecified","465",""
"2011","Slovakia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","111",""
"2011","Slovakia","Number","Total","Other sepsis","105",""
"2011","Slovakia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","1 499",""
"2011","Slovakia","Number","Total","Pneumonia, organism unspecified","1 300",""
"2011","Finland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","266",""
"2011","Finland","Number","Total","Other sepsis","140",""
"2011","Finland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","862",""
"2011","Finland","Number","Total","Pneumonia, organism unspecified","282",""
"2011","Sweden","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","1 202",""
"2011","Sweden","Number","Total","Other sepsis","846",""
"2011","Sweden","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","1 235",""
"2011","Sweden","Number","Total","Pneumonia, organism unspecified","1 921",""
"2011","Iceland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","11",""
"2011","Iceland","Number","Total","Other sepsis","5",""
"2011","Iceland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","18",""
"2011","Iceland","Number","Total","Pneumonia, organism unspecified","75",""
"2011","Liechtenstein","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","2",""
"2011","Liechtenstein","Number","Total","Other sepsis",":",""
"2011","Liechtenstein","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","1",""
"2011","Liechtenstein","Number","Total","Pneumonia, organism unspecified","1",""
"2011","Norway","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","588",""
"2011","Norway","Number","Total","Other sepsis","367",""
"2011","Norway","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","766",""
"2011","Norway","Number","Total","Pneumonia, organism unspecified","1 549",""
"2011","Switzerland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","616",""
"2011","Switzerland","Number","Total","Other sepsis","183",""
"2011","Switzerland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","1 488",""
"2011","Switzerland","Number","Total","Pneumonia, organism unspecified","1 141",""
"2011","United Kingdom","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","3 801",""
"2011","United Kingdom","Number","Total","Other sepsis","2 555",""
"2011","United Kingdom","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","17 160",""
"2011","United Kingdom","Number","Total","Pneumonia, organism unspecified","27 968",""
"2011","Serbia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","297",""
"2011","Serbia","Number","Total","Other sepsis","141",""
"2011","Serbia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","1 168",""
"2011","Serbia","Number","Total","Pneumonia, organism unspecified","751",""
"2011","Turkey","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","2 374",""
"2011","Turkey","Number","Total","Other sepsis","2 668",""
"2011","Turkey","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","4 016",""
"2011","Turkey","Number","Total","Pneumonia, organism unspecified","4 111",""
"2012","European Union - 27 countries (from 2020)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","38 818",""
"2012","European Union - 27 countries (from 2020)","Number","Total","Other sepsis","36 762",""
"2012","European Union - 27 countries (from 2020)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","97 064",""
"2012","European Union - 27 countries (from 2020)","Number","Total","Pneumonia, organism unspecified","91 444",""
"2012","European Union - 28 countries (2013-2020)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","42 430",""
