"TIME","GEO","MORTALIT","SEX","ICD10","UNIT","Value","Flag and Footnotes"
"2011","Bulgaria","Total","Females","Total","Number","10 135",""
"2011","Bulgaria","Total","Females","Total","Rate","270.88",""
"2011","Bulgaria","Preventable mortality","Total","Total","Number","15 459.5",""
"2011","Bulgaria","Preventable mortality","Total","Total","Rate","222.86",""
"2011","Bulgaria","Preventable mortality","Males","Total","Number","10 986.5",""
"2011","Bulgaria","Preventable mortality","Males","Total","Rate","344.65",""
"2011","Bulgaria","Preventable mortality","Females","Total","Number","4 473",""
"2011","Bulgaria","Preventable mortality","Females","Total","Rate","119.32",""
"2011","Bulgaria","Treatable mortality","Total","Total","Number","13 422.5",""
"2011","Bulgaria","Treatable mortality","Total","Total","Rate","195.09",""
"2011","Bulgaria","Treatable mortality","Males","Total","Number","7 760.5",""
"2011","Bulgaria","Treatable mortality","Males","Total","Rate","248",""
"2011","Bulgaria","Treatable mortality","Females","Total","Number","5 662",""
"2011","Bulgaria","Treatable mortality","Females","Total","Rate","151.57",""
"2011","Czechia","Total","Total","Total","Number","34 356",""
"2011","Czechia","Total","Total","Total","Rate","373.46",""
"2011","Czechia","Total","Males","Total","Number","22 959",""
"2011","Czechia","Total","Males","Total","Rate","531.07",""
"2011","Czechia","Total","Females","Total","Number","11 397",""
"2011","Czechia","Total","Females","Total","Rate","235.29",""
"2011","Czechia","Preventable mortality","Total","Total","Number","20 972.5",""
"2011","Czechia","Preventable mortality","Total","Total","Rate","225.72",""
"2011","Czechia","Preventable mortality","Males","Total","Number","15 088",""
"2011","Czechia","Preventable mortality","Males","Total","Rate","344.03",""
"2011","Czechia","Preventable mortality","Females","Total","Number","5 884.5",""
"2011","Czechia","Preventable mortality","Females","Total","Rate","121.08",""
"2011","Czechia","Treatable mortality","Total","Total","Number","13 383.5",""
"2011","Czechia","Treatable mortality","Total","Total","Rate","147.74",""
"2011","Czechia","Treatable mortality","Males","Total","Number","7 871",""
"2011","Czechia","Treatable mortality","Males","Total","Rate","187.04",""
"2011","Czechia","Treatable mortality","Females","Total","Number","5 512.5",""
"2011","Czechia","Treatable mortality","Females","Total","Rate","114.21",""
"2011","Denmark","Total","Total","Total","Number","13 467",""
"2011","Denmark","Total","Total","Total","Rate","274.59",""
"2011","Denmark","Total","Males","Total","Number","8 166",""
"2011","Denmark","Total","Males","Total","Rate","338.76",""
"2011","Denmark","Total","Females","Total","Number","5 301",""
"2011","Denmark","Total","Females","Total","Rate","212.65",""
"2011","Denmark","Preventable mortality","Total","Total","Number","9 022",""
"2011","Denmark","Preventable mortality","Total","Total","Rate","183.37",""
"2011","Denmark","Preventable mortality","Males","Total","Number","5 868",""
"2011","Denmark","Preventable mortality","Males","Total","Rate","242.02",""
"2011","Denmark","Preventable mortality","Females","Total","Number","3 154",""
"2011","Denmark","Preventable mortality","Females","Total","Rate","126.47",""
"2011","Denmark","Treatable mortality","Total","Total","Number","4 445",""
"2011","Denmark","Treatable mortality","Total","Total","Rate","91.23",""
"2011","Denmark","Treatable mortality","Males","Total","Number","2 298",""
"2011","Denmark","Treatable mortality","Males","Total","Rate","96.74",""
"2011","Denmark","Treatable mortality","Females","Total","Number","2 147",""
"2011","Denmark","Treatable mortality","Females","Total","Rate","86.18",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Number","201 490",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rate","257.93",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Males","Total","Number","130 920",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Males","Total","Rate","347.65",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Females","Total","Number","70 570",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Females","Total","Rate","174.27",""
"2011","Germany (until 1990 former territory of the FRG)","Preventable mortality","Total","Total","Number","127 461",""
"2011","Germany (until 1990 former territory of the FRG)","Preventable mortality","Total","Total","Rate","163.45",""
"2011","Germany (until 1990 former territory of the FRG)","Preventable mortality","Males","Total","Number","89 805.5",""
"2011","Germany (until 1990 former territory of the FRG)","Preventable mortality","Males","Total","Rate","238.32",""
"2011","Germany (until 1990 former territory of the FRG)","Preventable mortality","Females","Total","Number","37 655.5",""
"2011","Germany (until 1990 former territory of the FRG)","Preventable mortality","Females","Total","Rate","93.29",""
"2011","Germany (until 1990 former territory of the FRG)","Treatable mortality","Total","Total","Number","74 029",""
"2011","Germany (until 1990 former territory of the FRG)","Treatable mortality","Total","Total","Rate","94.48",""
"2011","Germany (until 1990 former territory of the FRG)","Treatable mortality","Males","Total","Number","41 114.5",""
"2011","Germany (until 1990 former territory of the FRG)","Treatable mortality","Males","Total","Rate","109.32",""
"2011","Germany (until 1990 former territory of the FRG)","Treatable mortality","Females","Total","Number","32 914.5",""
"2011","Germany (until 1990 former territory of the FRG)","Treatable mortality","Females","Total","Rate","80.98",""
"2011","Estonia","Total","Total","Total","Number","5 425",""
"2011","Estonia","Total","Total","Total","Rate","462.64",""
"2011","Estonia","Total","Males","Total","Number","3 724",""
"2011","Estonia","Total","Males","Total","Rate","747.6",""
"2011","Estonia","Total","Females","Total","Number","1 701",""
"2011","Estonia","Total","Females","Total","Rate","250.46",""
"2011","Estonia","Preventable mortality","Total","Total","Number","3 555",""
"2011","Estonia","Preventable mortality","Total","Total","Rate","301.67",""
"2011","Estonia","Preventable mortality","Males","Total","Number","2 632",""
"2011","Estonia","Preventable mortality","Males","Total","Rate","518.56",""
"2011","Estonia","Preventable mortality","Females","Total","Number","923",""
"2011","Estonia","Preventable mortality","Females","Total","Rate","136.86",""
"2011","Estonia","Treatable mortality","Total","Total","Number","1 870",""
"2011","Estonia","Treatable mortality","Total","Total","Rate","160.97",""
"2011","Estonia","Treatable mortality","Males","Total","Number","1 092",""
"2011","Estonia","Treatable mortality","Males","Total","Rate","229.04",""
"2011","Estonia","Treatable mortality","Females","Total","Number","778",""
"2011","Estonia","Treatable mortality","Females","Total","Rate","113.6",""
"2011","Ireland","Total","Total","Total","Number","7 965",""
"2011","Ireland","Total","Total","Total","Rate","251.71",""
"2011","Ireland","Total","Males","Total","Number","5 042",""
"2011","Ireland","Total","Males","Total","Rate","319.7",""
"2011","Ireland","Total","Females","Total","Number","2 923",""
"2011","Ireland","Total","Females","Total","Rate","185.23",""
"2011","Ireland","Preventable mortality","Total","Total","Number","5 063.5",""
"2011","Ireland","Preventable mortality","Total","Total","Rate","157.72",""
"2011","Ireland","Preventable mortality","Males","Total","Number","3 475.5",""
"2011","Ireland","Preventable mortality","Males","Total","Rate","216.34",""
"2011","Ireland","Preventable mortality","Females","Total","Number","1 588",""
"2011","Ireland","Preventable mortality","Females","Total","Rate","100.31",""
"2011","Ireland","Treatable mortality","Total","Total","Number","2 901.5",""
"2011","Ireland","Treatable mortality","Total","Total","Rate","93.99",""
"2011","Ireland","Treatable mortality","Males","Total","Number","1 566.5",""
"2011","Ireland","Treatable mortality","Males","Total","Rate","103.37",""
"2011","Ireland","Treatable mortality","Females","Total","Number","1 335",""
"2011","Ireland","Treatable mortality","Females","Total","Rate","84.92",""
"2011","Greece","Total","Total","Total","Number","23 598",""
"2011","Greece","Total","Total","Total","Rate","242.84",""
"2011","Greece","Total","Males","Total","Number","16 474",""
"2011","Greece","Total","Males","Total","Rate","354.94",""
"2011","Greece","Total","Females","Total","Number","7 124",""
"2011","Greece","Total","Females","Total","Rate","140.08",""
"2011","Greece","Preventable mortality","Total","Total","Number","14 479.5",""
"2011","Greece","Preventable mortality","Total","Total","Rate","148.68",""
"2011","Greece","Preventable mortality","Males","Total","Number","11 143",""
"2011","Greece","Preventable mortality","Males","Total","Rate","239.19",""
"2011","Greece","Preventable mortality","Females","Total","Number","3 336.5",""
"2011","Greece","Preventable mortality","Females","Total","Rate","65.55",""
"2011","Greece","Treatable mortality","Total","Total","Number","9 118.5",""
"2011","Greece","Treatable mortality","Total","Total","Rate","94.15",""
"2011","Greece","Treatable mortality","Males","Total","Number","5 331",""
"2011","Greece","Treatable mortality","Males","Total","Rate","115.76",""
"2011","Greece","Treatable mortality","Females","Total","Number","3 787.5",""
"2011","Greece","Treatable mortality","Females","Total","Rate","74.53",""
"2011","Spain","Total","Total","Total","Number","75 150",""
"2011","Spain","Total","Total","Total","Rate","202.44",""
"2011","Spain","Total","Males","Total","Number","52 603",""
"2011","Spain","Total","Males","Total","Rate","295.82",""
"2011","Spain","Total","Females","Total","Number","22 547",""
"2011","Spain","Total","Females","Total","Rate","116.71",""
"2011","Spain","Preventable mortality","Total","Total","Number","47 858",""
"2011","Spain","Preventable mortality","Total","Total","Rate","128.2",""
"2011","Spain","Preventable mortality","Males","Total","Number","37 428",""
"2011","Spain","Preventable mortality","Males","Total","Rate","208.86",""
"2011","Spain","Preventable mortality","Females","Total","Number","10 430",""
"2011","Spain","Preventable mortality","Females","Total","Rate","53.75",""
"2011","Spain","Treatable mortality","Total","Total","Number","27 292",""
"2011","Spain","Treatable mortality","Total","Total","Rate","74.24",""
"2011","Spain","Treatable mortality","Males","Total","Number","15 175",""
"2011","Spain","Treatable mortality","Males","Total","Rate","86.96",""
"2011","Spain","Treatable mortality","Females","Total","Number","12 117",""
"2011","Spain","Treatable mortality","Females","Total","Rate","62.96",""
"2011","France","Total","Total","Total","Number","114 555",""
"2011","France","Total","Total","Total","Rate","214.83",""
"2011","France","Total","Males","Total","Number","77 581",""
"2011","France","Total","Males","Total","Rate","304.22",""
"2011","France","Total","Females","Total","Number","36 974",""
"2011","France","Total","Females","Total","Rate","133.21",""
"2011","France","Preventable mortality","Total","Total","Number","78 950.5",""
"2011","France","Preventable mortality","Total","Total","Rate","147.19",""
"2011","France","Preventable mortality","Males","Total","Number","59 276",""
"2011","France","Preventable mortality","Males","Total","Rate","230.85",""
"2011","France","Preventable mortality","Females","Total","Number","19 674.5",""
"2011","France","Preventable mortality","Females","Total","Rate","70.54",""
"2011","France","Treatable mortality","Total","Total","Number","35 604.5",""
"2011","France","Treatable mortality","Total","Total","Rate","67.64",""
"2011","France","Treatable mortality","Males","Total","Number","18 305",""
"2011","France","Treatable mortality","Males","Total","Rate","73.36",""
"2011","France","Treatable mortality","Females","Total","Number","17 299.5",""
"2011","France","Treatable mortality","Females","Total","Rate","62.67",""
"2011","Croatia","Total","Total","Total","Number","16 118",""
"2011","Croatia","Total","Total","Total","Rate","414.76",""
"2011","Croatia","Total","Males","Total","Number","10 743",""
"2011","Croatia","Total","Males","Total","Rate","601.7",""
"2011","Croatia","Total","Females","Total","Number","5 375",""
"2011","Croatia","Total","Females","Total","Rate","255.29",""
"2011","Croatia","Preventable mortality","Total","Total","Number","10 144.5",""
"2011","Croatia","Preventable mortality","Total","Total","Rate","260.04",""
"2011","Croatia","Preventable mortality","Males","Total","Number","7 363.5",""
"2011","Croatia","Preventable mortality","Males","Total","Rate","409.37",""
"2011","Croatia","Preventable mortality","Females","Total","Number","2 781",""
"2011","Croatia","Preventable mortality","Females","Total","Rate","131.81",""
"2011","Croatia","Treatable mortality","Total","Total","Number","5 973.5",""
"2011","Croatia","Treatable mortality","Total","Total","Rate","154.72",""
"2011","Croatia","Treatable mortality","Males","Total","Number","3 379.5",""
"2011","Croatia","Treatable mortality","Males","Total","Rate","192.33",""
"2011","Croatia","Treatable mortality","Females","Total","Number","2 594",""
"2011","Croatia","Treatable mortality","Females","Total","Rate","123.47",""
"2011","Italy","Total","Total","Total","Number","109 290",""
"2011","Italy","Total","Total","Total","Rate","200.23",""
"2011","Italy","Total","Males","Total","Number","70 599",""
"2011","Italy","Total","Males","Total","Rate","272.18",""
"2011","Italy","Total","Females","Total","Number","38 691",""
"2011","Italy","Total","Females","Total","Rate","135.1",""
"2011","Italy","Preventable mortality","Total","Total","Number","68 165.5",""
"2011","Italy","Preventable mortality","Total","Total","Rate","124.8",""
"2011","Italy","Preventable mortality","Males","Total","Number","49 362.5",""
"2011","Italy","Preventable mortality","Males","Total","Rate","189.96",""
"2011","Italy","Preventable mortality","Females","Total","Number","18 803",""
"2011","Italy","Preventable mortality","Females","Total","Rate","65.56",""
"2011","Italy","Treatable mortality","Total","Total","Number","41 124.5",""
"2011","Italy","Treatable mortality","Total","Total","Rate","75.43",""
"2011","Italy","Treatable mortality","Males","Total","Number","21 236.5",""
"2011","Italy","Treatable mortality","Males","Total","Rate","82.23",""
"2011","Italy","Treatable mortality","Females","Total","Number","19 888",""
"2011","Italy","Treatable mortality","Females","Total","Rate","69.54",""
"2011","Cyprus","Total","Total","Total","Number","1 192",""
"2011","Cyprus","Total","Total","Total","Rate","187.9",""
"2011","Cyprus","Total","Males","Total","Number","777",""
"2011","Cyprus","Total","Males","Total","Rate","251.9",""
"2011","Cyprus","Total","Females","Total","Number","415",""
"2011","Cyprus","Total","Females","Total","Rate","128.19",""
"2011","Cyprus","Preventable mortality","Total","Total","Number","701",""
"2011","Cyprus","Preventable mortality","Total","Total","Rate","108.76",""
"2011","Cyprus","Preventable mortality","Males","Total","Number","514",""
"2011","Cyprus","Preventable mortality","Males","Total","Rate","163.84",""
"2011","Cyprus","Preventable mortality","Females","Total","Number","187",""
"2011","Cyprus","Preventable mortality","Females","Total","Rate","57.31",""
"2011","Cyprus","Treatable mortality","Total","Total","Number","491",""
"2011","Cyprus","Treatable mortality","Total","Total","Rate","79.15",""
"2011","Cyprus","Treatable mortality","Males","Total","Number","263",""
"2011","Cyprus","Treatable mortality","Males","Total","Rate","88.06",""
"2011","Cyprus","Treatable mortality","Females","Total","Number","228",""
"2011","Cyprus","Treatable mortality","Females","Total","Rate","70.88",""
"2011","Latvia","Total","Total","Total","Number","11 371",""
"2011","Latvia","Total","Total","Total","Rate","606.08",""
"2011","Latvia","Total","Males","Total","Number","7 450",""
"2011","Latvia","Total","Males","Total","Rate","963.33",""
"2011","Latvia","Total","Females","Total","Number","3 921",""
"2011","Latvia","Total","Females","Total","Rate","353.29",""
"2011","Latvia","Preventable mortality","Total","Total","Number","6 951",""
"2011","Latvia","Preventable mortality","Total","Total","Rate","369.91",""
"2011","Latvia","Preventable mortality","Males","Total","Number","4 940.5",""
"2011","Latvia","Preventable mortality","Males","Total","Rate","630.02",""
"2011","Latvia","Preventable mortality","Females","Total","Number","2 010.5",""
"2011","Latvia","Preventable mortality","Females","Total","Rate","182.03",""
"2011","Latvia","Treatable mortality","Total","Total","Number","4 420",""
"2011","Latvia","Treatable mortality","Total","Total","Rate","236.17",""
"2011","Latvia","Treatable mortality","Males","Total","Number","2 509.5",""
"2011","Latvia","Treatable mortality","Males","Total","Rate","333.31",""
"2011","Latvia","Treatable mortality","Females","Total","Number","1 910.5",""
"2011","Latvia","Treatable mortality","Females","Total","Rate","171.26",""
"2011","Lithuania","Total","Total","Total","Number","15 927",""
"2011","Lithuania","Total","Total","Total","Rate","602.34",""
"2011","Lithuania","Total","Males","Total","Number","10 918",""
"2011","Lithuania","Total","Males","Total","Rate","977.25",""
"2011","Lithuania","Total","Females","Total","Number","5 009",""
"2011","Lithuania","Total","Females","Total","Rate","327.17",""
"2011","Lithuania","Preventable mortality","Total","Total","Number","10 133",""
"2011","Lithuania","Preventable mortality","Total","Total","Rate","380.89",""
"2011","Lithuania","Preventable mortality","Males","Total","Number","7 497.5",""
"2011","Lithuania","Preventable mortality","Males","Total","Rate","660.16",""
"2011","Lithuania","Preventable mortality","Females","Total","Number","2 635.5",""
"2011","Lithuania","Preventable mortality","Females","Total","Rate","172.85",""
"2011","Lithuania","Treatable mortality","Total","Total","Number","5 794",""
"2011","Lithuania","Treatable mortality","Total","Total","Rate","221.45",""
"2011","Lithuania","Treatable mortality","Males","Total","Number","3 420.5",""
"2011","Lithuania","Treatable mortality","Males","Total","Rate","317.09",""
"2011","Lithuania","Treatable mortality","Females","Total","Number","2 373.5",""
"2011","Lithuania","Treatable mortality","Females","Total","Rate","154.33",""
"2011","Luxembourg","Total","Total","Total","Number","917",""
"2011","Luxembourg","Total","Total","Total","Rate","233.01",""
"2011","Luxembourg","Total","Males","Total","Number","582",""
"2011","Luxembourg","Total","Males","Total","Rate","300.43",""
"2011","Luxembourg","Total","Females","Total","Number","335",""
"2011","Luxembourg","Total","Females","Total","Rate","168.75",""
"2011","Luxembourg","Preventable mortality","Total","Total","Number","598",""
"2011","Luxembourg","Preventable mortality","Total","Total","Rate","150",""
"2011","Luxembourg","Preventable mortality","Males","Total","Number","412.5",""
"2011","Luxembourg","Preventable mortality","Males","Total","Rate","208.56",""
"2011","Luxembourg","Preventable mortality","Females","Total","Number","185.5",""
"2011","Luxembourg","Preventable mortality","Females","Total","Rate","93.02",""
"2011","Luxembourg","Treatable mortality","Total","Total","Number","319",""
"2011","Luxembourg","Treatable mortality","Total","Total","Rate","83.01",""
"2011","Luxembourg","Treatable mortality","Males","Total","Number","169.5",""
"2011","Luxembourg","Treatable mortality","Males","Total","Rate","91.87",""
"2011","Luxembourg","Treatable mortality","Females","Total","Number","149.5",""
"2011","Luxembourg","Treatable mortality","Females","Total","Rate","75.73",""
"2011","Hungary","Total","Total","Total","Number","49 068",""
"2011","Hungary","Total","Total","Total","Rate","556.06",""
"2011","Hungary","Total","Males","Total","Number","31 638",""
"2011","Hungary","Total","Males","Total","Rate","815.66",""
"2011","Hungary","Total","Females","Total","Number","17 430",""
"2011","Hungary","Total","Females","Total","Rate","353.77",""
"2011","Hungary","Preventable mortality","Total","Total","Number","31 885",""
"2011","Hungary","Preventable mortality","Total","Total","Rate","358.54",""
"2011","Hungary","Preventable mortality","Males","Total","Number","21 921",""
"2011","Hungary","Preventable mortality","Males","Total","Rate","557.7",""
"2011","Hungary","Preventable mortality","Females","Total","Number","9 964",""
"2011","Hungary","Preventable mortality","Females","Total","Rate","201.43",""
"2011","Hungary","Treatable mortality","Total","Total","Number","17 183",""
"2011","Hungary","Treatable mortality","Total","Total","Rate","197.53",""
"2011","Hungary","Treatable mortality","Males","Total","Number","9 717",""
"2011","Hungary","Treatable mortality","Males","Total","Rate","257.96",""
"2011","Hungary","Treatable mortality","Females","Total","Number","7 466",""
"2011","Hungary","Treatable mortality","Females","Total","Rate","152.34",""
"2011","Malta","Total","Total","Total","Number","886",""
"2011","Malta","Total","Total","Total","Rate","240.98",""
"2011","Malta","Total","Males","Total","Number","580",""
"2011","Malta","Total","Males","Total","Rate","329.06",""
"2011","Malta","Total","Females","Total","Number","306",""
"2011","Malta","Total","Females","Total","Rate","160.38",""
"2011","Malta","Preventable mortality","Total","Total","Number","496",""
"2011","Malta","Preventable mortality","Total","Total","Rate","133.54",""
"2011","Malta","Preventable mortality","Males","Total","Number","372",""
"2011","Malta","Preventable mortality","Males","Total","Rate","207.7",""
"2011","Malta","Preventable mortality","Females","Total","Number","124",""
"2011","Malta","Preventable mortality","Females","Total","Rate","64.72",""
"2011","Malta","Treatable mortality","Total","Total","Number","390",""
"2011","Malta","Treatable mortality","Total","Total","Rate","107.44",""
"2011","Malta","Treatable mortality","Males","Total","Number","208",""
"2011","Malta","Treatable mortality","Males","Total","Rate","121.36",""
"2011","Malta","Treatable mortality","Females","Total","Number","182",""
"2011","Malta","Treatable mortality","Females","Total","Rate","95.66",""
"2011","Netherlands","Total","Total","Total","Number","31 271",""
"2011","Netherlands","Total","Total","Total","Rate","220.45",""
"2011","Netherlands","Total","Males","Total","Number","18 256",""
"2011","Netherlands","Total","Males","Total","Rate","262.72",""
"2011","Netherlands","Total","Females","Total","Number","13 015",""
"2011","Netherlands","Total","Females","Total","Rate","179.99",""
"2011","Netherlands","Preventable mortality","Total","Total","Number","20 079",""
"2011","Netherlands","Preventable mortality","Total","Total","Rate","141.37",""
"2011","Netherlands","Preventable mortality","Males","Total","Number","12 797.5",""
"2011","Netherlands","Preventable mortality","Males","Total","Rate","183.49",""
"2011","Netherlands","Preventable mortality","Females","Total","Number","7 281.5",""
"2011","Netherlands","Preventable mortality","Females","Total","Rate","100.74",""
"2011","Netherlands","Treatable mortality","Total","Total","Number","11 192",""
"2011","Netherlands","Treatable mortality","Total","Total","Rate","79.08",""
"2011","Netherlands","Treatable mortality","Males","Total","Number","5 458.5",""
"2011","Netherlands","Treatable mortality","Males","Total","Rate","79.22",""
"2011","Netherlands","Treatable mortality","Females","Total","Number","5 733.5",""
"2011","Netherlands","Treatable mortality","Females","Total","Rate","79.25",""
"2011","Austria","Total","Total","Total","Number","18 435",""
"2011","Austria","Total","Total","Total","Rate","250.05",""
"2011","Austria","Total","Males","Total","Number","12 181",""
"2011","Austria","Total","Males","Total","Rate","345.36",""
"2011","Austria","Total","Females","Total","Number","6 254",""
"2011","Austria","Total","Females","Total","Rate","162.69",""
"2011","Austria","Preventable mortality","Total","Total","Number","12 494.5",""
"2011","Austria","Preventable mortality","Total","Total","Rate","168.77",""
"2011","Austria","Preventable mortality","Males","Total","Number","8 828.5",""
"2011","Austria","Preventable mortality","Males","Total","Rate","248.5",""
"2011","Austria","Preventable mortality","Females","Total","Number","3 666",""
"2011","Austria","Preventable mortality","Females","Total","Rate","95.29",""
"2011","Austria","Treatable mortality","Total","Total","Number","5 940.5",""
"2011","Austria","Treatable mortality","Total","Total","Rate","81.28",""
"2011","Austria","Treatable mortality","Males","Total","Number","3 352.5",""
"2011","Austria","Treatable mortality","Males","Total","Rate","96.86",""
"2011","Austria","Treatable mortality","Females","Total","Number","2 588",""
"2011","Austria","Treatable mortality","Females","Total","Rate","67.41",""
"2011","Poland","Total","Total","Total","Number","121 819",""
"2011","Poland","Total","Total","Total","Rate","395.4",""
"2011","Poland","Total","Males","Total","Number","83 297",""
"2011","Poland","Total","Males","Total","Rate","589",""
"2011","Poland","Total","Females","Total","Number","38 522",""
"2011","Poland","Total","Females","Total","Rate","233.91",""
"2011","Poland","Preventable mortality","Total","Total","Number","77 175.5",""
"2011","Poland","Preventable mortality","Total","Total","Rate","246.29",""
"2011","Poland","Preventable mortality","Males","Total","Number","57 292",""
"2011","Poland","Preventable mortality","Males","Total","Rate","396.56",""
"2011","Poland","Preventable mortality","Females","Total","Number","19 883.5",""
"2011","Poland","Preventable mortality","Females","Total","Rate","119.63",""
"2011","Poland","Treatable mortality","Total","Total","Number","44 643.5",""
"2011","Poland","Treatable mortality","Total","Total","Rate","149.1",""
"2011","Poland","Treatable mortality","Males","Total","Number","26 005",""
"2011","Poland","Treatable mortality","Males","Total","Rate","192.44",""
"2011","Poland","Treatable mortality","Females","Total","Number","18 638.5",""
"2011","Poland","Treatable mortality","Females","Total","Rate","114.28",""
"2011","Portugal","Total","Total","Total","Number","22 711",""
"2011","Portugal","Total","Total","Total","Rate","244.04",""
"2011","Portugal","Total","Males","Total","Number","15 188",""
"2011","Portugal","Total","Males","Total","Rate","352.07",""
"2011","Portugal","Total","Females","Total","Number","7 523",""
"2011","Portugal","Total","Females","Total","Rate","150.69",""
"2011","Portugal","Preventable mortality","Total","Total","Number","13 968.5",""
"2011","Portugal","Preventable mortality","Total","Total","Rate","149.25",""
"2011","Portugal","Preventable mortality","Males","Total","Number","10 463.5",""
"2011","Portugal","Preventable mortality","Males","Total","Rate","240.39",""
"2011","Portugal","Preventable mortality","Females","Total","Number","3 505",""
"2011","Portugal","Preventable mortality","Females","Total","Rate","70.03",""
"2011","Portugal","Treatable mortality","Total","Total","Number","8 742.5",""
"2011","Portugal","Treatable mortality","Total","Total","Rate","94.78",""
