"TIME","GEO","OWNER","UNIT","Value","Value_imp"
2010,"Spain","Not-for-profit private ownership","Per hundred thousand inhabitants",40.89,FALSE
2010,"Spain","For-profit private ownership","Number",26371,FALSE
2010,"Spain","For-profit private ownership","Inhabitants per ...",1766.22,FALSE
2010,"Spain","For-profit private ownership","Per hundred thousand inhabitants",56.62,FALSE
2010,"France","Public ownership","Number",260642,FALSE
2010,"France","Public ownership","Inhabitants per ...",248.69,FALSE
2010,"France","Public ownership","Per hundred thousand inhabitants",402.11,FALSE
2010,"France","Not-for-profit private ownership","Number",58818,FALSE
2010,"France","Not-for-profit private ownership","Inhabitants per ...",1102.02,FALSE
2010,"France","Not-for-profit private ownership","Per hundred thousand inhabitants",90.74,FALSE
2010,"France","For-profit private ownership","Number",97250,FALSE
2010,"France","For-profit private ownership","Inhabitants per ...",666.52,FALSE
2010,"France","For-profit private ownership","Per hundred thousand inhabitants",150.03,FALSE
2010,"Croatia","Public ownership","Number",24702,FALSE
2010,"Croatia","Public ownership","Inhabitants per ...",173.93,FALSE
2010,"Croatia","Public ownership","Per hundred thousand inhabitants",574.95,FALSE
2010,"Croatia","Not-for-profit private ownership","Number",0,FALSE
2010,"Croatia","Not-for-profit private ownership","Inhabitants per ...",30257.59,TRUE
2010,"Croatia","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2010,"Croatia","For-profit private ownership","Number",129,FALSE
2010,"Croatia","For-profit private ownership","Inhabitants per ...",33305.05,FALSE
2010,"Croatia","For-profit private ownership","Per hundred thousand inhabitants",3,FALSE
2010,"Italy","Public ownership","Number",147780,FALSE
2010,"Italy","Public ownership","Inhabitants per ...",401.12,FALSE
2010,"Italy","Public ownership","Per hundred thousand inhabitants",249.3,FALSE
2010,"Italy","Not-for-profit private ownership","Number",7813,FALSE
2010,"Italy","Not-for-profit private ownership","Inhabitants per ...",7587.02,FALSE
2010,"Italy","Not-for-profit private ownership","Per hundred thousand inhabitants",13.18,FALSE
2010,"Italy","For-profit private ownership","Number",60387,FALSE
2010,"Italy","For-profit private ownership","Inhabitants per ...",981.63,FALSE
2010,"Italy","For-profit private ownership","Per hundred thousand inhabitants",101.87,FALSE
2010,"Cyprus","Public ownership","Number",1514,FALSE
2010,"Cyprus","Public ownership","Inhabitants per ...",547.85,FALSE
2010,"Cyprus","Public ownership","Per hundred thousand inhabitants",182.53,FALSE
2010,"Cyprus","Not-for-profit private ownership","Number",0,FALSE
2010,"Cyprus","Not-for-profit private ownership","Inhabitants per ...",11854.02,TRUE
2010,"Cyprus","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2010,"Cyprus","For-profit private ownership","Number",1444,FALSE
2010,"Cyprus","For-profit private ownership","Inhabitants per ...",574.41,FALSE
2010,"Cyprus","For-profit private ownership","Per hundred thousand inhabitants",174.09,FALSE
2010,"Latvia","Public ownership","Number",11154,FALSE
2010,"Latvia","Public ownership","Inhabitants per ...",188.05,FALSE
2010,"Latvia","Public ownership","Per hundred thousand inhabitants",531.76,FALSE
2010,"Latvia","Not-for-profit private ownership","Number",0,FALSE
2010,"Latvia","Not-for-profit private ownership","Inhabitants per ...",11854.02,TRUE
2010,"Latvia","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2010,"Latvia","For-profit private ownership","Number",766,FALSE
2010,"Latvia","For-profit private ownership","Inhabitants per ...",2738.32,FALSE
2010,"Latvia","For-profit private ownership","Per hundred thousand inhabitants",36.52,FALSE
2010,"Lithuania","Public ownership","Number",22015,FALSE
2010,"Lithuania","Public ownership","Inhabitants per ...",140.69,FALSE
2010,"Lithuania","Public ownership","Per hundred thousand inhabitants",710.78,FALSE
2010,"Lithuania","Not-for-profit private ownership","Number",0,FALSE
2010,"Lithuania","Not-for-profit private ownership","Inhabitants per ...",11854.02,TRUE
2010,"Lithuania","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2010,"Lithuania","For-profit private ownership","Number",175,FALSE
2010,"Lithuania","For-profit private ownership","Inhabitants per ...",17698.75,FALSE
2010,"Lithuania","For-profit private ownership","Per hundred thousand inhabitants",5.65,FALSE
2010,"Hungary","Public ownership","Number",69552,FALSE
2010,"Hungary","Public ownership","Inhabitants per ...",143.78,FALSE
2010,"Hungary","Public ownership","Per hundred thousand inhabitants",695.52,FALSE
2010,"Hungary","Not-for-profit private ownership","Number",2085,FALSE
2010,"Hungary","Not-for-profit private ownership","Inhabitants per ...",4796.17,FALSE
2010,"Hungary","Not-for-profit private ownership","Per hundred thousand inhabitants",20.85,FALSE
2010,"Hungary","For-profit private ownership","Number",181,FALSE
2010,"Hungary","For-profit private ownership","Inhabitants per ...",55248.75,FALSE
2010,"Hungary","For-profit private ownership","Per hundred thousand inhabitants",1.81,FALSE
2010,"Malta","Public ownership","Number",1710,FALSE
2010,"Malta","Public ownership","Inhabitants per ...",242.4,FALSE
2010,"Malta","Public ownership","Per hundred thousand inhabitants",412.54,FALSE
2010,"Malta","Not-for-profit private ownership","Number",0,FALSE
2010,"Malta","Not-for-profit private ownership","Inhabitants per ...",11854.02,TRUE
2010,"Malta","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2010,"Malta","For-profit private ownership","Number",164,FALSE
2010,"Malta","For-profit private ownership","Inhabitants per ...",2527.49,FALSE
2010,"Malta","For-profit private ownership","Per hundred thousand inhabitants",39.56,FALSE
2010,"Netherlands","Public ownership","Number",43112,TRUE
2010,"Netherlands","Public ownership","Inhabitants per ...",171.54,TRUE
2010,"Netherlands","Public ownership","Per hundred thousand inhabitants",582.94,TRUE
2010,"Netherlands","Not-for-profit private ownership","Number",69793,FALSE
2010,"Netherlands","Not-for-profit private ownership","Inhabitants per ...",238.07,FALSE
2010,"Netherlands","Not-for-profit private ownership","Per hundred thousand inhabitants",420.05,FALSE
2010,"Netherlands","For-profit private ownership","Number",5822,TRUE
2010,"Netherlands","For-profit private ownership","Inhabitants per ...",1270.28,TRUE
2010,"Netherlands","For-profit private ownership","Per hundred thousand inhabitants",78.72,TRUE
2010,"Austria","Public ownership","Number",45367,FALSE
2010,"Austria","Public ownership","Inhabitants per ...",184.35,FALSE
2010,"Austria","Public ownership","Per hundred thousand inhabitants",542.45,FALSE
2010,"Austria","Not-for-profit private ownership","Number",11519,FALSE
2010,"Austria","Not-for-profit private ownership","Inhabitants per ...",726.05,FALSE
2010,"Austria","Not-for-profit private ownership","Per hundred thousand inhabitants",137.73,FALSE
2010,"Austria","For-profit private ownership","Number",7122,FALSE
2010,"Austria","For-profit private ownership","Inhabitants per ...",1174.31,FALSE
2010,"Austria","For-profit private ownership","Per hundred thousand inhabitants",85.16,FALSE
2010,"Poland","Public ownership","Number",190175,FALSE
2010,"Poland","Public ownership","Inhabitants per ...",200.04,FALSE
2010,"Poland","Public ownership","Per hundred thousand inhabitants",499.9,FALSE
2010,"Poland","Not-for-profit private ownership","Number",0,FALSE
2010,"Poland","Not-for-profit private ownership","Inhabitants per ...",9592.02,TRUE
2010,"Poland","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2010,"Poland","For-profit private ownership","Number",61281,FALSE
2010,"Poland","For-profit private ownership","Inhabitants per ...",620.79,FALSE
2010,"Poland","For-profit private ownership","Per hundred thousand inhabitants",161.08,FALSE
2010,"Portugal","Public ownership","Number",26048,FALSE
2010,"Portugal","Public ownership","Inhabitants per ...",405.91,FALSE
2010,"Portugal","Public ownership","Per hundred thousand inhabitants",246.36,FALSE
2010,"Portugal","Not-for-profit private ownership","Number",6533,FALSE
2010,"Portugal","Not-for-profit private ownership","Inhabitants per ...",1618.41,FALSE
2010,"Portugal","Not-for-profit private ownership","Per hundred thousand inhabitants",61.79,FALSE
2010,"Portugal","For-profit private ownership","Number",3065,FALSE
2010,"Portugal","For-profit private ownership","Inhabitants per ...",3449.62,FALSE
2010,"Portugal","For-profit private ownership","Per hundred thousand inhabitants",28.99,FALSE
2010,"Romania","Public ownership","Number",131759,FALSE
2010,"Romania","Public ownership","Inhabitants per ...",162.71,FALSE
2010,"Romania","Public ownership","Per hundred thousand inhabitants",614.6,FALSE
2010,"Romania","Not-for-profit private ownership","Number",210,FALSE
2010,"Romania","Not-for-profit private ownership","Inhabitants per ...",102085.72,FALSE
2010,"Romania","Not-for-profit private ownership","Per hundred thousand inhabitants",0.98,FALSE
2010,"Romania","For-profit private ownership","Number",2767,FALSE
2010,"Romania","For-profit private ownership","Inhabitants per ...",7747.74,FALSE
2010,"Romania","For-profit private ownership","Per hundred thousand inhabitants",12.91,FALSE
2010,"Slovenia","Public ownership","Number",9265,FALSE
2010,"Slovenia","Public ownership","Inhabitants per ...",221.11,FALSE
2010,"Slovenia","Public ownership","Per hundred thousand inhabitants",452.26,FALSE
2010,"Slovenia","Not-for-profit private ownership","Number",0,FALSE
2010,"Slovenia","Not-for-profit private ownership","Inhabitants per ...",11854.02,TRUE
2010,"Slovenia","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2010,"Slovenia","For-profit private ownership","Number",102,FALSE
2010,"Slovenia","For-profit private ownership","Inhabitants per ...",20084.14,FALSE
2010,"Slovenia","For-profit private ownership","Per hundred thousand inhabitants",4.98,FALSE
2010,"Finland","Public ownership","Number",30024,FALSE
2010,"Finland","Public ownership","Inhabitants per ...",178.64,FALSE
2010,"Finland","Public ownership","Per hundred thousand inhabitants",559.8,FALSE
2010,"Finland","Not-for-profit private ownership","Number",311,TRUE
2010,"Finland","Not-for-profit private ownership","Inhabitants per ...",11854.02,TRUE
2010,"Finland","Not-for-profit private ownership","Per hundred thousand inhabitants",2.97,TRUE
2010,"Finland","For-profit private ownership","Number",1372,FALSE
2010,"Finland","For-profit private ownership","Inhabitants per ...",3909.15,FALSE
2010,"Finland","For-profit private ownership","Per hundred thousand inhabitants",25.58,FALSE
2010,"Iceland","Public ownership","Number",1140,FALSE
2010,"Iceland","Public ownership","Inhabitants per ...",278.98,FALSE
2010,"Iceland","Public ownership","Per hundred thousand inhabitants",358.44,FALSE
2010,"Iceland","Not-for-profit private ownership","Number",0,FALSE
2010,"Iceland","Not-for-profit private ownership","Inhabitants per ...",11854.02,TRUE
2010,"Iceland","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2010,"Iceland","For-profit private ownership","Number",0,FALSE
2010,"Iceland","For-profit private ownership","Inhabitants per ...",1270.28,TRUE
2010,"Iceland","For-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2010,"Liechtenstein","Public ownership","Number",74,FALSE
2010,"Liechtenstein","Public ownership","Inhabitants per ...",486.78,FALSE
2010,"Liechtenstein","Public ownership","Per hundred thousand inhabitants",205.43,FALSE
2010,"Liechtenstein","Not-for-profit private ownership","Number",0,FALSE
2010,"Liechtenstein","Not-for-profit private ownership","Inhabitants per ...",11854.02,TRUE
2010,"Liechtenstein","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2010,"Liechtenstein","For-profit private ownership","Number",4,FALSE
2010,"Liechtenstein","For-profit private ownership","Inhabitants per ...",9005.38,FALSE
2010,"Liechtenstein","For-profit private ownership","Per hundred thousand inhabitants",11.1,FALSE
2010,"Norway","Public ownership","Number",16185,FALSE
2010,"Norway","Public ownership","Inhabitants per ...",302.09,FALSE
2010,"Norway","Public ownership","Per hundred thousand inhabitants",331.03,FALSE
2010,"Norway","Not-for-profit private ownership","Number",311,TRUE
2010,"Norway","Not-for-profit private ownership","Inhabitants per ...",11854.02,TRUE
2010,"Norway","Not-for-profit private ownership","Per hundred thousand inhabitants",2.97,TRUE
2010,"Norway","For-profit private ownership","Number",5822,TRUE
2010,"Norway","For-profit private ownership","Inhabitants per ...",1270.28,TRUE
2010,"Norway","For-profit private ownership","Per hundred thousand inhabitants",78.72,TRUE
2010,"United Kingdom","Public ownership","Number",183831,FALSE
2010,"United Kingdom","Public ownership","Inhabitants per ...",341.44,FALSE
2010,"United Kingdom","Public ownership","Per hundred thousand inhabitants",292.88,FALSE
2010,"United Kingdom","Not-for-profit private ownership","Number",311,TRUE
2010,"United Kingdom","Not-for-profit private ownership","Inhabitants per ...",11854.02,TRUE
2010,"United Kingdom","Not-for-profit private ownership","Per hundred thousand inhabitants",2.97,TRUE
2010,"United Kingdom","For-profit private ownership","Number",5822,TRUE
2010,"United Kingdom","For-profit private ownership","Inhabitants per ...",1270.28,TRUE
2010,"United Kingdom","For-profit private ownership","Per hundred thousand inhabitants",78.72,TRUE
2010,"Montenegro","Public ownership","Number",2466,FALSE
2010,"Montenegro","Public ownership","Inhabitants per ...",251.19,FALSE
2010,"Montenegro","Public ownership","Per hundred thousand inhabitants",398.11,FALSE
2010,"Montenegro","Not-for-profit private ownership","Number",0,FALSE
2010,"Montenegro","Not-for-profit private ownership","Inhabitants per ...",11854.02,TRUE
2010,"Montenegro","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2010,"Montenegro","For-profit private ownership","Number",5822,TRUE
2010,"Montenegro","For-profit private ownership","Inhabitants per ...",1270.28,TRUE
2010,"Montenegro","For-profit private ownership","Per hundred thousand inhabitants",78.72,TRUE
2010,"North Macedonia","Public ownership","Number",9237,FALSE
2010,"North Macedonia","Public ownership","Inhabitants per ...",222.48,FALSE
2010,"North Macedonia","Public ownership","Per hundred thousand inhabitants",449.49,FALSE
2010,"North Macedonia","Not-for-profit private ownership","Number",0,FALSE
2010,"North Macedonia","Not-for-profit private ownership","Inhabitants per ...",11854.02,TRUE
2010,"North Macedonia","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2010,"North Macedonia","For-profit private ownership","Number",197,FALSE
2010,"North Macedonia","For-profit private ownership","Inhabitants per ...",10431.49,FALSE
2010,"North Macedonia","For-profit private ownership","Per hundred thousand inhabitants",9.59,FALSE
2010,"Serbia","Public ownership","Number",39299,FALSE
2010,"Serbia","Public ownership","Inhabitants per ...",185.22,FALSE
2010,"Serbia","Public ownership","Per hundred thousand inhabitants",539.89,FALSE
2010,"Serbia","Not-for-profit private ownership","Number",0,FALSE
2010,"Serbia","Not-for-profit private ownership","Inhabitants per ...",11854.02,TRUE
2010,"Serbia","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2010,"Serbia","For-profit private ownership","Number",5822,TRUE
2010,"Serbia","For-profit private ownership","Inhabitants per ...",1270.28,TRUE
2010,"Serbia","For-profit private ownership","Per hundred thousand inhabitants",78.72,TRUE
2010,"Turkey","Public ownership","Number",168661,FALSE
2010,"Turkey","Public ownership","Inhabitants per ...",433.66,FALSE
2010,"Turkey","Public ownership","Per hundred thousand inhabitants",230.59,FALSE
2010,"Turkey","Not-for-profit private ownership","Number",0,FALSE
2010,"Turkey","Not-for-profit private ownership","Inhabitants per ...",11854.02,TRUE
2010,"Turkey","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2010,"Turkey","For-profit private ownership","Number",31578,FALSE
2010,"Turkey","For-profit private ownership","Inhabitants per ...",2316.24,FALSE
2010,"Turkey","For-profit private ownership","Per hundred thousand inhabitants",43.17,FALSE
2011,"Belgium","Public ownership","Number",18136,FALSE
2011,"Belgium","Public ownership","Inhabitants per ...",608.64,FALSE
2011,"Belgium","Public ownership","Per hundred thousand inhabitants",164.3,FALSE
2011,"Belgium","Not-for-profit private ownership","Number",48649,FALSE
2011,"Belgium","Not-for-profit private ownership","Inhabitants per ...",226.9,FALSE
2011,"Belgium","Not-for-profit private ownership","Per hundred thousand inhabitants",440.73,FALSE
2011,"Belgium","For-profit private ownership","Number",18136,TRUE
2011,"Belgium","For-profit private ownership","Inhabitants per ...",608.64,TRUE
2011,"Belgium","For-profit private ownership","Per hundred thousand inhabitants",164.3,TRUE
2011,"Bulgaria","Public ownership","Number",41128,FALSE
2011,"Bulgaria","Public ownership","Inhabitants per ...",178.67,FALSE
2011,"Bulgaria","Public ownership","Per hundred thousand inhabitants",559.69,FALSE
2011,"Bulgaria","Not-for-profit private ownership","Number",0,FALSE
2011,"Bulgaria","Not-for-profit private ownership","Inhabitants per ...",178.67,TRUE
2011,"Bulgaria","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2011,"Bulgaria","For-profit private ownership","Number",6263,FALSE
2011,"Bulgaria","For-profit private ownership","Inhabitants per ...",1173.29,FALSE
2011,"Bulgaria","For-profit private ownership","Per hundred thousand inhabitants",85.23,FALSE
2011,"Czechia","Public ownership","Number",63354,FALSE
2011,"Czechia","Public ownership","Inhabitants per ...",165.67,FALSE
2011,"Czechia","Public ownership","Per hundred thousand inhabitants",603.6,FALSE
2011,"Czechia","Not-for-profit private ownership","Number",254,FALSE
2011,"Czechia","Not-for-profit private ownership","Inhabitants per ...",41323.18,FALSE
2011,"Czechia","Not-for-profit private ownership","Per hundred thousand inhabitants",2.42,FALSE
2011,"Czechia","For-profit private ownership","Number",10528,FALSE
2011,"Czechia","For-profit private ownership","Inhabitants per ...",996.97,FALSE
2011,"Czechia","For-profit private ownership","Per hundred thousand inhabitants",100.3,FALSE
2011,"Denmark","Public ownership","Number",16384,FALSE
2011,"Denmark","Public ownership","Inhabitants per ...",340,FALSE
2011,"Denmark","Public ownership","Per hundred thousand inhabitants",294.12,FALSE
2011,"Denmark","Not-for-profit private ownership","Number",558,FALSE
2011,"Denmark","Not-for-profit private ownership","Inhabitants per ...",9983.1,FALSE
2011,"Denmark","Not-for-profit private ownership","Per hundred thousand inhabitants",10.02,FALSE
2011,"Denmark","For-profit private ownership","Number",491,FALSE
2011,"Denmark","For-profit private ownership","Inhabitants per ...",11345.36,FALSE
2011,"Denmark","For-profit private ownership","Per hundred thousand inhabitants",8.81,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Public ownership","Number",273382,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Public ownership","Inhabitants per ...",293.64,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Public ownership","Per hundred thousand inhabitants",340.56,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Number",198911,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Inhabitants per ...",403.57,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Per hundred thousand inhabitants",247.79,FALSE
2011,"Germany (until 1990 former territory of the FRG)","For-profit private ownership","Number",200280,FALSE
2011,"Germany (until 1990 former territory of the FRG)","For-profit private ownership","Inhabitants per ...",400.81,FALSE
2011,"Germany (until 1990 former territory of the FRG)","For-profit private ownership","Per hundred thousand inhabitants",249.49,FALSE
2011,"Estonia","Public ownership","Number",6355,FALSE
2011,"Estonia","Public ownership","Inhabitants per ...",208.88,FALSE
2011,"Estonia","Public ownership","Per hundred thousand inhabitants",478.74,FALSE
2011,"Estonia","Not-for-profit private ownership","Number",406,FALSE
2011,"Estonia","Not-for-profit private ownership","Inhabitants per ...",3269.55,FALSE
2011,"Estonia","Not-for-profit private ownership","Per hundred thousand inhabitants",30.59,FALSE
2011,"Estonia","For-profit private ownership","Number",353,FALSE
2011,"Estonia","For-profit private ownership","Inhabitants per ...",3760.45,FALSE
2011,"Estonia","For-profit private ownership","Per hundred thousand inhabitants",26.59,FALSE
2011,"Greece","Public ownership","Number",33383,FALSE
2011,"Greece","Public ownership","Inhabitants per ...",332.65,FALSE
2011,"Greece","Public ownership","Per hundred thousand inhabitants",300.62,FALSE
2011,"Greece","Not-for-profit private ownership","Number",1314,FALSE
2011,"Greece","Not-for-profit private ownership","Inhabitants per ...",8451.22,FALSE
2011,"Greece","Not-for-profit private ownership","Per hundred thousand inhabitants",11.83,FALSE
2011,"Greece","For-profit private ownership","Number",14995,FALSE
2011,"Greece","For-profit private ownership","Inhabitants per ...",740.57,FALSE
2011,"Greece","For-profit private ownership","Per hundred thousand inhabitants",135.03,FALSE
2011,"Spain","Public ownership","Number",97751,FALSE
2011,"Spain","Public ownership","Inhabitants per ...",478.18,FALSE
2011,"Spain","Public ownership","Per hundred thousand inhabitants",209.13,FALSE
2011,"Spain","Not-for-profit private ownership","Number",18436,FALSE
2011,"Spain","Not-for-profit private ownership","Inhabitants per ...",2535.4,FALSE
2011,"Spain","Not-for-profit private ownership","Per hundred thousand inhabitants",39.44,FALSE
2011,"Spain","For-profit private ownership","Number",26207,FALSE
2011,"Spain","For-profit private ownership","Inhabitants per ...",1783.6,FALSE
2011,"Spain","For-profit private ownership","Per hundred thousand inhabitants",56.07,FALSE
2011,"France","Public ownership","Number",258444,FALSE
2011,"France","Public ownership","Inhabitants per ...",252,FALSE
2011,"France","Public ownership","Per hundred thousand inhabitants",396.83,FALSE
2011,"France","Not-for-profit private ownership","Number",57997,FALSE
2011,"France","Not-for-profit private ownership","Inhabitants per ...",1122.95,FALSE
2011,"France","Not-for-profit private ownership","Per hundred thousand inhabitants",89.05,FALSE
2011,"France","For-profit private ownership","Number",97763,FALSE
2011,"France","For-profit private ownership","Inhabitants per ...",666.18,FALSE
2011,"France","For-profit private ownership","Per hundred thousand inhabitants",150.11,FALSE
2011,"Croatia","Public ownership","Number",25344,FALSE
2011,"Croatia","Public ownership","Inhabitants per ...",168.99,FALSE
2011,"Croatia","Public ownership","Per hundred thousand inhabitants",591.75,FALSE
2011,"Croatia","Not-for-profit private ownership","Number",0,FALSE
2011,"Croatia","Not-for-profit private ownership","Inhabitants per ...",30257.59,TRUE
2011,"Croatia","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2011,"Croatia","For-profit private ownership","Number",143,FALSE
2011,"Croatia","For-profit private ownership","Inhabitants per ...",29950.49,FALSE
2011,"Croatia","For-profit private ownership","Per hundred thousand inhabitants",3.34,FALSE
2011,"Italy","Public ownership","Number",142887,FALSE
2011,"Italy","Public ownership","Inhabitants per ...",415.57,FALSE
2011,"Italy","Public ownership","Per hundred thousand inhabitants",240.63,FALSE
2011,"Italy","Not-for-profit private ownership","Number",7582,FALSE
2011,"Italy","Not-for-profit private ownership","Inhabitants per ...",7831.63,FALSE
2011,"Italy","Not-for-profit private ownership","Per hundred thousand inhabitants",12.77,FALSE
2011,"Italy","For-profit private ownership","Number",58385,FALSE
2011,"Italy","For-profit private ownership","Inhabitants per ...",1017.03,FALSE
2011,"Italy","For-profit private ownership","Per hundred thousand inhabitants",98.33,FALSE
2011,"Cyprus","Public ownership","Number",1517,FALSE
2011,"Cyprus","Public ownership","Inhabitants per ...",560.9,FALSE
2011,"Cyprus","Public ownership","Per hundred thousand inhabitants",178.29,FALSE
2011,"Cyprus","Not-for-profit private ownership","Number",0,FALSE
2011,"Cyprus","Not-for-profit private ownership","Inhabitants per ...",9983.1,TRUE
2011,"Cyprus","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
