"TIME","GEO","UNIT","FACILITY","ICHA_HP","Value","Value_imp"
2010,"Belgium","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care",0.07,TRUE
2010,"Bulgaria","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",224,FALSE
2010,"Bulgaria","Number","Computed Tomography Scanners","Hospitals",149,FALSE
2010,"Bulgaria","Number","Computed Tomography Scanners","Providers of ambulatory health care",75,FALSE
2010,"Bulgaria","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",31,FALSE
2010,"Bulgaria","Number","Magnetic Resonance Imaging Units","Hospitals",15,FALSE
2010,"Bulgaria","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care",16,FALSE
2010,"Bulgaria","Number","Gamma cameras","Hospitals and providers of ambulatory health care",20,FALSE
2010,"Bulgaria","Number","Gamma cameras","Hospitals",19,FALSE
2010,"Bulgaria","Number","Gamma cameras","Providers of ambulatory health care",1,FALSE
2010,"Bulgaria","Number","Angiography units","Hospitals and providers of ambulatory health care",73,TRUE
2010,"Bulgaria","Number","Angiography units","Hospitals",59,TRUE
2010,"Bulgaria","Number","Angiography units","Providers of ambulatory health care",14,TRUE
2010,"Bulgaria","Number","Lithotriptors","Hospitals and providers of ambulatory health care",66,TRUE
2010,"Bulgaria","Number","Lithotriptors","Hospitals",47,TRUE
2010,"Bulgaria","Number","Lithotriptors","Providers of ambulatory health care",24,TRUE
2010,"Bulgaria","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",33016.06,FALSE
2010,"Bulgaria","Inhabitants per ...","Computed Tomography Scanners","Hospitals",49634.89,FALSE
2010,"Bulgaria","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care",98607.98,FALSE
2010,"Bulgaria","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",238567.69,FALSE
2010,"Bulgaria","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals",493039.9,FALSE
2010,"Bulgaria","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care",462224.91,FALSE
2010,"Bulgaria","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care",369779.93,FALSE
2010,"Bulgaria","Inhabitants per ...","Gamma cameras","Hospitals",389242.03,FALSE
2010,"Bulgaria","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",7395598.5,FALSE
2010,"Bulgaria","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care",100080.66,TRUE
2010,"Bulgaria","Inhabitants per ...","Angiography units","Hospitals",123828.61,TRUE
2010,"Bulgaria","Inhabitants per ...","Angiography units","Providers of ambulatory health care",521849.14,TRUE
2010,"Bulgaria","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care",110077.49,TRUE
2010,"Bulgaria","Inhabitants per ...","Lithotriptors","Hospitals",154576.9,TRUE
2010,"Bulgaria","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",304412,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",3.03,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals",2.01,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care",1.01,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",0.42,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals",0.2,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care",0.22,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care",0.27,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Gamma cameras","Hospitals",0.26,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care",0.01,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care",1,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Angiography units","Hospitals",0.81,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care",0.19,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care",0.91,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Lithotriptors","Hospitals",0.65,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care",0.33,TRUE
2010,"Czechia","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",152,FALSE
2010,"Czechia","Number","Computed Tomography Scanners","Hospitals",141,FALSE
2010,"Czechia","Number","Computed Tomography Scanners","Providers of ambulatory health care",11,FALSE
2010,"Czechia","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",66,FALSE
2010,"Czechia","Number","Magnetic Resonance Imaging Units","Hospitals",55,FALSE
2010,"Czechia","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care",11,FALSE
2010,"Czechia","Number","Gamma cameras","Hospitals and providers of ambulatory health care",122,FALSE
2010,"Czechia","Number","Gamma cameras","Hospitals",109,TRUE
2010,"Czechia","Number","Gamma cameras","Providers of ambulatory health care",12,TRUE
2010,"Czechia","Number","Angiography units","Hospitals and providers of ambulatory health care",79,FALSE
2010,"Czechia","Number","Angiography units","Hospitals",79,TRUE
2010,"Czechia","Number","Angiography units","Providers of ambulatory health care",2,TRUE
2010,"Czechia","Number","Lithotriptors","Hospitals and providers of ambulatory health care",32,FALSE
2010,"Czechia","Number","Lithotriptors","Hospitals",34,TRUE
2010,"Czechia","Number","Lithotriptors","Providers of ambulatory health care",0,TRUE
2010,"Czechia","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",68910.59,FALSE
2010,"Czechia","Inhabitants per ...","Computed Tomography Scanners","Hospitals",74286.59,FALSE
2010,"Czechia","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care",952219.05,FALSE
2010,"Czechia","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",158703.17,FALSE
2010,"Czechia","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals",190443.81,FALSE
2010,"Czechia","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care",952219.05,FALSE
2010,"Czechia","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care",85855.82,FALSE
2010,"Czechia","Inhabitants per ...","Gamma cameras","Hospitals",96461.21,TRUE
2010,"Czechia","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",875898.75,TRUE
2010,"Czechia","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care",132587.46,FALSE
2010,"Czechia","Inhabitants per ...","Angiography units","Hospitals",133047.91,TRUE
2010,"Czechia","Inhabitants per ...","Angiography units","Providers of ambulatory health care",5255392.5,TRUE
2010,"Czechia","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care",327325.3,FALSE
2010,"Czechia","Inhabitants per ...","Lithotriptors","Hospitals",308708.47,TRUE
2010,"Czechia","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",952219.05,TRUE
2010,"Czechia","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",1.45,FALSE
2010,"Czechia","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals",1.35,FALSE
2010,"Czechia","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care",0.11,FALSE
2010,"Czechia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",0.63,FALSE
2010,"Czechia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals",0.53,FALSE
2010,"Czechia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care",0.11,FALSE
2010,"Czechia","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care",1.16,FALSE
2010,"Czechia","Per hundred thousand inhabitants","Gamma cameras","Hospitals",1.04,TRUE
2010,"Czechia","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care",0.11,TRUE
2010,"Czechia","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care",0.75,FALSE
2010,"Czechia","Per hundred thousand inhabitants","Angiography units","Hospitals",0.75,TRUE
2010,"Czechia","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care",0.02,TRUE
2010,"Czechia","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care",0.31,FALSE
2010,"Czechia","Per hundred thousand inhabitants","Lithotriptors","Hospitals",0.32,TRUE
2010,"Czechia","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care",0,TRUE
2010,"Denmark","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",153,FALSE
2010,"Denmark","Number","Computed Tomography Scanners","Hospitals",152,FALSE
2010,"Denmark","Number","Computed Tomography Scanners","Providers of ambulatory health care",1,FALSE
2010,"Denmark","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",66,TRUE
2010,"Denmark","Number","Magnetic Resonance Imaging Units","Hospitals",55,TRUE
2010,"Denmark","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care",11,TRUE
2010,"Denmark","Number","Gamma cameras","Hospitals and providers of ambulatory health care",94,TRUE
2010,"Denmark","Number","Gamma cameras","Hospitals",94,TRUE
2010,"Denmark","Number","Gamma cameras","Providers of ambulatory health care",0,TRUE
2010,"Denmark","Number","Angiography units","Hospitals and providers of ambulatory health care",79,TRUE
2010,"Denmark","Number","Angiography units","Hospitals",152,TRUE
2010,"Denmark","Number","Angiography units","Providers of ambulatory health care",0,TRUE
2010,"Denmark","Number","Lithotriptors","Hospitals and providers of ambulatory health care",32,TRUE
2010,"Denmark","Number","Lithotriptors","Hospitals",152,TRUE
2010,"Denmark","Number","Lithotriptors","Providers of ambulatory health care",0,TRUE
2010,"Denmark","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",36259.37,FALSE
2010,"Denmark","Inhabitants per ...","Computed Tomography Scanners","Hospitals",36497.91,FALSE
2010,"Denmark","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care",5547683,FALSE
2010,"Denmark","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",158703.17,TRUE
2010,"Denmark","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals",190443.81,TRUE
2010,"Denmark","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care",952219.05,TRUE
2010,"Denmark","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care",59733.31,TRUE
2010,"Denmark","Inhabitants per ...","Gamma cameras","Hospitals",59733.31,TRUE
2010,"Denmark","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",5547683,TRUE
2010,"Denmark","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care",132587.46,TRUE
2010,"Denmark","Inhabitants per ...","Angiography units","Hospitals",82107.3,TRUE
2010,"Denmark","Inhabitants per ...","Angiography units","Providers of ambulatory health care",3582838.19,TRUE
2010,"Denmark","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care",327325.3,TRUE
2010,"Denmark","Inhabitants per ...","Lithotriptors","Hospitals",222862.68,TRUE
2010,"Denmark","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",5547683,TRUE
2010,"Denmark","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",2.76,FALSE
2010,"Denmark","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals",2.74,FALSE
2010,"Denmark","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care",0.02,FALSE
2010,"Denmark","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",0.63,TRUE
2010,"Denmark","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals",0.53,TRUE
2010,"Denmark","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care",0.11,TRUE
2010,"Denmark","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care",1.67,TRUE
2010,"Denmark","Per hundred thousand inhabitants","Gamma cameras","Hospitals",1.67,TRUE
2010,"Denmark","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care",0,TRUE
2010,"Denmark","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care",0.75,TRUE
2010,"Denmark","Per hundred thousand inhabitants","Angiography units","Hospitals",1.22,TRUE
2010,"Denmark","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care",0,TRUE
2010,"Denmark","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care",0.31,TRUE
2010,"Denmark","Per hundred thousand inhabitants","Lithotriptors","Hospitals",0.45,TRUE
2010,"Denmark","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care",0,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",2643,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Computed Tomography Scanners","Hospitals",1450,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Computed Tomography Scanners","Providers of ambulatory health care",1193,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",2211,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Magnetic Resonance Imaging Units","Hospitals",842,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care",1369,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Gamma cameras","Hospitals and providers of ambulatory health care",122,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Number","Gamma cameras","Hospitals",580,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Gamma cameras","Providers of ambulatory health care",1193,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Number","Angiography units","Hospitals and providers of ambulatory health care",2211,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Number","Angiography units","Hospitals",786,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Angiography units","Providers of ambulatory health care",1193,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Number","Lithotriptors","Hospitals and providers of ambulatory health care",2211,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Number","Lithotriptors","Hospitals",324,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Lithotriptors","Providers of ambulatory health care",1193,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",30651.59,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Computed Tomography Scanners","Hospitals",55870.46,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care",67906.25,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",36640.51,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals",96213.97,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care",59176.16,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care",85855.82,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Gamma cameras","Hospitals",139676.14,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",67906.25,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care",36640.51,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Angiography units","Hospitals",103068.91,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Angiography units","Providers of ambulatory health care",67906.25,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care",36640.51,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Lithotriptors","Hospitals",250037.53,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",67906.25,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",3.26,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals",1.79,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care",1.47,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",2.73,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals",1.04,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care",1.69,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care",1.16,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Gamma cameras","Hospitals",0.72,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care",1.47,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care",2.73,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Angiography units","Hospitals",0.97,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care",1.47,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care",2.73,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Lithotriptors","Hospitals",0.4,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care",1.47,TRUE
2010,"Estonia","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",21,FALSE
2010,"Estonia","Number","Computed Tomography Scanners","Hospitals",19,FALSE
2010,"Estonia","Number","Computed Tomography Scanners","Providers of ambulatory health care",2,FALSE
2010,"Estonia","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",11,FALSE
2010,"Estonia","Number","Magnetic Resonance Imaging Units","Hospitals",5,FALSE
2010,"Estonia","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care",6,FALSE
2010,"Estonia","Number","Gamma cameras","Hospitals and providers of ambulatory health care",3,FALSE
2010,"Estonia","Number","Gamma cameras","Hospitals",3,FALSE
2010,"Estonia","Number","Gamma cameras","Providers of ambulatory health care",0,FALSE
2010,"Estonia","Number","Angiography units","Hospitals and providers of ambulatory health care",8,FALSE
2010,"Estonia","Number","Angiography units","Hospitals",8,FALSE
2010,"Estonia","Number","Angiography units","Providers of ambulatory health care",0,FALSE
2010,"Estonia","Number","Lithotriptors","Hospitals and providers of ambulatory health care",3,FALSE
2010,"Estonia","Number","Lithotriptors","Hospitals",3,FALSE
2010,"Estonia","Number","Lithotriptors","Providers of ambulatory health care",0,FALSE
2010,"Estonia","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",63403.57,FALSE
2010,"Estonia","Inhabitants per ...","Computed Tomography Scanners","Hospitals",70077.63,FALSE
2010,"Estonia","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care",665737.5,FALSE
2010,"Estonia","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",121043.18,FALSE
2010,"Estonia","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals",266295,FALSE
2010,"Estonia","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care",221912.5,FALSE
2010,"Estonia","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care",443825,FALSE
2010,"Estonia","Inhabitants per ...","Gamma cameras","Hospitals",443825,FALSE
2010,"Estonia","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",665737.5,TRUE
2010,"Estonia","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care",166434.38,FALSE
2010,"Estonia","Inhabitants per ...","Angiography units","Hospitals",166434.38,FALSE
2010,"Estonia","Inhabitants per ...","Angiography units","Providers of ambulatory health care",221912.5,TRUE
2010,"Estonia","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care",443825,FALSE
2010,"Estonia","Inhabitants per ...","Lithotriptors","Hospitals",443825,FALSE
2010,"Estonia","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",221912.5,TRUE
2010,"Estonia","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",1.58,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals",1.43,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care",0.15,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",0.83,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals",0.38,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care",0.45,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care",0.23,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Gamma cameras","Hospitals",0.23,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care",0,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care",0.6,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Angiography units","Hospitals",0.6,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care",0,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care",0.23,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Lithotriptors","Hospitals",0.23,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care",0,FALSE
2010,"Ireland","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",70,FALSE
2010,"Ireland","Number","Computed Tomography Scanners","Hospitals",144,TRUE
2010,"Ireland","Number","Computed Tomography Scanners","Providers of ambulatory health care",11,TRUE
