"TIME","GEO","UNIT","ICHA11_HP","Value","Flag and Footnotes"
"2009","France","Million euro","Specialised hospitals (other than mental health hospitals)","320.34","d"
"2009","Croatia","Million euro","All providers of health care",":",""
"2009","Croatia","Million euro","Hospitals",":",""
"2009","Croatia","Million euro","General hospitals",":",""
"2009","Croatia","Million euro","Mental health hospitals",":",""
"2009","Croatia","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Italy","Million euro","All providers of health care",":",""
"2009","Italy","Million euro","Hospitals",":",""
"2009","Italy","Million euro","General hospitals",":",""
"2009","Italy","Million euro","Mental health hospitals",":",""
"2009","Italy","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Cyprus","Million euro","All providers of health care",":",""
"2009","Cyprus","Million euro","Hospitals",":",""
"2009","Cyprus","Million euro","General hospitals",":",""
"2009","Cyprus","Million euro","Mental health hospitals",":",""
"2009","Cyprus","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Latvia","Million euro","All providers of health care",":",""
"2009","Latvia","Million euro","Hospitals",":",""
"2009","Latvia","Million euro","General hospitals",":",""
"2009","Latvia","Million euro","Mental health hospitals",":",""
"2009","Latvia","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Lithuania","Million euro","All providers of health care","1 981.24",""
"2009","Lithuania","Million euro","Hospitals","724.79",""
"2009","Lithuania","Million euro","General hospitals","598.05",""
"2009","Lithuania","Million euro","Mental health hospitals","29.69",""
"2009","Lithuania","Million euro","Specialised hospitals (other than mental health hospitals)","97.05",""
"2009","Luxembourg","Million euro","All providers of health care",":",""
"2009","Luxembourg","Million euro","Hospitals",":",""
"2009","Luxembourg","Million euro","General hospitals",":",""
"2009","Luxembourg","Million euro","Mental health hospitals",":",""
"2009","Luxembourg","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Hungary","Million euro","All providers of health care","6 832.62",""
"2009","Hungary","Million euro","Hospitals","2 227.93",""
"2009","Hungary","Million euro","General hospitals","1 987.70",""
"2009","Hungary","Million euro","Mental health hospitals","10.28",""
"2009","Hungary","Million euro","Specialised hospitals (other than mental health hospitals)","229.95",""
"2009","Malta","Million euro","All providers of health care",":",""
"2009","Malta","Million euro","Hospitals",":",""
"2009","Malta","Million euro","General hospitals",":",""
"2009","Malta","Million euro","Mental health hospitals",":",""
"2009","Malta","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Netherlands","Million euro","All providers of health care","62 439.91",""
"2009","Netherlands","Million euro","Hospitals","19 721.07",""
"2009","Netherlands","Million euro","General hospitals","15 200.71",""
"2009","Netherlands","Million euro","Mental health hospitals","3 768.26",""
"2009","Netherlands","Million euro","Specialised hospitals (other than mental health hospitals)","752.10",""
"2009","Austria","Million euro","All providers of health care","29 454.88",""
"2009","Austria","Million euro","Hospitals","11 438.37",""
"2009","Austria","Million euro","General hospitals","10 235.45",""
"2009","Austria","Million euro","Mental health hospitals",":",""
"2009","Austria","Million euro","Specialised hospitals (other than mental health hospitals)","1 202.92",""
"2009","Poland","Million euro","All providers of health care",":",""
"2009","Poland","Million euro","Hospitals",":",""
"2009","Poland","Million euro","General hospitals",":",""
"2009","Poland","Million euro","Mental health hospitals",":",""
"2009","Poland","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Portugal","Million euro","All providers of health care","17 332.44",""
"2009","Portugal","Million euro","Hospitals","6 782.62",""
"2009","Portugal","Million euro","General hospitals","6 638.67","d"
"2009","Portugal","Million euro","Mental health hospitals","143.95",""
"2009","Portugal","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Romania","Million euro","All providers of health care",":",""
"2009","Romania","Million euro","Hospitals",":",""
"2009","Romania","Million euro","General hospitals",":",""
"2009","Romania","Million euro","Mental health hospitals",":",""
"2009","Romania","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Slovenia","Million euro","All providers of health care",":",""
"2009","Slovenia","Million euro","Hospitals",":",""
"2009","Slovenia","Million euro","General hospitals",":",""
"2009","Slovenia","Million euro","Mental health hospitals",":",""
"2009","Slovenia","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Slovakia","Million euro","All providers of health care",":",""
"2009","Slovakia","Million euro","Hospitals",":",""
"2009","Slovakia","Million euro","General hospitals",":",""
"2009","Slovakia","Million euro","Mental health hospitals",":",""
"2009","Slovakia","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Finland","Million euro","All providers of health care","16 650.25",""
"2009","Finland","Million euro","Hospitals","5 436.97",""
"2009","Finland","Million euro","General hospitals","5 429.49",""
"2009","Finland","Million euro","Mental health hospitals","7.48",""
"2009","Finland","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Sweden","Million euro","All providers of health care",":",""
"2009","Sweden","Million euro","Hospitals",":",""
"2009","Sweden","Million euro","General hospitals",":",""
"2009","Sweden","Million euro","Mental health hospitals",":",""
"2009","Sweden","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Iceland","Million euro","All providers of health care",":",""
"2009","Iceland","Million euro","Hospitals",":",""
"2009","Iceland","Million euro","General hospitals",":",""
"2009","Iceland","Million euro","Mental health hospitals",":",""
"2009","Iceland","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Liechtenstein","Million euro","All providers of health care",":",""
"2009","Liechtenstein","Million euro","Hospitals",":",""
"2009","Liechtenstein","Million euro","General hospitals",":",""
"2009","Liechtenstein","Million euro","Mental health hospitals",":",""
"2009","Liechtenstein","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Norway","Million euro","All providers of health care",":",""
"2009","Norway","Million euro","Hospitals",":",""
"2009","Norway","Million euro","General hospitals",":",""
"2009","Norway","Million euro","Mental health hospitals",":",""
"2009","Norway","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Switzerland","Million euro","All providers of health care",":",""
"2009","Switzerland","Million euro","Hospitals",":",""
"2009","Switzerland","Million euro","General hospitals",":",""
"2009","Switzerland","Million euro","Mental health hospitals",":",""
"2009","Switzerland","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","United Kingdom","Million euro","All providers of health care",":",""
"2009","United Kingdom","Million euro","Hospitals",":",""
"2009","United Kingdom","Million euro","General hospitals",":",""
"2009","United Kingdom","Million euro","Mental health hospitals",":",""
"2009","United Kingdom","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Bosnia and Herzegovina","Million euro","All providers of health care",":",""
"2009","Bosnia and Herzegovina","Million euro","Hospitals",":",""
"2009","Bosnia and Herzegovina","Million euro","General hospitals",":",""
"2009","Bosnia and Herzegovina","Million euro","Mental health hospitals",":",""
"2009","Bosnia and Herzegovina","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","European Union - 27 countries (from 2020)","Million euro","All providers of health care",":",""
"2010","European Union - 27 countries (from 2020)","Million euro","Hospitals",":",""
"2010","European Union - 27 countries (from 2020)","Million euro","General hospitals",":",""
"2010","European Union - 27 countries (from 2020)","Million euro","Mental health hospitals",":",""
"2010","European Union - 27 countries (from 2020)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","European Union - 28 countries (2013-2020)","Million euro","All providers of health care",":",""
"2010","European Union - 28 countries (2013-2020)","Million euro","Hospitals",":",""
"2010","European Union - 28 countries (2013-2020)","Million euro","General hospitals",":",""
"2010","European Union - 28 countries (2013-2020)","Million euro","Mental health hospitals",":",""
"2010","European Union - 28 countries (2013-2020)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","European Union - 27 countries (2007-2013)","Million euro","All providers of health care",":",""
"2010","European Union - 27 countries (2007-2013)","Million euro","Hospitals",":",""
"2010","European Union - 27 countries (2007-2013)","Million euro","General hospitals",":",""
"2010","European Union - 27 countries (2007-2013)","Million euro","Mental health hospitals",":",""
"2010","European Union - 27 countries (2007-2013)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","European Union - 15 countries (1995-2004)","Million euro","All providers of health care",":",""
"2010","European Union - 15 countries (1995-2004)","Million euro","Hospitals",":",""
"2010","European Union - 15 countries (1995-2004)","Million euro","General hospitals",":",""
"2010","European Union - 15 countries (1995-2004)","Million euro","Mental health hospitals",":",""
"2010","European Union - 15 countries (1995-2004)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Euro area - 19 countries  (from 2015)","Million euro","All providers of health care",":",""
"2010","Euro area - 19 countries  (from 2015)","Million euro","Hospitals",":",""
"2010","Euro area - 19 countries  (from 2015)","Million euro","General hospitals",":",""
"2010","Euro area - 19 countries  (from 2015)","Million euro","Mental health hospitals",":",""
"2010","Euro area - 19 countries  (from 2015)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Euro area - 18 countries (2014)","Million euro","All providers of health care",":",""
"2010","Euro area - 18 countries (2014)","Million euro","Hospitals",":",""
"2010","Euro area - 18 countries (2014)","Million euro","General hospitals",":",""
"2010","Euro area - 18 countries (2014)","Million euro","Mental health hospitals",":",""
"2010","Euro area - 18 countries (2014)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Euro area - 12 countries (2001-2006)","Million euro","All providers of health care",":",""
"2010","Euro area - 12 countries (2001-2006)","Million euro","Hospitals",":",""
"2010","Euro area - 12 countries (2001-2006)","Million euro","General hospitals",":",""
"2010","Euro area - 12 countries (2001-2006)","Million euro","Mental health hospitals",":",""
"2010","Euro area - 12 countries (2001-2006)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Belgium","Million euro","All providers of health care","37 162.79",""
"2010","Belgium","Million euro","Hospitals","12 155.36",""
"2010","Belgium","Million euro","General hospitals","10 599.99",""
"2010","Belgium","Million euro","Mental health hospitals","1 495.58",""
"2010","Belgium","Million euro","Specialised hospitals (other than mental health hospitals)","59.79",""
"2010","Bulgaria","Million euro","All providers of health care",":",""
"2010","Bulgaria","Million euro","Hospitals",":",""
"2010","Bulgaria","Million euro","General hospitals",":",""
"2010","Bulgaria","Million euro","Mental health hospitals",":",""
"2010","Bulgaria","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Czechia","Million euro","All providers of health care",":",""
"2010","Czechia","Million euro","Hospitals",":",""
"2010","Czechia","Million euro","General hospitals",":",""
"2010","Czechia","Million euro","Mental health hospitals",":",""
"2010","Czechia","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Denmark","Million euro","All providers of health care","25 126.67",""
"2010","Denmark","Million euro","Hospitals","11 058.40",""
"2010","Denmark","Million euro","General hospitals","10 109.63",""
"2010","Denmark","Million euro","Mental health hospitals","948.77",""
"2010","Denmark","Million euro","Specialised hospitals (other than mental health hospitals)","0.00",""
"2010","Germany (until 1990 former territory of the FRG)","Million euro","All providers of health care","284 568.00",""
"2010","Germany (until 1990 former territory of the FRG)","Million euro","Hospitals","82 328.00",""
"2010","Germany (until 1990 former territory of the FRG)","Million euro","General hospitals","74 154.00",""
"2010","Germany (until 1990 former territory of the FRG)","Million euro","Mental health hospitals",":",""
"2010","Germany (until 1990 former territory of the FRG)","Million euro","Specialised hospitals (other than mental health hospitals)","8 173.00",""
"2010","Estonia","Million euro","All providers of health care","932.10",""
"2010","Estonia","Million euro","Hospitals","441.95",""
"2010","Estonia","Million euro","General hospitals","418.67",""
"2010","Estonia","Million euro","Mental health hospitals","2.44",""
"2010","Estonia","Million euro","Specialised hospitals (other than mental health hospitals)","20.84",""
"2010","Ireland","Million euro","All providers of health care",":",""
"2010","Ireland","Million euro","Hospitals",":",""
"2010","Ireland","Million euro","General hospitals",":",""
"2010","Ireland","Million euro","Mental health hospitals",":",""
"2010","Ireland","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Greece","Million euro","All providers of health care","21 508.34",""
"2010","Greece","Million euro","Hospitals","9 209.42",""
"2010","Greece","Million euro","General hospitals","8 058.73",""
"2010","Greece","Million euro","Mental health hospitals","376.49",""
"2010","Greece","Million euro","Specialised hospitals (other than mental health hospitals)","774.20",""
"2010","Spain","Million euro","All providers of health care","97 815.78",""
"2010","Spain","Million euro","Hospitals","39 894.36",""
"2010","Spain","Million euro","General hospitals","37 032.05",""
"2010","Spain","Million euro","Mental health hospitals","762.85",""
"2010","Spain","Million euro","Specialised hospitals (other than mental health hospitals)","2 099.47",""
"2010","France","Million euro","All providers of health care","224 272.75",""
"2010","France","Million euro","Hospitals","84 700.10",""
"2010","France","Million euro","General hospitals","71 389.15",""
"2010","France","Million euro","Mental health hospitals","12 982.74",""
"2010","France","Million euro","Specialised hospitals (other than mental health hospitals)","328.21","d"
"2010","Croatia","Million euro","All providers of health care",":",""
"2010","Croatia","Million euro","Hospitals",":",""
"2010","Croatia","Million euro","General hospitals",":",""
"2010","Croatia","Million euro","Mental health hospitals",":",""
"2010","Croatia","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Italy","Million euro","All providers of health care",":",""
"2010","Italy","Million euro","Hospitals",":",""
"2010","Italy","Million euro","General hospitals",":",""
"2010","Italy","Million euro","Mental health hospitals",":",""
"2010","Italy","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Cyprus","Million euro","All providers of health care","1 265.08",""
"2010","Cyprus","Million euro","Hospitals","557.22",""
"2010","Cyprus","Million euro","General hospitals","459.91",""
"2010","Cyprus","Million euro","Mental health hospitals","15.18",""
"2010","Cyprus","Million euro","Specialised hospitals (other than mental health hospitals)","82.13",""
"2010","Latvia","Million euro","All providers of health care",":",""
"2010","Latvia","Million euro","Hospitals",":",""
"2010","Latvia","Million euro","General hospitals",":",""
"2010","Latvia","Million euro","Mental health hospitals",":",""
"2010","Latvia","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Lithuania","Million euro","All providers of health care","1 910.39",""
"2010","Lithuania","Million euro","Hospitals","706.57",""
"2010","Lithuania","Million euro","General hospitals","593.13",""
"2010","Lithuania","Million euro","Mental health hospitals","29.96",""
"2010","Lithuania","Million euro","Specialised hospitals (other than mental health hospitals)","83.47",""
"2010","Luxembourg","Million euro","All providers of health care",":",""
"2010","Luxembourg","Million euro","Hospitals",":",""
"2010","Luxembourg","Million euro","General hospitals",":",""
"2010","Luxembourg","Million euro","Mental health hospitals",":",""
"2010","Luxembourg","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Hungary","Million euro","All providers of health care","7 431.57",""
"2010","Hungary","Million euro","Hospitals","2 399.46",""
"2010","Hungary","Million euro","General hospitals","2 062.64",""
"2010","Hungary","Million euro","Mental health hospitals","11.67",""
"2010","Hungary","Million euro","Specialised hospitals (other than mental health hospitals)","325.15",""
"2010","Malta","Million euro","All providers of health care",":",""
"2010","Malta","Million euro","Hospitals",":",""
"2010","Malta","Million euro","General hospitals",":",""
"2010","Malta","Million euro","Mental health hospitals",":",""
"2010","Malta","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Netherlands","Million euro","All providers of health care","64 910.43",""
"2010","Netherlands","Million euro","Hospitals","21 216.00",""
"2010","Netherlands","Million euro","General hospitals","16 594.87",""
"2010","Netherlands","Million euro","Mental health hospitals","3 785.22",""
"2010","Netherlands","Million euro","Specialised hospitals (other than mental health hospitals)","835.90",""
"2010","Austria","Million euro","All providers of health care","30 243.65",""
"2010","Austria","Million euro","Hospitals","11 731.26",""
"2010","Austria","Million euro","General hospitals","10 487.59",""
"2010","Austria","Million euro","Mental health hospitals",":",""
"2010","Austria","Million euro","Specialised hospitals (other than mental health hospitals)","1 243.67",""
"2010","Poland","Million euro","All providers of health care",":",""
"2010","Poland","Million euro","Hospitals",":",""
"2010","Poland","Million euro","General hospitals",":",""
"2010","Poland","Million euro","Mental health hospitals",":",""
"2010","Poland","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Portugal","Million euro","All providers of health care","17 668.16",""
"2010","Portugal","Million euro","Hospitals","6 927.88",""
"2010","Portugal","Million euro","General hospitals","6 781.05","d"
"2010","Portugal","Million euro","Mental health hospitals","146.83",""
"2010","Portugal","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Romania","Million euro","All providers of health care",":",""
"2010","Romania","Million euro","Hospitals",":",""
"2010","Romania","Million euro","General hospitals",":",""
"2010","Romania","Million euro","Mental health hospitals",":",""
"2010","Romania","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Slovenia","Million euro","All providers of health care",":",""
"2010","Slovenia","Million euro","Hospitals",":",""
"2010","Slovenia","Million euro","General hospitals",":",""
"2010","Slovenia","Million euro","Mental health hospitals",":",""
"2010","Slovenia","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Slovakia","Million euro","All providers of health care",":",""
"2010","Slovakia","Million euro","Hospitals",":",""
"2010","Slovakia","Million euro","General hospitals",":",""
"2010","Slovakia","Million euro","Mental health hospitals",":",""
"2010","Slovakia","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Finland","Million euro","All providers of health care","17 200.09",""
"2010","Finland","Million euro","Hospitals","5 620.52",""
"2010","Finland","Million euro","General hospitals","5 614.17",""
"2010","Finland","Million euro","Mental health hospitals","6.35",""
"2010","Finland","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Sweden","Million euro","All providers of health care",":",""
"2010","Sweden","Million euro","Hospitals",":",""
"2010","Sweden","Million euro","General hospitals",":",""
"2010","Sweden","Million euro","Mental health hospitals",":",""
"2010","Sweden","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Iceland","Million euro","All providers of health care",":",""
"2010","Iceland","Million euro","Hospitals",":",""
"2010","Iceland","Million euro","General hospitals",":",""
"2010","Iceland","Million euro","Mental health hospitals",":",""
"2010","Iceland","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Liechtenstein","Million euro","All providers of health care",":",""
"2010","Liechtenstein","Million euro","Hospitals",":",""
"2010","Liechtenstein","Million euro","General hospitals",":",""
"2010","Liechtenstein","Million euro","Mental health hospitals",":",""
"2010","Liechtenstein","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Norway","Million euro","All providers of health care",":",""
"2010","Norway","Million euro","Hospitals",":",""
"2010","Norway","Million euro","General hospitals",":",""
"2010","Norway","Million euro","Mental health hospitals",":",""
"2010","Norway","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Switzerland","Million euro","All providers of health care","45 327.09",""
"2010","Switzerland","Million euro","Hospitals","16 270.61",""
"2010","Switzerland","Million euro","General hospitals","13 264.90",""
"2010","Switzerland","Million euro","Mental health hospitals","1 299.15",""
"2010","Switzerland","Million euro","Specialised hospitals (other than mental health hospitals)","1 706.56",""
"2010","United Kingdom","Million euro","All providers of health care",":",""
"2010","United Kingdom","Million euro","Hospitals",":",""
"2010","United Kingdom","Million euro","General hospitals",":",""
"2010","United Kingdom","Million euro","Mental health hospitals",":",""
"2010","United Kingdom","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2010","Bosnia and Herzegovina","Million euro","All providers of health care",":",""
"2010","Bosnia and Herzegovina","Million euro","Hospitals",":",""
"2010","Bosnia and Herzegovina","Million euro","General hospitals",":",""
"2010","Bosnia and Herzegovina","Million euro","Mental health hospitals",":",""
"2010","Bosnia and Herzegovina","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2011","European Union - 27 countries (from 2020)","Million euro","All providers of health care",":",""
"2011","European Union - 27 countries (from 2020)","Million euro","Hospitals",":",""
"2011","European Union - 27 countries (from 2020)","Million euro","General hospitals",":",""
"2011","European Union - 27 countries (from 2020)","Million euro","Mental health hospitals",":",""
"2011","European Union - 27 countries (from 2020)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2011","European Union - 28 countries (2013-2020)","Million euro","All providers of health care",":",""
"2011","European Union - 28 countries (2013-2020)","Million euro","Hospitals",":",""
"2011","European Union - 28 countries (2013-2020)","Million euro","General hospitals",":",""
"2011","European Union - 28 countries (2013-2020)","Million euro","Mental health hospitals",":",""
"2011","European Union - 28 countries (2013-2020)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2011","European Union - 27 countries (2007-2013)","Million euro","All providers of health care",":",""
"2011","European Union - 27 countries (2007-2013)","Million euro","Hospitals",":",""
"2011","European Union - 27 countries (2007-2013)","Million euro","General hospitals",":",""
"2011","European Union - 27 countries (2007-2013)","Million euro","Mental health hospitals",":",""
"2011","European Union - 27 countries (2007-2013)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2011","European Union - 15 countries (1995-2004)","Million euro","All providers of health care",":",""
"2011","European Union - 15 countries (1995-2004)","Million euro","Hospitals",":",""
"2011","European Union - 15 countries (1995-2004)","Million euro","General hospitals",":",""
"2011","European Union - 15 countries (1995-2004)","Million euro","Mental health hospitals",":",""
"2011","European Union - 15 countries (1995-2004)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2011","Euro area - 19 countries  (from 2015)","Million euro","All providers of health care",":",""
"2011","Euro area - 19 countries  (from 2015)","Million euro","Hospitals",":",""
"2011","Euro area - 19 countries  (from 2015)","Million euro","General hospitals",":",""
"2011","Euro area - 19 countries  (from 2015)","Million euro","Mental health hospitals",":",""
"2011","Euro area - 19 countries  (from 2015)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2011","Euro area - 18 countries (2014)","Million euro","All providers of health care",":",""
"2011","Euro area - 18 countries (2014)","Million euro","Hospitals",":",""
"2011","Euro area - 18 countries (2014)","Million euro","General hospitals",":",""
"2011","Euro area - 18 countries (2014)","Million euro","Mental health hospitals",":",""
"2011","Euro area - 18 countries (2014)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2011","Euro area - 12 countries (2001-2006)","Million euro","All providers of health care",":",""
"2011","Euro area - 12 countries (2001-2006)","Million euro","Hospitals",":",""
"2011","Euro area - 12 countries (2001-2006)","Million euro","General hospitals",":",""
"2011","Euro area - 12 countries (2001-2006)","Million euro","Mental health hospitals",":",""
"2011","Euro area - 12 countries (2001-2006)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
