"TIME","GEO","UNIT","ICHA11_HC","Value","Flag and Footnotes"
"2009","Czechia","Million euro","Curative care and rehabilitative care",":",""
"2009","Czechia","Million euro","Curative care",":",""
"2009","Czechia","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Czechia","Million euro","Inpatient curative care",":",""
"2009","Denmark","Million euro","Current health care expenditure (CHE)",":",""
"2009","Denmark","Million euro","Curative care and rehabilitative care",":",""
"2009","Denmark","Million euro","Curative care",":",""
"2009","Denmark","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Denmark","Million euro","Inpatient curative care",":",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","Current health care expenditure (CHE)","274 841.00",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","Curative care and rehabilitative care","140 782.00",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","Curative care","132 343.00",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","Inpatient curative and rehabilitative care","74 687.00",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","Inpatient curative care","67 076.00",""
"2009","Estonia","Million euro","Current health care expenditure (CHE)","925.55",""
"2009","Estonia","Million euro","Curative care and rehabilitative care","534.32",""
"2009","Estonia","Million euro","Curative care","519.45",""
"2009","Estonia","Million euro","Inpatient curative and rehabilitative care","252.35",""
"2009","Estonia","Million euro","Inpatient curative care","247.40",""
"2009","Ireland","Million euro","Current health care expenditure (CHE)",":",""
"2009","Ireland","Million euro","Curative care and rehabilitative care",":",""
"2009","Ireland","Million euro","Curative care",":",""
"2009","Ireland","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Ireland","Million euro","Inpatient curative care",":",""
"2009","Greece","Million euro","Current health care expenditure (CHE)","22 344.57",""
"2009","Greece","Million euro","Curative care and rehabilitative care","14 067.48",""
"2009","Greece","Million euro","Curative care","14 055.96",""
"2009","Greece","Million euro","Inpatient curative and rehabilitative care","8 774.24",""
"2009","Greece","Million euro","Inpatient curative care","8 765.23",""
"2009","Spain","Million euro","Current health care expenditure (CHE)","97 384.01",""
"2009","Spain","Million euro","Curative care and rehabilitative care","55 541.06",""
"2009","Spain","Million euro","Curative care","55 541.06",""
"2009","Spain","Million euro","Inpatient curative and rehabilitative care","23 064.13",""
"2009","Spain","Million euro","Inpatient curative care","23 064.13",""
"2009","France","Million euro","Current health care expenditure (CHE)","218 751.88",""
"2009","France","Million euro","Curative care and rehabilitative care","114 699.39",""
"2009","France","Million euro","Curative care","93 239.52",""
"2009","France","Million euro","Inpatient curative and rehabilitative care","62 256.26",""
"2009","France","Million euro","Inpatient curative care","46 978.00",""
"2009","Croatia","Million euro","Current health care expenditure (CHE)",":",""
"2009","Croatia","Million euro","Curative care and rehabilitative care",":",""
"2009","Croatia","Million euro","Curative care",":",""
"2009","Croatia","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Croatia","Million euro","Inpatient curative care",":",""
"2009","Italy","Million euro","Current health care expenditure (CHE)",":",""
"2009","Italy","Million euro","Curative care and rehabilitative care",":",""
"2009","Italy","Million euro","Curative care",":",""
"2009","Italy","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Italy","Million euro","Inpatient curative care",":",""
"2009","Cyprus","Million euro","Current health care expenditure (CHE)",":",""
"2009","Cyprus","Million euro","Curative care and rehabilitative care",":",""
"2009","Cyprus","Million euro","Curative care",":",""
"2009","Cyprus","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Cyprus","Million euro","Inpatient curative care",":",""
"2009","Latvia","Million euro","Current health care expenditure (CHE)",":",""
"2009","Latvia","Million euro","Curative care and rehabilitative care",":",""
"2009","Latvia","Million euro","Curative care",":",""
"2009","Latvia","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Latvia","Million euro","Inpatient curative care",":",""
"2009","Lithuania","Million euro","Current health care expenditure (CHE)","1 981.24",""
"2009","Lithuania","Million euro","Curative care and rehabilitative care","1 029.26",""
"2009","Lithuania","Million euro","Curative care","960.47",""
"2009","Lithuania","Million euro","Inpatient curative and rehabilitative care","561.55",""
"2009","Lithuania","Million euro","Inpatient curative care","498.88",""
"2009","Luxembourg","Million euro","Current health care expenditure (CHE)",":",""
"2009","Luxembourg","Million euro","Curative care and rehabilitative care",":",""
"2009","Luxembourg","Million euro","Curative care",":",""
"2009","Luxembourg","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Luxembourg","Million euro","Inpatient curative care",":",""
"2009","Hungary","Million euro","Current health care expenditure (CHE)","6 832.62",""
"2009","Hungary","Million euro","Curative care and rehabilitative care","3 286.49",""
"2009","Hungary","Million euro","Curative care","3 043.39",""
"2009","Hungary","Million euro","Inpatient curative and rehabilitative care","1 715.82",""
"2009","Hungary","Million euro","Inpatient curative care","1 534.73",""
"2009","Malta","Million euro","Current health care expenditure (CHE)",":",""
"2009","Malta","Million euro","Curative care and rehabilitative care",":",""
"2009","Malta","Million euro","Curative care",":",""
"2009","Malta","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Malta","Million euro","Inpatient curative care",":",""
"2009","Netherlands","Million euro","Current health care expenditure (CHE)","62 439.91",""
"2009","Netherlands","Million euro","Curative care and rehabilitative care","30 442.87",""
"2009","Netherlands","Million euro","Curative care","28 156.29",""
"2009","Netherlands","Million euro","Inpatient curative and rehabilitative care","12 797.14",""
"2009","Netherlands","Million euro","Inpatient curative care","12 171.97",""
"2009","Austria","Million euro","Current health care expenditure (CHE)","29 454.88",""
"2009","Austria","Million euro","Curative care and rehabilitative care","17 475.06",""
"2009","Austria","Million euro","Curative care","15 728.37",""
"2009","Austria","Million euro","Inpatient curative and rehabilitative care","10 039.02",""
"2009","Austria","Million euro","Inpatient curative care","8 832.40",""
"2009","Poland","Million euro","Current health care expenditure (CHE)",":",""
"2009","Poland","Million euro","Curative care and rehabilitative care",":",""
"2009","Poland","Million euro","Curative care",":",""
"2009","Poland","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Poland","Million euro","Inpatient curative care",":",""
"2009","Portugal","Million euro","Current health care expenditure (CHE)","17 332.44",""
"2009","Portugal","Million euro","Curative care and rehabilitative care","10 794.54",""
"2009","Portugal","Million euro","Curative care","10 142.04",""
"2009","Portugal","Million euro","Inpatient curative and rehabilitative care","3 134.48",""
"2009","Portugal","Million euro","Inpatient curative care","2 961.77",""
"2009","Romania","Million euro","Current health care expenditure (CHE)",":",""
"2009","Romania","Million euro","Curative care and rehabilitative care",":",""
"2009","Romania","Million euro","Curative care",":",""
"2009","Romania","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Romania","Million euro","Inpatient curative care",":",""
"2009","Slovenia","Million euro","Current health care expenditure (CHE)",":",""
"2009","Slovenia","Million euro","Curative care and rehabilitative care",":",""
"2009","Slovenia","Million euro","Curative care",":",""
"2009","Slovenia","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Slovenia","Million euro","Inpatient curative care",":",""
"2009","Slovakia","Million euro","Current health care expenditure (CHE)",":",""
"2009","Slovakia","Million euro","Curative care and rehabilitative care",":",""
"2009","Slovakia","Million euro","Curative care",":",""
"2009","Slovakia","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Slovakia","Million euro","Inpatient curative care",":",""
"2009","Finland","Million euro","Current health care expenditure (CHE)","16 650.25",""
"2009","Finland","Million euro","Curative care and rehabilitative care","9 162.95",""
"2009","Finland","Million euro","Curative care","8 757.97",""
"2009","Finland","Million euro","Inpatient curative and rehabilitative care","3 955.48",""
"2009","Finland","Million euro","Inpatient curative care","3 722.95",""
"2009","Sweden","Million euro","Current health care expenditure (CHE)","27 603.75",""
"2009","Sweden","Million euro","Curative care and rehabilitative care","17 939.56",""
"2009","Sweden","Million euro","Curative care",":",""
"2009","Sweden","Million euro","Inpatient curative and rehabilitative care","7 449.60",""
"2009","Sweden","Million euro","Inpatient curative care",":",""
"2009","Iceland","Million euro","Current health care expenditure (CHE)",":",""
"2009","Iceland","Million euro","Curative care and rehabilitative care",":",""
"2009","Iceland","Million euro","Curative care",":",""
"2009","Iceland","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Iceland","Million euro","Inpatient curative care",":",""
"2009","Liechtenstein","Million euro","Current health care expenditure (CHE)",":",""
"2009","Liechtenstein","Million euro","Curative care and rehabilitative care",":",""
"2009","Liechtenstein","Million euro","Curative care",":",""
"2009","Liechtenstein","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Liechtenstein","Million euro","Inpatient curative care",":",""
"2009","Norway","Million euro","Current health care expenditure (CHE)",":",""
"2009","Norway","Million euro","Curative care and rehabilitative care",":",""
"2009","Norway","Million euro","Curative care",":",""
"2009","Norway","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Norway","Million euro","Inpatient curative care",":",""
"2009","Switzerland","Million euro","Current health care expenditure (CHE)",":",""
"2009","Switzerland","Million euro","Curative care and rehabilitative care",":",""
"2009","Switzerland","Million euro","Curative care",":",""
"2009","Switzerland","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Switzerland","Million euro","Inpatient curative care",":",""
"2009","United Kingdom","Million euro","Current health care expenditure (CHE)",":",""
"2009","United Kingdom","Million euro","Curative care and rehabilitative care",":",""
"2009","United Kingdom","Million euro","Curative care",":",""
"2009","United Kingdom","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","United Kingdom","Million euro","Inpatient curative care",":",""
"2009","Bosnia and Herzegovina","Million euro","Current health care expenditure (CHE)",":",""
"2009","Bosnia and Herzegovina","Million euro","Curative care and rehabilitative care",":",""
"2009","Bosnia and Herzegovina","Million euro","Curative care",":",""
"2009","Bosnia and Herzegovina","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Bosnia and Herzegovina","Million euro","Inpatient curative care",":",""
"2010","European Union - 27 countries (from 2020)","Million euro","Current health care expenditure (CHE)",":",""
"2010","European Union - 27 countries (from 2020)","Million euro","Curative care and rehabilitative care",":",""
"2010","European Union - 27 countries (from 2020)","Million euro","Curative care",":",""
"2010","European Union - 27 countries (from 2020)","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","European Union - 27 countries (from 2020)","Million euro","Inpatient curative care",":",""
"2010","European Union - 28 countries (2013-2020)","Million euro","Current health care expenditure (CHE)",":",""
"2010","European Union - 28 countries (2013-2020)","Million euro","Curative care and rehabilitative care",":",""
"2010","European Union - 28 countries (2013-2020)","Million euro","Curative care",":",""
"2010","European Union - 28 countries (2013-2020)","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","European Union - 28 countries (2013-2020)","Million euro","Inpatient curative care",":",""
"2010","European Union - 27 countries (2007-2013)","Million euro","Current health care expenditure (CHE)",":",""
"2010","European Union - 27 countries (2007-2013)","Million euro","Curative care and rehabilitative care",":",""
"2010","European Union - 27 countries (2007-2013)","Million euro","Curative care",":",""
"2010","European Union - 27 countries (2007-2013)","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","European Union - 27 countries (2007-2013)","Million euro","Inpatient curative care",":",""
"2010","European Union - 15 countries (1995-2004)","Million euro","Current health care expenditure (CHE)",":",""
"2010","European Union - 15 countries (1995-2004)","Million euro","Curative care and rehabilitative care",":",""
"2010","European Union - 15 countries (1995-2004)","Million euro","Curative care",":",""
"2010","European Union - 15 countries (1995-2004)","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","European Union - 15 countries (1995-2004)","Million euro","Inpatient curative care",":",""
"2010","Euro area - 19 countries  (from 2015)","Million euro","Current health care expenditure (CHE)",":",""
"2010","Euro area - 19 countries  (from 2015)","Million euro","Curative care and rehabilitative care",":",""
"2010","Euro area - 19 countries  (from 2015)","Million euro","Curative care",":",""
"2010","Euro area - 19 countries  (from 2015)","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Euro area - 19 countries  (from 2015)","Million euro","Inpatient curative care",":",""
"2010","Euro area - 18 countries (2014)","Million euro","Current health care expenditure (CHE)",":",""
"2010","Euro area - 18 countries (2014)","Million euro","Curative care and rehabilitative care",":",""
"2010","Euro area - 18 countries (2014)","Million euro","Curative care",":",""
"2010","Euro area - 18 countries (2014)","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Euro area - 18 countries (2014)","Million euro","Inpatient curative care",":",""
"2010","Euro area - 12 countries (2001-2006)","Million euro","Current health care expenditure (CHE)",":",""
"2010","Euro area - 12 countries (2001-2006)","Million euro","Curative care and rehabilitative care",":",""
"2010","Euro area - 12 countries (2001-2006)","Million euro","Curative care",":",""
"2010","Euro area - 12 countries (2001-2006)","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Euro area - 12 countries (2001-2006)","Million euro","Inpatient curative care",":",""
"2010","Belgium","Million euro","Current health care expenditure (CHE)","37 162.79",""
"2010","Belgium","Million euro","Curative care and rehabilitative care","18 880.37",""
"2010","Belgium","Million euro","Curative care","16 182.22",""
"2010","Belgium","Million euro","Inpatient curative and rehabilitative care","10 113.50",""
"2010","Belgium","Million euro","Inpatient curative care","9 165.23",""
"2010","Bulgaria","Million euro","Current health care expenditure (CHE)",":",""
"2010","Bulgaria","Million euro","Curative care and rehabilitative care",":",""
"2010","Bulgaria","Million euro","Curative care",":",""
"2010","Bulgaria","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Bulgaria","Million euro","Inpatient curative care",":",""
"2010","Czechia","Million euro","Current health care expenditure (CHE)",":",""
"2010","Czechia","Million euro","Curative care and rehabilitative care",":",""
"2010","Czechia","Million euro","Curative care",":",""
"2010","Czechia","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Czechia","Million euro","Inpatient curative care",":",""
"2010","Denmark","Million euro","Current health care expenditure (CHE)","25 126.67",""
"2010","Denmark","Million euro","Curative care and rehabilitative care","13 902.12",""
"2010","Denmark","Million euro","Curative care","13 720.90",""
"2010","Denmark","Million euro","Inpatient curative and rehabilitative care","7 177.57",""
"2010","Denmark","Million euro","Inpatient curative care","7 177.57",""
"2010","Germany (until 1990 former territory of the FRG)","Million euro","Current health care expenditure (CHE)","284 568.00",""
"2010","Germany (until 1990 former territory of the FRG)","Million euro","Curative care and rehabilitative care","146 150.00",""
"2010","Germany (until 1990 former territory of the FRG)","Million euro","Curative care","137 635.00",""
"2010","Germany (until 1990 former territory of the FRG)","Million euro","Inpatient curative and rehabilitative care","77 889.00",""
"2010","Germany (until 1990 former territory of the FRG)","Million euro","Inpatient curative care","70 275.00",""
"2010","Estonia","Million euro","Current health care expenditure (CHE)","932.10",""
"2010","Estonia","Million euro","Curative care and rehabilitative care","527.85",""
"2010","Estonia","Million euro","Curative care","514.61",""
"2010","Estonia","Million euro","Inpatient curative and rehabilitative care","247.97",""
"2010","Estonia","Million euro","Inpatient curative care","243.25",""
"2010","Ireland","Million euro","Current health care expenditure (CHE)",":",""
"2010","Ireland","Million euro","Curative care and rehabilitative care",":",""
"2010","Ireland","Million euro","Curative care",":",""
"2010","Ireland","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Ireland","Million euro","Inpatient curative care",":",""
"2010","Greece","Million euro","Current health care expenditure (CHE)","21 508.34",""
"2010","Greece","Million euro","Curative care and rehabilitative care","13 310.17",""
"2010","Greece","Million euro","Curative care","13 300.59",""
"2010","Greece","Million euro","Inpatient curative and rehabilitative care","8 500.55",""
"2010","Greece","Million euro","Inpatient curative care","8 492.45",""
"2010","Spain","Million euro","Current health care expenditure (CHE)","97 815.78",""
"2010","Spain","Million euro","Curative care and rehabilitative care","55 356.26",""
"2010","Spain","Million euro","Curative care","55 356.26",""
"2010","Spain","Million euro","Inpatient curative and rehabilitative care","22 978.31",""
"2010","Spain","Million euro","Inpatient curative care","22 978.31",""
"2010","France","Million euro","Current health care expenditure (CHE)","224 272.75",""
"2010","France","Million euro","Curative care and rehabilitative care","117 490.92",""
"2010","France","Million euro","Curative care","95 432.53",""
"2010","France","Million euro","Inpatient curative and rehabilitative care","63 608.56",""
"2010","France","Million euro","Inpatient curative care","47 965.00",""
"2010","Croatia","Million euro","Current health care expenditure (CHE)",":",""
"2010","Croatia","Million euro","Curative care and rehabilitative care",":",""
"2010","Croatia","Million euro","Curative care",":",""
"2010","Croatia","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Croatia","Million euro","Inpatient curative care",":",""
"2010","Italy","Million euro","Current health care expenditure (CHE)",":",""
"2010","Italy","Million euro","Curative care and rehabilitative care",":",""
"2010","Italy","Million euro","Curative care",":",""
"2010","Italy","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Italy","Million euro","Inpatient curative care",":",""
"2010","Cyprus","Million euro","Current health care expenditure (CHE)","1 265.08",""
"2010","Cyprus","Million euro","Curative care and rehabilitative care","821.30",""
"2010","Cyprus","Million euro","Curative care","740.63",""
"2010","Cyprus","Million euro","Inpatient curative and rehabilitative care","394.71",""
"2010","Cyprus","Million euro","Inpatient curative care","365.72",""
"2010","Latvia","Million euro","Current health care expenditure (CHE)",":",""
"2010","Latvia","Million euro","Curative care and rehabilitative care",":",""
"2010","Latvia","Million euro","Curative care",":",""
"2010","Latvia","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Latvia","Million euro","Inpatient curative care",":",""
"2010","Lithuania","Million euro","Current health care expenditure (CHE)","1 910.39",""
"2010","Lithuania","Million euro","Curative care and rehabilitative care","995.38",""
"2010","Lithuania","Million euro","Curative care","931.66",""
"2010","Lithuania","Million euro","Inpatient curative and rehabilitative care","544.25",""
"2010","Lithuania","Million euro","Inpatient curative care","486.81",""
"2010","Luxembourg","Million euro","Current health care expenditure (CHE)",":",""
"2010","Luxembourg","Million euro","Curative care and rehabilitative care",":",""
"2010","Luxembourg","Million euro","Curative care",":",""
"2010","Luxembourg","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Luxembourg","Million euro","Inpatient curative care",":",""
"2010","Hungary","Million euro","Current health care expenditure (CHE)","7 431.57",""
"2010","Hungary","Million euro","Curative care and rehabilitative care","3 645.27",""
"2010","Hungary","Million euro","Curative care","3 375.86",""
"2010","Hungary","Million euro","Inpatient curative and rehabilitative care","1 842.82",""
"2010","Hungary","Million euro","Inpatient curative care","1 636.07",""
"2010","Malta","Million euro","Current health care expenditure (CHE)",":",""
"2010","Malta","Million euro","Curative care and rehabilitative care",":",""
"2010","Malta","Million euro","Curative care",":",""
"2010","Malta","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Malta","Million euro","Inpatient curative care",":",""
"2010","Netherlands","Million euro","Current health care expenditure (CHE)","64 910.43",""
"2010","Netherlands","Million euro","Curative care and rehabilitative care","31 912.51",""
"2010","Netherlands","Million euro","Curative care","29 528.06",""
"2010","Netherlands","Million euro","Inpatient curative and rehabilitative care","13 253.56",""
"2010","Netherlands","Million euro","Inpatient curative care","12 578.67",""
"2010","Austria","Million euro","Current health care expenditure (CHE)","30 243.65",""
"2010","Austria","Million euro","Curative care and rehabilitative care","17 950.13",""
"2010","Austria","Million euro","Curative care","16 136.76",""
"2010","Austria","Million euro","Inpatient curative and rehabilitative care","10 317.39",""
"2010","Austria","Million euro","Inpatient curative care","9 070.05",""
"2010","Poland","Million euro","Current health care expenditure (CHE)",":",""
"2010","Poland","Million euro","Curative care and rehabilitative care",":",""
"2010","Poland","Million euro","Curative care",":",""
"2010","Poland","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Poland","Million euro","Inpatient curative care",":",""
"2010","Portugal","Million euro","Current health care expenditure (CHE)","17 668.16",""
"2010","Portugal","Million euro","Curative care and rehabilitative care","11 156.38",""
"2010","Portugal","Million euro","Curative care","10 463.38",""
"2010","Portugal","Million euro","Inpatient curative and rehabilitative care","3 083.64",""
"2010","Portugal","Million euro","Inpatient curative care","2 901.69",""
"2010","Romania","Million euro","Current health care expenditure (CHE)",":",""
"2010","Romania","Million euro","Curative care and rehabilitative care",":",""
"2010","Romania","Million euro","Curative care",":",""
"2010","Romania","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Romania","Million euro","Inpatient curative care",":",""
"2010","Slovenia","Million euro","Current health care expenditure (CHE)",":",""
"2010","Slovenia","Million euro","Curative care and rehabilitative care",":",""
"2010","Slovenia","Million euro","Curative care",":",""
"2010","Slovenia","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Slovenia","Million euro","Inpatient curative care",":",""
"2010","Slovakia","Million euro","Current health care expenditure (CHE)",":",""
"2010","Slovakia","Million euro","Curative care and rehabilitative care",":",""
"2010","Slovakia","Million euro","Curative care",":",""
"2010","Slovakia","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Slovakia","Million euro","Inpatient curative care",":",""
"2010","Finland","Million euro","Current health care expenditure (CHE)","17 200.09",""
"2010","Finland","Million euro","Curative care and rehabilitative care","9 589.39",""
"2010","Finland","Million euro","Curative care","9 184.50",""
"2010","Finland","Million euro","Inpatient curative and rehabilitative care","4 111.88",""
"2010","Finland","Million euro","Inpatient curative care","3 878.41",""
"2010","Sweden","Million euro","Current health care expenditure (CHE)","31 202.33",""
"2010","Sweden","Million euro","Curative care and rehabilitative care","20 445.20",""
"2010","Sweden","Million euro","Curative care",":",""
"2010","Sweden","Million euro","Inpatient curative and rehabilitative care","8 392.73",""
"2010","Sweden","Million euro","Inpatient curative care",":",""
"2010","Iceland","Million euro","Current health care expenditure (CHE)",":",""
"2010","Iceland","Million euro","Curative care and rehabilitative care",":",""
"2010","Iceland","Million euro","Curative care",":",""
"2010","Iceland","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Iceland","Million euro","Inpatient curative care",":",""
"2010","Liechtenstein","Million euro","Current health care expenditure (CHE)",":",""
"2010","Liechtenstein","Million euro","Curative care and rehabilitative care",":",""
"2010","Liechtenstein","Million euro","Curative care",":",""
"2010","Liechtenstein","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Liechtenstein","Million euro","Inpatient curative care",":",""
"2010","Norway","Million euro","Current health care expenditure (CHE)",":",""
"2010","Norway","Million euro","Curative care and rehabilitative care",":",""
"2010","Norway","Million euro","Curative care",":",""
"2010","Norway","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Norway","Million euro","Inpatient curative care",":",""
"2010","Switzerland","Million euro","Current health care expenditure (CHE)","45 327.09",""
"2010","Switzerland","Million euro","Curative care and rehabilitative care","24 445.55",""
"2010","Switzerland","Million euro","Curative care","22 384.02",""
"2010","Switzerland","Million euro","Inpatient curative and rehabilitative care","12 216.64",""
"2010","Switzerland","Million euro","Inpatient curative care","10 931.21",""
"2010","United Kingdom","Million euro","Current health care expenditure (CHE)",":",""
"2010","United Kingdom","Million euro","Curative care and rehabilitative care",":",""
"2010","United Kingdom","Million euro","Curative care",":",""
"2010","United Kingdom","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","United Kingdom","Million euro","Inpatient curative care",":",""
"2010","Bosnia and Herzegovina","Million euro","Current health care expenditure (CHE)",":",""
"2010","Bosnia and Herzegovina","Million euro","Curative care and rehabilitative care",":",""
"2010","Bosnia and Herzegovina","Million euro","Curative care",":",""
"2010","Bosnia and Herzegovina","Million euro","Inpatient curative and rehabilitative care",":",""
"2010","Bosnia and Herzegovina","Million euro","Inpatient curative care",":",""
"2011","European Union - 27 countries (from 2020)","Million euro","Current health care expenditure (CHE)",":",""
"2011","European Union - 27 countries (from 2020)","Million euro","Curative care and rehabilitative care",":",""
"2011","European Union - 27 countries (from 2020)","Million euro","Curative care",":",""
"2011","European Union - 27 countries (from 2020)","Million euro","Inpatient curative and rehabilitative care",":",""
"2011","European Union - 27 countries (from 2020)","Million euro","Inpatient curative care",":",""
"2011","European Union - 28 countries (2013-2020)","Million euro","Current health care expenditure (CHE)",":",""
"2011","European Union - 28 countries (2013-2020)","Million euro","Curative care and rehabilitative care",":",""
"2011","European Union - 28 countries (2013-2020)","Million euro","Curative care",":",""
"2011","European Union - 28 countries (2013-2020)","Million euro","Inpatient curative and rehabilitative care",":",""
"2011","European Union - 28 countries (2013-2020)","Million euro","Inpatient curative care",":",""
"2011","European Union - 27 countries (2007-2013)","Million euro","Current health care expenditure (CHE)",":",""
"2011","European Union - 27 countries (2007-2013)","Million euro","Curative care and rehabilitative care",":",""
"2011","European Union - 27 countries (2007-2013)","Million euro","Curative care",":",""
