"TIME_nm","Country_nm","Enfermeria_Matronas_Assitentes","Dentistas","Farmaceuticos","Fisioterapeutas"
2016,"Serbia",45138,1987,2135,2135
2016,"Turkey",1084456,8058,7172,13876
2017,"Belgium",289689,8516,14084,14084
2017,"Bulgaria",167397,8396,14084,29492
2017,"Czechia",167397,7921,7308,7921
2017,"Denmark",167397,4141,3063,4141
2017,"Germany (until 1990 former territory of the FRG)",289689,70786,53480,70786
2017,"Estonia",167397,1265,956,1265
2017,"Ireland",167397,8396,7308,15660
2017,"Greece",167397,8396,7308,14084
2017,"Spain",277533,8396,53867,177731
2017,"France",1834217,43167,69346,69346
2017,"France (metropolitan)",289689,8396,7308,14084
2017,"Croatia",289689,3433,3072,3433
2017,"Italy",1096971,49552,70934,70934
2017,"Cyprus",289689,939,785,939
2017,"Latvia",11467,1380,1850,1850
2017,"Lithuania",30492,2839,2803,2839
2017,"Luxembourg",11057,581,416,581
2017,"Hungary",289689,6589,7557,7557
2017,"Malta",289689,223,605,605
2017,"Netherlands",289689,9435,3571,9435
2017,"Austria",289689,5009,6246,6246
2017,"Poland",289689,13331,29330,29330
2017,"Portugal",289689,8396,9340,9340
2017,"Romania",211174,15497,17759,17759
2017,"Slovenia",23127,1455,1422,1455
2017,"Slovakia",42294,8396,7308,14084
2017,"Finland",235962,3988,6020,5941
2017,"Sweden",289689,8173,7689,8173
2017,"Iceland",289689,279,171,279
2017,"Liechtenstein",1153,48,20,48
2017,"Norway",227616,4590,4241,4590
2017,"Switzerland",289689,4361,5889,5889
2017,"United Kingdom",289689,34760,58329,58329
2017,"Montenegro",289689,8396,7308,1650
2017,"North Macedonia",10276,8396,7308,14084
2017,"Albania",289689,8396,1388,3696
2017,"Serbia",45532,1932,1965,1965
2017,"Turkey",289689,8396,7308,14084
2018,"Belgium",259798,8614,14280,14280
2018,"Bulgaria",168590,7282,14280,29625
2018,"Czechia",168590,7844,7347,7844
2018,"Denmark",168590,4162,3130,4162
2018,"Germany (until 1990 former territory of the FRG)",1145000,71093,54493,71093
2018,"Estonia",168590,1277,955,1277
2018,"Ireland",62700,7844,7347,15962
2018,"Greece",168590,7844,7347,14280
2018,"Spain",284733,7844,55633,180633
2018,"France",1894224,43333,69145,69145
2018,"France (metropolitan)",1104660,7844,7347,14280
2018,"Croatia",168590,3470,3119,3470
2018,"Italy",1104660,50305,71953,71953
2018,"Cyprus",1104660,976,798,976
2018,"Latvia",10990,1361,1650,1650
2018,"Lithuania",30764,2758,2880,2880
2018,"Luxembourg",10788,550,406,581
2018,"Hungary",1104660,6870,7842,7842
2018,"Malta",1104660,232,624,624
2018,"Netherlands",1104660,9470,3619,9470
2018,"Austria",1104660,5027,6349,6349
2018,"Poland",1104660,13308,29268,29330
2018,"Portugal",1104660,7844,9353,9340
2018,"Romania",216169,16262,17541,17541
2018,"Slovenia",23967,1492,1466,1492
2018,"Slovakia",42799,7844,7347,14280
2018,"Finland",232650,3988,6020,5941
2018,"Sweden",1104660,8080,7612,8173
2018,"Iceland",1104660,289,182,289
2018,"Liechtenstein",1182,48,24,48
2018,"Norway",228823,4642,4419,4642
2018,"Switzerland",1104660,4337,5886,5886
2018,"United Kingdom",1104660,35000,59704,59704
2018,"Montenegro",1104660,7844,7347,1650
2018,"North Macedonia",10276,7844,7347,14280
2018,"Albania",1104660,7844,1388,3696
2018,"Serbia",45926,1930,1850,1930
2018,"Turkey",1104660,7844,7347,14280
2019,"Belgium",259798,8516,14084,14280
2019,"Bulgaria",34121,8058,5891,7282
2019,"Czechia",118818,7921,7308,7844
2019,"Denmark",167397,4162,3063,4162
2019,"Germany (until 1990 former territory of the FRG)",168590,70786,53480,71093
2019,"Estonia",168590,1265,956,1277
2019,"Ireland",168590,16366,5299,15962
2019,"Greece",168590,285,5891,5891
2019,"Spain",168590,285,55633,180633
2019,"France",1834217,43167,69346,69145
2019,"France (metropolitan)",168590,285,5891,5891
2019,"Croatia",168590,3433,3072,3470
2019,"Italy",1096971,48638,69269,69269
2019,"Cyprus",168590,939,785,976
2019,"Latvia",11467,1380,1613,1613
2019,"Lithuania",30624,2787,2880,2880
2019,"Luxembourg",10788,550,406,581
2019,"Hungary",168590,6589,7557,7842
2019,"Malta",168590,223,605,624
2019,"Netherlands",168590,9435,3619,9470
2019,"Austria",168590,5009,6246,6349
2019,"Poland",168590,13308,29268,29330
2019,"Portugal",168590,285,9340,9340
2019,"Romania",211174,16262,17541,17541
2019,"Slovenia",23127,1455,1422,1492
2019,"Slovakia",42799,285,5891,5891
2019,"Finland",232650,3988,6020,5941
2019,"Sweden",168590,8080,7612,8173
2019,"Iceland",5827,285,171,1373
2019,"Liechtenstein",1253,51,23,51
2019,"Norway",231665,4703,4596,4703
2019,"Switzerland",168590,4337,5886,5886
2019,"United Kingdom",168590,35568,58640,58640
2019,"Montenegro",168590,285,5891,1650
2019,"North Macedonia",10276,285,5891,5891
2019,"Albania",168590,285,1388,3696
2019,"Serbia",45532,1932,1965,1930
2019,"Turkey",168590,285,5891,5891
