"TIME","GEO","UNIT","AGE","Value","Value_imp"
2010,"Netherlands","Number","Less than 35 years",12511,FALSE
2010,"Netherlands","Number","From 35 to 44 years",12036,FALSE
2010,"Netherlands","Number","From 45 to 54 years",13048,FALSE
2010,"Netherlands","Number","From 55 to 64 years",10549,FALSE
2010,"Austria","Number","Total",40105,FALSE
2010,"Austria","Number","Less than 35 years",7333,FALSE
2010,"Austria","Number","From 35 to 44 years",9755,FALSE
2010,"Austria","Number","From 45 to 54 years",13797,FALSE
2010,"Austria","Number","From 55 to 64 years",7262,FALSE
2010,"Poland","Number","Total",83201,FALSE
2010,"Poland","Number","Less than 35 years",4012,TRUE
2010,"Poland","Number","From 35 to 44 years",7867,TRUE
2010,"Poland","Number","From 45 to 54 years",9108,TRUE
2010,"Poland","Number","From 55 to 64 years",8691,TRUE
2010,"Portugal","Number","Total",40672,FALSE
2010,"Portugal","Number","Less than 35 years",4012,TRUE
2010,"Portugal","Number","From 35 to 44 years",7867,TRUE
2010,"Portugal","Number","From 45 to 54 years",9108,TRUE
2010,"Portugal","Number","From 55 to 64 years",8691,TRUE
2010,"Romania","Number","Total",50778,FALSE
2010,"Romania","Number","Less than 35 years",15416,FALSE
2010,"Romania","Number","From 35 to 44 years",12739,FALSE
2010,"Romania","Number","From 45 to 54 years",11831,FALSE
2010,"Romania","Number","From 55 to 64 years",9394,FALSE
2010,"Slovenia","Number","Total",4979,FALSE
2010,"Slovenia","Number","Less than 35 years",959,FALSE
2010,"Slovenia","Number","From 35 to 44 years",1279,FALSE
2010,"Slovenia","Number","From 45 to 54 years",1429,FALSE
2010,"Slovenia","Number","From 55 to 64 years",1089,FALSE
2010,"Slovakia","Number","Total",18110,FALSE
2010,"Slovakia","Number","Less than 35 years",3576,FALSE
2010,"Slovakia","Number","From 35 to 44 years",4501,FALSE
2010,"Slovakia","Number","From 45 to 54 years",3970,FALSE
2010,"Slovakia","Number","From 55 to 64 years",4798,FALSE
2010,"Finland","Number","Total",17520,FALSE
2010,"Finland","Number","Less than 35 years",3304,FALSE
2010,"Finland","Number","From 35 to 44 years",4510,FALSE
2010,"Finland","Number","From 45 to 54 years",5547,FALSE
2010,"Finland","Number","From 55 to 64 years",4159,FALSE
2010,"Sweden","Number","Total",35708,FALSE
2010,"Sweden","Number","Less than 35 years",6320,FALSE
2010,"Sweden","Number","From 35 to 44 years",8814,FALSE
2010,"Sweden","Number","From 45 to 54 years",8320,FALSE
2010,"Sweden","Number","From 55 to 64 years",9354,FALSE
2010,"Iceland","Number","Total",1142,FALSE
2010,"Iceland","Number","Less than 35 years",166,FALSE
2010,"Iceland","Number","From 35 to 44 years",195,FALSE
2010,"Iceland","Number","From 45 to 54 years",362,FALSE
2010,"Iceland","Number","From 55 to 64 years",330,FALSE
2010,"Liechtenstein","Number","Total",104,FALSE
2010,"Liechtenstein","Number","Less than 35 years",2,FALSE
2010,"Liechtenstein","Number","From 35 to 44 years",27,FALSE
2010,"Liechtenstein","Number","From 45 to 54 years",39,FALSE
2010,"Liechtenstein","Number","From 55 to 64 years",31,FALSE
2010,"Norway","Number","Total",20114,FALSE
2010,"Norway","Number","Less than 35 years",5073,FALSE
2010,"Norway","Number","From 35 to 44 years",5274,FALSE
2010,"Norway","Number","From 45 to 54 years",4388,FALSE
2010,"Norway","Number","From 55 to 64 years",3936,FALSE
2010,"Switzerland","Number","Total",29803,FALSE
2010,"Switzerland","Number","Less than 35 years",3439,FALSE
2010,"Switzerland","Number","From 35 to 44 years",8068,FALSE
2010,"Switzerland","Number","From 45 to 54 years",9183,FALSE
2010,"Switzerland","Number","From 55 to 64 years",7206,FALSE
2010,"United Kingdom","Number","Total",165060,FALSE
2010,"United Kingdom","Number","Less than 35 years",56194,FALSE
2010,"United Kingdom","Number","From 35 to 44 years",48800,FALSE
2010,"United Kingdom","Number","From 45 to 54 years",38261,FALSE
2010,"United Kingdom","Number","From 55 to 64 years",18945,FALSE
2010,"Montenegro","Number","Total",1276,FALSE
2010,"Montenegro","Number","Less than 35 years",236,FALSE
2010,"Montenegro","Number","From 35 to 44 years",359,FALSE
2010,"Montenegro","Number","From 45 to 54 years",454,FALSE
2010,"Montenegro","Number","From 55 to 64 years",227,FALSE
2010,"North Macedonia","Number","Total",5541,FALSE
2010,"North Macedonia","Number","Less than 35 years",810,FALSE
2010,"North Macedonia","Number","From 35 to 44 years",1178,FALSE
2010,"North Macedonia","Number","From 45 to 54 years",2037,FALSE
2010,"North Macedonia","Number","From 55 to 64 years",1516,FALSE
2010,"Serbia","Number","Total",22316,FALSE
2010,"Serbia","Number","Less than 35 years",3611,FALSE
2010,"Serbia","Number","From 35 to 44 years",6417,FALSE
2010,"Serbia","Number","From 45 to 54 years",7541,FALSE
2010,"Serbia","Number","From 55 to 64 years",4682,FALSE
2010,"Turkey","Number","Total",123447,FALSE
2010,"Turkey","Number","Less than 35 years",43729,FALSE
2010,"Turkey","Number","From 35 to 44 years",40457,FALSE
2010,"Turkey","Number","From 45 to 54 years",21724,FALSE
2010,"Turkey","Number","From 55 to 64 years",9834,FALSE
2011,"European Union - 27 countries (from 2020)","Number","Total",1612767,TRUE
2011,"European Union - 27 countries (from 2020)","Number","Less than 35 years",4132,TRUE
2011,"European Union - 27 countries (from 2020)","Number","From 35 to 44 years",7871,TRUE
2011,"European Union - 27 countries (from 2020)","Number","From 45 to 54 years",8850,TRUE
2011,"European Union - 27 countries (from 2020)","Number","From 55 to 64 years",8974,TRUE
2011,"European Union - 28 countries (2013-2020)","Number","Total",1791929,TRUE
2011,"European Union - 28 countries (2013-2020)","Number","Less than 35 years",4132,TRUE
2011,"European Union - 28 countries (2013-2020)","Number","From 35 to 44 years",7871,TRUE
2011,"European Union - 28 countries (2013-2020)","Number","From 45 to 54 years",8850,TRUE
2011,"European Union - 28 countries (2013-2020)","Number","From 55 to 64 years",8974,TRUE
2011,"Belgium","Number","Total",32182,FALSE
2011,"Belgium","Number","Less than 35 years",2420,FALSE
2011,"Belgium","Number","From 35 to 44 years",7871,FALSE
2011,"Belgium","Number","From 45 to 54 years",8850,FALSE
2011,"Belgium","Number","From 55 to 64 years",8974,FALSE
2011,"Bulgaria","Number","Total",29038,TRUE
2011,"Bulgaria","Number","Less than 35 years",2943,TRUE
2011,"Bulgaria","Number","From 35 to 44 years",3709,TRUE
2011,"Bulgaria","Number","From 45 to 54 years",9456,TRUE
2011,"Bulgaria","Number","From 55 to 64 years",9061,TRUE
2011,"Czechia","Number","Total",38171,FALSE
2011,"Czechia","Number","Less than 35 years",7287,FALSE
2011,"Czechia","Number","From 35 to 44 years",8698,FALSE
2011,"Czechia","Number","From 45 to 54 years",8882,FALSE
2011,"Czechia","Number","From 55 to 64 years",9508,FALSE
2011,"Denmark","Number","Total",21108,FALSE
2011,"Denmark","Number","Less than 35 years",4132,FALSE
2011,"Denmark","Number","From 35 to 44 years",5265,FALSE
2011,"Denmark","Number","From 45 to 54 years",4804,FALSE
2011,"Denmark","Number","From 55 to 64 years",5114,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Number","Total",311223,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Number","Less than 35 years",57748,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Number","From 35 to 44 years",36100,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Number","From 45 to 54 years",91591,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Number","From 55 to 64 years",114365,FALSE
2011,"Estonia","Number","Total",4372,FALSE
2011,"Estonia","Number","Less than 35 years",782,TRUE
2011,"Estonia","Number","From 35 to 44 years",632,TRUE
2011,"Estonia","Number","From 45 to 54 years",1070,TRUE
2011,"Estonia","Number","From 55 to 64 years",1180,TRUE
2011,"Ireland","Number","Total",18795,FALSE
2011,"Ireland","Number","Less than 35 years",5869,FALSE
2011,"Ireland","Number","From 35 to 44 years",5328,FALSE
2011,"Ireland","Number","From 45 to 54 years",3989,FALSE
2011,"Ireland","Number","From 55 to 64 years",2228,FALSE
2011,"Greece","Number","Total",64145,FALSE
2011,"Greece","Number","Less than 35 years",12244,FALSE
2011,"Greece","Number","From 35 to 44 years",21399,FALSE
2011,"Greece","Number","From 45 to 54 years",14490,FALSE
2011,"Greece","Number","From 55 to 64 years",12269,FALSE
2011,"Spain","Number","Total",179267,FALSE
2011,"Spain","Number","Less than 35 years",43700,FALSE
2011,"Spain","Number","From 35 to 44 years",44867,FALSE
2011,"Spain","Number","From 45 to 54 years",49333,FALSE
2011,"Spain","Number","From 55 to 64 years",34933,FALSE
2011,"France","Number","Total",199920,FALSE
2011,"France","Number","Less than 35 years",17865,FALSE
2011,"France","Number","From 35 to 44 years",37929,FALSE
2011,"France","Number","From 45 to 54 years",61853,FALSE
2011,"France","Number","From 55 to 64 years",69758,FALSE
2011,"Croatia","Number","Total",12490,FALSE
2011,"Croatia","Number","Less than 35 years",2704,FALSE
2011,"Croatia","Number","From 35 to 44 years",2881,FALSE
2011,"Croatia","Number","From 45 to 54 years",3797,FALSE
2011,"Croatia","Number","From 55 to 64 years",2847,FALSE
2011,"Italy","Number","Total",379930,FALSE
2011,"Italy","Number","Less than 35 years",50260,FALSE
2011,"Italy","Number","From 35 to 44 years",54414,FALSE
2011,"Italy","Number","From 45 to 54 years",104373,FALSE
2011,"Italy","Number","From 55 to 64 years",123815,FALSE
2011,"Cyprus","Number","Total",3046,TRUE
2011,"Cyprus","Number","Less than 35 years",311,TRUE
2011,"Cyprus","Number","From 35 to 44 years",704,TRUE
2011,"Cyprus","Number","From 45 to 54 years",690,TRUE
2011,"Cyprus","Number","From 55 to 64 years",879,TRUE
2011,"Latvia","Number","Total",6456,FALSE
2011,"Latvia","Number","Less than 35 years",652,FALSE
2011,"Latvia","Number","From 35 to 44 years",1166,FALSE
2011,"Latvia","Number","From 45 to 54 years",2040,FALSE
2011,"Latvia","Number","From 55 to 64 years",1586,FALSE
2011,"Lithuania","Number","Total",13327,FALSE
2011,"Lithuania","Number","Less than 35 years",2550,FALSE
2011,"Lithuania","Number","From 35 to 44 years",2248,FALSE
2011,"Lithuania","Number","From 45 to 54 years",3549,FALSE
2011,"Lithuania","Number","From 55 to 64 years",3285,FALSE
2011,"Luxembourg","Number","Total",1439,FALSE
2011,"Luxembourg","Number","Less than 35 years",73,FALSE
2011,"Luxembourg","Number","From 35 to 44 years",313,FALSE
2011,"Luxembourg","Number","From 45 to 54 years",566,FALSE
2011,"Luxembourg","Number","From 55 to 64 years",385,FALSE
2011,"Hungary","Number","Total",29500,FALSE
2011,"Hungary","Number","Less than 35 years",4655,FALSE
2011,"Hungary","Number","From 35 to 44 years",5699,FALSE
2011,"Hungary","Number","From 45 to 54 years",7304,FALSE
2011,"Hungary","Number","From 55 to 64 years",7541,FALSE
2011,"Malta","Number","Total",1319,FALSE
2011,"Malta","Number","Less than 35 years",519,FALSE
2011,"Malta","Number","From 35 to 44 years",235,FALSE
2011,"Malta","Number","From 45 to 54 years",372,FALSE
2011,"Malta","Number","From 55 to 64 years",124,FALSE
2011,"Netherlands","Number","Total",52295,FALSE
2011,"Netherlands","Number","Less than 35 years",14358,FALSE
2011,"Netherlands","Number","From 35 to 44 years",12404,FALSE
2011,"Netherlands","Number","From 45 to 54 years",12915,FALSE
2011,"Netherlands","Number","From 55 to 64 years",11117,FALSE
2011,"Austria","Number","Total",40634,FALSE
2011,"Austria","Number","Less than 35 years",7675,FALSE
2011,"Austria","Number","From 35 to 44 years",9910,FALSE
2011,"Austria","Number","From 45 to 54 years",13669,FALSE
2011,"Austria","Number","From 55 to 64 years",7506,FALSE
2011,"Poland","Number","Total",84221,FALSE
2011,"Poland","Number","Less than 35 years",4132,TRUE
2011,"Poland","Number","From 35 to 44 years",7871,TRUE
2011,"Poland","Number","From 45 to 54 years",8850,TRUE
2011,"Poland","Number","From 55 to 64 years",8974,TRUE
2011,"Portugal","Number","Total",42054,FALSE
2011,"Portugal","Number","Less than 35 years",4132,TRUE
2011,"Portugal","Number","From 35 to 44 years",7871,TRUE
2011,"Portugal","Number","From 45 to 54 years",8850,TRUE
2011,"Portugal","Number","From 55 to 64 years",8974,TRUE
2011,"Romania","Number","Total",51153,FALSE
2011,"Romania","Number","Less than 35 years",15719,FALSE
2011,"Romania","Number","From 35 to 44 years",12807,FALSE
2011,"Romania","Number","From 45 to 54 years",11451,FALSE
2011,"Romania","Number","From 55 to 64 years",9779,FALSE
2011,"Slovenia","Number","Total",5121,FALSE
2011,"Slovenia","Number","Less than 35 years",1037,FALSE
2011,"Slovenia","Number","From 35 to 44 years",1284,FALSE
2011,"Slovenia","Number","From 45 to 54 years",1427,FALSE
2011,"Slovenia","Number","From 55 to 64 years",1106,FALSE
2011,"Slovakia","Number","Total",17849,FALSE
2011,"Slovakia","Number","Less than 35 years",3529,FALSE
2011,"Slovakia","Number","From 35 to 44 years",4444,FALSE
2011,"Slovakia","Number","From 45 to 54 years",3700,FALSE
2011,"Slovakia","Number","From 55 to 64 years",4878,FALSE
2011,"Finland","Number","Total",17589,FALSE
2011,"Finland","Number","Less than 35 years",3424,FALSE
2011,"Finland","Number","From 35 to 44 years",4436,FALSE
2011,"Finland","Number","From 45 to 54 years",5373,FALSE
2011,"Finland","Number","From 55 to 64 years",4356,FALSE
2011,"Sweden","Number","Total",36743,FALSE
2011,"Sweden","Number","Less than 35 years",6652,FALSE
2011,"Sweden","Number","From 35 to 44 years",9195,FALSE
2011,"Sweden","Number","From 45 to 54 years",8174,FALSE
2011,"Sweden","Number","From 55 to 64 years",9431,FALSE
2011,"Iceland","Number","Total",1118,FALSE
2011,"Iceland","Number","Less than 35 years",152,FALSE
2011,"Iceland","Number","From 35 to 44 years",174,FALSE
2011,"Iceland","Number","From 45 to 54 years",355,FALSE
2011,"Iceland","Number","From 55 to 64 years",328,FALSE
2011,"Liechtenstein","Number","Total",111,FALSE
2011,"Liechtenstein","Number","Less than 35 years",2,FALSE
2011,"Liechtenstein","Number","From 35 to 44 years",26,FALSE
2011,"Liechtenstein","Number","From 45 to 54 years",40,FALSE
2011,"Liechtenstein","Number","From 55 to 64 years",37,FALSE
2011,"Norway","Number","Total",20744,FALSE
2011,"Norway","Number","Less than 35 years",5276,FALSE
2011,"Norway","Number","From 35 to 44 years",5573,FALSE
2011,"Norway","Number","From 45 to 54 years",4306,FALSE
2011,"Norway","Number","From 55 to 64 years",4010,FALSE
2011,"Switzerland","Number","Total",30327,FALSE
2011,"Switzerland","Number","Less than 35 years",3458,FALSE
2011,"Switzerland","Number","From 35 to 44 years",8143,FALSE
2011,"Switzerland","Number","From 45 to 54 years",9135,FALSE
2011,"Switzerland","Number","From 55 to 64 years",7464,FALSE
2011,"United Kingdom","Number","Total",168751,FALSE
2011,"United Kingdom","Number","Less than 35 years",56518,FALSE
2011,"United Kingdom","Number","From 35 to 44 years",50183,FALSE
2011,"United Kingdom","Number","From 45 to 54 years",39501,FALSE
2011,"United Kingdom","Number","From 55 to 64 years",19253,FALSE
2011,"Montenegro","Number","Total",1259,FALSE
2011,"Montenegro","Number","Less than 35 years",213,FALSE
2011,"Montenegro","Number","From 35 to 44 years",360,FALSE
2011,"Montenegro","Number","From 45 to 54 years",457,FALSE
2011,"Montenegro","Number","From 55 to 64 years",229,FALSE
2011,"North Macedonia","Number","Total",5649,FALSE
2011,"North Macedonia","Number","Less than 35 years",943,FALSE
2011,"North Macedonia","Number","From 35 to 44 years",1248,FALSE
2011,"North Macedonia","Number","From 45 to 54 years",1826,FALSE
2011,"North Macedonia","Number","From 55 to 64 years",1632,FALSE
2011,"Serbia","Number","Total",22412,FALSE
2011,"Serbia","Number","Less than 35 years",3415,FALSE
2011,"Serbia","Number","From 35 to 44 years",6457,FALSE
2011,"Serbia","Number","From 45 to 54 years",7403,FALSE
2011,"Serbia","Number","From 55 to 64 years",5038,FALSE
2011,"Turkey","Number","Total",126029,FALSE
2011,"Turkey","Number","Less than 35 years",42934,FALSE
2011,"Turkey","Number","From 35 to 44 years",40124,FALSE
2011,"Turkey","Number","From 45 to 54 years",24226,FALSE
2011,"Turkey","Number","From 55 to 64 years",10449,FALSE
2012,"European Union - 27 countries (from 2020)","Number","Total",1612767,TRUE
2012,"European Union - 27 countries (from 2020)","Number","Less than 35 years",4208,TRUE
2012,"European Union - 27 countries (from 2020)","Number","From 35 to 44 years",7898,TRUE
2012,"European Union - 27 countries (from 2020)","Number","From 45 to 54 years",8641,TRUE
2012,"European Union - 27 countries (from 2020)","Number","From 55 to 64 years",9240,TRUE
2012,"European Union - 28 countries (2013-2020)","Number","Total",1791929,TRUE
2012,"European Union - 28 countries (2013-2020)","Number","Less than 35 years",4208,TRUE
2012,"European Union - 28 countries (2013-2020)","Number","From 35 to 44 years",7898,TRUE
2012,"European Union - 28 countries (2013-2020)","Number","From 45 to 54 years",8641,TRUE
2012,"European Union - 28 countries (2013-2020)","Number","From 55 to 64 years",9240,TRUE
2012,"Belgium","Number","Total",32583,FALSE
2012,"Belgium","Number","Less than 35 years",2356,FALSE
2012,"Belgium","Number","From 35 to 44 years",7898,FALSE
2012,"Belgium","Number","From 45 to 54 years",8641,FALSE
2012,"Belgium","Number","From 55 to 64 years",9240,FALSE
2012,"Bulgaria","Number","Total",29038,TRUE
2012,"Bulgaria","Number","Less than 35 years",2943,TRUE
2012,"Bulgaria","Number","From 35 to 44 years",3709,TRUE
2012,"Bulgaria","Number","From 45 to 54 years",9456,TRUE
2012,"Bulgaria","Number","From 55 to 64 years",9061,TRUE
2012,"Czechia","Number","Total",38624,FALSE
2012,"Czechia","Number","Less than 35 years",7430,FALSE
2012,"Czechia","Number","From 35 to 44 years",8631,FALSE
2012,"Czechia","Number","From 45 to 54 years",8656,FALSE
2012,"Czechia","Number","From 55 to 64 years",9797,FALSE
2012,"Denmark","Number","Total",21458,FALSE
2012,"Denmark","Number","Less than 35 years",4208,FALSE
2012,"Denmark","Number","From 35 to 44 years",5474,FALSE
2012,"Denmark","Number","From 45 to 54 years",4696,FALSE
2012,"Denmark","Number","From 55 to 64 years",5126,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Number","Total",317390,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Number","Less than 35 years",58379,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Number","From 35 to 44 years",37274,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Number","From 45 to 54 years",88334,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Number","From 55 to 64 years",120468,FALSE
2012,"Estonia","Number","Total",4343,FALSE
2012,"Estonia","Number","Less than 35 years",782,TRUE
2012,"Estonia","Number","From 35 to 44 years",632,TRUE
2012,"Estonia","Number","From 45 to 54 years",1070,TRUE
2012,"Estonia","Number","From 55 to 64 years",1180,TRUE
2012,"Ireland","Number","Total",18167,FALSE
2012,"Ireland","Number","Less than 35 years",5502,FALSE
2012,"Ireland","Number","From 35 to 44 years",5039,FALSE
2012,"Ireland","Number","From 45 to 54 years",3917,FALSE
2012,"Ireland","Number","From 55 to 64 years",2223,FALSE
2012,"Greece","Number","Total",63838,FALSE
2012,"Greece","Number","Less than 35 years",11639,FALSE
2012,"Greece","Number","From 35 to 44 years",21591,FALSE
2012,"Greece","Number","From 45 to 54 years",14356,FALSE
2012,"Greece","Number","From 55 to 64 years",12262,FALSE
2012,"Spain","Number","Total",178833,FALSE
2012,"Spain","Number","Less than 35 years",40233,FALSE
2012,"Spain","Number","From 35 to 44 years",46500,FALSE
2012,"Spain","Number","From 45 to 54 years",49100,FALSE
2012,"Spain","Number","From 55 to 64 years",36267,FALSE
2012,"France","Number","Total",201784,FALSE
2012,"France","Number","Less than 35 years",18851,FALSE
2012,"France","Number","From 35 to 44 years",37825,FALSE
2012,"France","Number","From 45 to 54 years",58595,FALSE
2012,"France","Number","From 55 to 64 years",71004,FALSE
2012,"Croatia","Number","Total",12772,FALSE
2012,"Croatia","Number","Less than 35 years",2780,FALSE
2012,"Croatia","Number","From 35 to 44 years",2904,FALSE
2012,"Croatia","Number","From 45 to 54 years",3780,FALSE
2012,"Croatia","Number","From 55 to 64 years",2963,FALSE
2012,"Italy","Number","Total",230621,FALSE
2012,"Italy","Number","Less than 35 years",20406,FALSE
2012,"Italy","Number","From 35 to 44 years",37010,FALSE
2012,"Italy","Number","From 45 to 54 years",66281,FALSE
2012,"Italy","Number","From 55 to 64 years",91537,FALSE
2012,"Cyprus","Number","Total",3046,TRUE
2012,"Cyprus","Number","Less than 35 years",311,TRUE
2012,"Cyprus","Number","From 35 to 44 years",704,TRUE
2012,"Cyprus","Number","From 45 to 54 years",690,TRUE
2012,"Cyprus","Number","From 55 to 64 years",879,TRUE
2012,"Latvia","Number","Total",6396,FALSE
2012,"Latvia","Number","Less than 35 years",661,FALSE
2012,"Latvia","Number","From 35 to 44 years",1055,FALSE
2012,"Latvia","Number","From 45 to 54 years",1972,FALSE
2012,"Latvia","Number","From 55 to 64 years",1664,FALSE
2012,"Lithuania","Number","Total",13552,FALSE
2012,"Lithuania","Number","Less than 35 years",2778,FALSE
2012,"Lithuania","Number","From 35 to 44 years",2232,FALSE
2012,"Lithuania","Number","From 45 to 54 years",3507,FALSE
2012,"Lithuania","Number","From 55 to 64 years",3295,FALSE
2012,"Luxembourg","Number","Total",1489,FALSE
2012,"Luxembourg","Number","Less than 35 years",76,FALSE
2012,"Luxembourg","Number","From 35 to 44 years",332,FALSE
2012,"Luxembourg","Number","From 45 to 54 years",553,FALSE
2012,"Luxembourg","Number","From 55 to 64 years",411,FALSE
2012,"Hungary","Number","Total",30641,FALSE
2012,"Hungary","Number","Less than 35 years",4979,FALSE
2012,"Hungary","Number","From 35 to 44 years",5761,FALSE
2012,"Hungary","Number","From 45 to 54 years",7283,FALSE
