"TIME","GEO","UNIT","ICHA11_FS","Value","Value_imp"
2011,"Croatia","Million euro","All revenues of financing schemes",3.027,TRUE
2011,"Cyprus","Million euro","All revenues of financing schemes",1.277,FALSE
2011,"Latvia","Million euro","All revenues of financing schemes",1.804,TRUE
2011,"Lithuania","Million euro","All revenues of financing schemes",2.423,TRUE
2011,"Luxembourg","Million euro","All revenues of financing schemes",2.638,FALSE
2011,"Hungary","Million euro","All revenues of financing schemes",7.642,FALSE
2011,"Malta","Million euro","All revenues of financing schemes",889,TRUE
2011,"Poland","Million euro","All revenues of financing schemes",25.681,TRUE
2011,"Slovenia","Million euro","All revenues of financing schemes",3.309,TRUE
2011,"Finland","Million euro","All revenues of financing schemes",18.261,FALSE
2011,"Sweden","Million euro","All revenues of financing schemes",43.024,FALSE
2011,"Iceland","Million euro","All revenues of financing schemes",898,FALSE
2011,"Norway","Million euro","All revenues of financing schemes",35.318,TRUE
2011,"Switzerland","Million euro","All revenues of financing schemes",52.119,FALSE
2011,"United Kingdom","Million euro","All revenues of financing schemes",229.998,TRUE
2012,"Belgium","Million euro","All revenues of financing schemes",40.574,FALSE
2012,"Czechia","Million euro","All revenues of financing schemes",26.072,TRUE
2012,"Denmark","Million euro","All revenues of financing schemes",26.072,FALSE
2012,"Germany (until 1990 former territory of the FRG)","Million euro","All revenues of financing schemes",297.784,FALSE
2012,"Estonia","Million euro","All revenues of financing schemes",1.045,FALSE
2012,"Ireland","Million euro","All revenues of financing schemes",18.85,TRUE
2012,"Spain","Million euro","All revenues of financing schemes",94.417,FALSE
2012,"Croatia","Million euro","All revenues of financing schemes",3.027,TRUE
2012,"Cyprus","Million euro","All revenues of financing schemes",1.274,FALSE
2012,"Latvia","Million euro","All revenues of financing schemes",1.804,TRUE
2012,"Lithuania","Million euro","All revenues of financing schemes",2.423,TRUE
2012,"Luxembourg","Million euro","All revenues of financing schemes",2.463,FALSE
2012,"Hungary","Million euro","All revenues of financing schemes",7.428,FALSE
2012,"Malta","Million euro","All revenues of financing schemes",889,TRUE
2012,"Poland","Million euro","All revenues of financing schemes",25.681,TRUE
2012,"Slovenia","Million euro","All revenues of financing schemes",3.309,TRUE
2012,"Finland","Million euro","All revenues of financing schemes",19.271,FALSE
2012,"Sweden","Million euro","All revenues of financing schemes",46.166,FALSE
2012,"Iceland","Million euro","All revenues of financing schemes",939,FALSE
2012,"Norway","Million euro","All revenues of financing schemes",35.318,TRUE
2012,"Switzerland","Million euro","All revenues of financing schemes",55.183,FALSE
2012,"United Kingdom","Million euro","All revenues of financing schemes",229.998,TRUE
2013,"Belgium","Million euro","All revenues of financing schemes",41.494,FALSE
2013,"Czechia","Million euro","All revenues of financing schemes",26.313,TRUE
2013,"Denmark","Million euro","All revenues of financing schemes",26.313,FALSE
2013,"Germany (until 1990 former territory of the FRG)","Million euro","All revenues of financing schemes",309.02,FALSE
2013,"Estonia","Million euro","All revenues of financing schemes",1.137,FALSE
2013,"Ireland","Million euro","All revenues of financing schemes",18.505,FALSE
2013,"Spain","Million euro","All revenues of financing schemes",92.518,FALSE
2013,"Croatia","Million euro","All revenues of financing schemes",3.027,TRUE
2013,"Cyprus","Million euro","All revenues of financing schemes",1.249,FALSE
2013,"Latvia","Million euro","All revenues of financing schemes",1.804,TRUE
2013,"Lithuania","Million euro","All revenues of financing schemes",2.423,TRUE
2013,"Luxembourg","Million euro","All revenues of financing schemes",2.57,FALSE
2013,"Hungary","Million euro","All revenues of financing schemes",7.396,FALSE
2013,"Malta","Million euro","All revenues of financing schemes",889,TRUE
2013,"Poland","Million euro","All revenues of financing schemes",25.166,FALSE
2013,"Slovenia","Million euro","All revenues of financing schemes",3.309,TRUE
2013,"Finland","Million euro","All revenues of financing schemes",20.034,FALSE
2013,"Sweden","Million euro","All revenues of financing schemes",48.178,FALSE
2013,"Iceland","Million euro","All revenues of financing schemes",991,FALSE
2013,"Norway","Million euro","All revenues of financing schemes",35.318,TRUE
2013,"Switzerland","Million euro","All revenues of financing schemes",56.143,FALSE
2013,"United Kingdom","Million euro","All revenues of financing schemes",209.392,FALSE
2014,"Belgium","Million euro","All revenues of financing schemes",42.073,FALSE
2014,"Czechia","Million euro","All revenues of financing schemes",27.032,TRUE
2014,"Denmark","Million euro","All revenues of financing schemes",27.032,FALSE
2014,"Germany (until 1990 former territory of the FRG)","Million euro","All revenues of financing schemes",322.481,FALSE
2014,"Estonia","Million euro","All revenues of financing schemes",1.227,FALSE
2014,"Ireland","Million euro","All revenues of financing schemes",18.85,FALSE
2014,"Spain","Million euro","All revenues of financing schemes",93.824,FALSE
2014,"Croatia","Million euro","All revenues of financing schemes",2.907,FALSE
2014,"Cyprus","Million euro","All revenues of financing schemes",1.211,FALSE
2014,"Latvia","Million euro","All revenues of financing schemes",1.804,TRUE
2014,"Lithuania","Million euro","All revenues of financing schemes",2.265,FALSE
2014,"Luxembourg","Million euro","All revenues of financing schemes",2.708,FALSE
2014,"Hungary","Million euro","All revenues of financing schemes",7.488,FALSE
2014,"Malta","Million euro","All revenues of financing schemes",795,FALSE
2014,"Poland","Million euro","All revenues of financing schemes",25.681,FALSE
2014,"Slovenia","Million euro","All revenues of financing schemes",3.199,FALSE
2014,"Finland","Million euro","All revenues of financing schemes",20.236,FALSE
2014,"Sweden","Million euro","All revenues of financing schemes",48.043,FALSE
2014,"Iceland","Million euro","All revenues of financing schemes",1.108,FALSE
2014,"Norway","Million euro","All revenues of financing schemes",35.318,TRUE
2014,"Switzerland","Million euro","All revenues of financing schemes",58.808,FALSE
2014,"United Kingdom","Million euro","All revenues of financing schemes",229.998,FALSE
2015,"Belgium","Million euro","All revenues of financing schemes",43.449,FALSE
2015,"Czechia","Million euro","All revenues of financing schemes",27.921,TRUE
2015,"Denmark","Million euro","All revenues of financing schemes",27.921,FALSE
2015,"Germany (until 1990 former territory of the FRG)","Million euro","All revenues of financing schemes",338.267,FALSE
2015,"Estonia","Million euro","All revenues of financing schemes",1.318,FALSE
2015,"Ireland","Million euro","All revenues of financing schemes",19.231,FALSE
2015,"Spain","Million euro","All revenues of financing schemes",98.35,FALSE
2015,"Croatia","Million euro","All revenues of financing schemes",3.027,FALSE
2015,"Cyprus","Million euro","All revenues of financing schemes",1.234,FALSE
2015,"Latvia","Million euro","All revenues of financing schemes",1.804,TRUE
2015,"Lithuania","Million euro","All revenues of financing schemes",2.423,FALSE
2015,"Luxembourg","Million euro","All revenues of financing schemes",2.751,FALSE
2015,"Hungary","Million euro","All revenues of financing schemes",7.73,FALSE
2015,"Malta","Million euro","All revenues of financing schemes",889,FALSE
2015,"Poland","Million euro","All revenues of financing schemes",27.28,FALSE
2015,"Slovenia","Million euro","All revenues of financing schemes",3.309,FALSE
2015,"Finland","Million euro","All revenues of financing schemes",20.388,FALSE
2015,"Sweden","Million euro","All revenues of financing schemes",49.18,FALSE
2015,"Iceland","Million euro","All revenues of financing schemes",1.274,FALSE
2015,"Norway","Million euro","All revenues of financing schemes",35.22,FALSE
2015,"Switzerland","Million euro","All revenues of financing schemes",69.655,FALSE
2015,"United Kingdom","Million euro","All revenues of financing schemes",261.567,FALSE
2016,"Belgium","Million euro","All revenues of financing schemes",44.235,FALSE
2016,"Czechia","Million euro","All revenues of financing schemes",28.72,TRUE
2016,"Denmark","Million euro","All revenues of financing schemes",28.72,FALSE
2016,"Germany (until 1990 former territory of the FRG)","Million euro","All revenues of financing schemes",352.045,FALSE
2016,"Estonia","Million euro","All revenues of financing schemes",1.41,FALSE
2016,"Ireland","Million euro","All revenues of financing schemes",20.143,FALSE
2016,"Spain","Million euro","All revenues of financing schemes",99.715,FALSE
2016,"Croatia","Million euro","All revenues of financing schemes",3.183,FALSE
2016,"Cyprus","Million euro","All revenues of financing schemes",1.289,FALSE
2016,"Latvia","Million euro","All revenues of financing schemes",1.804,TRUE
2016,"Lithuania","Million euro","All revenues of financing schemes",2.581,FALSE
2016,"Luxembourg","Million euro","All revenues of financing schemes",2.85,FALSE
2016,"Hungary","Million euro","All revenues of financing schemes",8.123,FALSE
2016,"Malta","Million euro","All revenues of financing schemes",945,FALSE
2016,"Poland","Million euro","All revenues of financing schemes",27.756,FALSE
2016,"Slovenia","Million euro","All revenues of financing schemes",3.428,FALSE
2016,"Finland","Million euro","All revenues of financing schemes",20.398,FALSE
2016,"Sweden","Million euro","All revenues of financing schemes",50.545,FALSE
2016,"Iceland","Million euro","All revenues of financing schemes",1.522,FALSE
2016,"Norway","Million euro","All revenues of financing schemes",35.318,FALSE
2016,"Switzerland","Million euro","All revenues of financing schemes",71.046,FALSE
2016,"United Kingdom","Million euro","All revenues of financing schemes",240.259,FALSE
2017,"Belgium","Million euro","All revenues of financing schemes",46.406,FALSE
2017,"Czechia","Million euro","All revenues of financing schemes",29.597,TRUE
2017,"Denmark","Million euro","All revenues of financing schemes",29.597,FALSE
2017,"Germany (until 1990 former territory of the FRG)","Million euro","All revenues of financing schemes",369.091,FALSE
2017,"Estonia","Million euro","All revenues of financing schemes",1.572,FALSE
2017,"Ireland","Million euro","All revenues of financing schemes",21.259,FALSE
2017,"Spain","Million euro","All revenues of financing schemes",103.899,FALSE
2017,"Croatia","Million euro","All revenues of financing schemes",3.327,FALSE
2017,"Cyprus","Million euro","All revenues of financing schemes",1.35,FALSE
2017,"Latvia","Million euro","All revenues of financing schemes",1.609,FALSE
2017,"Lithuania","Million euro","All revenues of financing schemes",2.732,FALSE
2017,"Luxembourg","Million euro","All revenues of financing schemes",2.987,FALSE
2017,"Hungary","Million euro","All revenues of financing schemes",8.531,FALSE
2017,"Malta","Million euro","All revenues of financing schemes",1.042,FALSE
2017,"Poland","Million euro","All revenues of financing schemes",30.663,FALSE
2017,"Slovenia","Million euro","All revenues of financing schemes",3.52,FALSE
2017,"Finland","Million euro","All revenues of financing schemes",20.653,FALSE
2017,"Sweden","Million euro","All revenues of financing schemes",51.775,FALSE
2017,"Iceland","Million euro","All revenues of financing schemes",1.81,FALSE
2017,"Norway","Million euro","All revenues of financing schemes",36.447,FALSE
2017,"Switzerland","Million euro","All revenues of financing schemes",71.64,FALSE
2017,"United Kingdom","Million euro","All revenues of financing schemes",232.178,FALSE
2018,"Belgium","Million euro","All revenues of financing schemes",47.417,FALSE
2018,"Czechia","Million euro","All revenues of financing schemes",15.871,FALSE
2018,"Denmark","Million euro","All revenues of financing schemes",30.449,FALSE
2018,"Germany (until 1990 former territory of the FRG)","Million euro","All revenues of financing schemes",383.636,FALSE
2018,"Estonia","Million euro","All revenues of financing schemes",1.734,FALSE
2018,"Ireland","Million euro","All revenues of financing schemes",22.451,FALSE
2018,"Spain","Million euro","All revenues of financing schemes",108.109,FALSE
2018,"Croatia","Million euro","All revenues of financing schemes",3.524,FALSE
2018,"Cyprus","Million euro","All revenues of financing schemes",1.43,FALSE
2018,"Latvia","Million euro","All revenues of financing schemes",1.804,FALSE
2018,"Lithuania","Million euro","All revenues of financing schemes",2.972,FALSE
2018,"Luxembourg","Million euro","All revenues of financing schemes",3.174,FALSE
2018,"Hungary","Million euro","All revenues of financing schemes",8.963,FALSE
2018,"Malta","Million euro","All revenues of financing schemes",1.109,FALSE
2018,"Poland","Million euro","All revenues of financing schemes",31.501,FALSE
2018,"Slovenia","Million euro","All revenues of financing schemes",3.797,FALSE
2018,"Finland","Million euro","All revenues of financing schemes",21.116,FALSE
2018,"Sweden","Million euro","All revenues of financing schemes",51.296,FALSE
2018,"Iceland","Million euro","All revenues of financing schemes",1.862,FALSE
2018,"Norway","Million euro","All revenues of financing schemes",36.971,FALSE
2018,"Switzerland","Million euro","All revenues of financing schemes",70.902,FALSE
2018,"United Kingdom","Million euro","All revenues of financing schemes",242.3,FALSE
