"TIME","GEO","UNIT","FACILITY","Value","Value_imp"
2010,"Estonia","Number","Curative care beds in hospitals (HP.1)",5002,FALSE
2010,"Estonia","Number","Rehabilitative care beds in hospitals (HP.1)",297,FALSE
2010,"Estonia","Number","Long-term care beds in hospitals (HP.1)",1557,FALSE
2010,"Estonia","Number","Other beds in hospitals (HP.1)",166,FALSE
2010,"Estonia","Inhabitants per ...","Available beds in hospitals (HP.1)",189.61,FALSE
2010,"Estonia","Inhabitants per ...","Curative care beds in hospitals (HP.1)",266.19,FALSE
2010,"Estonia","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",4483.08,FALSE
2010,"Estonia","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",855.15,FALSE
2010,"Estonia","Inhabitants per ...","Other beds in hospitals (HP.1)",8020.93,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",527.39,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",375.67,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",22.31,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",116.94,FALSE
2010,"Estonia","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",12.47,FALSE
2010,"Ireland","Number","Available beds in hospitals (HP.1)",12434,FALSE
2010,"Ireland","Number","Curative care beds in hospitals (HP.1)",11417,FALSE
2010,"Ireland","Number","Rehabilitative care beds in hospitals (HP.1)",129,FALSE
2010,"Ireland","Number","Long-term care beds in hospitals (HP.1)",888,FALSE
2010,"Ireland","Number","Other beds in hospitals (HP.1)",0,FALSE
2010,"Ireland","Inhabitants per ...","Available beds in hospitals (HP.1)",366.75,FALSE
2010,"Ireland","Inhabitants per ...","Curative care beds in hospitals (HP.1)",399.42,FALSE
2010,"Ireland","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",35350.03,FALSE
2010,"Ireland","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",5135.31,FALSE
2010,"Ireland","Inhabitants per ...","Other beds in hospitals (HP.1)",8020.93,TRUE
2010,"Ireland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",272.67,FALSE
2010,"Ireland","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",250.36,FALSE
2010,"Ireland","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",2.83,FALSE
2010,"Ireland","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",19.47,FALSE
2010,"Ireland","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",0,FALSE
2010,"Greece","Number","Available beds in hospitals (HP.1)",49828,FALSE
2010,"Greece","Number","Curative care beds in hospitals (HP.1)",40664,FALSE
2010,"Greece","Number","Rehabilitative care beds in hospitals (HP.1)",464,FALSE
2010,"Greece","Number","Long-term care beds in hospitals (HP.1)",6414,TRUE
2010,"Greece","Number","Other beds in hospitals (HP.1)",8700,FALSE
2010,"Greece","Inhabitants per ...","Available beds in hospitals (HP.1)",223.19,FALSE
2010,"Greece","Inhabitants per ...","Curative care beds in hospitals (HP.1)",273.49,FALSE
2010,"Greece","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",23968.41,FALSE
2010,"Greece","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",1680.07,TRUE
2010,"Greece","Inhabitants per ...","Other beds in hospitals (HP.1)",1278.32,FALSE
2010,"Greece","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",448.04,FALSE
2010,"Greece","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",365.64,FALSE
2010,"Greece","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",4.17,FALSE
2010,"Greece","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",59.52,TRUE
2010,"Greece","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",78.23,FALSE
2010,"Spain","Number","Available beds in hospitals (HP.1)",144951,FALSE
2010,"Spain","Number","Curative care beds in hospitals (HP.1)",118413,FALSE
2010,"Spain","Number","Rehabilitative care beds in hospitals (HP.1)",1691,FALSE
2010,"Spain","Number","Long-term care beds in hospitals (HP.1)",24847,FALSE
2010,"Spain","Number","Other beds in hospitals (HP.1)",0,FALSE
2010,"Spain","Inhabitants per ...","Available beds in hospitals (HP.1)",321.33,FALSE
2010,"Spain","Inhabitants per ...","Curative care beds in hospitals (HP.1)",393.34,FALSE
2010,"Spain","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",27544,FALSE
2010,"Spain","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",1874.55,FALSE
2010,"Spain","Inhabitants per ...","Other beds in hospitals (HP.1)",8020.93,TRUE
2010,"Spain","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",311.21,FALSE
2010,"Spain","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",254.23,FALSE
2010,"Spain","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",3.63,FALSE
2010,"Spain","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",53.35,FALSE
2010,"Spain","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",0,FALSE
2010,"France","Number","Available beds in hospitals (HP.1)",416710,FALSE
2010,"France","Number","Curative care beds in hospitals (HP.1)",224385,FALSE
2010,"France","Number","Rehabilitative care beds in hospitals (HP.1)",100506,FALSE
2010,"France","Number","Long-term care beds in hospitals (HP.1)",34571,FALSE
2010,"France","Number","Other beds in hospitals (HP.1)",57248,FALSE
2010,"France","Inhabitants per ...","Available beds in hospitals (HP.1)",155.55,FALSE
2010,"France","Inhabitants per ...","Curative care beds in hospitals (HP.1)",288.87,FALSE
2010,"France","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",644.92,FALSE
2010,"France","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",1874.95,FALSE
2010,"France","Inhabitants per ...","Other beds in hospitals (HP.1)",1132.25,FALSE
2010,"France","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",642.88,FALSE
2010,"France","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",346.17,FALSE
2010,"France","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",155.06,FALSE
2010,"France","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",53.33,FALSE
2010,"France","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",88.32,FALSE
2010,"Croatia","Number","Available beds in hospitals (HP.1)",24831,FALSE
2010,"Croatia","Number","Curative care beds in hospitals (HP.1)",16860,TRUE
2010,"Croatia","Number","Rehabilitative care beds in hospitals (HP.1)",4409,TRUE
2010,"Croatia","Number","Long-term care beds in hospitals (HP.1)",3683,TRUE
2010,"Croatia","Number","Other beds in hospitals (HP.1)",0,TRUE
2010,"Croatia","Inhabitants per ...","Available beds in hospitals (HP.1)",173.02,FALSE
2010,"Croatia","Inhabitants per ...","Curative care beds in hospitals (HP.1)",252.34,TRUE
2010,"Croatia","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",964.95,TRUE
2010,"Croatia","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",1150.17,TRUE
2010,"Croatia","Inhabitants per ...","Other beds in hospitals (HP.1)",8020.93,TRUE
2010,"Croatia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",577.96,FALSE
2010,"Croatia","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",396.29,TRUE
2010,"Croatia","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",103.63,TRUE
2010,"Croatia","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",86.94,TRUE
2010,"Croatia","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",0,TRUE
2010,"Italy","Number","Available beds in hospitals (HP.1)",215980,FALSE
2010,"Italy","Number","Curative care beds in hospitals (HP.1)",179773,FALSE
2010,"Italy","Number","Rehabilitative care beds in hospitals (HP.1)",25043,FALSE
2010,"Italy","Number","Long-term care beds in hospitals (HP.1)",11164,FALSE
2010,"Italy","Number","Other beds in hospitals (HP.1)",0,FALSE
2010,"Italy","Inhabitants per ...","Available beds in hospitals (HP.1)",274.46,FALSE
2010,"Italy","Inhabitants per ...","Curative care beds in hospitals (HP.1)",329.73,FALSE
2010,"Italy","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",2367.03,FALSE
2010,"Italy","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",5309.69,FALSE
2010,"Italy","Inhabitants per ...","Other beds in hospitals (HP.1)",8020.93,TRUE
2010,"Italy","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",364.35,FALSE
2010,"Italy","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",303.27,FALSE
2010,"Italy","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",42.25,FALSE
2010,"Italy","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",18.83,FALSE
2010,"Italy","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",0,FALSE
2010,"Cyprus","Number","Available beds in hospitals (HP.1)",2958,FALSE
2010,"Cyprus","Number","Curative care beds in hospitals (HP.1)",2958,FALSE
2010,"Cyprus","Number","Rehabilitative care beds in hospitals (HP.1)",0,FALSE
2010,"Cyprus","Number","Long-term care beds in hospitals (HP.1)",0,FALSE
2010,"Cyprus","Number","Other beds in hospitals (HP.1)",0,FALSE
2010,"Cyprus","Inhabitants per ...","Available beds in hospitals (HP.1)",280.41,FALSE
2010,"Cyprus","Inhabitants per ...","Curative care beds in hospitals (HP.1)",280.41,FALSE
2010,"Cyprus","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",2036.22,TRUE
2010,"Cyprus","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",4324.91,TRUE
2010,"Cyprus","Inhabitants per ...","Other beds in hospitals (HP.1)",8020.93,TRUE
2010,"Cyprus","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",356.62,FALSE
2010,"Cyprus","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",356.62,FALSE
2010,"Cyprus","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",0,FALSE
2010,"Cyprus","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",0,FALSE
2010,"Cyprus","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",0,FALSE
2010,"Latvia","Number","Available beds in hospitals (HP.1)",11920,FALSE
2010,"Latvia","Number","Curative care beds in hospitals (HP.1)",7433,FALSE
2010,"Latvia","Number","Rehabilitative care beds in hospitals (HP.1)",462,FALSE
2010,"Latvia","Number","Long-term care beds in hospitals (HP.1)",1350,FALSE
2010,"Latvia","Number","Other beds in hospitals (HP.1)",2675,FALSE
2010,"Latvia","Inhabitants per ...","Available beds in hospitals (HP.1)",175.97,FALSE
2010,"Latvia","Inhabitants per ...","Curative care beds in hospitals (HP.1)",282.19,FALSE
2010,"Latvia","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",4540.16,FALSE
2010,"Latvia","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",1553.74,FALSE
2010,"Latvia","Inhabitants per ...","Other beds in hospitals (HP.1)",784.13,FALSE
2010,"Latvia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",568.28,FALSE
2010,"Latvia","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",354.37,FALSE
2010,"Latvia","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",22.03,FALSE
2010,"Latvia","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",64.36,FALSE
2010,"Latvia","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",127.53,FALSE
2010,"Lithuania","Number","Available beds in hospitals (HP.1)",22190,FALSE
2010,"Lithuania","Number","Curative care beds in hospitals (HP.1)",18992,FALSE
2010,"Lithuania","Number","Rehabilitative care beds in hospitals (HP.1)",1390,FALSE
2010,"Lithuania","Number","Long-term care beds in hospitals (HP.1)",1808,FALSE
2010,"Lithuania","Number","Other beds in hospitals (HP.1)",0,FALSE
2010,"Lithuania","Inhabitants per ...","Available beds in hospitals (HP.1)",139.58,FALSE
2010,"Lithuania","Inhabitants per ...","Curative care beds in hospitals (HP.1)",163.08,FALSE
2010,"Lithuania","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",2228.26,FALSE
2010,"Lithuania","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",1713.1,FALSE
2010,"Lithuania","Inhabitants per ...","Other beds in hospitals (HP.1)",8020.93,TRUE
2010,"Lithuania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",716.43,FALSE
2010,"Lithuania","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",613.18,FALSE
2010,"Lithuania","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",44.88,FALSE
2010,"Lithuania","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",58.37,FALSE
2010,"Lithuania","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",0,FALSE
2010,"Luxembourg","Number","Available beds in hospitals (HP.1)",2721,FALSE
2010,"Luxembourg","Number","Curative care beds in hospitals (HP.1)",2098,FALSE
2010,"Luxembourg","Number","Rehabilitative care beds in hospitals (HP.1)",177,FALSE
2010,"Luxembourg","Number","Long-term care beds in hospitals (HP.1)",0,FALSE
2010,"Luxembourg","Number","Other beds in hospitals (HP.1)",446,FALSE
2010,"Luxembourg","Inhabitants per ...","Available beds in hospitals (HP.1)",186.31,FALSE
2010,"Luxembourg","Inhabitants per ...","Curative care beds in hospitals (HP.1)",241.64,FALSE
2010,"Luxembourg","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",2864.14,FALSE
2010,"Luxembourg","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",4324.91,TRUE
2010,"Luxembourg","Inhabitants per ...","Other beds in hospitals (HP.1)",1136.67,FALSE
2010,"Luxembourg","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",536.74,FALSE
2010,"Luxembourg","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",413.85,FALSE
2010,"Luxembourg","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",34.91,FALSE
2010,"Luxembourg","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",0,FALSE
2010,"Luxembourg","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",87.98,FALSE
2010,"Hungary","Number","Available beds in hospitals (HP.1)",71818,FALSE
2010,"Hungary","Number","Curative care beds in hospitals (HP.1)",44503,FALSE
2010,"Hungary","Number","Rehabilitative care beds in hospitals (HP.1)",15910,FALSE
2010,"Hungary","Number","Long-term care beds in hospitals (HP.1)",11405,FALSE
2010,"Hungary","Number","Other beds in hospitals (HP.1)",0,FALSE
2010,"Hungary","Inhabitants per ...","Available beds in hospitals (HP.1)",139.24,FALSE
2010,"Hungary","Inhabitants per ...","Curative care beds in hospitals (HP.1)",224.7,FALSE
2010,"Hungary","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",628.54,FALSE
2010,"Hungary","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",876.81,FALSE
2010,"Hungary","Inhabitants per ...","Other beds in hospitals (HP.1)",8020.93,TRUE
2010,"Hungary","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",718.18,FALSE
2010,"Hungary","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",445.03,FALSE
2010,"Hungary","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",159.1,FALSE
2010,"Hungary","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",114.05,FALSE
2010,"Hungary","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",0,FALSE
2010,"Malta","Number","Available beds in hospitals (HP.1)",1874,FALSE
2010,"Malta","Number","Curative care beds in hospitals (HP.1)",1119,FALSE
2010,"Malta","Number","Rehabilitative care beds in hospitals (HP.1)",436,TRUE
2010,"Malta","Number","Long-term care beds in hospitals (HP.1)",0,FALSE
2010,"Malta","Number","Other beds in hospitals (HP.1)",153,FALSE
2010,"Malta","Inhabitants per ...","Available beds in hospitals (HP.1)",221.19,FALSE
2010,"Malta","Inhabitants per ...","Curative care beds in hospitals (HP.1)",370.43,FALSE
2010,"Malta","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",1020.76,TRUE
2010,"Malta","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",42002.75,TRUE
2010,"Malta","Inhabitants per ...","Other beds in hospitals (HP.1)",2709.2,FALSE
2010,"Malta","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",452.1,FALSE
2010,"Malta","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",269.96,FALSE
2010,"Malta","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",97.97,TRUE
